"Race","Sex","Age","Population"
"Total","Male",0,132407
"Total","Male",1,134392
"Total","Male",2,134750
"Total","Male",3,135722
"Total","Male",4,138003
"Total","Male",5,139460
"Total","Male",6,141267
"Total","Male",7,143466
"Total","Male",8,146139
"Total","Male",9,148995
"Total","Male",10,151458
"Total","Male",11,153074
"Total","Male",12,153739
"Total","Male",13,153768
"Total","Male",14,153695
"Total","Male",15,153890
"Total","Male",16,154478
"Total","Male",17,155536
"Total","Male",18,156902
"Total","Male",19,157833
"Total","Male",20,157427
"Total","Male",21,155784
"Total","Male",22,153840
"Total","Male",23,152651
"Total","Male",24,152201
"Total","Male",25,151827
"Total","Male",26,151149
"Total","Male",27,149834
"Total","Male",28,147688
"Total","Male",29,144473
"Total","Male",30,140535
"Total","Male",31,136627
"Total","Male",32,133015
"Total","Male",33,129447
"Total","Male",34,125766
"Total","Male",35,121859
"Total","Male",36,117539
"Total","Male",37,113255
"Total","Male",38,109433
"Total","Male",39,106408
"Total","Male",40,104360
"Total","Male",41,103198
"Total","Male",42,102865
"Total","Male",43,103230
"Total","Male",44,103920
"Total","Male",45,104297
"Total","Male",46,103991
"Total","Male",47,102982
"Total","Male",48,101381
"Total","Male",49,99327
"Total","Male",50,96947
"Total","Male",51,94401
"Total","Male",52,91703
"Total","Male",53,88883
"Total","Male",54,86060
"Total","Male",55,83173
"Total","Male",56,80003
"Total","Male",57,76533
"Total","Male",58,72967
"Total","Male",59,69371
"Total","Male",60,65667
"Total","Male",61,61905
"Total","Male",62,58197
"Total","Male",63,54690
"Total","Male",64,51357
"Total","Male",65,47981
"Total","Male",66,44367
"Total","Male",67,40880
"Total","Male",68,37828
"Total","Male",69,35157
"Total","Male",70,32961
"Total","Male",71,30972
"Total","Male",72,28961
"Total","Male",73,26945
"Total","Male",74,24947
"Total","Male",75,22987
"Total","Male",76,21000
"Total","Male",77,19043
"Total","Male",78,17244
"Total","Male",79,15542
"Total","Male",80,13904
"Total","Male",81,12361
"Total","Male",82,10941
"Total","Male",83,9638
"Total","Male",84,8450
"Total","Male",85,7367
"Total","Male",86,6386
"Total","Male",87,5490
"Total","Male",88,4673
"Total","Male",89,3927
"Total","Male",90,3251
"Total","Male",91,2644
"Total","Male",92,2121
"Total","Male",93,1668
"Total","Male",94,1288
"Total","Male",95,977
"Total","Male",96,723
"Total","Male",97,521
"Total","Male",98,364
"Total","Male",99,245
"Total","Male",100,414
"Total","Female",0,127561
"Total","Female",1,129660
"Total","Female",2,129957
"Total","Female",3,130864
"Total","Female",4,133028
"Total","Female",5,134433
"Total","Female",6,136246
"Total","Female",7,138495
"Total","Female",8,141183
"Total","Female",9,144035
"Total","Female",10,146515
"Total","Female",11,148207
"Total","Female",12,149149
"Total","Female",13,149681
"Total","Female",14,150125
"Total","Female",15,150666
"Total","Female",16,151409
"Total","Female",17,152440
"Total","Female",18,153657
"Total","Female",19,154401
"Total","Female",20,153931
"Total","Female",21,152364
"Total","Female",22,150577
"Total","Female",23,149586
"Total","Female",24,149432
"Total","Female",25,149516
"Total","Female",26,149454
"Total","Female",27,148972
"Total","Female",28,147888
"Total","Female",29,145956
"Total","Female",30,143478
"Total","Female",31,141130
"Total","Female",32,139193
"Total","Female",33,137506
"Total","Female",34,135969
"Total","Female",35,134430
"Total","Female",36,132583
"Total","Female",37,130626
"Total","Female",38,128723
"Total","Female",39,127046
"Total","Female",40,125746
"Total","Female",41,124814
"Total","Female",42,124311
"Total","Female",43,124189
"Total","Female",44,124136
"Total","Female",45,123517
"Total","Female",46,122001
"Total","Female",47,119673
"Total","Female",48,116747
"Total","Female",49,113457
"Total","Female",50,109931
"Total","Female",51,106348
"Total","Female",52,102754
"Total","Female",53,99181
"Total","Female",54,95753
"Total","Female",55,92378
"Total","Female",56,88782
"Total","Female",57,84940
"Total","Female",58,81082
"Total","Female",59,77235
"Total","Female",60,73277
"Total","Female",61,69266
"Total","Female",62,65336
"Total","Female",63,61637
"Total","Female",64,58130
"Total","Female",65,54547
"Total","Female",66,50697
"Total","Female",67,46943
"Total","Female",68,43615
"Total","Female",69,40702
"Total","Female",70,38321
"Total","Female",71,36194
"Total","Female",72,34034
"Total","Female",73,31867
"Total","Female",74,29726
"Total","Female",75,27626
"Total","Female",76,25482
"Total","Female",77,23357
"Total","Female",78,21398
"Total","Female",79,19526
"Total","Female",80,17697
"Total","Female",81,15944
"Total","Female",82,14305
"Total","Female",83,12780
"Total","Female",84,11361
"Total","Female",85,10042
"Total","Female",86,8815
"Total","Female",87,7676
"Total","Female",88,6619
"Total","Female",89,5642
"Total","Female",90,4736
"Total","Female",91,3910
"Total","Female",92,3187
"Total","Female",93,2552
"Total","Female",94,2006
"Total","Female",95,1554
"Total","Female",96,1175
"Total","Female",97,867
"Total","Female",98,623
"Total","Female",99,439
"Total","Female",100,822
