"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"2.252209225","65.71005051","73.47167459","103.76875657438","1","11933.8085069756","9809.79398661412","8294.63174680618","3966.79798641034","1","1","1","1"
2021,"2.21898448233","62.63692656","71.16660015","103.76438769349","0.99696334","11933.8085069756","9809.79398661412","8294.63174680618","3966.79798641034","0.99696334","0.99696334","0.99696334","0.99696334"
2022,"2.18379670628","70.84181249","77.30744009","103.760930651571","0.99696334","11933.8085069756","9809.79398661412","8294.63174680618","3966.79798641034","0.99696334","0.99696334","0.99696334","0.99696334"
2023,"2.14399319317","71.10873467","77.59525507","103.758341118653","0.99696334","11933.8085069756","9809.79398661412","8294.63174680618","3966.79798641034","0.99696334","0.99696334","0.99696334","0.99696334"
2024,"2.10294777312","71.41228341","77.9236642","103.756576679724","0.99696334","11933.8085069756","9809.79398661412","8294.63174680618","3966.79798641034","0.99696334","0.99696334","0.99696334","0.99696334"
2025,"2.06388677525","71.69554226","78.22870281","103.755599085341","0.99696334","12246.4092595459","9890.53772864053","8212.29542791202","3693.15952981349","0.99696334","0.99696334","0.99696334","0.99696334"
2026,"2.0269408705","71.9966348","78.55301081","103.755372704671","0.99279534","12246.4092595459","9890.53772864053","8212.29542791202","3693.15952981349","0.99279534","0.99279534","0.99279534","0.99279534"
2027,"1.99065389301","72.28512883","78.86259748","103.755864291111","0.99279534","12246.4092595459","9890.53772864053","8212.29542791202","3693.15952981349","0.99279534","0.99279534","0.99279534","0.99279534"
2028,"1.95449276168","72.58226215","79.18107074","103.757043948526","0.99279534","12246.4092595459","9890.53772864053","8212.29542791202","3693.15952981349","0.99279534","0.99279534","0.99279534","0.99279534"
2029,"1.91881705106","72.87163603","79.49022401","103.758886857135","0.99279534","12246.4092595459","9890.53772864053","8212.29542791202","3693.15952981349","0.99279534","0.99279534","0.99279534","0.99279534"
2030,"1.8841987251","73.16500537","79.80305275","103.761376002043","0.99279534","12312.4257625098","10019.2417767527","8099.44459746032","3723.06097012499","0.99279534","0.99279534","0.99279534","0.99279534"
2031,"1.85075245638","73.45348923","80.10975627","103.764506117976","0.986265945","12312.4257625098","10019.2417767527","8099.44459746032","3723.06097012499","0.986265945","0.986265945","0.986265945","0.986265945"
2032,"1.8183184228","73.7435824","80.41745844","103.768288788529","0.986265945","12312.4257625098","10019.2417767527","8099.44459746032","3723.06097012499","0.986265945","0.986265945","0.986265945","0.986265945"
2033,"1.78668041811","74.03045146","80.72086865","103.772759323912","0.986265945","12312.4257625098","10019.2417767527","8099.44459746032","3723.06097012499","0.986265945","0.986265945","0.986265945","0.986265945"
2034,"1.75587001176","74.31768285","81.02389433","103.77798620166","0.986265945","12312.4257625098","10019.2417767527","8099.44459746032","3723.06097012499","0.986265945","0.986265945","0.986265945","0.986265945"
2035,"1.7258623499","74.60265006","81.32367436","103.784083230787","0.986265945","12149.3324374774","9988.80400926246","7970.4827384817","3810.54313486179","0.986265945","0.986265945","0.986265945","0.986265945"
2036,"1.69671097092","74.88733063","81.62235037","103.791219015698","0.97817625","12149.3324374774","9988.80400926246","7970.4827384817","3810.54313486179","0.97817625","0.97817625","0.97817625","0.97817625"
2037,"1.66842264661","75.17029296","81.91837723","103.799565068852","0.97817625","12149.3324374774","9988.80400926246","7970.4827384817","3810.54313486179","0.97817625","0.97817625","0.97817625","0.97817625"
2038,"1.64085286314","75.45263516","82.21293367","103.808855349076","0.97817625","12149.3324374774","9988.80400926246","7970.4827384817","3810.54313486179","0.97817625","0.97817625","0.97817625","0.97817625"
2039,"1.61383647915","75.7335767","82.50518599","103.816173696974","0.97817625","12149.3324374774","9988.80400926246","7970.4827384817","3810.54313486179","0.97817625","0.97817625","0.97817625","0.97817625"
2040,"1.5872413072","76.01373736","82.79579203","103.823000737251","0.97817625","11894.546755387","9849.9223995618","7827.34114861483","3716.5753464331","0.97817625","0.97817625","0.97817625","0.97817625"
2041,"1.56104755319","76.29269039","83.08430822","103.829451031156","0.969498895","11894.546755387","9849.9223995618","7827.34114861483","3716.5753464331","0.969498895","0.969498895","0.969498895","0.969498895"
2042,"1.535332344","76.57078448","83.37110158","103.835474804117","0.969498895","11894.546755387","9849.9223995618","7827.34114861483","3716.5753464331","0.969498895","0.969498895","0.969498895","0.969498895"
2043,"1.51004469847","76.84779906","83.65593676","103.840963767564","0.969498895","11894.546755387","9849.9223995618","7827.34114861483","3716.5753464331","0.969498895","0.969498895","0.969498895","0.969498895"
2044,"1.4851034486","77.12392806","83.93903304","103.845871909747","0.969498895","11894.546755387","9849.9223995618","7827.34114861483","3716.5753464331","0.969498895","0.969498895","0.969498895","0.969498895"
2045,"1.4605983525","77.39906368","84.22027353","103.8502221499","0.969498895","11540.7361603022","9667.85033179347","7689.53196462853","3669.33374193881","0.969498895","0.969498895","0.969498895","0.969498895"
2046,"1.44630387707","77.67332276","84.49979228","103.854097575783","0.96288359","11540.7361603022","9667.85033179347","7689.53196462853","3669.33374193881","0.96288359","0.96288359","0.96288359","0.96288359"
2047,"1.43234192134","77.94665662","84.77754002","103.857619285701","0.96288359","11540.7361603022","9667.85033179347","7689.53196462853","3669.33374193881","0.96288359","0.96288359","0.96288359","0.96288359"
2048,"1.41870859389","78.21914435","85.05359994","103.860925452785","0.96288359","11540.7361603022","9667.85033179347","7689.53196462853","3669.33374193881","0.96288359","0.96288359","0.96288359","0.96288359"
2049,"1.40535344027","78.49077347","85.32797045","103.86414989683","0.96288359","11540.7361603022","9667.85033179347","7689.53196462853","3669.33374193881","0.96288359","0.96288359","0.96288359","0.96288359"
2050,"1.392301618125","78.76159838","85.6007172","103.867408565318","0.96288359","11146.2169385712","9424.9832822665","7550.05453177027","3575.94242951241","0.96288359","0.96288359","0.96288359","0.96288359"
2051,"1.37955953304","79.0316323","85.87184841","103.870780014236","0.954410485","11146.2169385712","9424.9832822665","7550.05453177027","3575.94242951241","0.954410485","0.954410485","0.954410485","0.954410485"
2052,"1.36707487059","79.30091749","86.14142647","103.87429397218","0.954410485","11146.2169385712","9424.9832822665","7550.05453177027","3575.94242951241","0.954410485","0.954410485","0.954410485","0.954410485"
2053,"1.35477804816","79.56948441","86.40948704","103.8774673741","0.954410485","11146.2169385712","9424.9832822665","7550.05453177027","3575.94242951241","0.954410485","0.954410485","0.954410485","0.954410485"
2054,"1.342665588885","79.83737412","86.67607215","103.880693040163","0.954410485","11146.2169385712","9424.9832822665","7550.05453177027","3575.94242951241","0.954410485","0.954410485","0.954410485","0.954410485"
2055,"1.3306818217","80.10462308","86.94122769","103.883968162257","0.954410485","10699.3681223407","9120.87326478872","7403.69932102406","3456.19509304265","0.954410485","0.954410485","0.954410485","0.954410485"
2056,"1.318781957915","80.37127471","87.20500588","103.887250619017","0.94992529","10699.3681223407","9120.87326478872","7403.69932102406","3456.19509304265","0.94992529","0.94992529","0.94992529","0.94992529"
2057,"1.30696626345","80.63737358","87.46744756","103.890504381569","0.94992529","10699.3681223407","9120.87326478872","7403.69932102406","3456.19509304265","0.94992529","0.94992529","0.94992529","0.94992529"
2058,"1.295231905445","80.90295756","87.72860996","103.893703798583","0.94992529","10699.3681223407","9120.87326478872","7403.69932102406","3456.19509304265","0.94992529","0.94992529","0.94992529","0.94992529"
2059,"1.2835464984","81.16807402","87.9885367","103.89683240468","0.94992529","10699.3681223407","9120.87326478872","7403.69932102406","3456.19509304265","0.94992529","0.94992529","0.94992529","0.94992529"
2060,"1.271884059","81.43276738","88.24727937","103.899880901873","0.94992529","10218.9517087245","8774.21379162804","7252.87766261113","3319.59780125834","0.94992529","0.94992529","0.94992529","0.94992529"
2061,"1.26030077109","81.6970772","88.50488067","103.902845382475","0.9436521","10218.9517087245","8774.21379162804","7252.87766261113","3319.59780125834","0.9436521","0.9436521","0.9436521","0.9436521"
2062,"1.24878704657","81.96104863","88.76138772","103.90572621236","0.9436521","10218.9517087245","8774.21379162804","7252.87766261113","3319.59780125834","0.9436521","0.9436521","0.9436521","0.9436521"
2063,"1.23732941178","82.22471809","89.01684503","103.908526813971","0.9436521","10218.9517087245","8774.21379162804","7252.87766261113","3319.59780125834","0.9436521","0.9436521","0.9436521","0.9436521"
