"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","MICH","Total","f",0,0.000360877654455636
"AGS","MICH","Total","f",1,0.000360877654455636
"AGS","MICH","Total","f",2,0.000360877654455636
"AGS","MICH","Total","f",3,0.000360877654455636
"AGS","MICH","Total","f",4,0.000360877654455636
"AGS","MICH","Total","f",5,0.000328612251958699
"AGS","MICH","Total","f",6,0.000328612251958699
"AGS","MICH","Total","f",7,0.000328612251958699
"AGS","MICH","Total","f",8,0.000328612251958699
"AGS","MICH","Total","f",9,0.000328612251958699
"AGS","MICH","Total","f",10,0.000356736600337989
"AGS","MICH","Total","f",11,0.000356736600337989
"AGS","MICH","Total","f",12,0.000356736600337989
"AGS","MICH","Total","f",13,0.000356736600337989
"AGS","MICH","Total","f",14,0.000356736600337989
"AGS","MICH","Total","f",15,0.000408761068057249
"AGS","MICH","Total","f",16,0.000408761068057249
"AGS","MICH","Total","f",17,0.000408761068057249
"AGS","MICH","Total","f",18,0.000408761068057249
"AGS","MICH","Total","f",19,0.000408761068057249
"AGS","MICH","Total","f",20,0.000532605877492681
"AGS","MICH","Total","f",21,0.000532605877492681
"AGS","MICH","Total","f",22,0.000532605877492681
"AGS","MICH","Total","f",23,0.000532605877492681
"AGS","MICH","Total","f",24,0.000532605877492681
"AGS","MICH","Total","f",25,0.000591477842931436
"AGS","MICH","Total","f",26,0.000591477842931436
"AGS","MICH","Total","f",27,0.000591477842931436
"AGS","MICH","Total","f",28,0.000591477842931436
"AGS","MICH","Total","f",29,0.000591477842931436
"AGS","MICH","Total","f",30,0.000560549316422227
"AGS","MICH","Total","f",31,0.000560549316422227
"AGS","MICH","Total","f",32,0.000560549316422227
"AGS","MICH","Total","f",33,0.000560549316422227
"AGS","MICH","Total","f",34,0.000560549316422227
"AGS","MICH","Total","f",35,0.000469014168112626
"AGS","MICH","Total","f",36,0.000469014168112626
"AGS","MICH","Total","f",37,0.000469014168112626
"AGS","MICH","Total","f",38,0.000469014168112626
"AGS","MICH","Total","f",39,0.000469014168112626
"AGS","MICH","Total","f",40,0.00034794987535926
"AGS","MICH","Total","f",41,0.00034794987535926
"AGS","MICH","Total","f",42,0.00034794987535926
"AGS","MICH","Total","f",43,0.00034794987535926
"AGS","MICH","Total","f",44,0.00034794987535926
"AGS","MICH","Total","f",45,0.00028963111613342
"AGS","MICH","Total","f",46,0.00028963111613342
"AGS","MICH","Total","f",47,0.00028963111613342
"AGS","MICH","Total","f",48,0.00028963111613342
"AGS","MICH","Total","f",49,0.00028963111613342
"AGS","MICH","Total","f",50,0.000351443438208211
"AGS","MICH","Total","f",51,0.000351443438208211
"AGS","MICH","Total","f",52,0.000351443438208211
"AGS","MICH","Total","f",53,0.000351443438208211
"AGS","MICH","Total","f",54,0.000351443438208211
"AGS","MICH","Total","f",55,0.000330827728298734
"AGS","MICH","Total","f",56,0.000330827728298734
"AGS","MICH","Total","f",57,0.000330827728298734
"AGS","MICH","Total","f",58,0.000330827728298734
"AGS","MICH","Total","f",59,0.000330827728298734
"AGS","MICH","Total","f",60,0.000470873608113615
"AGS","MICH","Total","f",61,0.000470873608113615
"AGS","MICH","Total","f",62,0.000470873608113615
"AGS","MICH","Total","f",63,0.000470873608113615
"AGS","MICH","Total","f",64,0.000470873608113615
"AGS","MICH","Total","f",65,0.000737999549816925
"AGS","MICH","Total","f",66,0.000737999549816925
"AGS","MICH","Total","f",67,0.000737999549816925
"AGS","MICH","Total","f",68,0.000737999549816925
"AGS","MICH","Total","f",69,0.000737999549816925
"AGS","MICH","Total","f",70,0.000749584390921683
"AGS","MICH","Total","f",71,0.000749584390921683
"AGS","MICH","Total","f",72,0.000749584390921683
"AGS","MICH","Total","f",73,0.000749584390921683
"AGS","MICH","Total","f",74,0.000749584390921683
"AGS","MICH","Total","f",75,0.000591460082589384
"AGS","MICH","Total","f",76,0.000591460082589384
"AGS","MICH","Total","f",77,0.000591460082589384
"AGS","MICH","Total","f",78,0.000591460082589384
"AGS","MICH","Total","f",79,0.000591460082589384
"AGS","MICH","Total","f",80,0.00016861334826724
