"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"MICH","AGS","Total","f",0,0.000398063671885724
"MICH","AGS","Total","f",1,0.000398063671885724
"MICH","AGS","Total","f",2,0.000398063671885724
"MICH","AGS","Total","f",3,0.000398063671885724
"MICH","AGS","Total","f",4,0.000398063671885724
"MICH","AGS","Total","f",5,0.000374051642662619
"MICH","AGS","Total","f",6,0.000374051642662619
"MICH","AGS","Total","f",7,0.000374051642662619
"MICH","AGS","Total","f",8,0.000374051642662619
"MICH","AGS","Total","f",9,0.000374051642662619
"MICH","AGS","Total","f",10,0.000347289726383239
"MICH","AGS","Total","f",11,0.000347289726383239
"MICH","AGS","Total","f",12,0.000347289726383239
"MICH","AGS","Total","f",13,0.000347289726383239
"MICH","AGS","Total","f",14,0.000347289726383239
"MICH","AGS","Total","f",15,0.000382132838991448
"MICH","AGS","Total","f",16,0.000382132838991448
"MICH","AGS","Total","f",17,0.000382132838991448
"MICH","AGS","Total","f",18,0.000382132838991448
"MICH","AGS","Total","f",19,0.000382132838991448
"MICH","AGS","Total","f",20,0.000484342530086733
"MICH","AGS","Total","f",21,0.000484342530086733
"MICH","AGS","Total","f",22,0.000484342530086733
"MICH","AGS","Total","f",23,0.000484342530086733
"MICH","AGS","Total","f",24,0.000484342530086733
"MICH","AGS","Total","f",25,0.000491040465000839
"MICH","AGS","Total","f",26,0.000491040465000839
"MICH","AGS","Total","f",27,0.000491040465000839
"MICH","AGS","Total","f",28,0.000491040465000839
"MICH","AGS","Total","f",29,0.000491040465000839
"MICH","AGS","Total","f",30,0.000452101294079773
"MICH","AGS","Total","f",31,0.000452101294079773
"MICH","AGS","Total","f",32,0.000452101294079773
"MICH","AGS","Total","f",33,0.000452101294079773
"MICH","AGS","Total","f",34,0.000452101294079773
"MICH","AGS","Total","f",35,0.00041767770212483
"MICH","AGS","Total","f",36,0.00041767770212483
"MICH","AGS","Total","f",37,0.00041767770212483
"MICH","AGS","Total","f",38,0.00041767770212483
"MICH","AGS","Total","f",39,0.00041767770212483
"MICH","AGS","Total","f",40,0.0003453168776358
"MICH","AGS","Total","f",41,0.0003453168776358
"MICH","AGS","Total","f",42,0.0003453168776358
"MICH","AGS","Total","f",43,0.0003453168776358
"MICH","AGS","Total","f",44,0.0003453168776358
"MICH","AGS","Total","f",45,0.000260840526870422
"MICH","AGS","Total","f",46,0.000260840526870422
"MICH","AGS","Total","f",47,0.000260840526870422
"MICH","AGS","Total","f",48,0.000260840526870422
"MICH","AGS","Total","f",49,0.000260840526870422
"MICH","AGS","Total","f",50,0.000142108078561319
"MICH","AGS","Total","f",51,0.000142108078561319
"MICH","AGS","Total","f",52,0.000142108078561319
"MICH","AGS","Total","f",53,0.000142108078561319
"MICH","AGS","Total","f",54,0.000142108078561319
"MICH","AGS","Total","f",55,0.000137166783988144
"MICH","AGS","Total","f",56,0.000137166783988144
"MICH","AGS","Total","f",57,0.000137166783988144
"MICH","AGS","Total","f",58,0.000137166783988144
"MICH","AGS","Total","f",59,0.000137166783988144
"MICH","AGS","Total","f",60,0.000150940674788499
"MICH","AGS","Total","f",61,0.000150940674788499
"MICH","AGS","Total","f",62,0.000150940674788499
"MICH","AGS","Total","f",63,0.000150940674788499
"MICH","AGS","Total","f",64,0.000150940674788499
"MICH","AGS","Total","f",65,0.0001611586699946
"MICH","AGS","Total","f",66,0.0001611586699946
"MICH","AGS","Total","f",67,0.0001611586699946
"MICH","AGS","Total","f",68,0.0001611586699946
"MICH","AGS","Total","f",69,0.0001611586699946
"MICH","AGS","Total","f",70,0.000147889335604188
"MICH","AGS","Total","f",71,0.000147889335604188
