"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99475.413981858
"Total","Female","2",98886.2791640797
"Total","Female","3",98831.7600696427
"Total","Female","4",98797.6523173151
"Total","Female","5",98772.8472006134
"Total","Female","6",98750.4243068108
"Total","Female","7",98730.2983131116
"Total","Female","8",98712.4556224728
"Total","Female","9",98694.6967926406
"Total","Female","10",98674.830932509
"Total","Female","11",98652.8082500708
"Total","Female","12",98628.5087126759
"Total","Female","13",98599.5622156331
"Total","Female","14",98565.8348988198
"Total","Female","15",98527.2541637939
"Total","Female","16",98481.5052007944
"Total","Female","17",98428.6612981822
"Total","Female","18",98368.8877382777
"Total","Female","19",98302.388962227
"Total","Female","20",98226.8113785412
"Total","Female","21",98143.9428650047
"Total","Female","22",98053.1582920713
"Total","Female","23",97956.5785635401
"Total","Female","24",97852.3089327873
"Total","Female","25",97740.9205675079
"Total","Female","26",97620.318451765
"Total","Female","27",97490.2888448278
"Total","Female","28",97350.3614114086
"Total","Female","29",97202.1036332281
"Total","Female","30",97044.2902741802
"Total","Female","31",96875.8708025187
"Total","Female","32",96701.4267328037
"Total","Female","33",96518.5264757868
"Total","Female","34",96329.7064044289
"Total","Female","35",96137.5274390335
"Total","Female","36",95939.0001338172
"Total","Female","37",95730.6213090091
"Total","Female","38",95511.762983248
"Total","Female","39",95282.0800380043
"Total","Female","40",95038.6727492066
"Total","Female","41",94784.9140552799
"Total","Female","42",94515.2905604239
"Total","Female","43",94227.4785723386
"Total","Female","44",93919.296396265
"Total","Female","45",93584.8693770334
"Total","Female","46",93219.819782315
"Total","Female","47",92824.6855219401
"Total","Female","48",92393.5082522494
"Total","Female","49",91930.2667969862
"Total","Female","50",91429.6530842055
"Total","Female","51",90893.3276077148
"Total","Female","52",90323.796161497
"Total","Female","53",89713.1462344526
"Total","Female","54",89053.0976031216
"Total","Female","55",88339.5912969483
"Total","Female","56",87564.1632367888
"Total","Female","57",86722.7245296464
"Total","Female","58",85809.9586366307
"Total","Female","59",84817.8415937521
"Total","Female","60",83742.0520668134
"Total","Female","61",82571.9776761948
"Total","Female","62",81300.1737964584
"Total","Female","63",79925.8033877233
"Total","Female","64",78451.2615390896
"Total","Female","65",76869.8939269447
"Total","Female","66",75182.0822424009
"Total","Female","67",73390.3164144078
"Total","Female","68",71508.2392340295
"Total","Female","69",69526.8817775392
"Total","Female","70",67456.349740877
"Total","Female","71",65306.6891372799
"Total","Female","72",63060.2106410689
"Total","Female","73",60712.4564825996
