"Race","Sex","Age","Population"
"Total","Male",0,46884
"Total","Male",1,45318
"Total","Male",2,44996
"Total","Male",3,44882
"Total","Male",4,45195
"Total","Male",5,45389
"Total","Male",6,45485
"Total","Male",7,45617
"Total","Male",8,45836
"Total","Male",9,46102
"Total","Male",10,46209
"Total","Male",11,46028
"Total","Male",12,45555
"Total","Male",13,44912
"Total","Male",14,44261
"Total","Male",15,43704
"Total","Male",16,43331
"Total","Male",17,43161
"Total","Male",18,43135
"Total","Male",19,43043
"Total","Male",20,42654
"Total","Male",21,41974
"Total","Male",22,41262
"Total","Male",23,40808
"Total","Male",24,40589
"Total","Male",25,40436
"Total","Male",26,40179
"Total","Male",27,39758
"Total","Male",28,39126
"Total","Male",29,38206
"Total","Male",30,37087
"Total","Male",31,35964
"Total","Male",32,34914
"Total","Male",33,33873
"Total","Male",34,32802
"Total","Male",35,31657
"Total","Male",36,30415
"Total","Male",37,29182
"Total","Male",38,28063
"Total","Male",39,27141
"Total","Male",40,26464
"Total","Male",41,26009
"Total","Male",42,25758
"Total","Male",43,25679
"Total","Male",44,25683
"Total","Male",45,25611
"Total","Male",46,25378
"Total","Male",47,24987
"Total","Male",48,24478
"Total","Male",49,23904
"Total","Male",50,23304
"Total","Male",51,22709
"Total","Male",52,22111
"Total","Male",53,21517
"Total","Male",54,20959
"Total","Male",55,20432
"Total","Male",56,19857
"Total","Male",57,19221
"Total","Male",58,18566
"Total","Male",59,17910
"Total","Male",60,17233
"Total","Male",61,16526
"Total","Male",62,15812
"Total","Male",63,15131
"Total","Male",64,14480
"Total","Male",65,13789
"Total","Male",66,12994
"Total","Male",67,12215
"Total","Male",68,11536
"Total","Male",69,10929
"Total","Male",70,10449
"Total","Male",71,10034
"Total","Male",72,9577
"Total","Male",73,9081
"Total","Male",74,8579
"Total","Male",75,8076
"Total","Male",76,7544
"Total","Male",77,7006
"Total","Male",78,6507
"Total","Male",79,6007
"Total","Male",80,5496
"Total","Male",81,5011
"Total","Male",82,4562
"Total","Male",83,4135
"Total","Male",84,3721
"Total","Male",85,3331
"Total","Male",86,2980
"Total","Male",87,2658
"Total","Male",88,2347
"Total","Male",89,2042
"Total","Male",90,1754
"Total","Male",91,1492
"Total","Male",92,1259
"Total","Male",93,1040
"Total","Male",94,845
"Total","Male",95,680
"Total","Male",96,543
"Total","Male",97,425
"Total","Male",98,320
"Total","Male",99,234
"Total","Male",100,554
"Total","Female",0,45164
"Total","Female",1,43771
"Total","Female",2,43519
"Total","Female",3,43457
"Total","Female",4,43807
"Total","Female",5,44045
"Total","Female",6,44155
"Total","Female",7,44263
"Total","Female",8,44464
"Total","Female",9,44708
"Total","Female",10,44801
"Total","Female",11,44653
"Total","Female",12,44288
"Total","Female",13,43844
"Total","Female",14,43423
"Total","Female",15,43063
"Total","Female",16,42852
"Total","Female",17,42801
"Total","Female",18,42884
"Total","Female",19,42906
"Total","Female",20,42654
"Total","Female",21,42142
"Total","Female",22,41605
"Total","Female",23,41314
"Total","Female",24,41265
"Total","Female",25,41307
"Total","Female",26,41264
"Total","Female",27,41077
"Total","Female",28,40680
"Total","Female",29,40003
"Total","Female",30,39148
"Total","Female",31,38284
"Total","Female",32,37503
"Total","Female",33,36768
"Total","Female",34,36054
"Total","Female",35,35314
"Total","Female",36,34493
"Total","Female",37,33642
"Total","Female",38,32812
"Total","Female",39,32058
"Total","Female",40,31418
"Total","Female",41,30892
"Total","Female",42,30494
"Total","Female",43,30220
"Total","Female",44,29996
"Total","Female",45,29680
"Total","Female",46,29192
"Total","Female",47,28566
"Total","Female",48,27853
"Total","Female",49,27104
"Total","Female",50,26346
"Total","Female",51,25614
"Total","Female",52,24913
"Total","Female",53,24240
"Total","Female",54,23619
"Total","Female",55,23025
"Total","Female",56,22370
"Total","Female",57,21643
"Total","Female",58,20896
"Total","Female",59,20134
"Total","Female",60,19331
"Total","Female",61,18490
"Total","Female",62,17655
"Total","Female",63,16863
"Total","Female",64,16108
"Total","Female",65,15315
"Total","Female",66,14428
"Total","Female",67,13550
"Total","Female",68,12777
"Total","Female",69,12107
"Total","Female",70,11580
"Total","Female",71,11114
"Total","Female",72,10623
"Total","Female",73,10113
"Total","Female",74,9593
"Total","Female",75,9065
"Total","Female",76,8506
"Total","Female",77,7935
"Total","Female",78,7396
"Total","Female",79,6867
"Total","Female",80,6327
"Total","Female",81,5796
"Total","Female",82,5286
"Total","Female",83,4799
"Total","Female",84,4334
"Total","Female",85,3889
"Total","Female",86,3464
"Total","Female",87,3059
"Total","Female",88,2678
"Total","Female",89,2317
"Total","Female",90,1979
"Total","Female",91,1661
"Total","Female",92,1379
"Total","Female",93,1127
"Total","Female",94,907
"Total","Female",95,721
"Total","Female",96,562
"Total","Female",97,429
"Total","Female",98,322
"Total","Female",99,237
"Total","Female",100,504
