"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.783158774","63.88235656","73.58050991","103.805282097918","1","2869.47258163692","3261.9403151132","1421.87912753192","650.104480504129","1","1","1","1"
2021,"1.74594433068","61.5692257","71.38630974","103.808309498569","1.01924488","2869.47258163692","3261.9403151132","1421.87912753192","650.104480504129","1.01924488","1.01924488","1.01924488","1.01924488"
2022,"1.70167012134","70.88264257","77.27566469","103.811679206476","1.01924488","2869.47258163692","3261.9403151132","1421.87912753192","650.104480504129","1.01924488","1.01924488","1.01924488","1.01924488"
2023,"1.65371251317","71.0481463","77.46268933","103.815378788444","1.01924488","2869.47258163692","3261.9403151132","1421.87912753192","650.104480504129","1.01924488","1.01924488","1.01924488","1.01924488"
2024,"1.6073070144","71.24996765","77.6901372","103.819387682918","1.01924488","2869.47258163692","3261.9403151132","1421.87912753192","650.104480504129","1.01924488","1.01924488","1.01924488","1.01924488"
2025,"1.5655714012","71.43167418","77.8943121","103.823684988838","1.01924488","2961.41379579558","3307.52655042057","1412.11218737693","607.127927414287","1.01924488","1.01924488","1.01924488","1.01924488"
2026,"1.52823294902","71.63106335","78.11768089","103.828250110717","1.03713729","2961.41379579558","3307.52655042057","1412.11218737693","607.127927414287","1.03713729","1.03713729","1.03713729","1.03713729"
2027,"1.49286173682","71.81796315","78.32638681","103.833062306933","1.03713729","2961.41379579558","3307.52655042057","1412.11218737693","607.127927414287","1.03713729","1.03713729","1.03713729","1.03713729"
2028,"1.45840421516","72.0134297","78.5439424","103.838100901564","1.03713729","2961.41379579558","3307.52655042057","1412.11218737693","607.127927414287","1.03713729","1.03713729","1.03713729","1.03713729"
2029,"1.42451664355","72.20120123","78.75221902","103.843346782772","1.03713729","2961.41379579558","3307.52655042057","1412.11218737693","607.127927414287","1.03713729","1.03713729","1.03713729","1.03713729"
2030,"1.3917658149","72.3929387","78.96415349","103.848784153802","1.03713729","3015.1054821097","3393.02337057325","1405.186329069","617.527540383517","1.03713729","1.03713729","1.03713729","1.03713729"
2031,"1.36029039308","72.57982895","79.16999124","103.854403376802","1.05387395","3015.1054821097","3393.02337057325","1405.186329069","617.527540383517","1.05387395","1.05387395","1.05387395","1.05387395"
2032,"1.3300261568","72.76831665","79.37682207","103.860204904035","1.05387395","3015.1054821097","3393.02337057325","1405.186329069","617.527540383517","1.05387395","1.05387395","1.05387395","1.05387395"
2033,"1.30111154805","72.95360747","79.57938431","103.8662057189","1.05387395","3015.1054821097","3393.02337057325","1405.186329069","617.527540383517","1.05387395","1.05387395","1.05387395","1.05387395"
2034,"1.27328068582","73.13925801","79.78156379","103.872448605908","1.05387395","3015.1054821097","3393.02337057325","1405.186329069","617.527540383517","1.05387395","1.05387395","1.05387395","1.05387395"
2035,"1.2467087853","73.32266383","79.98050752","103.879016901213","1.05387395","3025.74979191999","3440.22776948336","1400.39812728728","640.075617034666","1.05387395","1.05387395","1.05387395","1.05387395"
2036,"1.22122143696","73.50578116","80.17835196","103.886061498786","1.06961038","3025.74979191999","3440.22776948336","1400.39812728728","640.075617034666","1.06961038","1.06961038","1.06961038","1.06961038"
2037,"1.19692169805","73.687194","80.37355604","103.893823308994","1.06961038","3025.74979191999","3440.22776948336","1400.39812728728","640.075617034666","1.06961038","1.06961038","1.06961038","1.06961038"
2038,"1.1733950187","73.86798923","80.56730437","103.902453404674","1.06961038","3025.74979191999","3440.22776948336","1400.39812728728","640.075617034666","1.06961038","1.06961038","1.06961038","1.06961038"
2039,"1.15076046249","74.04739635","80.75875698","103.909979307394","1.06961038","3025.74979191999","3440.22776948336","1400.39812728728","640.075617034666","1.06961038","1.06961038","1.06961038","1.06961038"
2040,"1.1288118688","74.22602556","80.94856868","103.916918988646","1.06961038","3021.74329538874","3460.47397338224","1397.31565053878","634.308758440329","1.06961038","1.06961038","1.06961038","1.06961038"
2041,"1.10742444505","74.40345365","81.13629766","103.923316681568","1.08447177","3021.74329538874","3460.47397338224","1397.31565053878","634.308758440329","1.08447177","1.08447177","1.08447177","1.08447177"
2042,"1.08673409052","74.58003039","81.32231286","103.929311605395","1.08447177","3021.74329538874","3460.47397338224","1397.31565053878","634.308758440329","1.08447177","1.08447177","1.08447177","1.08447177"
2043,"1.06656960795","74.75552845","81.5063803","103.934938864755","1.08447177","3021.74329538874","3460.47397338224","1397.31565053878","634.308758440329","1.08447177","1.08447177","1.08447177","1.08447177"
2044,"1.04682233636","74.9301511","81.68871895","103.940214516259","1.08447177","3021.74329538874","3460.47397338224","1397.31565053878","634.308758440329","1.08447177","1.08447177","1.08447177","1.08447177"
2045,"1.027799169","75.10377918","81.86920773","103.945187820825","1.08447177","2986.28409231889","3459.55815624526","1393.94149887155","635.930070130275","1.08447177","1.08447177","1.08447177","1.08447177"
2046,"1.015881346635","75.27653778","82.04798325","103.949941653379","1.08447177","2986.28409231889","3459.55815624526","1393.94149887155","635.930070130275","1.08447177","1.08447177","1.08447177","1.08447177"
2047,"1.00465343794","75.44837797","82.2249916","103.954521210419","1.08447177","2986.28409231889","3459.55815624526","1393.94149887155","635.930070130275","1.08447177","1.08447177","1.08447177","1.08447177"
2048,"0.993663748245","75.61937068","82.40032918","103.958935829328","1.08447177","2986.28409231889","3459.55815624526","1393.94149887155","635.930070130275","1.08447177","1.08447177","1.08447177","1.08447177"
2049,"0.98309126718","75.78950659","82.5739789","103.963183382045","1.08447177","2986.28409231889","3459.55815624526","1393.94149887155","635.930070130275","1.08447177","1.08447177","1.08447177","1.08447177"
2050,"0.972851364475","75.95884234","82.74601054","103.967235820858","1.08447177","2942.71429361516","3441.07631720128","1391.13346793461","629.921939396152","1.08447177","1.08447177","1.08447177","1.08447177"
2051,"0.96292364472","76.12738561","82.91643612","103.971029078935","1.08447177","2942.71429361516","3441.07631720128","1391.13346793461","629.921939396152","1.08447177","1.08447177","1.08447177","1.08447177"
2052,"0.953352374975","76.29518441","83.0853199","103.974540563208","1.08447177","2942.71429361516","3441.07631720128","1391.13346793461","629.921939396152","1.08447177","1.08447177","1.08447177","1.08447177"
2053,"0.94405140841","76.46226647","83.252687","103.977304438037","1.08447177","2942.71429361516","3441.07631720128","1391.13346793461","629.921939396152","1.08447177","1.08447177","1.08447177","1.08447177"
2054,"0.934923427305","76.62866998","83.41858893","103.980231600189","1.08447177","2942.71429361516","3441.07631720128","1391.13346793461","629.921939396152","1.08447177","1.08447177","1.08447177","1.08447177"
2055,"0.9259950504","76.79443313","83.58306717","103.983439938627","1.08447177","2892.78174601099","3410.25667961703","1390.46579466774","620.565020199749","1.08447177","1.08447177","1.08447177","1.08447177"
2056,"0.91720189998","76.95959957","83.74617323","103.986876937323","1.08447177","2892.78174601099","3410.25667961703","1390.46579466774","620.565020199749","1.08447177","1.08447177","1.08447177","1.08447177"
2057,"0.90869890998","77.12420862","83.90795625","103.990480669721","1.08447177","2892.78174601099","3410.25667961703","1390.46579466774","620.565020199749","1.08447177","1.08447177","1.08447177","1.08447177"
2058,"0.90023882995","77.2883044","84.06846114","103.994202851925","1.08447177","2892.78174601099","3410.25667961703","1390.46579466774","620.565020199749","1.08447177","1.08447177","1.08447177","1.08447177"
2059,"0.8919031028","77.45192841","84.2277345","103.998009124292","1.08447177","2892.78174601099","3410.25667961703","1390.46579466774","620.565020199749","1.08447177","1.08447177","1.08447177","1.08447177"
2060,"0.88377460695","77.61512694","84.3858322","104.001876848011","1.08447177","2837.65382481894","3369.41408837298","1397.81184555689","611.647687828029","1.08447177","1.08447177","1.08447177","1.08447177"
2061,"0.87567295185","77.77793853","84.54279648","104.005792530957","1.08447177","2837.65382481894","3369.41408837298","1397.81184555689","611.647687828029","1.08447177","1.08447177","1.08447177","1.08447177"
2062,"0.867685895965","77.94040562","84.69866859","104.009750432807","1.08447177","2837.65382481894","3369.41408837298","1397.81184555689","611.647687828029","1.08447177","1.08447177","1.08447177","1.08447177"
2063,"0.85970969766","78.10256755","84.8535023","104.013750698827","1.08447177","2837.65382481894","3369.41408837298","1397.81184555689","611.647687828029","1.08447177","1.08447177","1.08447177","1.08447177"
2064,"0.85197384403","78.26446329","85.00732667","104.017798066747","1.08447177","2837.65382481894","3369.41408837298","1397.81184555689","611.647687828029","1.08447177","1.08447177","1.08447177","1.08447177"
