"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99542.4324753951
"Total","Female","2",99047.2649240459
"Total","Female","3",98999.8657885498
"Total","Female","4",98966.6209294919
"Total","Female","5",98940.7456119079
"Total","Female","6",98921.864390774
"Total","Female","7",98903.2613133145
"Total","Female","8",98884.8212534071
"Total","Female","9",98866.6053887569
"Total","Female","10",98848.6312763328
"Total","Female","11",98824.932251812
"Total","Female","12",98801.3926978903
"Total","Female","13",98772.0512692389
"Total","Female","14",98736.8864732017
"Total","Female","15",98695.9471451808
"Total","Female","16",98649.340240207
"Total","Female","17",98597.253527458
"Total","Female","18",98539.9428709087
"Total","Female","19",98471.9842896184
"Total","Female","20",98399.0566230126
"Total","Female","21",98315.043426135
"Total","Female","22",98224.9391361351
"Total","Female","23",98128.4927812493
"Total","Female","24",98026.0859590054
"Total","Female","25",97918.1746270885
"Total","Female","26",97799.2559868798
"Total","Female","27",97674.7070067517
"Total","Female","28",97538.3453658837
"Total","Female","29",97395.0625481179
"Total","Female","30",97243.7376033199
"Total","Female","31",97083.5288645525
"Total","Female","32",96914.1302973307
"Total","Female","33",96741.8603856798
"Total","Female","34",96560.713399324
"Total","Female","35",96377.0475948062
"Total","Female","36",96184.3834095697
"Total","Female","37",95982.1577738617
"Total","Female","38",95770.0425080632
"Total","Female","39",95547.9709483002
"Total","Female","40",95309.3651915887
"Total","Female","41",95061.5938782657
"Total","Female","42",94791.6013675238
"Total","Female","43",94507.3063047193
"Total","Female","44",94202.9794987029
"Total","Female","45",93872.4910455574
"Total","Female","46",93514.9339451787
"Total","Female","47",93127.9660665908
"Total","Female","48",92708.9425972249
"Total","Female","49",92255.3208597461
"Total","Female","50",91765.0229450558
"Total","Female","51",91236.3295264718
"Total","Female","52",90675.1054367047
"Total","Female","53",90072.7650264041
"Total","Female","54",89420.401492845
"Total","Female","55",88717.3301793716
"Total","Female","56",87954.9124882014
"Total","Female","57",87128.5838373193
"Total","Female","58",86233.1548913851
"Total","Female","59",85264.7726302446
"Total","Female","60",84210.4941433173
"Total","Female","61",83063.9133064156
"Total","Female","62",81817.4895233182
"Total","Female","63",80474.6467878827
"Total","Female","64",79022.3390010288
"Total","Female","65",77467.4013292189
"Total","Female","66",75788.3463017636
"Total","Female","67",73997.6405254361
"Total","Female","68",72096.6166091608
"Total","Female","69",70090.9833537922
"Total","Female","70",67964.6208528104
"Total","Female","71",65737.4896397199
"Total","Female","72",63395.3136727527
"Total","Female","73",60931.6336141561
"Total","Female","74",58343.1820963615
"Total","Female","75",55665.9907522643
"Total","Female","76",52900.225373155
"Total","Female","77",50036.3931188706
"Total","Female","78",47097.498290143
"Total","Female","79",44124.9569332134
"Total","Female","80",41137.6931610819
"Total","Female","81",38131.2328271274
"Total","Female","82",35110.3728273699
"Total","Female","83",32071.0102143024
"Total","Female","84",29056.277830684
"Total","Female","85",26100.4293205008
"Total","Female","86",23244.8024801835
"Total","Female","87",20505.1097298473
"Total","Female","88",17883.8379705679
"Total","Female","89",15411.8041394156
"Total","Female","90",13113.1882480023
"Total","Female","91",10985.231461709
"Total","Female","92",9055.57976203614
"Total","Female","93",7366.66951073903
"Total","Female","94",5887.85853088807
"Total","Female","95",4618.8646876144
"Total","Female","96",3544.07732289706
"Total","Female","97",2636.03456712611
"Total","Female","98",1898.21318701447
"Total","Female","99",1318.20360209339
"Total","Female","100+",893.806344834051
"Total","Male","0",1e+05
"Total","Male","1",99316.8636136325
"Total","Male","2",98569.747440924
"Total","Male","3",98511.3280456477
"Total","Male","4",98473.1058542177
"Total","Male","5",98448.3296293204
"Total","Male","6",98424.2296710268
"Total","Male","7",98400.5101314025
"Total","Male","8",98377.024121466
"Total","Male","9",98353.8534156728
"Total","Male","10",98331.0282002131
"Total","Male","11",98302.819981905
"Total","Male","12",98269.1757562538
"Total","Male","13",98229.9521365649
"Total","Male","14",98173.7790067333
"Total","Male","15",98100.5759250798
"Total","Male","16",98004.7938390605
"Total","Male","17",97881.2701802544
"Total","Male","18",97725.2219216968
"Total","Male","19",97532.1163314493
"Total","Male","20",97302.203950806
"Total","Male","21",97028.4217224695
"Total","Male","22",96713.9049583772
"Total","Male","23",96362.9371859987
"Total","Male","24",95976.8027067261
"Total","Male","25",95546.0497088292
"Total","Male","26",95065.8346264285
"Total","Male","27",94540.4546243775
"Total","Male","28",93973.0152592275
"Total","Male","29",93371.0245891678
"Total","Male","30",92740.5105923138
"Total","Male","31",92089.035008614
"Total","Male","32",91421.195224137
"Total","Male","33",90743.701918944
"Total","Male","34",90056.3942671279
"Total","Male","35",89358.2573943452
"Total","Male","36",88640.9511532113
"Total","Male","37",87914.8111203588
"Total","Male","38",87186.6494691792
"Total","Male","39",86451.9511505714
"Total","Male","40",85723.5394883256
"Total","Male","41",84985.7564857642
"Total","Male","42",84245.1232366632
"Total","Male","43",83493.0363796877
"Total","Male","44",82735.338668708
"Total","Male","45",81953.145848615
"Total","Male","46",81138.704647635
"Total","Male","47",80288.5566145662
"Total","Male","48",79412.8902542071
"Total","Male","49",78507.8591243201
"Total","Male","50",77570.6670502924
"Total","Male","51",76606.6060571897
"Total","Male","52",75607.1198394063
"Total","Male","53",74571.1542500417
"Total","Male","54",73497.6553802222
"Total","Male","55",72379.6502786064
"Total","Male","56",71210.059907417
"Total","Male","57",69984.3873930735
"Total","Male","58",68697.4590784898
"Total","Male","59",67338.4973039196
"Total","Male","60",65912.2182082541
"Total","Male","61",64406.3855404753
"Total","Male","62",62822.956470034
"Total","Male","63",61158.5517417247
"Total","Male","64",59413.3430343144
"Total","Male","65",57570.6683373081
"Total","Male","66",55640.5331598915
"Total","Male","67",53639.529051436
"Total","Male","68",51590.2013791449
"Total","Male","69",49476.3538995769
"Total","Male","70",47320.6053538649
"Total","Male","71",45117.3997135379
"Total","Male","72",42850.6784024355
"Total","Male","73",40537.0309746325
"Total","Male","74",38192.5115109087
"Total","Male","75",35834.4718326036
"Total","Male","76",33461.9693061915
"Total","Male","77",31077.7370886499
"Total","Male","78",28699.5635372274
"Total","Male","79",26347.9434454095
"Total","Male","80",24038.0940200319
"Total","Male","81",21778.5620897664
"Total","Male","82",19584.6169497631
"Total","Male","83",17474.1639121712
