"Race","Sex","Age","Population"
"Total","Male",0,15134
"Total","Male",1,14965
"Total","Male",2,15181
"Total","Male",3,15461
"Total","Male",4,15896
"Total","Male",5,16338
"Total","Male",6,16596
"Total","Male",7,16757
"Total","Male",8,16981
"Total","Male",9,17234
"Total","Male",10,17427
"Total","Male",11,17528
"Total","Male",12,17534
"Total","Male",13,17482
"Total","Male",14,17428
"Total","Male",15,17403
"Total","Male",16,17444
"Total","Male",17,17549
"Total","Male",18,17695
"Total","Male",19,17796
"Total","Male",20,17745
"Total","Male",21,17556
"Total","Male",22,17329
"Total","Male",23,17185
"Total","Male",24,17118
"Total","Male",25,17068
"Total","Male",26,16962
"Total","Male",27,16777
"Total","Male",28,16494
"Total","Male",29,16087
"Total","Male",30,15604
"Total","Male",31,15113
"Total","Male",32,14654
"Total","Male",33,14205
"Total","Male",34,13749
"Total","Male",35,13276
"Total","Male",36,12765
"Total","Male",37,12264
"Total","Male",38,11817
"Total","Male",39,11464
"Total","Male",40,11222
"Total","Male",41,11082
"Total","Male",42,11040
"Total","Male",43,11079
"Total","Male",44,11159
"Total","Male",45,11214
"Total","Male",46,11203
"Total","Male",47,11125
"Total","Male",48,10993
"Total","Male",49,10825
"Total","Male",50,10635
"Total","Male",51,10432
"Total","Male",52,10220
"Total","Male",53,10000
"Total","Male",54,9786
"Total","Male",55,9576
"Total","Male",56,9331
"Total","Male",57,9052
"Total","Male",58,8759
"Total","Male",59,8455
"Total","Male",60,8135
"Total","Male",61,7794
"Total","Male",62,7449
"Total","Male",63,7116
"Total","Male",64,6793
"Total","Male",65,6452
"Total","Male",66,6062
"Total","Male",67,5674
"Total","Male",68,5331
"Total","Male",69,5029
"Total","Male",70,4783
"Total","Male",71,4560
"Total","Male",72,4325
"Total","Male",73,4080
"Total","Male",74,3830
"Total","Male",75,3578
"Total","Male",76,3316
"Total","Male",77,3054
"Total","Male",78,2809
"Total","Male",79,2574
"Total","Male",80,2342
"Total","Male",81,2121
"Total","Male",82,1914
"Total","Male",83,1721
"Total","Male",84,1541
"Total","Male",85,1375
"Total","Male",86,1219
"Total","Male",87,1073
"Total","Male",88,935
"Total","Male",89,806
"Total","Male",90,683
"Total","Male",91,568
"Total","Male",92,467
"Total","Male",93,378
"Total","Male",94,300
"Total","Male",95,234
"Total","Male",96,179
"Total","Male",97,134
"Total","Male",98,97
"Total","Male",99,69
"Total","Male",100,132
"Total","Female",0,14585
"Total","Female",1,14438
"Total","Female",2,14624
"Total","Female",3,14887
"Total","Female",4,15297
"Total","Female",5,15719
"Total","Female",6,15951
"Total","Female",7,16089
"Total","Female",8,16284
"Total","Female",9,16500
"Total","Female",10,16682
"Total","Female",11,16791
"Total","Female",12,16834
"Total","Female",13,16850
"Total","Female",14,16879
"Total","Female",15,16937
"Total","Female",16,17041
"Total","Female",17,17199
"Total","Female",18,17394
"Total","Female",19,17547
"Total","Female",20,17561
"Total","Female",21,17450
"Total","Female",22,17305
"Total","Female",23,17239
"Total","Female",24,17250
"Total","Female",25,17281
"Total","Female",26,17264
"Total","Female",27,17179
"Total","Female",28,17006
"Total","Female",29,16721
"Total","Female",30,16375
"Total","Female",31,16033
"Total","Female",32,15738
"Total","Female",33,15473
"Total","Female",34,15232
"Total","Female",35,14992
"Total","Female",36,14729
"Total","Female",37,14464
"Total","Female",38,14215
"Total","Female",39,13998
"Total","Female",40,13830
"Total","Female",41,13712
"Total","Female",42,13650
"Total","Female",43,13642
"Total","Female",44,13658
"Total","Female",45,13626
"Total","Female",46,13505
"Total","Female",47,13305
"Total","Female",48,13048
"Total","Female",49,12761
"Total","Female",50,12461
"Total","Female",51,12155
"Total","Female",52,11853
"Total","Female",53,11556
"Total","Female",54,11275
"Total","Female",55,11007
"Total","Female",56,10700
"Total","Female",57,10358
"Total","Female",58,10006
"Total","Female",59,9645
"Total","Female",60,9264
"Total","Female",61,8863
"Total","Female",62,8460
"Total","Female",63,8072
"Total","Female",64,7699
"Total","Female",65,7302
"Total","Female",66,6859
"Total","Female",67,6417
"Total","Female",68,6026
"Total","Female",69,5681
"Total","Female",70,5403
"Total","Female",71,5155
"Total","Female",72,4895
"Total","Female",73,4631
"Total","Female",74,4365
"Total","Female",75,4102
"Total","Female",76,3828
"Total","Female",77,3553
"Total","Female",78,3299
"Total","Female",79,3054
"Total","Female",80,2808
"Total","Female",81,2570
"Total","Female",82,2343
"Total","Female",83,2129
"Total","Female",84,1922
"Total","Female",85,1728
"Total","Female",86,1541
"Total","Female",87,1362
"Total","Female",88,1192
"Total","Female",89,1030
"Total","Female",90,872
"Total","Female",91,727
"Total","Female",92,598
"Total","Female",93,484
"Total","Female",94,385
"Total","Female",95,300
"Total","Female",96,228
"Total","Female",97,169
"Total","Female",98,122
"Total","Female",99,86
"Total","Female",100,163
