"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.912559001","68.33129829","75.1118711","103.595842669794","1","3418.09468506558","2091.93136577563","2009.28898699647","1077.66396909512","1","1","1","1"
2021,"1.87731009493","67.1298952","73.6686202","103.59053713593","0.99696334","3418.09468506558","2091.93136577563","2009.28898699647","1077.66396909512","0.99696334","0.99696334","0.99696334","0.99696334"
2022,"1.84245414012","72.42735058","78.72775262","103.586102174136","0.99696334","3418.09468506558","2091.93136577563","2009.28898699647","1077.66396909512","0.99696334","0.99696334","0.99696334","0.99696334"
2023,"1.811365161955","72.68347259","79.00151951","103.58251745603","0.99696334","3418.09468506558","2091.93136577563","2009.28898699647","1077.66396909512","0.99696334","0.99696334","0.99696334","0.99696334"
2024,"1.77754325504","72.97392964","79.31284585","103.579747175438","0.99696334","3418.09468506558","2091.93136577563","2009.28898699647","1077.66396909512","0.99696334","0.99696334","0.99696334","0.99696334"
2025,"1.735603867725","73.24547232","79.60255369","103.577754146994","0.99696334","3507.63013975999","2109.14990948467","1989.3438629893","1003.32433641317","0.99696334","0.99696334","0.99696334","0.99696334"
2026,"1.68955264838","73.53377851","79.91009305","103.576501316409","0.99279534","3507.63013975999","2109.14990948467","1989.3438629893","1003.32433641317","0.99279534","0.99279534","0.99279534","0.99279534"
2027,"1.64542855994","73.81035607","80.2040126","103.57595074341","0.99279534","3507.63013975999","2109.14990948467","1989.3438629893","1003.32433641317","0.99279534","0.99279534","0.99279534","0.99279534"
2028,"1.60467907296","74.09508458","80.50616032","103.576064192066","0.99279534","3507.63013975999","2109.14990948467","1989.3438629893","1003.32433641317","0.99279534","0.99279534","0.99279534","0.99279534"
2029,"1.56447106609","74.3725934","80.79968513","103.576804829146","0.99279534","3507.63013975999","2109.14990948467","1989.3438629893","1003.32433641317","0.99279534","0.99279534","0.99279534","0.99279534"
2030,"1.5236598598","74.6538967","81.09661129","103.578140506755","0.99279534","3526.53865985024","2136.59595325639","1962.00691329442","1011.44769055375","0.99279534","0.99279534","0.99279534","0.99279534"
2031,"1.484589807225","74.93066528","81.38787497","103.580049645899","0.986265945","3526.53865985024","2136.59595325639","1962.00691329442","1011.44769055375","0.986265945","0.986265945","0.986265945","0.986265945"
2032,"1.44985919224","75.20898215","81.68006397","103.582528219247","0.986265945","3526.53865985024","2136.59595325639","1962.00691329442","1011.44769055375","0.986265945","0.986265945","0.986265945","0.986265945"
2033,"1.418875807855","75.48430612","81.9682882","103.585599670922","0.986265945","3526.53865985024","2136.59595325639","1962.00691329442","1011.44769055375","0.986265945","0.986265945","0.986265945","0.986265945"
2034,"1.3904641854","75.7600001","82.25615643","103.589332451651","0.986265945","3526.53865985024","2136.59595325639","1962.00691329442","1011.44769055375","0.986265945","0.986265945","0.986265945","0.986265945"
2035,"1.363427360625","76.0335898","82.5410221","103.593870072491","0.986265945","3479.82528857929","2130.10512168501","1930.76723311354","1035.21405758285","0.986265945","0.986265945","0.986265945","0.986265945"
2036,"1.3389106932","76.30692956","82.82487236","103.599481187891","0.97817625","3479.82528857929","2130.10512168501","1930.76723311354","1035.21405758285","0.97817625","0.97817625","0.97817625","0.97817625"
2037,"1.316962648515","76.57867377","83.10627276","103.606607541834","0.97817625","3479.82528857929","2130.10512168501","1930.76723311354","1035.21405758285","0.97817625","0.97817625","0.97817625","0.97817625"
2038,"1.29724009415","76.84984418","83.38631383","103.6155728395","0.97817625","3479.82528857929","2130.10512168501","1930.76723311354","1035.21405758285","0.97817625","0.97817625","0.97817625","0.97817625"
2039,"1.278859577025","77.11970904","83.66423113","103.623005709845","0.97817625","3479.82528857929","2130.10512168501","1930.76723311354","1035.21405758285","0.97817625","0.97817625","0.97817625","0.97817625"
2040,"1.2613703616","77.38883891","83.94062738","103.630007307044","0.97817625","3406.84929057539","2100.48872037641","1896.09265937958","1009.68573469066","0.97817625","0.97817625","0.97817625","0.97817625"
2041,"1.245107790655","77.65683612","84.2150875","103.636566078728","0.969498895","3406.84929057539","2100.48872037641","1896.09265937958","1009.68573469066","0.969498895","0.969498895","0.969498895","0.969498895"
2042,"1.2299980403","77.92402177","84.4879566","103.642788642268","0.969498895","3406.84929057539","2100.48872037641","1896.09265937958","1009.68573469066","0.969498895","0.969498895","0.969498895","0.969498895"
2043,"1.21571730141","78.19018452","84.75902261","103.648569321351","0.969498895","3406.84929057539","2100.48872037641","1896.09265937958","1009.68573469066","0.969498895","0.969498895","0.969498895","0.969498895"
2044,"1.20200312936","78.45550859","85.02848243","103.653787033396","0.969498895","3406.84929057539","2100.48872037641","1896.09265937958","1009.68573469066","0.969498895","0.969498895","0.969498895","0.969498895"
2045,"1.1890117925","78.71988208","85.29622701","103.658454091205","0.969498895","3305.51046702442","2061.6619855932","1862.70980596994","996.85156083554","0.969498895","0.969498895","0.969498895","0.969498895"
2046,"1.1799690863775","78.98342234","85.56238337","103.662645503179","0.96288359","3305.51046702442","2061.6619855932","1862.70980596994","996.85156083554","0.96288359","0.96288359","0.96288359","0.96288359"
2047,"1.17154512852","79.24607024","85.82689998","103.666439909683","0.96288359","3305.51046702442","2061.6619855932","1862.70980596994","996.85156083554","0.96288359","0.96288359","0.96288359","0.96288359"
2048,"1.163393248365","79.50790387","86.089865","103.669917617106","0.96288359","3305.51046702442","2061.6619855932","1862.70980596994","996.85156083554","0.96288359","0.96288359","0.96288359","0.96288359"
2049,"1.15586851397","79.76890714","86.3512665","103.673167592767","0.96288359","3305.51046702442","2061.6619855932","1862.70980596994","996.85156083554","0.96288359","0.96288359","0.96288359","0.96288359"
2050,"1.1487840454875","80.02912935","86.61116809","103.676340630639","0.96288359","3192.51183342253","2009.87076558266","1828.92283647795","971.479849754405","0.96288359","0.96288359","0.96288359","0.96288359"
2051,"1.14207905314","80.28858146","86.86958244","103.679617892444","0.954410485","3192.51183342253","2009.87076558266","1828.92283647795","971.479849754405","0.954410485","0.954410485","0.954410485","0.954410485"
2052,"1.135803722445","80.54730207","87.1265627","103.683091033641","0.954410485","3192.51183342253","2009.87076558266","1828.92283647795","971.479849754405","0.954410485","0.954410485","0.954410485","0.954410485"
2053,"1.129964243985","80.80531796","87.38214152","103.686012895964","0.954410485","3192.51183342253","2009.87076558266","1828.92283647795","971.479849754405","0.954410485","0.954410485","0.954410485","0.954410485"
2054,"1.12440263122","81.0626704","87.63635735","103.688984230613","0.954410485","3192.51183342253","2009.87076558266","1828.92283647795","971.479849754405","0.954410485","0.954410485","0.954410485","0.954410485"
2055,"1.1190257582","81.31938116","87.88925724","103.692053828317","0.954410485","3064.52489925205","1945.01952761818","1793.46979623235","938.947971309707","0.954410485","0.954410485","0.954410485","0.954410485"
2056,"1.1140293673275","81.57550276","88.14088609","103.695183660461","0.94992529","3064.52489925205","1945.01952761818","1793.46979623235","938.947971309707","0.94992529","0.94992529","0.94992529","0.94992529"
2057,"1.10930167556","81.83106392","88.39128421","103.698329852193","0.94992529","3064.52489925205","1945.01952761818","1793.46979623235","938.947971309707","0.94992529","0.94992529","0.94992529","0.94992529"
2058,"1.104654114745","82.08610862","88.64050376","103.701457439299","0.94992529","3064.52489925205","1945.01952761818","1793.46979623235","938.947971309707","0.94992529","0.94992529","0.94992529","0.94992529"
2059,"1.10035386552","82.34067803","88.88858265","103.704541974991","0.94992529","3064.52489925205","1945.01952761818","1793.46979623235","938.947971309707","0.94992529","0.94992529","0.94992529","0.94992529"
2060,"1.0960917770875","82.59480559","89.13557293","103.70756911373","0.94992529","2926.92349656156","1871.09464946706","1756.93480510796","901.838448683087","0.94992529","0.94992529","0.94992529","0.94992529"
2061,"1.09205724331","82.84853753","89.38150509","103.710531034562","0.9436521","2926.92349656156","1871.09464946706","1756.93480510796","901.838448683087","0.9436521","0.9436521","0.9436521","0.9436521"
2062,"1.0879734383325","83.10191078","89.62643658","103.713426164113","0.9436521","2926.92349656156","1871.09464946706","1756.93480510796","901.838448683087","0.9436521","0.9436521","0.9436521","0.9436521"
2063,"1.08410926088","83.35495932","89.87039994","103.716257785905","0.9436521","2926.92349656156","1871.09464946706","1756.93480510796","901.838448683087","0.9436521","0.9436521","0.9436521","0.9436521"
