"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","NAY","Total","f",0,0.000208507089241034
"AGS","NAY","Total","f",1,0.000208507089241034
"AGS","NAY","Total","f",2,0.000208507089241034
"AGS","NAY","Total","f",3,0.000208507089241034
"AGS","NAY","Total","f",4,0.000208507089241034
"AGS","NAY","Total","f",5,0.000210130101047607
"AGS","NAY","Total","f",6,0.000210130101047607
"AGS","NAY","Total","f",7,0.000210130101047607
"AGS","NAY","Total","f",8,0.000210130101047607
"AGS","NAY","Total","f",9,0.000210130101047607
"AGS","NAY","Total","f",10,0.000255349968213906
"AGS","NAY","Total","f",11,0.000255349968213906
"AGS","NAY","Total","f",12,0.000255349968213906
"AGS","NAY","Total","f",13,0.000255349968213906
"AGS","NAY","Total","f",14,0.000255349968213906
"AGS","NAY","Total","f",15,0.000278451872882572
"AGS","NAY","Total","f",16,0.000278451872882572
"AGS","NAY","Total","f",17,0.000278451872882572
"AGS","NAY","Total","f",18,0.000278451872882572
"AGS","NAY","Total","f",19,0.000278451872882572
"AGS","NAY","Total","f",20,0.000330763162643517
"AGS","NAY","Total","f",21,0.000330763162643517
"AGS","NAY","Total","f",22,0.000330763162643517
"AGS","NAY","Total","f",23,0.000330763162643517
"AGS","NAY","Total","f",24,0.000330763162643517
"AGS","NAY","Total","f",25,0.00037286405759336
"AGS","NAY","Total","f",26,0.00037286405759336
"AGS","NAY","Total","f",27,0.00037286405759336
"AGS","NAY","Total","f",28,0.00037286405759336
"AGS","NAY","Total","f",29,0.00037286405759336
"AGS","NAY","Total","f",30,0.000400295001823035
"AGS","NAY","Total","f",31,0.000400295001823035
"AGS","NAY","Total","f",32,0.000400295001823035
"AGS","NAY","Total","f",33,0.000400295001823035
"AGS","NAY","Total","f",34,0.000400295001823035
"AGS","NAY","Total","f",35,0.000346812179038626
"AGS","NAY","Total","f",36,0.000346812179038626
"AGS","NAY","Total","f",37,0.000346812179038626
"AGS","NAY","Total","f",38,0.000346812179038626
"AGS","NAY","Total","f",39,0.000346812179038626
"AGS","NAY","Total","f",40,0.000317526917770235
"AGS","NAY","Total","f",41,0.000317526917770235
"AGS","NAY","Total","f",42,0.000317526917770235
"AGS","NAY","Total","f",43,0.000317526917770235
"AGS","NAY","Total","f",44,0.000317526917770235
"AGS","NAY","Total","f",45,0.00033214601214374
"AGS","NAY","Total","f",46,0.00033214601214374
"AGS","NAY","Total","f",47,0.00033214601214374
"AGS","NAY","Total","f",48,0.00033214601214374
"AGS","NAY","Total","f",49,0.00033214601214374
"AGS","NAY","Total","f",50,0.000364526777280428
"AGS","NAY","Total","f",51,0.000364526777280428
"AGS","NAY","Total","f",52,0.000364526777280428
"AGS","NAY","Total","f",53,0.000364526777280428
"AGS","NAY","Total","f",54,0.000364526777280428
"AGS","NAY","Total","f",55,0.000352016494821126
"AGS","NAY","Total","f",56,0.000352016494821126
"AGS","NAY","Total","f",57,0.000352016494821126
"AGS","NAY","Total","f",58,0.000352016494821126
"AGS","NAY","Total","f",59,0.000352016494821126
"AGS","NAY","Total","f",60,0.00034628415458554
"AGS","NAY","Total","f",61,0.00034628415458554
"AGS","NAY","Total","f",62,0.00034628415458554
"AGS","NAY","Total","f",63,0.00034628415458554
"AGS","NAY","Total","f",64,0.00034628415458554
"AGS","NAY","Total","f",65,0.000216516827403178
"AGS","NAY","Total","f",66,0.000216516827403178
"AGS","NAY","Total","f",67,0.000216516827403178
"AGS","NAY","Total","f",68,0.000216516827403178
"AGS","NAY","Total","f",69,0.000216516827403178
