"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"NAY","AGS","Total","f",0,0.000390812356776153
"NAY","AGS","Total","f",1,0.000390812356776153
"NAY","AGS","Total","f",2,0.000390812356776153
"NAY","AGS","Total","f",3,0.000390812356776153
"NAY","AGS","Total","f",4,0.000390812356776153
"NAY","AGS","Total","f",5,0.000519583959582413
"NAY","AGS","Total","f",6,0.000519583959582413
"NAY","AGS","Total","f",7,0.000519583959582413
"NAY","AGS","Total","f",8,0.000519583959582413
"NAY","AGS","Total","f",9,0.000519583959582413
"NAY","AGS","Total","f",10,0.000475601343713651
"NAY","AGS","Total","f",11,0.000475601343713651
"NAY","AGS","Total","f",12,0.000475601343713651
"NAY","AGS","Total","f",13,0.000475601343713651
"NAY","AGS","Total","f",14,0.000475601343713651
"NAY","AGS","Total","f",15,0.000382414400509607
"NAY","AGS","Total","f",16,0.000382414400509607
"NAY","AGS","Total","f",17,0.000382414400509607
"NAY","AGS","Total","f",18,0.000382414400509607
"NAY","AGS","Total","f",19,0.000382414400509607
"NAY","AGS","Total","f",20,0.000680399840884252
"NAY","AGS","Total","f",21,0.000680399840884252
"NAY","AGS","Total","f",22,0.000680399840884252
"NAY","AGS","Total","f",23,0.000680399840884252
"NAY","AGS","Total","f",24,0.000680399840884252
"NAY","AGS","Total","f",25,0.000697524296635513
"NAY","AGS","Total","f",26,0.000697524296635513
"NAY","AGS","Total","f",27,0.000697524296635513
"NAY","AGS","Total","f",28,0.000697524296635513
"NAY","AGS","Total","f",29,0.000697524296635513
"NAY","AGS","Total","f",30,0.000650679423985078
"NAY","AGS","Total","f",31,0.000650679423985078
"NAY","AGS","Total","f",32,0.000650679423985078
"NAY","AGS","Total","f",33,0.000650679423985078
"NAY","AGS","Total","f",34,0.000650679423985078
"NAY","AGS","Total","f",35,0.000388049551182142
"NAY","AGS","Total","f",36,0.000388049551182142
"NAY","AGS","Total","f",37,0.000388049551182142
"NAY","AGS","Total","f",38,0.000388049551182142
"NAY","AGS","Total","f",39,0.000388049551182142
"NAY","AGS","Total","f",40,0.000367219263214204
"NAY","AGS","Total","f",41,0.000367219263214204
"NAY","AGS","Total","f",42,0.000367219263214204
"NAY","AGS","Total","f",43,0.000367219263214204
"NAY","AGS","Total","f",44,0.000367219263214204
"NAY","AGS","Total","f",45,0.000396207160938398
"NAY","AGS","Total","f",46,0.000396207160938398
"NAY","AGS","Total","f",47,0.000396207160938398
"NAY","AGS","Total","f",48,0.000396207160938398
"NAY","AGS","Total","f",49,0.000396207160938398
"NAY","AGS","Total","f",50,0.000313974014470551
"NAY","AGS","Total","f",51,0.000313974014470551
"NAY","AGS","Total","f",52,0.000313974014470551
"NAY","AGS","Total","f",53,0.000313974014470551
"NAY","AGS","Total","f",54,0.000313974014470551
"NAY","AGS","Total","f",55,0.000236592503939054
"NAY","AGS","Total","f",56,0.000236592503939054
"NAY","AGS","Total","f",57,0.000236592503939054
"NAY","AGS","Total","f",58,0.000236592503939054
"NAY","AGS","Total","f",59,0.000236592503939054
"NAY","AGS","Total","f",60,0.000198028288748162
"NAY","AGS","Total","f",61,0.000198028288748162
"NAY","AGS","Total","f",62,0.000198028288748162
"NAY","AGS","Total","f",63,0.000198028288748162
"NAY","AGS","Total","f",64,0.000198028288748162
"NAY","AGS","Total","f",65,0.000212406374471745
"NAY","AGS","Total","f",66,0.000212406374471745
"NAY","AGS","Total","f",67,0.000212406374471745
"NAY","AGS","Total","f",68,0.000212406374471745
"NAY","AGS","Total","f",69,0.000212406374471745
"NAY","AGS","Total","f",70,0.000181642784033926
"NAY","AGS","Total","f",71,0.000181642784033926
"NAY","AGS","Total","f",72,0.000181642784033926
"NAY","AGS","Total","f",73,0.000181642784033926
"NAY","AGS","Total","f",74,0.000181642784033926
"NAY","AGS","Total","f",75,0.000154268583054178
"NAY","AGS","Total","f",76,0.000154268583054178
"NAY","AGS","Total","f",77,0.000154268583054178
"NAY","AGS","Total","f",78,0.000154268583054178
"NAY","AGS","Total","f",79,0.000154268583054178
"NAY","AGS","Total","f",80,9.75068404686803e-05
"NAY","AGS","Total","f",81,9.75068404686803e-05
"NAY","AGS","Total","f",82,9.75068404686803e-05
"NAY","AGS","Total","f",83,9.75068404686803e-05
"NAY","AGS","Total","f",84,9.75068404686803e-05
"NAY","AGS","Total","f",85,5.9640961412298e-05
"NAY","AGS","Total","f",86,5.9640961412298e-05
"NAY","AGS","Total","f",87,5.9640961412298e-05
"NAY","AGS","Total","f",88,5.9640961412298e-05
"NAY","AGS","Total","f",89,5.9640961412298e-05
"NAY","AGS","Total","f",90,0
"NAY","AGS","Total","f",91,0
"NAY","AGS","Total","f",92,0
"NAY","AGS","Total","f",93,0
"NAY","AGS","Total","f",94,0
"NAY","AGS","Total","f",95,0
"NAY","AGS","Total","f",96,0
"NAY","AGS","Total","f",97,0
"NAY","AGS","Total","f",98,0
"NAY","AGS","Total","f",99,0
"NAY","AGS","Total","f",100,0
"NAY","AGS","Total","m",0,0.000683690561651796
"NAY","AGS","Total","m",1,0.000683690561651796
"NAY","AGS","Total","m",2,0.000683690561651796
"NAY","AGS","Total","m",3,0.000683690561651796
"NAY","AGS","Total","m",4,0.000683690561651796
"NAY","AGS","Total","m",5,0.000642508224408399
"NAY","AGS","Total","m",6,0.000642508224408399
"NAY","AGS","Total","m",7,0.000642508224408399
"NAY","AGS","Total","m",8,0.000642508224408399
"NAY","AGS","Total","m",9,0.000642508224408399
"NAY","AGS","Total","m",10,0.000492338826451761
"NAY","AGS","Total","m",11,0.000492338826451761
"NAY","AGS","Total","m",12,0.000492338826451761
"NAY","AGS","Total","m",13,0.000492338826451761
"NAY","AGS","Total","m",14,0.000492338826451761
"NAY","AGS","Total","m",15,0.000422661447056436
"NAY","AGS","Total","m",16,0.000422661447056436
"NAY","AGS","Total","m",17,0.000422661447056436
"NAY","AGS","Total","m",18,0.000422661447056436
"NAY","AGS","Total","m",19,0.000422661447056436
"NAY","AGS","Total","m",20,0.000505708467202953
"NAY","AGS","Total","m",21,0.000505708467202953
"NAY","AGS","Total","m",22,0.000505708467202953
"NAY","AGS","Total","m",23,0.000505708467202953
"NAY","AGS","Total","m",24,0.000505708467202953
"NAY","AGS","Total","m",25,0.000788690876040204
"NAY","AGS","Total","m",26,0.000788690876040204
"NAY","AGS","Total","m",27,0.000788690876040204
"NAY","AGS","Total","m",28,0.000788690876040204
"NAY","AGS","Total","m",29,0.000788690876040204
"NAY","AGS","Total","m",30,0.00081127907920301
"NAY","AGS","Total","m",31,0.00081127907920301
"NAY","AGS","Total","m",32,0.00081127907920301
"NAY","AGS","Total","m",33,0.00081127907920301
"NAY","AGS","Total","m",34,0.00081127907920301
"NAY","AGS","Total","m",35,0.000786517111841169
"NAY","AGS","Total","m",36,0.000786517111841169
"NAY","AGS","Total","m",37,0.000786517111841169
"NAY","AGS","Total","m",38,0.000786517111841169
"NAY","AGS","Total","m",39,0.000786517111841169
