"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99604.7696641393
"Total","Female","2",99196.0508719188
"Total","Female","3",99146.2711504996
"Total","Female","4",99117.2682921844
"Total","Female","5",99098.6704371714
"Total","Female","6",99080.5735287643
"Total","Female","7",99062.8805692056
"Total","Female","8",99045.3767472126
"Total","Female","9",99028.0686866189
"Total","Female","10",99010.9624387892
"Total","Female","11",98985.4868277152
"Total","Female","12",98960.0155869481
"Total","Female","13",98925.8266024648
"Total","Female","14",98882.6482922198
"Total","Female","15",98830.2462528492
"Total","Female","16",98777.2399529013
"Total","Female","17",98723.7408158985
"Total","Female","18",98669.8817101615
"Total","Female","19",98606.7618406645
"Total","Female","20",98534.1834898755
"Total","Female","21",98451.5629419267
"Total","Female","22",98358.1553869533
"Total","Female","23",98263.1600659305
"Total","Female","24",98157.6400033811
"Total","Female","25",98051.8718650613
"Total","Female","26",97936.6861125033
"Total","Female","27",97812.0664365416
"Total","Female","28",97687.3856635186
"Total","Female","29",97552.5248609065
"Total","Female","30",97416.2375294972
"Total","Female","31",97258.1744729642
"Total","Female","32",97097.6989865697
"Total","Female","33",96945.2772938484
"Total","Female","34",96811.5241917183
"Total","Female","35",96686.4985470454
"Total","Female","36",96570.1680593214
"Total","Female","37",96440.9771990413
"Total","Female","38",96287.2863987241
"Total","Female","39",96108.2097298435
"Total","Female","40",95903.1910316761
"Total","Female","41",95683.5874607689
"Total","Female","42",95449.8137313266
"Total","Female","43",95190.6313193185
"Total","Female","44",94918.472139712
"Total","Female","45",94645.4279449508
"Total","Female","46",94358.4786939808
"Total","Female","47",94055.4454911611
"Total","Female","48",93684.5643969531
"Total","Female","49",93241.3718911893
"Total","Female","50",92721.6318026097
"Total","Female","51",92174.5228001045
"Total","Female","52",91640.3365471579
"Total","Female","53",91092.307240198
"Total","Female","54",90501.9674635682
"Total","Female","55",89854.4737126094
"Total","Female","56",89163.9782580855
"Total","Female","57",88427.5930281495
"Total","Female","58",87657.7694413361
"Total","Female","59",86820.6337184803
"Total","Female","60",85879.8911803274
"Total","Female","61",84845.5001521904
"Total","Female","62",83745.5379113039
"Total","Female","63",82557.9131794289
"Total","Female","64",81260.9980262512
"Total","Female","65",79812.6312696857
"Total","Female","66",78239.5811337964
"Total","Female","67",76563.1647102345
"Total","Female","68",74794.7654696753
"Total","Female","69",72829.0976336201
"Total","Female","70",70601.4910268489
"Total","Female","71",68133.9556553406
"Total","Female","72",65487.5260319304
"Total","Female","73",62799.2999053296
"Total","Female","74",60112.9508662274
"Total","Female","75",57445.4982128924
"Total","Female","76",54791.5692740355
"Total","Female","77",52211.118601789
"Total","Female","78",49694.9201149558
"Total","Female","79",47145.1418867202
"Total","Female","80",44449.6236846767
"Total","Female","81",41517.088951662
"Total","Female","82",38425.2426761609
"Total","Female","83",35326.2034962115
"Total","Female","84",32370.2783472258
"Total","Female","85",29496.2124436277
"Total","Female","86",26672.5914891683
"Total","Female","87",23881.2737751855
"Total","Female","88",21187.3012856158
"Total","Female","89",18629.9341327302
"Total","Female","90",16110.5836094428
"Total","Female","91",13637.2448008428
"Total","Female","92",11295.4956936274
"Total","Female","93",9254.34945802547
"Total","Female","94",7539.93311230431
"Total","Female","95",6071.34756548969
"Total","Female","96",4787.37678124716
"Total","Female","97",3706.95711855325
"Total","Female","98",2832.49543930479
"Total","Female","99",2090.18628969388
"Total","Female","100+",1470.87183348829
"Total","Male","0",1e+05
"Total","Male","1",99348.4457843095
"Total","Male","2",98669.6950779263
"Total","Male","3",98622.0170421312
"Total","Male","4",98594.3103369641
"Total","Male","5",98567.7266915221
"Total","Male","6",98541.9202439003
"Total","Male","7",98516.725224449
"Total","Male","8",98500.1105477942
"Total","Male","9",98483.682910945
"Total","Male","10",98459.3368972882
"Total","Male","11",98435.1661996333
"Total","Male","12",98402.9214477867
"Total","Male","13",98362.2641237162
"Total","Male","14",98312.786123654
"Total","Male","15",98245.7699095274
"Total","Male","16",98160.7380851294
"Total","Male","17",98057.5105978783
"Total","Male","18",97927.4435988096
"Total","Male","19",97761.8857905276
"Total","Male","20",97569.0096818924
"Total","Male","21",97338.2661625428
"Total","Male","22",97076.130329445
"Total","Male","23",96790.9234830049
"Total","Male","24",96475.0383420544
"Total","Male","25",96130.6009976576
"Total","Male","26",95759.2970154341
"Total","Male","27",95351.4556575134
"Total","Male","28",94915.4890817166
"Total","Male","29",94467.9943880792
"Total","Male","30",94005.8175896153
"Total","Male","31",93535.9563092673
"Total","Male","32",93057.7112151833
"Total","Male","33",92581.3573559182
"Total","Male","34",92106.4516210502
"Total","Male","35",91631.9950953426
"Total","Male","36",91145.4348074071
"Total","Male","37",90655.2005916259
"Total","Male","38",90160.6768095739
"Total","Male","39",89674.6978021301
"Total","Male","40",89189.169560481
"Total","Male","41",88695.9132103118
"Total","Male","42",88198.9494328437
"Total","Male","43",87690.1093399619
"Total","Male","44",87172.9054854089
"Total","Male","45",86625.2472428074
"Total","Male","46",86045.9723038926
"Total","Male","47",85420.0975310791
"Total","Male","48",84766.811656893
"Total","Male","49",84081.9001444622
"Total","Male","50",83361.6341395949
"Total","Male","51",82603.0662746713
"Total","Male","52",81804.3565554933
"Total","Male","53",80976.4819793466
"Total","Male","54",80104.772990497
"Total","Male","55",79175.4364059919
"Total","Male","56",78201.2650196605
"Total","Male","57",77164.7445805677
"Total","Male","58",76062.0842237516
"Total","Male","59",74876.4729811607
"Total","Male","60",73620.5576995278
"Total","Male","61",72275.8899789884
"Total","Male","62",70853.351644807
"Total","Male","63",69333.4084572138
"Total","Male","64",67716.2550970384
"Total","Male","65",65985.9134434532
"Total","Male","66",64151.083718455
"Total","Male","67",62228.2991928337
"Total","Male","68",60245.9322912375
"Total","Male","69",58177.4024271607
"Total","Male","70",56051.5992018513
"Total","Male","71",53852.0100586123
"Total","Male","72",51571.7555748319
"Total","Male","73",49224.5489381236
"Total","Male","74",46809.3257425614
"Total","Male","75",44360.3929436715
"Total","Male","76",41875.4343892777
"Total","Male","77",39344.6632315279
"Total","Male","78",36801.1698509039
"Total","Male","79",34256.2482222272
"Total","Male","80",31712.7672110306
"Total","Male","81",29201.8754395747
"Total","Male","82",26725.3913033563
"Total","Male","83",24307.1811698233
"Total","Male","84",21948.0786646065
"Total","Male","85",19675.757022504
"Total","Male","86",17509.8153775199
"Total","Male","87",15454.9266056059
"Total","Male","88",13528.5334876267
"Total","Male","89",11706.9575500481
"Total","Male","90",10034.5350428983
"Total","Male","91",8536.84324545083
"Total","Male","92",7183.29647218046
"Total","Male","93",6002.48061373984
"Total","Male","94",4976.41555156209
"Total","Male","95",4061.83107181554
"Total","Male","96",3277.47748553392
"Total","Male","97",2581.37607267716
"Total","Male","98",2007.73694541557
"Total","Male","99",1540.82137671427
"Total","Male","100+",1155.6160325357
