"Race","Sex","Age","Population"
"Total","Male",0,9920
"Total","Male",1,10065
"Total","Male",2,10345
"Total","Male",3,10677
"Total","Male",4,11125
"Total","Male",5,11457
"Total","Male",6,11732
"Total","Male",7,11858
"Total","Male",8,11991
"Total","Male",9,12134
"Total","Male",10,12219
"Total","Male",11,12209
"Total","Male",12,12099
"Total","Male",13,11925
"Total","Male",14,11732
"Total","Male",15,11549
"Total","Male",16,11405
"Total","Male",17,11301
"Total","Male",18,11229
"Total","Male",19,11140
"Total","Male",20,10981
"Total","Male",21,10754
"Total","Male",22,10536
"Total","Male",23,10401
"Total","Male",24,10345
"Total","Male",25,10336
"Total","Male",26,10309
"Total","Male",27,10256
"Total","Male",28,10157
"Total","Male",29,9991
"Total","Male",30,9779
"Total","Male",31,9559
"Total","Male",32,9353
"Total","Male",33,9139
"Total","Male",34,8907
"Total","Male",35,8640
"Total","Male",36,8344
"Total","Male",37,8044
"Total","Male",38,7771
"Total","Male",39,7552
"Total","Male",40,7393
"Total","Male",41,7297
"Total","Male",42,7259
"Total","Male",43,7269
"Total","Male",44,7299
"Total","Male",45,7303
"Total","Male",46,7260
"Total","Male",47,7164
"Total","Male",48,7026
"Total","Male",49,6858
"Total","Male",50,6673
"Total","Male",51,6484
"Total","Male",52,6292
"Total","Male",53,6098
"Total","Male",54,5913
"Total","Male",55,5735
"Total","Male",56,5546
"Total","Male",57,5350
"Total","Male",58,5156
"Total","Male",59,4966
"Total","Male",60,4774
"Total","Male",61,4578
"Total","Male",62,4381
"Total","Male",63,4195
"Total","Male",64,4018
"Total","Male",65,3830
"Total","Male",66,3615
"Total","Male",67,3398
"Total","Male",68,3206
"Total","Male",69,3036
"Total","Male",70,2898
"Total","Male",71,2774
"Total","Male",72,2641
"Total","Male",73,2505
"Total","Male",74,2364
"Total","Male",75,2221
"Total","Male",76,2070
"Total","Male",77,1916
"Total","Male",78,1773
"Total","Male",79,1634
"Total","Male",80,1492
"Total","Male",81,1355
"Total","Male",82,1224
"Total","Male",83,1098
"Total","Male",84,980
"Total","Male",85,867
"Total","Male",86,762
"Total","Male",87,662
"Total","Male",88,568
"Total","Male",89,481
"Total","Male",90,403
"Total","Male",91,331
"Total","Male",92,268
"Total","Male",93,214
"Total","Male",94,168
"Total","Male",95,131
"Total","Male",96,101
"Total","Male",97,76
"Total","Male",98,57
"Total","Male",99,42
"Total","Male",100,99
"Total","Female",0,9582
"Total","Female",1,9728
"Total","Female",2,9961
"Total","Female",3,10254
"Total","Female",4,10658
"Total","Female",5,10951
"Total","Female",6,11199
"Total","Female",7,11318
"Total","Female",8,11444
"Total","Female",9,11577
"Total","Female",10,11658
"Total","Female",11,11657
"Total","Female",12,11576
"Total","Female",13,11453
"Total","Female",14,11319
"Total","Female",15,11184
"Total","Female",16,11075
"Total","Female",17,10995
"Total","Female",18,10939
"Total","Female",19,10865
"Total","Female",20,10729
"Total","Female",21,10535
"Total","Female",22,10349
"Total","Female",23,10238
"Total","Female",24,10203
"Total","Female",25,10209
"Total","Female",26,10210
"Total","Female",27,10192
"Total","Female",28,10134
"Total","Female",29,10014
"Total","Female",30,9853
"Total","Female",31,9689
"Total","Female",32,9548
"Total","Female",33,9416
"Total","Female",34,9286
"Total","Female",35,9137
"Total","Female",36,8964
"Total","Female",37,8778
"Total","Female",38,8595
"Total","Female",39,8429
"Total","Female",40,8288
"Total","Female",41,8176
"Total","Female",42,8091
"Total","Female",43,8033
"Total","Female",44,7984
"Total","Female",45,7904
"Total","Female",46,7772
"Total","Female",47,7593
"Total","Female",48,7381
"Total","Female",49,7156
"Total","Female",50,6928
"Total","Female",51,6710
"Total","Female",52,6502
"Total","Female",53,6306
"Total","Female",54,6128
"Total","Female",55,5963
"Total","Female",56,5788
"Total","Female",57,5604
"Total","Female",58,5419
"Total","Female",59,5232
"Total","Female",60,5034
"Total","Female",61,4828
"Total","Female",62,4621
"Total","Female",63,4421
"Total","Female",64,4226
"Total","Female",65,4019
"Total","Female",66,3786
"Total","Female",67,3552
"Total","Female",68,3342
"Total","Female",69,3155
"Total","Female",70,3008
"Total","Female",71,2878
"Total","Female",72,2744
"Total","Female",73,2608
"Total","Female",74,2468
"Total","Female",75,2326
"Total","Female",76,2177
"Total","Female",77,2025
"Total","Female",78,1880
"Total","Female",79,1733
"Total","Female",80,1583
"Total","Female",81,1435
"Total","Female",82,1297
"Total","Female",83,1168
"Total","Female",84,1044
"Total","Female",85,925
"Total","Female",86,815
"Total","Female",87,711
"Total","Female",88,615
"Total","Female",89,524
"Total","Female",90,439
"Total","Female",91,362
"Total","Female",92,297
"Total","Female",93,240
"Total","Female",94,190
"Total","Female",95,148
"Total","Female",96,114
"Total","Female",97,86
"Total","Female",98,63
"Total","Female",99,46
"Total","Female",100,85
