"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99596.265585128
"Total","Female","2",99183.3029414662
"Total","Female","3",99139.6240587498
"Total","Female","4",99110.386724388
"Total","Female","5",99087.5375463993
"Total","Female","6",99068.8966911005
"Total","Female","7",99052.2723010026
"Total","Female","8",99035.5697699989
"Total","Female","9",99018.8802570616
"Total","Female","10",99002.238428447
"Total","Female","11",98983.5495535116
"Total","Female","12",98962.7503205733
"Total","Female","13",98937.7112507444
"Total","Female","14",98908.4422126768
"Total","Female","15",98875.0462375063
"Total","Female","16",98835.7793539088
"Total","Female","17",98788.7677433009
"Total","Female","18",98734.4323614154
"Total","Female","19",98673.2041554281
"Total","Female","20",98605.2440600782
"Total","Female","21",98528.4576690335
"Total","Female","22",98444.2191306875
"Total","Female","23",98354.2326805656
"Total","Female","24",98258.8042825677
"Total","Female","25",98156.3663917389
"Total","Female","26",98046.643744961
"Total","Female","27",97927.592032871
"Total","Female","28",97802.3625067202
"Total","Female","29",97668.1739617571
"Total","Female","30",97525.7109184032
"Total","Female","31",97377.6232874277
"Total","Female","32",97223.9904344894
"Total","Female","33",97065.0456901893
"Total","Female","34",96903.1250274782
"Total","Female","35",96738.4674939506
"Total","Female","36",96568.8146635717
"Total","Female","37",96391.766047124
"Total","Female","38",96204.8763770636
"Total","Female","39",96005.8429779338
"Total","Female","40",95797.2543557448
"Total","Female","41",95577.2618955909
"Total","Female","42",95341.8528488889
"Total","Female","43",95091.8211406797
"Total","Female","44",94823.2773794767
"Total","Female","45",94531.7868923121
"Total","Female","46",94213.657919396
"Total","Female","47",93866.3728178158
"Total","Female","48",93489.247977246
"Total","Female","49",93081.6491717306
"Total","Female","50",92640.7153042668
"Total","Female","51",92166.0717696246
"Total","Female","52",91658.2548389166
"Total","Female","53",91112.43792367
"Total","Female","54",90520.7614148661
"Total","Female","55",89881.519761039
"Total","Female","56",89186.1822710309
"Total","Female","57",88430.1001889028
"Total","Female","58",87610.5320121313
"Total","Female","59",86722.9079058986
"Total","Female","60",85762.3498834496
"Total","Female","61",84714.5911450187
"Total","Female","62",83579.8416323309
"Total","Female","63",82352.5428851196
"Total","Female","64",81033.9070020648
"Total","Female","65",79617.3582704328
"Total","Female","66",78097.848941584
"Total","Female","67",76476.8305085397
"Total","Female","68",74766.2261841472
"Total","Female","69",72952.1231602613
"Total","Female","70",71043.4533927771
"Total","Female","71",69044.0659005362
"Total","Female","72",66942.377001235
"Total","Female","73",64727.3203381575
"Total","Female","74",62392.6958822021
"Total","Female","75",59972.6155570742
"Total","Female","76",57472.6431673987
"Total","Female","77",54866.6159107352
"Total","Female","78",52179.5015519584
"Total","Female","79",49440.3188457188
"Total","Female","80",46657.0903595187
"Total","Female","81",43829.3879134872
"Total","Female","82",40942.337498779
"Total","Female","83",38001.383206435
"Total","Female","84",35031.7537802901
"Total","Female","85",32061.3628137244
"Total","Female","86",29120.102464366
"Total","Female","87",26222.7887368372
"Total","Female","88",23382.9636277311
"Total","Female","89",20625.6869487553
"Total","Female","90",17966.1078381404
"Total","Female","91",15430.5101126609
"Total","Female","92",13055.0434697895
"Total","Female","93",10893.0617486778
"Total","Female","94",8932.09514308004
"Total","Female","95",7185.97128052304
"Total","Female","96",5637.8681429184
"Total","Female","97",4281.92517183676
"Total","Female","98",3124.64809836736
"Total","Female","99",2196.5348018226
"Total","Female","100+",1483.13033627338
"Total","Male","0",1e+05
"Total","Male","1",99508.0842963549
"Total","Male","2",99008.0636135497
"Total","Male","3",98960.1806205678
"Total","Male","4",98930.1729850635
"Total","Male","5",98906.328164612
"Total","Male","6",98884.5585406926
"Total","Male","7",98864.710573261
"Total","Male","8",98844.7612793885
"Total","Male","9",98824.8220460802
"Total","Male","10",98802.9539690641
"Total","Male","11",98779.136941531
"Total","Male","12",98751.2944659993
"Total","Male","13",98717.3294471143
"Total","Male","14",98675.1730090833
"Total","Male","15",98620.9100545889
"Total","Male","16",98549.2349877264
"Total","Male","17",98454.7675339698
"Total","Male","18",98334.9129180832
"Total","Male","19",98185.607066313
"Total","Male","20",98008.1264457333
"Total","Male","21",97801.1322368144
"Total","Male","22",97563.4186503215
"Total","Male","23",97296.7761458707
"Total","Male","24",96999.2216551636
"Total","Male","25",96660.2346072982
"Total","Male","26",96269.4087190927
"Total","Male","27",95825.0791335371
"Total","Male","28",95335.3807035864
"Total","Male","29",94813.7968033799
"Total","Male","30",94277.5977148822
"Total","Male","31",93737.2018959915
"Total","Male","32",93196.5495628051
"Total","Male","33",92650.4925227517
"Total","Male","34",92098.629512509
"Total","Male","35",91542.1423251222
"Total","Male","36",90972.8377507706
"Total","Male","37",90387.0608151386
"Total","Male","38",89790.5038275307
"Total","Male","39",89193.9485672645
"Total","Male","40",88610.9741120067
"Total","Male","41",88040.039077131
"Total","Male","42",87468.0093861174
"Total","Male","43",86880.8506656778
"Total","Male","44",86255.0027760857
"Total","Male","45",85570.5841125006
"Total","Male","46",84822.33458891
"Total","Male","47",84017.946987517
"Total","Male","48",83172.4776829555
"Total","Male","49",82312.4542573333
"Total","Male","50",81449.5990493522
"Total","Male","51",80566.1338777995
"Total","Male","52",79638.2074089557
"Total","Male","53",78652.6073234353
"Total","Male","54",77615.750886701
"Total","Male","55",76538.5060126883
"Total","Male","56",75447.1184737776
"Total","Male","57",74343.0408317522
"Total","Male","58",73187.6024690737
"Total","Male","59",71949.9234189033
"Total","Male","60",70629.8521913256
"Total","Male","61",69231.676777053
"Total","Male","62",67748.596854607
"Total","Male","63",66161.8188286976
"Total","Male","64",64462.4965294967
"Total","Male","65",62641.8856954968
"Total","Male","66",60739.9433057664
"Total","Male","67",58811.1840528368
"Total","Male","68",56900.6305705446
"Total","Male","69",54995.533781835
"Total","Male","70",53063.3432821055
"Total","Male","71",51058.8758909762
"Total","Male","72",48934.2315675365
"Total","Male","73",46715.4086488063
"Total","Male","74",44457.1033403199
"Total","Male","75",42208.8095038176
"Total","Male","76",40001.0398998818
"Total","Male","77",37827.3718425346
"Total","Male","78",35663.4354877316
"Total","Male","79",33477.4572323915
"Total","Male","80",31268.827410888
"Total","Male","81",29068.2713072543
"Total","Male","82",26861.739890193
"Total","Male","83",24615.4408934024
"Total","Male","84",22322.2902885341
"Total","Male","85",20029.3662105578
"Total","Male","86",17807.5330043981
"Total","Male","87",15731.499162346
"Total","Male","88",13795.6326133558
"Total","Male","89",11959.0513505138
"Total","Male","90",10197.8956062585
"Total","Male","91",8540.92586225782
"Total","Male","92",7064.33267406038
"Total","Male","93",5835.40385185317
"Total","Male","94",4811.05957857823
"Total","Male","95",3890.83834070718
"Total","Male","96",2994.7664804231
"Total","Male","97",2180.65520419158
"Total","Male","98",1518.67058863342
"Total","Male","99",1035.01753492851
"Total","Male","100+",711.267974239972
