"Race","Sex","Age","Population"
"Total","Male",0,50809
"Total","Male",1,50024
"Total","Male",2,49613
"Total","Male",3,49460
"Total","Male",4,49781
"Total","Male",5,49971
"Total","Male",6,49816
"Total","Male",7,49553
"Total","Male",8,49568
"Total","Male",9,49705
"Total","Male",10,49775
"Total","Male",11,49662
"Total","Male",12,49418
"Total","Male",13,49165
"Total","Male",14,49085
"Total","Male",15,49516
"Total","Male",16,50050
"Total","Male",17,50899
"Total","Male",18,51991
"Total","Male",19,53061
"Total","Male",20,53920
"Total","Male",21,54242
"Total","Male",22,54444
"Total","Male",23,54850
"Total","Male",24,55415
"Total","Male",25,55782
"Total","Male",26,55986
"Total","Male",27,55822
"Total","Male",28,55231
"Total","Male",29,54132
"Total","Male",30,52536
"Total","Male",31,50999
"Total","Male",32,49520
"Total","Male",33,48040
"Total","Male",34,46530
"Total","Male",35,44883
"Total","Male",36,43190
"Total","Male",37,41529
"Total","Male",38,40054
"Total","Male",39,38887
"Total","Male",40,38057
"Total","Male",41,37585
"Total","Male",42,37414
"Total","Male",43,37485
"Total","Male",44,37658
"Total","Male",45,37688
"Total","Male",46,37467
"Total","Male",47,36979
"Total","Male",48,36271
"Total","Male",49,35396
"Total","Male",50,34385
"Total","Male",51,33321
"Total","Male",52,32201
"Total","Male",53,31047
"Total","Male",54,29908
"Total","Male",55,28757
"Total","Male",56,27541
"Total","Male",57,26239
"Total","Male",58,24919
"Total","Male",59,23600
"Total","Male",60,22257
"Total","Male",61,20920
"Total","Male",62,19621
"Total","Male",63,18410
"Total","Male",64,17279
"Total","Male",65,16153
"Total","Male",66,14969
"Total","Male",67,13839
"Total","Male",68,12863
"Total","Male",69,12024
"Total","Male",70,11350
"Total","Male",71,10754
"Total","Male",72,10152
"Total","Male",73,9548
"Total","Male",74,8943
"Total","Male",75,8341
"Total","Male",76,7716
"Total","Male",77,7081
"Total","Male",78,6484
"Total","Male",79,5907
"Total","Male",80,5333
"Total","Male",81,4778
"Total","Male",82,4251
"Total","Male",83,3756
"Total","Male",84,3297
"Total","Male",85,2878
"Total","Male",86,2496
"Total","Male",87,2143
"Total","Male",88,1816
"Total","Male",89,1516
"Total","Male",90,1244
"Total","Male",91,1004
"Total","Male",92,803
"Total","Male",93,634
"Total","Male",94,487
"Total","Male",95,365
"Total","Male",96,267
"Total","Male",97,190
"Total","Male",98,132
"Total","Male",99,89
"Total","Male",100,136
"Total","Female",0,48872
"Total","Female",1,48135
"Total","Female",2,47675
"Total","Female",3,47465
"Total","Female",4,47708
"Total","Female",5,47836
"Total","Female",6,47670
"Total","Female",7,47439
"Total","Female",8,47468
"Total","Female",9,47596
"Total","Female",10,47672
"Total","Female",11,47585
"Total","Female",12,47422
"Total","Female",13,47317
"Total","Female",14,47379
"Total","Female",15,47833
"Total","Female",16,48343
"Total","Female",17,49076
"Total","Female",18,49974
"Total","Female",19,50800
"Total","Female",20,51346
"Total","Female",21,51442
"Total","Female",22,51394
"Total","Female",23,51508
"Total","Female",24,51770
"Total","Female",25,51857
"Total","Female",26,51853
"Total","Female",27,51578
"Total","Female",28,50984
"Total","Female",29,50010
"Total","Female",30,48697
"Total","Female",31,47500
"Total","Female",32,46450
"Total","Female",33,45521
"Total","Female",34,44689
"Total","Female",35,43868
"Total","Female",36,43050
"Total","Female",37,42252
"Total","Female",38,41526
"Total","Female",39,40919
"Total","Female",40,40451
"Total","Female",41,40145
"Total","Female",42,39986
"Total","Female",43,39957
"Total","Female",44,39951
"Total","Female",45,39751
"Total","Female",46,39264
"Total","Female",47,38502
"Total","Female",48,37534
"Total","Female",49,36434
"Total","Female",50,35237
"Total","Female",51,34027
"Total","Female",52,32816
"Total","Female",53,31619
"Total","Female",54,30479
"Total","Female",55,29358
"Total","Female",56,28190
"Total","Female",57,26957
"Total","Female",58,25729
"Total","Female",59,24511
"Total","Female",60,23267
"Total","Female",61,22024
"Total","Female",62,20821
"Total","Female",63,19701
"Total","Female",64,18656
"Total","Female",65,17593
"Total","Female",66,16449
"Total","Female",67,15340
"Total","Female",68,14372
"Total","Female",69,13542
"Total","Female",70,12892
"Total","Female",71,12326
"Total","Female",72,11740
"Total","Female",73,11135
"Total","Female",74,10517
"Total","Female",75,9889
"Total","Female",76,9225
"Total","Female",77,8545
"Total","Female",78,7902
"Total","Female",79,7268
"Total","Female",80,6624
"Total","Female",81,5990
"Total","Female",82,5382
"Total","Female",83,4808
"Total","Female",84,4269
"Total","Female",85,3765
"Total","Female",86,3295
"Total","Female",87,2856
"Total","Female",88,2450
"Total","Female",89,2075
"Total","Female",90,1732
"Total","Female",91,1421
"Total","Female",92,1152
"Total","Female",93,920
"Total","Female",94,720
"Total","Female",95,555
"Total","Female",96,417
"Total","Female",97,304
"Total","Female",98,215
"Total","Female",99,147
"Total","Female",100,235
