"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"2.236607665","64.51542963","73.80155405","103.575967650929","1","18352.046374032","11268.4691803025","10298.3801102165","3438.5788979883","1","1","1","1"
2021,"2.21597798004","62.94783821","71.71205859","103.582040522548","1.03713729","18352.046374032","11268.4691803025","10298.3801102165","3438.5788979883","1.03713729","1.03713729","1.03713729","1.03713729"
2022,"2.18864566984","69.95962893","76.49834315","103.588287910751","1.03713729","18352.046374032","11268.4691803025","10298.3801102165","3438.5788979883","1.03713729","1.03713729","1.03713729","1.03713729"
2023,"2.15353350207","70.23424693","76.79587768","103.594696059449","1.03713729","18352.046374032","11268.4691803025","10298.3801102165","3438.5788979883","1.03713729","1.03713729","1.03713729","1.03713729"
2024,"2.11493409216","70.54714353","77.1361028","103.601253886141","1.03713729","18352.046374032","11268.4691803025","10298.3801102165","3438.5788979883","1.03713729","1.03713729","1.03713729","1.03713729"
2025,"2.0769722434","70.83878527","77.45174794","103.607950023227","1.03713729","18753.9444568492","11313.6662107395","10186.8983599275","3198.47218500227","1.03713729","1.03713729","1.03713729","1.03713729"
2026,"2.04022629564","71.14904432","77.78765765","103.614771524638","1.06961038","18753.9444568492","11313.6662107395","10186.8983599275","3198.47218500227","1.06961038","1.06961038","1.06961038","1.06961038"
2027,"2.00353186434","71.44610326","78.10808345","103.621703719034","1.06961038","18753.9444568492","11313.6662107395","10186.8983599275","3198.47218500227","1.06961038","1.06961038","1.06961038","1.06961038"
2028,"1.96666478396","71.75216629","78.43785232","103.628730887965","1.06961038","18753.9444568492","11313.6662107395","10186.8983599275","3198.47218500227","1.06961038","1.06961038","1.06961038","1.06961038"
2029,"1.93015356807","72.05009587","78.75782524","103.635837099421","1.06961038","18753.9444568492","11313.6662107395","10186.8983599275","3198.47218500227","1.06961038","1.06961038","1.06961038","1.06961038"
2030,"1.894704849","72.35218273","79.08165662","103.643007572632","1.06961038","18772.8177916113","11410.9104677275","10038.736321779","3221.74422132241","1.06961038","1.06961038","1.06961038","1.06961038"
2031,"1.86054591314","72.64915052","79.39904508","103.650230718515","1.09856054","18772.8177916113","11410.9104677275","10038.736321779","3221.74422132241","1.09856054","1.09856054","1.09856054","1.09856054"
2032,"1.82760510768","72.94778627","79.71748414","103.657500979363","1.09856054","18772.8177916113","11410.9104677275","10038.736321779","3221.74422132241","1.09856054","1.09856054","1.09856054","1.09856054"
2033,"1.79557757142","73.24304616","80.03141039","103.664822265841","1.09856054","18772.8177916113","11410.9104677275","10038.736321779","3221.74422132241","1.09856054","1.09856054","1.09856054","1.09856054"
2034,"1.76451968708","73.53868165","80.34492873","103.672212613545","1.09856054","18772.8177916113","11410.9104677275","10038.736321779","3221.74422132241","1.09856054","1.09856054","1.09856054","1.09856054"
2035,"1.7343787923","73.83194595","80.65503356","103.679711152685","1.09856054","18442.0701590477","11325.8380468349","9872.70843217531","3295.38127449844","1.09856054","1.09856054","1.09856054","1.09856054"
2036,"1.7052401604","74.12491221","80.96397418","103.68738810444","1.12474611","18442.0701590477","11325.8380468349","9872.70843217531","3295.38127449844","1.12474611","1.12474611","1.12474611","1.12474611"
2037,"1.67697397144","74.41608621","81.27012581","103.695346709013","1.12474611","18442.0701590477","11325.8380468349","9872.70843217531","3295.38127449844","1.12474611","1.12474611","1.12474611","1.12474611"
2038,"1.64941826662","74.70662043","81.57473426","103.703632869133","1.12474611","18442.0701590477","11325.8380468349","9872.70843217531","3295.38127449844","1.12474611","1.12474611","1.12474611","1.12474611"
2039,"1.62243454491","74.99570142","81.87691852","103.711083029654","1.12474611","18442.0701590477","11325.8380468349","9872.70843217531","3295.38127449844","1.12474611","1.12474611","1.12474611","1.12474611"
2040,"1.5959005632","75.28397361","82.17736658","103.71836918315","1.12474611","17975.8621120071","11119.2178817536","9691.77714775766","3212.91473425168","1.12474611","1.12474611","1.12474611","1.12474611"
2041,"1.56984224794","75.57099959","82.47561313","103.725437961981","1.14869835","17975.8621120071","11119.2178817536","9691.77714775766","3212.91473425168","1.14869835","1.14869835","1.14869835","1.14869835"
2042,"1.5443047347","75.85714543","82.77204912","103.73214047457","1.14869835","17975.8621120071","11119.2178817536","9691.77714775766","3212.91473425168","1.14869835","1.14869835","1.14869835","1.14869835"
2043,"1.5191803011","76.14217879","83.06642733","103.738367583672","1.14869835","17975.8621120071","11119.2178817536","9691.77714775766","3212.91473425168","1.14869835","1.14869835","1.14869835","1.14869835"
2044,"1.49442480148","76.42630898","83.35896887","103.744073277799","1.14869835","17975.8621120071","11119.2178817536","9691.77714775766","3212.91473425168","1.14869835","1.14869835","1.14869835","1.14869835"
2045,"1.469970474","76.7094232","83.64956333","103.749270514431","1.14869835","17365.5556607063","10866.3750722794","9520.00006217465","3171.69458580479","1.14869835","1.14869835","1.14869835","1.14869835"
2046,"1.455746274525","76.99164797","83.93834316","103.754017420956","1.14869835","17365.5556607063","10866.3750722794","9520.00006217465","3171.69458580479","1.14869835","1.14869835","1.14869835","1.14869835"
2047,"1.44179997382","77.27293077","84.22525902","103.758413480782","1.14869835","17365.5556607063","10866.3750722794","9520.00006217465","3171.69458580479","1.14869835","1.14869835","1.14869835","1.14869835"
2048,"1.428258126225","77.55335352","84.51039857","103.762577664668","1.14869835","17365.5556607063","10866.3750722794","9520.00006217465","3171.69458580479","1.14869835","1.14869835","1.14869835","1.14869835"
2049,"1.41500733257","77.83290505","84.79375901","103.766630355512","1.14869835","17365.5556607063","10866.3750722794","9520.00006217465","3171.69458580479","1.14869835","1.14869835","1.14869835","1.14869835"
2050,"1.4020795938","78.11164793","85.07541154","103.77067233951","1.14869835","16700.2385252724","10548.1275379684","9348.56876116896","3091.38188923575","1.14869835","1.14869835","1.14869835","1.14869835"
2051,"1.38943258272","78.38959331","85.35536184","103.77477089167","1.14869835","16700.2385252724","10548.1275379684","9348.56876116896","3091.38188923575","1.14869835","1.14869835","1.14869835","1.14869835"
2052,"1.377119650335","78.66679258","85.63367573","103.778955890848","1.14869835","16700.2385252724","10548.1275379684","9348.56876116896","3091.38188923575","1.14869835","1.14869835","1.14869835","1.14869835"
2053,"1.36501545935","78.94326744","85.91038949","103.782898665084","1.14869835","16700.2385252724","10548.1275379684","9348.56876116896","3091.38188923575","1.14869835","1.14869835","1.14869835","1.14869835"
2054,"1.353110032755","79.21907351","86.18555359","103.786793633399","1.14869835","16700.2385252724","10548.1275379684","9348.56876116896","3091.38188923575","1.14869835","1.14869835","1.14869835","1.14869835"
2055,"1.3413527099","79.49424077","86.45921087","103.790647244422","1.14869835","15962.8040017188","10164.524649121","9169.94299892365","2988.70612865157","1.14869835","1.14869835","1.14869835","1.14869835"
2056,"1.329703981605","79.76882277","86.73141905","103.794437256049","1.14869835","15962.8040017188","10164.524649121","9169.94299892365","2988.70612865157","1.14869835","1.14869835","1.14869835","1.14869835"
2057,"1.31814749403","80.04285605","87.00221881","103.7981422751","1.14869835","15962.8040017188","10164.524649121","9169.94299892365","2988.70612865157","1.14869835","1.14869835","1.14869835","1.14869835"
2058,"1.30675947521","80.31639537","87.27167265","103.801746073031","1.14869835","15962.8040017188","10164.524649121","9169.94299892365","2988.70612865157","1.14869835","1.14869835","1.14869835","1.14869835"
2059,"1.29536950336","80.58947839","87.5398255","103.805237618799","1.14869835","15962.8040017188","10164.524649121","9169.94299892365","2988.70612865157","1.14869835","1.14869835","1.14869835","1.14869835"
2060,"1.284056199","80.86215536","87.80672377","103.808610682224","1.14869835","15200.9281333648","9749.25819397182","8959.87031402109","2863.14894711367","1.14869835","1.14869835","1.14869835","1.14869835"
2061,"1.27283720072","81.13447491","88.07242273","103.811862938092","1.14869835","15200.9281333648","9749.25819397182","8959.87031402109","2863.14894711367","1.14869835","1.14869835","1.14869835","1.14869835"
2062,"1.26168345408","81.40647418","88.3369697","103.814994962782","1.14869835","15200.9281333648","9749.25819397182","8959.87031402109","2863.14894711367","1.14869835","1.14869835","1.14869835","1.14869835"
2063,"1.25059537812","81.67820086","88.60041372","103.818009167414","1.14869835","15200.9281333648","9749.25819397182","8959.87031402109","2863.14894711367","1.14869835","1.14869835","1.14869835","1.14869835"
