"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"OAX","AGS","Total","f",0,0.000115131578947368
"OAX","AGS","Total","f",1,0.000115131578947368
"OAX","AGS","Total","f",2,0.000115131578947368
"OAX","AGS","Total","f",3,0.000115131578947368
"OAX","AGS","Total","f",4,0.000115131578947368
"OAX","AGS","Total","f",5,0.000125682314697092
"OAX","AGS","Total","f",6,0.000125682314697092
"OAX","AGS","Total","f",7,0.000125682314697092
"OAX","AGS","Total","f",8,0.000125682314697092
"OAX","AGS","Total","f",9,0.000125682314697092
"OAX","AGS","Total","f",10,0.000143667015851378
"OAX","AGS","Total","f",11,0.000143667015851378
"OAX","AGS","Total","f",12,0.000143667015851378
"OAX","AGS","Total","f",13,0.000143667015851378
"OAX","AGS","Total","f",14,0.000143667015851378
"OAX","AGS","Total","f",15,0.000155893673397505
"OAX","AGS","Total","f",16,0.000155893673397505
"OAX","AGS","Total","f",17,0.000155893673397505
"OAX","AGS","Total","f",18,0.000155893673397505
"OAX","AGS","Total","f",19,0.000155893673397505
"OAX","AGS","Total","f",20,0.000212784577547597
"OAX","AGS","Total","f",21,0.000212784577547597
"OAX","AGS","Total","f",22,0.000212784577547597
"OAX","AGS","Total","f",23,0.000212784577547597
"OAX","AGS","Total","f",24,0.000212784577547597
"OAX","AGS","Total","f",25,0.00019041598265978
"OAX","AGS","Total","f",26,0.00019041598265978
"OAX","AGS","Total","f",27,0.00019041598265978
"OAX","AGS","Total","f",28,0.00019041598265978
"OAX","AGS","Total","f",29,0.00019041598265978
"OAX","AGS","Total","f",30,0.000186724368021183
"OAX","AGS","Total","f",31,0.000186724368021183
"OAX","AGS","Total","f",32,0.000186724368021183
"OAX","AGS","Total","f",33,0.000186724368021183
"OAX","AGS","Total","f",34,0.000186724368021183
"OAX","AGS","Total","f",35,0.000148078951477026
"OAX","AGS","Total","f",36,0.000148078951477026
"OAX","AGS","Total","f",37,0.000148078951477026
"OAX","AGS","Total","f",38,0.000148078951477026
"OAX","AGS","Total","f",39,0.000148078951477026
"OAX","AGS","Total","f",40,0.000134386792730436
"OAX","AGS","Total","f",41,0.000134386792730436
"OAX","AGS","Total","f",42,0.000134386792730436
"OAX","AGS","Total","f",43,0.000134386792730436
"OAX","AGS","Total","f",44,0.000134386792730436
"OAX","AGS","Total","f",45,0.000133437464787475
"OAX","AGS","Total","f",46,0.000133437464787475
"OAX","AGS","Total","f",47,0.000133437464787475
"OAX","AGS","Total","f",48,0.000133437464787475
"OAX","AGS","Total","f",49,0.000133437464787475
"OAX","AGS","Total","f",50,0.000105475803900061
"OAX","AGS","Total","f",51,0.000105475803900061
"OAX","AGS","Total","f",52,0.000105475803900061
"OAX","AGS","Total","f",53,0.000105475803900061
"OAX","AGS","Total","f",54,0.000105475803900061
"OAX","AGS","Total","f",55,0.000112886687196408
"OAX","AGS","Total","f",56,0.000112886687196408
"OAX","AGS","Total","f",57,0.000112886687196408
"OAX","AGS","Total","f",58,0.000112886687196408
"OAX","AGS","Total","f",59,0.000112886687196408
"OAX","AGS","Total","f",60,6.67757926291895e-05
"OAX","AGS","Total","f",61,6.67757926291895e-05
"OAX","AGS","Total","f",62,6.67757926291895e-05
"OAX","AGS","Total","f",63,6.67757926291895e-05
"OAX","AGS","Total","f",64,6.67757926291895e-05
"OAX","AGS","Total","f",65,6.85770807931726e-05
"OAX","AGS","Total","f",66,6.85770807931726e-05
"OAX","AGS","Total","f",67,6.85770807931726e-05
"OAX","AGS","Total","f",68,6.85770807931726e-05
"OAX","AGS","Total","f",69,6.85770807931726e-05
"OAX","AGS","Total","f",70,4.24005297764977e-05
"OAX","AGS","Total","f",71,4.24005297764977e-05
"OAX","AGS","Total","f",72,4.24005297764977e-05
"OAX","AGS","Total","f",73,4.24005297764977e-05
"OAX","AGS","Total","f",74,4.24005297764977e-05
"OAX","AGS","Total","f",75,5.87921991856518e-05
"OAX","AGS","Total","f",76,5.87921991856518e-05
"OAX","AGS","Total","f",77,5.87921991856518e-05
"OAX","AGS","Total","f",78,5.87921991856518e-05
"OAX","AGS","Total","f",79,5.87921991856518e-05
"OAX","AGS","Total","f",80,3.74929446595602e-05
"OAX","AGS","Total","f",81,3.74929446595602e-05
"OAX","AGS","Total","f",82,3.74929446595602e-05
"OAX","AGS","Total","f",83,3.74929446595602e-05
"OAX","AGS","Total","f",84,3.74929446595602e-05
"OAX","AGS","Total","f",85,2.78590332915448e-05
"OAX","AGS","Total","f",86,2.78590332915448e-05
"OAX","AGS","Total","f",87,2.78590332915448e-05
"OAX","AGS","Total","f",88,2.78590332915448e-05
"OAX","AGS","Total","f",89,2.78590332915448e-05
"OAX","AGS","Total","f",90,0
"OAX","AGS","Total","f",91,0
"OAX","AGS","Total","f",92,0
"OAX","AGS","Total","f",93,0
"OAX","AGS","Total","f",94,0
"OAX","AGS","Total","f",95,0
"OAX","AGS","Total","f",96,0
"OAX","AGS","Total","f",97,0
"OAX","AGS","Total","f",98,0
"OAX","AGS","Total","f",99,0
"OAX","AGS","Total","f",100,0
"OAX","AGS","Total","m",0,0.000120425181172995
"OAX","AGS","Total","m",1,0.000120425181172995
"OAX","AGS","Total","m",2,0.000120425181172995
"OAX","AGS","Total","m",3,0.000120425181172995
"OAX","AGS","Total","m",4,0.000120425181172995
"OAX","AGS","Total","m",5,0.000124457133439289
"OAX","AGS","Total","m",6,0.000124457133439289
"OAX","AGS","Total","m",7,0.000124457133439289
"OAX","AGS","Total","m",8,0.000124457133439289
"OAX","AGS","Total","m",9,0.000124457133439289
"OAX","AGS","Total","m",10,0.000145684108003473
