"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99495.1328739629
"Total","Female","2",98947.3312603845
"Total","Female","3",98891.7406412727
"Total","Female","4",98857.5552576732
"Total","Female","5",98831.6736063857
"Total","Female","6",98808.6886053532
"Total","Female","7",98788.4761294188
"Total","Female","8",98770.9770636148
"Total","Female","9",98751.2105141087
"Total","Female","10",98731.6717788154
"Total","Female","11",98709.8309046247
"Total","Female","12",98685.591572821
"Total","Female","13",98656.346342809
"Total","Female","14",98621.89156074
"Total","Female","15",98582.0403064474
"Total","Female","16",98536.5502345258
"Total","Female","17",98485.4022717776
"Total","Female","18",98425.9966974407
"Total","Female","19",98360.9044438216
"Total","Female","20",98287.2770759013
"Total","Female","21",98207.2255389442
"Total","Female","22",98117.2934300328
"Total","Female","23",98022.762742115
"Total","Female","24",97921.4792124024
"Total","Female","25",97814.2267707678
"Total","Female","26",97698.9079981023
"Total","Female","27",97575.4125816319
"Total","Female","28",97443.5482289043
"Total","Female","29",97302.7623355462
"Total","Female","30",97154.872830345
"Total","Female","31",96998.9955051871
"Total","Female","32",96837.7629091859
"Total","Female","33",96668.3388085759
"Total","Female","34",96493.6297330774
"Total","Female","35",96316.5379846827
"Total","Female","36",96130.544863152
"Total","Female","37",95937.9965291898
"Total","Female","38",95731.9206178668
"Total","Female","39",95515.0798339839
"Total","Female","40",95287.4158629821
"Total","Female","41",95045.8071446537
"Total","Female","42",94787.1884809917
"Total","Female","43",94512.104893019
"Total","Female","44",94217.7729013602
"Total","Female","45",93897.2982967655
"Total","Female","46",93549.2542999017
"Total","Female","47",93170.9135506868
"Total","Female","48",92763.1312269234
"Total","Female","49",92323.5044379188
"Total","Female","50",91850.1393804619
"Total","Female","51",91341.5146254629
"Total","Female","52",90796.5295648288
"Total","Female","53",90210.3193621278
"Total","Female","54",89577.9449390827
"Total","Female","55",88895.1109267944
"Total","Female","56",88156.9934655898
"Total","Female","57",87351.2156184861
"Total","Female","58",86477.3848781771
"Total","Female","59",85532.0732748132
"Total","Female","60",84507.0519123047
"Total","Female","61",83392.0928337788
"Total","Female","62",82181.0721129243
"Total","Female","63",80869.2324751237
"Total","Female","64",79454.5176465663
"Total","Female","65",77929.5205864464
"Total","Female","66",76290.1903737664
"Total","Female","67",74541.8314369399
"Total","Female","68",72688.7466137281
"Total","Female","69",70719.1954777084
"Total","Female","70",68642.9201656404
"Total","Female","71",66462.9727912768
"Total","Female","72",64166.7472437855
"Total","Female","73",61745.3605553407
"Total","Female","74",59198.8949461015
"Total","Female","75",56561.5279145721
"Total","Female","76",53834.5811786017
"Total","Female","77",50998.9623061797
"Total","Female","78",48084.7358886837
"Total","Female","79",45124.6721471973
"Total","Female","80",42134.8165693462
"Total","Female","81",39114.7035464176
"Total","Female","82",36058.6632693352
"Total","Female","83",32984.9811772427
"Total","Female","84",29919.1842094122
"Total","Female","85",26898.0921527305
"Total","Female","86",23958.8326220223
"Total","Female","87",21116.0422200507
"Total","Female","88",18403.0739552811
"Total","Female","89",15832.5658506065
"Total","Female","90",13426.5907756179
"Total","Female","91",11206.3970122594
"Total","Female","92",9200.29454517907
"Total","Female","93",7433.00632746106
"Total","Female","94",5888.87874008625
"Total","Female","95",4576.26139173876
"Total","Female","96",3467.21845241432
"Total","Female","97",2543.00486657044
"Total","Female","98",1799.37270708239
"Total","Female","99",1226.84502755617
"Total","Female","100+",806.077368779683
"Total","Male","0",1e+05
"Total","Male","1",99308.6927296758
"Total","Male","2",98553.7474004488
"Total","Male","3",98487.2779469491
"Total","Male","4",98449.1169093203
"Total","Male","5",98419.015515509
"Total","Male","6",98391.7371742008
"Total","Male","7",98367.1815982757
"Total","Male","8",98342.8946046462
"Total","Male","9",98318.9009250393
"Total","Male","10",98295.1919132655
"Total","Male","11",98269.2754666494
"Total","Male","12",98238.6652860778
"Total","Male","13",98198.3271990553
"Total","Male","14",98145.3706308881
"Total","Male","15",98071.8718510846
"Total","Male","16",97969.2849024325
"Total","Male","17",97836.8802134075
"Total","Male","18",97676.5215655308
"Total","Male","19",97487.6174973926
"Total","Male","20",97268.7780921314
"Total","Male","21",97014.6378074647
"Total","Male","22",96724.4489650489
"Total","Male","23",96402.2905075115
"Total","Male","24",96049.6082364979
"Total","Male","25",95662.945955529
"Total","Male","26",95239.2397443515
"Total","Male","27",94778.178703016
"Total","Male","28",94279.4018683406
"Total","Male","29",93744.207224784
"Total","Male","30",93171.9959310124
"Total","Male","31",92569.0622618918
"Total","Male","32",91950.104758812
"Total","Male","33",91334.9461742857
"Total","Male","34",90726.3737226139
"Total","Male","35",90116.4093077188
"Total","Male","36",89488.9194567209
"Total","Male","37",88846.8936893748
"Total","Male","38",88206.6013425977
"Total","Male","39",87566.0197081218
"Total","Male","40",86917.5238096081
"Total","Male","41",86258.2644936918
"Total","Male","42",85597.0417735578
"Total","Male","43",84934.8807839379
"Total","Male","44",84260.4386121516
"Total","Male","45",83552.9362484349
"Total","Male","46",82784.3153363478
"Total","Male","47",81939.4990558952
"Total","Male","48",81029.7026890549
"Total","Male","49",80070.4955497965
"Total","Male","50",79074.9546094837
"Total","Male","51",78053.6621440629
"Total","Male","52",77006.4448416385
"Total","Male","53",75933.0999282096
"Total","Male","54",74821.4369020452
"Total","Male","55",73664.5312541465
"Total","Male","56",72450.7571024501
"Total","Male","57",71163.8727323379
"Total","Male","58",69799.0630504817
"Total","Male","59",68366.5877765407
"Total","Male","60",66881.5775981528
"Total","Male","61",65322.8318289258
"Total","Male","62",63653.8785374356
"Total","Male","63",61862.5954290768
"Total","Male","64",59946.152466848
"Total","Male","65",57893.0274490418
"Total","Male","66",55735.115397623
"Total","Male","67",53512.6887235335
"Total","Male","68",51247.3693866094
"Total","Male","69",48925.2268130279
"Total","Male","70",46579.4289666416
"Total","Male","71",44247.389044728
"Total","Male","72",41933.6102499156
"Total","Male","73",39644.9759071014
"Total","Male","74",37384.6719781004
"Total","Male","75",35141.265176096
"Total","Male","76",32905.3171786665
"Total","Male","77",30670.3425137081
"Total","Male","78",28475.0680717331
"Total","Male","79",26350.1968081938
"Total","Male","80",24281.8646946672
"Total","Male","81",22263.8596793923
"Total","Male","82",20312.376420037
"Total","Male","83",18427.0573117564
"Total","Male","84",16604.7882430338
"Total","Male","85",14854.2581089481
"Total","Male","86",13194.10073438
"Total","Male","87",11614.8998402806
"Total","Male","88",10099.036480355
"Total","Male","89",8637.35989229813
"Total","Male","90",7245.30054265278
"Total","Male","91",5971.94133385279
"Total","Male","92",4871.41100484078
"Total","Male","93",3972.62668660447
"Total","Male","94",3236.09849661153
"Total","Male","95",2624.29878083422
"Total","Male","96",2093.29820164271
"Total","Male","97",1626.49999639835
"Total","Male","98",1213.94219708743
"Total","Male","99",849.759537961201
"Total","Male","100+",552.59411997084
