"Race","Sex","Age","Population"
"Total","Male",0,38823
"Total","Male",1,38527
"Total","Male",2,38537
"Total","Male",3,38705
"Total","Male",4,39241
"Total","Male",5,39682
"Total","Male",6,40064
"Total","Male",7,40497
"Total","Male",8,40982
"Total","Male",9,41464
"Total","Male",10,41715
"Total","Male",11,41728
"Total","Male",12,41393
"Total","Male",13,40784
"Total","Male",14,40045
"Total","Male",15,39175
"Total","Male",16,38450
"Total","Male",17,37796
"Total","Male",18,37193
"Total","Male",19,36488
"Total","Male",20,35548
"Total","Male",21,34383
"Total","Male",22,33271
"Total","Male",23,32468
"Total","Male",24,31980
"Total","Male",25,31764
"Total","Male",26,31528
"Total","Male",27,31271
"Total","Male",28,30916
"Total","Male",29,30379
"Total","Male",30,29728
"Total","Male",31,29066
"Total","Male",32,28454
"Total","Male",33,27822
"Total","Male",34,27128
"Total","Male",35,26333
"Total","Male",36,25416
"Total","Male",37,24472
"Total","Male",38,23598
"Total","Male",39,22870
"Total","Male",40,22328
"Total","Male",41,21962
"Total","Male",42,21762
"Total","Male",43,21700
"Total","Male",44,21703
"Total","Male",45,21641
"Total","Male",46,21448
"Total","Male",47,21137
"Total","Male",48,20742
"Total","Male",49,20302
"Total","Male",50,19847
"Total","Male",51,19397
"Total","Male",52,18951
"Total","Male",53,18511
"Total","Male",54,18097
"Total","Male",55,17696
"Total","Male",56,17242
"Total","Male",57,16732
"Total","Male",58,16204
"Total","Male",59,15665
"Total","Male",60,15097
"Total","Male",61,14490
"Total","Male",62,13874
"Total","Male",63,13284
"Total","Male",64,12713
"Total","Male",65,12111
"Total","Male",66,11429
"Total","Male",67,10752
"Total","Male",68,10159
"Total","Male",69,9649
"Total","Male",70,9250
"Total","Male",71,8902
"Total","Male",72,8537
"Total","Male",73,8162
"Total","Male",74,7775
"Total","Male",75,7380
"Total","Male",76,6955
"Total","Male",77,6520
"Total","Male",78,6115
"Total","Male",79,5716
"Total","Male",80,5305
"Total","Male",81,4898
"Total","Male",82,4500
"Total","Male",83,4114
"Total","Male",84,3738
"Total","Male",85,3379
"Total","Male",86,3032
"Total","Male",87,2693
"Total","Male",88,2365
"Total","Male",89,2048
"Total","Male",90,1749
"Total","Male",91,1473
"Total","Male",92,1230
"Total","Male",93,1013
"Total","Male",94,819
"Total","Male",95,653
"Total","Male",96,510
"Total","Male",97,389
"Total","Male",98,289
"Total","Male",99,210
"Total","Male",100,491
"Total","Female",0,37470
"Total","Female",1,37312
"Total","Female",2,37368
"Total","Female",3,37600
"Total","Female",4,38191
"Total","Female",5,38694
"Total","Female",6,39104
"Total","Female",7,39514
"Total","Female",8,39971
"Total","Female",9,40429
"Total","Female",10,40680
"Total","Female",11,40718
"Total","Female",12,40487
"Total","Female",13,40080
"Total","Female",14,39588
"Total","Female",15,38999
"Total","Female",16,38520
"Total","Female",17,38119
"Total","Female",18,37790
"Total","Female",19,37392
"Total","Female",20,36819
"Total","Female",21,36020
"Total","Female",22,35273
"Total","Female",23,34823
"Total","Female",24,34675
"Total","Female",25,34756
"Total","Female",26,34787
"Total","Female",27,34755
"Total","Female",28,34582
"Total","Female",29,34187
"Total","Female",30,33630
"Total","Female",31,33061
"Total","Female",32,32551
"Total","Female",33,32063
"Total","Female",34,31574
"Total","Female",35,31041
"Total","Female",36,30424
"Total","Female",37,29763
"Total","Female",38,29105
"Total","Female",39,28495
"Total","Female",40,27966
"Total","Female",41,27526
"Total","Female",42,27182
"Total","Female",43,26931
"Total","Female",44,26708
"Total","Female",45,26390
"Total","Female",46,25910
"Total","Female",47,25306
"Total","Female",48,24629
"Total","Female",49,23928
"Total","Female",50,23231
"Total","Female",51,22559
"Total","Female",52,21923
"Total","Female",53,21323
"Total","Female",54,20779
"Total","Female",55,20269
"Total","Female",56,19712
"Total","Female",57,19097
"Total","Female",58,18469
"Total","Female",59,17833
"Total","Female",60,17167
"Total","Female",61,16475
"Total","Female",62,15785
"Total","Female",63,15129
"Total","Female",64,14500
"Total","Female",65,13829
"Total","Female",66,13070
"Total","Female",67,12315
"Total","Female",68,11650
"Total","Female",69,11075
"Total","Female",70,10629
"Total","Female",71,10240
"Total","Female",72,9828
"Total","Female",73,9404
"Total","Female",74,8976
"Total","Female",75,8542
"Total","Female",76,8078
"Total","Female",77,7599
"Total","Female",78,7148
"Total","Female",79,6698
"Total","Female",80,6228
"Total","Female",81,5756
"Total","Female",82,5290
"Total","Female",83,4832
"Total","Female",84,4382
"Total","Female",85,3945
"Total","Female",86,3520
"Total","Female",87,3110
"Total","Female",88,2717
"Total","Female",89,2341
"Total","Female",90,1986
"Total","Female",91,1653
"Total","Female",92,1360
"Total","Female",93,1100
"Total","Female",94,877
"Total","Female",95,689
"Total","Female",96,530
"Total","Female",97,400
"Total","Female",98,296
"Total","Female",99,215
"Total","Female",100,481
