"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"2.220292996","63.06710061","72.16653685","103.822543975408","1","14531.4369804391","13419.2016961135","8498.65686923237","3464.65630409297","1","1","1","1"
2021,"2.21036335146","61.22181056","70.24067691","103.816668780649","1.03713729","14531.4369804391","13419.2016961135","8498.65686923237","3464.65630409297","1.03713729","1.03713729","1.03713729","1.03713729"
2022,"2.193988426","70.62984237","77.05029713","103.811769906062","1.03713729","14531.4369804391","13419.2016961135","8498.65686923237","3464.65630409297","1.03713729","1.03713729","1.03713729","1.03713729"
2023,"2.168460123","70.8996791","77.34186151","103.807802071956","1.03713729","14531.4369804391","13419.2016961135","8498.65686923237","3464.65630409297","1.03713729","1.03713729","1.03713729","1.03713729"
2024,"2.13743460384","71.20677918","77.67483153","103.804715425417","1.03713729","14531.4369804391","13419.2016961135","8498.65686923237","3464.65630409297","1.03713729","1.03713729","1.03713729","1.03713729"
2025,"2.10458933335","71.49323034","77.98396051","103.802466210711","1.03713729","14849.6661601169","13473.0251620869","8406.65743507405","3222.72867599964","1.03713729","1.03713729","1.03713729","1.03713729"
2026,"2.07057121114","71.79782656","78.31274842","103.801017172953","1.06961038","14849.6661601169","13473.0251620869","8406.65743507405","3222.72867599964","1.06961038","1.06961038","1.06961038","1.06961038"
2027,"2.03439839973","72.08960344","78.62651548","103.800337044456","1.06961038","14849.6661601169","13473.0251620869","8406.65743507405","3222.72867599964","1.06961038","1.06961038","1.06961038","1.06961038"
2028,"1.99590884972","72.39017211","78.94934455","103.80040113976","1.06961038","14849.6661601169","13473.0251620869","8406.65743507405","3222.72867599964","1.06961038","1.06961038","1.06961038","1.06961038"
2029,"1.95594782656","72.68284395","79.2626721","103.801192811577","1.06961038","14849.6661601169","13473.0251620869","8406.65743507405","3222.72867599964","1.06961038","1.06961038","1.06961038","1.06961038"
2030,"1.9156419288","72.9795856","79.57974608","103.802705744123","1.06961038","14864.6103613856","13588.829738328","8284.38788298972","3246.17720218958","1.06961038","1.06961038","1.06961038","1.06961038"
2031,"1.87536947368","73.27135866","79.89057125","103.804947298324","1.09856054","14864.6103613856","13588.829738328","8284.38788298972","3246.17720218958","1.09856054","1.09856054","1.09856054","1.09856054"
2032,"1.83537079968","73.56477226","80.20241904","103.80794310684","1.09856054","14864.6103613856","13588.829738328","8284.38788298972","3246.17720218958","1.09856054","1.09856054","1.09856054","1.09856054"
2033,"1.7956109046","73.85491432","80.50988702","103.811743008037","1.09856054","14864.6103613856","13588.829738328","8284.38788298972","3246.17720218958","1.09856054","1.09856054","1.09856054","1.09856054"
2034,"1.75642335726","74.1454287","80.8169616","103.816429346621","1.09856054","14864.6103613856","13588.829738328","8284.38788298972","3246.17720218958","1.09856054","1.09856054","1.09856054","1.09856054"
2035,"1.71791688395","74.43364613","81.12072656","103.822128602383","1.09856054","14602.7192195984","13487.5201499121","8147.37467806201","3320.37270215337","1.09856054","1.09856054","1.09856054","1.09856054"
2036,"1.68034515348","74.72157844","81.42336421","103.829018236121","1.12474611","14602.7192195984","13487.5201499121","8147.37467806201","3320.37270215337","1.12474611","1.12474611","1.12474611","1.12474611"
2037,"1.64388621234","75.0077716","81.72329655","103.83725846974","1.12474611","14602.7192195984","13487.5201499121","8147.37467806201","3320.37270215337","1.12474611","1.12474611","1.12474611","1.12474611"
2038,"1.60843819016","75.29334547","82.02173225","103.846448621633","1.12474611","14602.7192195984","13487.5201499121","8147.37467806201","3320.37270215337","1.12474611","1.12474611","1.12474611","1.12474611"
2039,"1.57398565527","75.57750383","82.31781759","103.853676481853","1.12474611","14602.7192195984","13487.5201499121","8147.37467806201","3320.37270215337","1.12474611","1.12474611","1.12474611","1.12474611"
2040,"1.5405143136","75.86087245","82.61222433","103.860125565264","1.12474611","14233.5684057181","13241.463864418","7998.06256424232","3237.28075428216","1.12474611","1.12474611","1.12474611","1.12474611"
2041,"1.50815591559","76.14302873","82.90449535","103.86602911288","1.14869835","14233.5684057181","13241.463864418","7998.06256424232","3237.28075428216","1.14869835","1.14869835","1.14869835","1.14869835"
2042,"1.47690540426","76.42432017","83.19501124","103.871591601634","1.14869835","14233.5684057181","13241.463864418","7998.06256424232","3237.28075428216","1.14869835","1.14869835","1.14869835","1.14869835"
2043,"1.44669078477","76.70452541","83.48353037","103.876821013534","1.14869835","14233.5684057181","13241.463864418","7998.06256424232","3237.28075428216","1.14869835","1.14869835","1.14869835","1.14869835"
2044,"1.41744093208","76.98384502","83.77027301","103.881696160804","1.14869835","14233.5684057181","13241.463864418","7998.06256424232","3237.28075428216","1.14869835","1.14869835","1.14869835","1.14869835"
2045,"1.38922701375","77.26216302","84.05512331","103.886229259608","1.14869835","13750.3182245076","12940.3627473579","7856.30488072872","3195.74800153488","1.14869835","1.14869835","1.14869835","1.14869835"
2046,"1.37122302888","77.53960593","84.33821854","103.890453796789","1.14869835","13750.3182245076","12940.3627473579","7856.30488072872","3195.74800153488","1.14869835","1.14869835","1.14869835","1.14869835"
2047,"1.35407952652","77.81612085","84.61950802","103.894427307587","1.14869835","13750.3182245076","12940.3627473579","7856.30488072872","3195.74800153488","1.14869835","1.14869835","1.14869835","1.14869835"
2048,"1.33781661951","78.0917884","84.89907713","103.898223993825","1.14869835","13750.3182245076","12940.3627473579","7856.30488072872","3195.74800153488","1.14869835","1.14869835","1.14869835","1.14869835"
2049,"1.32234145815","78.36659404","85.17691954","103.901907963156","1.14869835","13750.3182245076","12940.3627473579","7856.30488072872","3195.74800153488","1.14869835","1.14869835","1.14869835","1.14869835"
2050,"1.307584498125","78.64059811","85.45310443","103.90551974317","1.14869835","13223.5097243262","12561.3735711107","7714.83255320722","3114.82623160562","1.14869835","1.14869835","1.14869835","1.14869835"
2051,"1.29354396408","78.91380908","85.72764295","103.9090807179","1.14869835","13223.5097243262","12561.3735711107","7714.83255320722","3114.82623160562","1.14869835","1.14869835","1.14869835","1.14869835"
2052,"1.280067252035","79.18627885","86.00060078","103.912597242087","1.14869835","13223.5097243262","12561.3735711107","7714.83255320722","3114.82623160562","1.14869835","1.14869835","1.14869835","1.14869835"
2053,"1.26717450504","79.45803264","86.27199874","103.915871480574","1.14869835","13223.5097243262","12561.3735711107","7714.83255320722","3114.82623160562","1.14869835","1.14869835","1.14869835","1.14869835"
2054,"1.254706338615","79.72911148","86.54190083","103.919071787654","1.14869835","13223.5097243262","12561.3735711107","7714.83255320722","3114.82623160562","1.14869835","1.14869835","1.14869835","1.14869835"
2055,"1.2426521737","79.99955297","86.81034124","103.92222937006","1.14869835","12639.5975497481","12104.5551289346","7567.42305335569","3011.37180123217","1.14869835","1.14869835","1.14869835","1.14869835"
2056,"1.230852881995","80.26940613","87.07737615","103.925335910185","1.14869835","12639.5975497481","12104.5551289346","7567.42305335569","3011.37180123217","1.14869835","1.14869835","1.14869835","1.14869835"
2057,"1.21939750509","80.53870832","87.34305291","103.928378775395","1.14869835","12639.5975497481","12104.5551289346","7567.42305335569","3011.37180123217","1.14869835","1.14869835","1.14869835","1.14869835"
2058,"1.2081412404","80.80750833","87.60742177","103.931347540997","1.14869835","12639.5975497481","12104.5551289346","7567.42305335569","3011.37180123217","1.14869835","1.14869835","1.14869835","1.14869835"
2059,"1.19711657468","81.07584438","87.87052882","103.934234973158","1.14869835","12639.5975497481","12104.5551289346","7567.42305335569","3011.37180123217","1.14869835","1.14869835","1.14869835","1.14869835"
2060,"1.18620783315","81.34376809","88.13242224","103.937036703621","1.14869835","12036.3323365799","11610.0297209033","7394.06222888834","2884.86242237397","1.14869835","1.14869835","1.14869835","1.14869835"
2061,"1.17549565308","81.61132158","88.39315807","103.939750623407","1.14869835","12036.3323365799","11610.0297209033","7394.06222888834","2884.86242237397","1.14869835","1.14869835","1.14869835","1.14869835"
2062,"1.16496102884","81.8785433","88.65278022","103.942376306796","1.14869835","12036.3323365799","11610.0297209033","7394.06222888834","2884.86242237397","1.14869835","1.14869835","1.14869835","1.14869835"
2063,"1.15455061458","82.1454744","88.91132557","103.944914583352","1.14869835","12036.3323365799","11610.0297209033","7394.06222888834","2884.86242237397","1.14869835","1.14869835","1.14869835","1.14869835"
