"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","PUE","Total","f",0,0.000481170205940848
"AGS","PUE","Total","f",1,0.000481170205940848
"AGS","PUE","Total","f",2,0.000481170205940848
"AGS","PUE","Total","f",3,0.000481170205940848
"AGS","PUE","Total","f",4,0.000481170205940848
"AGS","PUE","Total","f",5,0.000439689072232855
"AGS","PUE","Total","f",6,0.000439689072232855
"AGS","PUE","Total","f",7,0.000439689072232855
"AGS","PUE","Total","f",8,0.000439689072232855
"AGS","PUE","Total","f",9,0.000439689072232855
"AGS","PUE","Total","f",10,0.000347897864561656
"AGS","PUE","Total","f",11,0.000347897864561656
"AGS","PUE","Total","f",12,0.000347897864561656
"AGS","PUE","Total","f",13,0.000347897864561656
"AGS","PUE","Total","f",14,0.000347897864561656
"AGS","PUE","Total","f",15,0.000411503406091755
"AGS","PUE","Total","f",16,0.000411503406091755
"AGS","PUE","Total","f",17,0.000411503406091755
"AGS","PUE","Total","f",18,0.000411503406091755
"AGS","PUE","Total","f",19,0.000411503406091755
"AGS","PUE","Total","f",20,0.000426350036497377
"AGS","PUE","Total","f",21,0.000426350036497377
"AGS","PUE","Total","f",22,0.000426350036497377
"AGS","PUE","Total","f",23,0.000426350036497377
"AGS","PUE","Total","f",24,0.000426350036497377
"AGS","PUE","Total","f",25,0.000559415622169626
"AGS","PUE","Total","f",26,0.000559415622169626
"AGS","PUE","Total","f",27,0.000559415622169626
"AGS","PUE","Total","f",28,0.000559415622169626
"AGS","PUE","Total","f",29,0.000559415622169626
"AGS","PUE","Total","f",30,0.000608344358384341
"AGS","PUE","Total","f",31,0.000608344358384341
"AGS","PUE","Total","f",32,0.000608344358384341
"AGS","PUE","Total","f",33,0.000608344358384341
"AGS","PUE","Total","f",34,0.000608344358384341
"AGS","PUE","Total","f",35,0.00057305025006835
"AGS","PUE","Total","f",36,0.00057305025006835
"AGS","PUE","Total","f",37,0.00057305025006835
"AGS","PUE","Total","f",38,0.00057305025006835
"AGS","PUE","Total","f",39,0.00057305025006835
"AGS","PUE","Total","f",40,0.000399762858174253
"AGS","PUE","Total","f",41,0.000399762858174253
"AGS","PUE","Total","f",42,0.000399762858174253
"AGS","PUE","Total","f",43,0.000399762858174253
"AGS","PUE","Total","f",44,0.000399762858174253
"AGS","PUE","Total","f",45,0.000200441423207557
"AGS","PUE","Total","f",46,0.000200441423207557
"AGS","PUE","Total","f",47,0.000200441423207557
"AGS","PUE","Total","f",48,0.000200441423207557
"AGS","PUE","Total","f",49,0.000200441423207557
"AGS","PUE","Total","f",50,0.000155429608678972
"AGS","PUE","Total","f",51,0.000155429608678972
"AGS","PUE","Total","f",52,0.000155429608678972
"AGS","PUE","Total","f",53,0.000155429608678972
"AGS","PUE","Total","f",54,0.000155429608678972
"AGS","PUE","Total","f",55,0.000132963612548971
"AGS","PUE","Total","f",56,0.000132963612548971
"AGS","PUE","Total","f",57,0.000132963612548971
"AGS","PUE","Total","f",58,0.000132963612548971
"AGS","PUE","Total","f",59,0.000132963612548971
"AGS","PUE","Total","f",60,0.000108449127612783
"AGS","PUE","Total","f",61,0.000108449127612783
"AGS","PUE","Total","f",62,0.000108449127612783
"AGS","PUE","Total","f",63,0.000108449127612783
"AGS","PUE","Total","f",64,0.000108449127612783
"AGS","PUE","Total","f",65,0.000128083906840824
"AGS","PUE","Total","f",66,0.000128083906840824
"AGS","PUE","Total","f",67,0.000128083906840824
"AGS","PUE","Total","f",68,0.000128083906840824
"AGS","PUE","Total","f",69,0.000128083906840824
"AGS","PUE","Total","f",70,0.000159136507245684
"AGS","PUE","Total","f",71,0.000159136507245684
"AGS","PUE","Total","f",72,0.000159136507245684
"AGS","PUE","Total","f",73,0.000159136507245684
"AGS","PUE","Total","f",74,0.000159136507245684
"AGS","PUE","Total","f",75,0.000185773971702595
"AGS","PUE","Total","f",76,0.000185773971702595
"AGS","PUE","Total","f",77,0.000185773971702595
"AGS","PUE","Total","f",78,0.000185773971702595
"AGS","PUE","Total","f",79,0.000185773971702595
"AGS","PUE","Total","f",80,0.000120720627960726
"AGS","PUE","Total","f",81,0.000120720627960726
"AGS","PUE","Total","f",82,0.000120720627960726
"AGS","PUE","Total","f",83,0.000120720627960726
"AGS","PUE","Total","f",84,0.000120720627960726
"AGS","PUE","Total","f",85,7.28279076542131e-05
"AGS","PUE","Total","f",86,7.28279076542131e-05
"AGS","PUE","Total","f",87,7.28279076542131e-05
"AGS","PUE","Total","f",88,7.28279076542131e-05
"AGS","PUE","Total","f",89,7.28279076542131e-05
"AGS","PUE","Total","f",90,0
"AGS","PUE","Total","f",91,0
"AGS","PUE","Total","f",92,0
"AGS","PUE","Total","f",93,0
"AGS","PUE","Total","f",94,0
"AGS","PUE","Total","f",95,0
"AGS","PUE","Total","f",96,0
"AGS","PUE","Total","f",97,0
"AGS","PUE","Total","f",98,0
"AGS","PUE","Total","f",99,0
"AGS","PUE","Total","f",100,0
"AGS","PUE","Total","m",0,0.000537874014537966
"AGS","PUE","Total","m",1,0.000537874014537966
"AGS","PUE","Total","m",2,0.000537874014537966
"AGS","PUE","Total","m",3,0.000537874014537966
"AGS","PUE","Total","m",4,0.000537874014537966
"AGS","PUE","Total","m",5,0.000363933410632447
"AGS","PUE","Total","m",6,0.000363933410632447
"AGS","PUE","Total","m",7,0.000363933410632447
"AGS","PUE","Total","m",8,0.000363933410632447
"AGS","PUE","Total","m",9,0.000363933410632447
"AGS","PUE","Total","m",10,0.000239742651487755
"AGS","PUE","Total","m",11,0.000239742651487755
"AGS","PUE","Total","m",12,0.000239742651487755
"AGS","PUE","Total","m",13,0.000239742651487755
"AGS","PUE","Total","m",14,0.000239742651487755
"AGS","PUE","Total","m",15,0.000211722004709925
"AGS","PUE","Total","m",16,0.000211722004709925
"AGS","PUE","Total","m",17,0.000211722004709925
"AGS","PUE","Total","m",18,0.000211722004709925
"AGS","PUE","Total","m",19,0.000211722004709925
"AGS","PUE","Total","m",20,0.000298043284263775
"AGS","PUE","Total","m",21,0.000298043284263775
"AGS","PUE","Total","m",22,0.000298043284263775
"AGS","PUE","Total","m",23,0.000298043284263775
"AGS","PUE","Total","m",24,0.000298043284263775
"AGS","PUE","Total","m",25,0.000429440980970957
"AGS","PUE","Total","m",26,0.000429440980970957
"AGS","PUE","Total","m",27,0.000429440980970957
"AGS","PUE","Total","m",28,0.000429440980970957
"AGS","PUE","Total","m",29,0.000429440980970957
"AGS","PUE","Total","m",30,0.000576483333272868
"AGS","PUE","Total","m",31,0.000576483333272868
"AGS","PUE","Total","m",32,0.000576483333272868
"AGS","PUE","Total","m",33,0.000576483333272868
"AGS","PUE","Total","m",34,0.000576483333272868
"AGS","PUE","Total","m",35,0.000517095093263891
"AGS","PUE","Total","m",36,0.000517095093263891
"AGS","PUE","Total","m",37,0.000517095093263891
"AGS","PUE","Total","m",38,0.000517095093263891
"AGS","PUE","Total","m",39,0.000517095093263891
"AGS","PUE","Total","m",40,0.000408435195552066
"AGS","PUE","Total","m",41,0.000408435195552066
"AGS","PUE","Total","m",42,0.000408435195552066
"AGS","PUE","Total","m",43,0.000408435195552066
"AGS","PUE","Total","m",44,0.000408435195552066
"AGS","PUE","Total","m",45,0.000311359811936946
"AGS","PUE","Total","m",46,0.000311359811936946
"AGS","PUE","Total","m",47,0.000311359811936946
"AGS","PUE","Total","m",48,0.000311359811936946
"AGS","PUE","Total","m",49,0.000311359811936946
