"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"PUE","AGS","Total","f",0,9.06789059938757e-05
"PUE","AGS","Total","f",1,9.06789059938757e-05
"PUE","AGS","Total","f",2,9.06789059938757e-05
"PUE","AGS","Total","f",3,9.06789059938757e-05
"PUE","AGS","Total","f",4,9.06789059938757e-05
"PUE","AGS","Total","f",5,0.000144177236030154
"PUE","AGS","Total","f",6,0.000144177236030154
"PUE","AGS","Total","f",7,0.000144177236030154
"PUE","AGS","Total","f",8,0.000144177236030154
"PUE","AGS","Total","f",9,0.000144177236030154
"PUE","AGS","Total","f",10,0.000135783801579009
"PUE","AGS","Total","f",11,0.000135783801579009
"PUE","AGS","Total","f",12,0.000135783801579009
"PUE","AGS","Total","f",13,0.000135783801579009
"PUE","AGS","Total","f",14,0.000135783801579009
"PUE","AGS","Total","f",15,0.000162396536849066
"PUE","AGS","Total","f",16,0.000162396536849066
"PUE","AGS","Total","f",17,0.000162396536849066
"PUE","AGS","Total","f",18,0.000162396536849066
"PUE","AGS","Total","f",19,0.000162396536849066
"PUE","AGS","Total","f",20,0.000227083168234962
"PUE","AGS","Total","f",21,0.000227083168234962
"PUE","AGS","Total","f",22,0.000227083168234962
"PUE","AGS","Total","f",23,0.000227083168234962
"PUE","AGS","Total","f",24,0.000227083168234962
"PUE","AGS","Total","f",25,0.000259417201381561
"PUE","AGS","Total","f",26,0.000259417201381561
"PUE","AGS","Total","f",27,0.000259417201381561
"PUE","AGS","Total","f",28,0.000259417201381561
"PUE","AGS","Total","f",29,0.000259417201381561
"PUE","AGS","Total","f",30,0.000215592310603213
"PUE","AGS","Total","f",31,0.000215592310603213
"PUE","AGS","Total","f",32,0.000215592310603213
"PUE","AGS","Total","f",33,0.000215592310603213
"PUE","AGS","Total","f",34,0.000215592310603213
"PUE","AGS","Total","f",35,0.000155898879967984
"PUE","AGS","Total","f",36,0.000155898879967984
"PUE","AGS","Total","f",37,0.000155898879967984
"PUE","AGS","Total","f",38,0.000155898879967984
"PUE","AGS","Total","f",39,0.000155898879967984
"PUE","AGS","Total","f",40,0.000139350057881716
"PUE","AGS","Total","f",41,0.000139350057881716
"PUE","AGS","Total","f",42,0.000139350057881716
"PUE","AGS","Total","f",43,0.000139350057881716
"PUE","AGS","Total","f",44,0.000139350057881716
"PUE","AGS","Total","f",45,0.000138502812365201
"PUE","AGS","Total","f",46,0.000138502812365201
"PUE","AGS","Total","f",47,0.000138502812365201
"PUE","AGS","Total","f",48,0.000138502812365201
"PUE","AGS","Total","f",49,0.000138502812365201
"PUE","AGS","Total","f",50,0.000110843009516809
"PUE","AGS","Total","f",51,0.000110843009516809
"PUE","AGS","Total","f",52,0.000110843009516809
"PUE","AGS","Total","f",53,0.000110843009516809
"PUE","AGS","Total","f",54,0.000110843009516809
"PUE","AGS","Total","f",55,0.000102117947890758
"PUE","AGS","Total","f",56,0.000102117947890758
"PUE","AGS","Total","f",57,0.000102117947890758
"PUE","AGS","Total","f",58,0.000102117947890758
"PUE","AGS","Total","f",59,0.000102117947890758
"PUE","AGS","Total","f",60,8.63466973545547e-05
"PUE","AGS","Total","f",61,8.63466973545547e-05
"PUE","AGS","Total","f",62,8.63466973545547e-05
"PUE","AGS","Total","f",63,8.63466973545547e-05
"PUE","AGS","Total","f",64,8.63466973545547e-05
"PUE","AGS","Total","f",65,0.000223259046712491
"PUE","AGS","Total","f",66,0.000223259046712491
"PUE","AGS","Total","f",67,0.000223259046712491
"PUE","AGS","Total","f",68,0.000223259046712491
"PUE","AGS","Total","f",69,0.000223259046712491
"PUE","AGS","Total","f",70,0.000194618829403424
"PUE","AGS","Total","f",71,0.000194618829403424
"PUE","AGS","Total","f",72,0.000194618829403424
"PUE","AGS","Total","f",73,0.000194618829403424
"PUE","AGS","Total","f",74,0.000194618829403424
"PUE","AGS","Total","f",75,0.000207305141840707
"PUE","AGS","Total","f",76,0.000207305141840707
"PUE","AGS","Total","f",77,0.000207305141840707
"PUE","AGS","Total","f",78,0.000207305141840707
"PUE","AGS","Total","f",79,0.000207305141840707
"PUE","AGS","Total","f",80,4.14649123178297e-05
"PUE","AGS","Total","f",81,4.14649123178297e-05
"PUE","AGS","Total","f",82,4.14649123178297e-05
"PUE","AGS","Total","f",83,4.14649123178297e-05
"PUE","AGS","Total","f",84,4.14649123178297e-05
"PUE","AGS","Total","f",85,3.40634260993971e-05
"PUE","AGS","Total","f",86,3.40634260993971e-05
