"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99476.2028848986
"Total","Female","2",98904.9762186318
"Total","Female","3",98850.8208270887
"Total","Female","4",98816.0319911083
"Total","Female","5",98789.5233226668
"Total","Female","6",98767.9649633306
"Total","Female","7",98748.0764599903
"Total","Female","8",98729.9845564758
"Total","Female","9",98710.4591961363
"Total","Female","10",98689.5529479052
"Total","Female","11",98667.2495040286
"Total","Female","12",98641.8896545151
"Total","Female","13",98613.3845570857
"Total","Female","14",98578.5113922072
"Total","Female","15",98538.8537806339
"Total","Female","16",98492.8849920224
"Total","Female","17",98439.1423448216
"Total","Female","18",98377.8335424286
"Total","Female","19",98310.7256471247
"Total","Female","20",98236.1465967871
"Total","Female","21",98153.4870886366
"Total","Female","22",98063.5791096232
"Total","Female","23",97967.643697734
"Total","Female","24",97864.3737896954
"Total","Female","25",97754.1698116591
"Total","Female","26",97635.4680293786
"Total","Female","27",97507.9852461202
"Total","Female","28",97371.1758883078
"Total","Female","29",97225.8918850787
"Total","Female","30",97070.9909149462
"Total","Female","31",96907.2990945202
"Total","Female","32",96736.4024486163
"Total","Female","33",96558.6481981529
"Total","Female","34",96374.2633673437
"Total","Female","35",96183.3528225209
"Total","Female","36",95983.8397485798
"Total","Female","37",95773.1220612937
"Total","Female","38",95546.6731476561
"Total","Female","39",95306.0014268812
"Total","Female","40",95050.9898104639
"Total","Female","41",94777.6941461065
"Total","Female","42",94484.3231412102
"Total","Female","43",94169.266149456
"Total","Female","44",93828.8978709661
"Total","Female","45",93461.0672058081
"Total","Female","46",93059.5483583597
"Total","Female","47",92618.7520906994
"Total","Female","48",92137.0570605346
"Total","Female","49",91615.4246590745
"Total","Female","50",91050.8961119378
"Total","Female","51",90440.7706384252
"Total","Female","52",89785.5839463037
"Total","Female","53",89081.1816556441
"Total","Female","54",88318.1001736587
"Total","Female","55",87490.067247219
"Total","Female","56",86592.7616289069
"Total","Female","57",85621.3730213992
"Total","Female","58",84569.9798267441
"Total","Female","59",83434.2476927863
"Total","Female","60",82210.046644717
"Total","Female","61",80884.746144651
"Total","Female","62",79457.8711008831
"Total","Female","63",77924.8781976221
"Total","Female","64",76287.9549058081
"Total","Female","65",74538.9052467038
"Total","Female","66",72678.5700855501
"Total","Female","67",70707.3014301685
"Total","Female","68",68641.2305859514
"Total","Female","69",66468.6505793491
"Total","Female","70",64205.5127970764
"Total","Female","71",61858.5527901903
"Total","Female","72",59419.4703960005
"Total","Female","73",56880.1583652917
"Total","Female","74",54247.3004391255
"Total","Female","75",51555.8325862707
"Total","Female","76",48818.1206673281
"Total","Female","77",46013.2491652381
"Total","Female","78",43173.5640732272
"Total","Female","79",40333.2278186851
"Total","Female","80",37499.7889545308
"Total","Female","81",34672.7335150509
"Total","Female","82",31849.0027349514
"Total","Female","83",29036.3394214305
"Total","Female","84",26257.2531579837
"Total","Female","85",23538.7460289063
"Total","Female","86",20906.3965612828
"Total","Female","87",18375.6222407065
"Total","Female","88",15963.6940711811
"Total","Female","89",13686.6950856448
"Total","Female","90",11558.5403590139
"Total","Female","91",9596.79981046079
"Total","Female","92",7830.78189201872
"Total","Female","93",6284.89938259108
"Total","Female","94",4943.29524509216
"Total","Female","95",3805.47291539628
"Total","Female","96",2855.55863697337
"Total","Female","97",2074.74182217596
"Total","Female","98",1454.78501283306
"Total","Female","99",982.962846508825
"Total","Female","100+",642.764372831958
"Total","Male","0",1e+05
"Total","Male","1",99379.0702360236
"Total","Male","2",98712.8103776536
"Total","Male","3",98654.3007781603
"Total","Male","4",98619.1674801623
"Total","Male","5",98592.0051674374
"Total","Male","6",98568.0041924301
"Total","Male","7",98545.5990998242
"Total","Male","8",98523.3511738196
"Total","Male","9",98501.3340796357
"Total","Male","10",98478.0126105815
"Total","Male","11",98450.2740617114
"Total","Male","12",98418.0533861881
"Total","Male","13",98376.582192964
"Total","Male","14",98322.5702495182
"Total","Male","15",98251.2287312843
"Total","Male","16",98156.3293186912
"Total","Male","17",98033.444329726
"Total","Male","18",97880.0018907154
"Total","Male","19",97696.6324237717
"Total","Male","20",97481.5566534266
"Total","Male","21",97235.7911914476
"Total","Male","22",96959.8738167267
"Total","Male","23",96653.790461096
"Total","Male","24",96313.2243560187
"Total","Male","25",95924.4546379652
"Total","Male","26",95475.6507759567
"Total","Male","27",94964.9664859807
"Total","Male","28",94400.8596035804
"Total","Male","29",93801.0238258224
"Total","Male","30",93180.8488799134
"Total","Male","31",92547.760829464
"Total","Male","32",91908.9065724102
"Total","Male","33",91264.2920770074
"Total","Male","34",90610.7110975874
