"Race","Sex","Age","Population"
"Total","Male",0,64715
"Total","Male",1,63329
"Total","Male",2,62405
"Total","Male",3,61765
"Total","Male",4,61714
"Total","Male",5,61610
"Total","Male",6,61584
"Total","Male",7,62005
"Total","Male",8,62641
"Total","Male",9,63347
"Total","Male",10,63895
"Total","Male",11,64155
"Total","Male",12,64062
"Total","Male",13,63731
"Total","Male",14,63374
"Total","Male",15,63124
"Total","Male",16,63063
"Total","Male",17,63201
"Total","Male",18,63461
"Total","Male",19,63524
"Total","Male",20,62987
"Total","Male",21,61936
"Total","Male",22,60725
"Total","Male",23,59777
"Total","Male",24,59090
"Total","Male",25,58426
"Total","Male",26,57615
"Total","Male",27,56564
"Total","Male",28,55221
"Total","Male",29,53516
"Total","Male",30,51633
"Total","Male",31,49806
"Total","Male",32,48165
"Total","Male",33,46611
"Total","Male",34,45075
"Total","Male",35,43493
"Total","Male",36,41800
"Total","Male",37,40136
"Total","Male",38,38639
"Total","Male",39,37419
"Total","Male",40,36520
"Total","Male",41,35909
"Total","Male",42,35560
"Total","Male",43,35427
"Total","Male",44,35382
"Total","Male",45,35219
"Total","Male",46,34826
"Total","Male",47,34215
"Total","Male",48,33438
"Total","Male",49,32556
"Total","Male",50,31615
"Total","Male",51,30673
"Total","Male",52,29731
"Total","Male",53,28798
"Total","Male",54,27907
"Total","Male",55,27036
"Total","Male",56,26097
"Total","Male",57,25083
"Total","Male",58,24053
"Total","Male",59,23023
"Total","Male",60,21968
"Total","Male",61,20890
"Total","Male",62,19826
"Total","Male",63,18820
"Total","Male",64,17858
"Total","Male",65,16864
"Total","Male",66,15777
"Total","Male",67,14718
"Total","Male",68,13793
"Total","Male",69,12986
"Total","Male",70,12332
"Total","Male",71,11744
"Total","Male",72,11135
"Total","Male",73,10519
"Total","Male",74,9900
"Total","Male",75,9277
"Total","Male",76,8627
"Total","Male",77,7974
"Total","Male",78,7368
"Total","Male",79,6784
"Total","Male",80,6202
"Total","Male",81,5641
"Total","Male",82,5109
"Total","Male",83,4607
"Total","Male",84,4133
"Total","Male",85,3690
"Total","Male",86,3276
"Total","Male",87,2885
"Total","Male",88,2515
"Total","Male",89,2169
"Total","Male",90,1845
"Total","Male",91,1547
"Total","Male",92,1283
"Total","Male",93,1048
"Total","Male",94,840
"Total","Male",95,661
"Total","Male",96,509
"Total","Male",97,382
"Total","Male",98,278
"Total","Male",99,197
"Total","Male",100,401
"Total","Female",0,62337
"Total","Female",1,61123
"Total","Female",2,60252
"Total","Female",3,59660
"Total","Female",4,59635
"Total","Female",5,59565
"Total","Female",6,59587
"Total","Female",7,60034
"Total","Female",8,60672
"Total","Female",9,61374
"Total","Female",10,61941
"Total","Female",11,62243
"Total","Female",12,62280
"Total","Female",13,62200
"Total","Female",14,62131
"Total","Female",15,62150
"Total","Female",16,62294
"Total","Female",17,62600
"Total","Female",18,63015
"Total","Female",19,63250
"Total","Female",20,62961
"Total","Female",21,62199
"Total","Female",22,61301
"Total","Female",23,60682
"Total","Female",24,60352
"Total","Female",25,60081
"Total","Female",26,59699
"Total","Female",27,59115
"Total","Female",28,58265
"Total","Female",29,57072
"Total","Female",30,55696
"Total","Female",31,54389
"Total","Female",32,53284
"Total","Female",33,52318
"Total","Female",34,51440
"Total","Female",35,50567
"Total","Female",36,49596
"Total","Female",37,48580
"Total","Female",38,47580
"Total","Female",39,46654
"Total","Female",40,45843
"Total","Female",41,45159
"Total","Female",42,44610
"Total","Female",43,44187
"Total","Female",44,43789
"Total","Female",45,43202
"Total","Female",46,42334
"Total","Female",47,41232
"Total","Female",48,39982
"Total","Female",49,38667
"Total","Female",50,37332
"Total","Female",51,36035
"Total","Female",52,34788
"Total","Female",53,33593
"Total","Female",54,32485
"Total","Female",55,31429
"Total","Female",56,30316
"Total","Female",57,29137
"Total","Female",58,27958
"Total","Female",59,26791
"Total","Female",60,25597
"Total","Female",61,24385
"Total","Female",62,23202
"Total","Female",63,22092
"Total","Female",64,21041
"Total","Female",65,19942
"Total","Female",66,18730
"Total","Female",67,17536
"Total","Female",68,16480
"Total","Female",69,15561
"Total","Female",70,14825
"Total","Female",71,14171
"Total","Female",72,13488
"Total","Female",73,12789
"Total","Female",74,12088
"Total","Female",75,11384
"Total","Female",76,10650
"Total","Female",77,9909
"Total","Female",78,9217
"Total","Female",79,8543
"Total","Female",80,7863
"Total","Female",81,7197
"Total","Female",82,6559
"Total","Female",83,5949
"Total","Female",84,5367
"Total","Female",85,4812
"Total","Female",86,4284
"Total","Female",87,3780
"Total","Female",88,3301
"Total","Female",89,2847
"Total","Female",90,2421
"Total","Female",91,2023
"Total","Female",92,1671
"Total","Female",93,1360
"Total","Female",94,1088
"Total","Female",95,859
"Total","Female",96,663
"Total","Female",97,501
"Total","Female",98,372
"Total","Female",99,270
"Total","Female",100,572
