"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.914142109","64.59554372","73.17178053","103.9764458799","1","1135.73258701342","1479.76334216143","454.793415248959","317.345283370216","1","1","1","1"
2021,"1.87393278006","64.40299275","72.60008695","103.970839604767","1.01924488","1135.73258701342","1479.76334216143","454.793415248959","317.345283370216","1.01924488","1.01924488","1.01924488","1.01924488"
2022,"1.82827540896","72.68654019","78.83304445","103.966006317473","1.01924488","1135.73258701342","1479.76334216143","454.793415248959","317.345283370216","1.01924488","1.01924488","1.01924488","1.01924488"
2023,"1.77683230651","72.83731448","79.00302803","103.961899724621","1.01924488","1135.73258701342","1479.76334216143","454.793415248959","317.345283370216","1.01924488","1.01924488","1.01924488","1.01924488"
2024,"1.72370397312","73.02123323","79.20975569","103.958476773334","1.01924488","1135.73258701342","1479.76334216143","454.793415248959","317.345283370216","1.01924488","1.01924488","1.01924488","1.01924488"
2025,"1.6724710404","73.18686793","79.3953339","103.955702458079","1.01924488","1172.12277024005","1500.4433158576","451.669422510327","296.366491764296","1.01924488","1.01924488","1.01924488","1.01924488"
2026,"1.62402229448","73.3686775","79.59835665","103.953548654768","1.03713729","1172.12277024005","1500.4433158576","451.669422510327","296.366491764296","1.03713729","1.03713729","1.03713729","1.03713729"
2027,"1.57735967403","73.53914293","79.7880577","103.951993575387","1.03713729","1172.12277024005","1500.4433158576","451.669422510327","296.366491764296","1.03713729","1.03713729","1.03713729","1.03713729"
2028,"1.53216428688","73.71746305","79.98580431","103.95102193068","1.03713729","1172.12277024005","1500.4433158576","451.669422510327","296.366491764296","1.03713729","1.03713729","1.03713729","1.03713729"
2029,"1.48896437963","73.88879474","80.17512086","103.950626239345","1.03713729","1172.12277024005","1500.4433158576","451.669422510327","296.366491764296","1.03713729","1.03713729","1.03713729","1.03713729"
2030,"1.448195508","74.06377896","80.36776627","103.950808481094","1.03713729","1193.37385247338","1539.22853205151","449.454160542975","301.443011344813","1.03713729","1.03713729","1.03713729","1.03713729"
2031,"1.40949821807","74.23436712","80.55487026","103.951582198804","1.05387395","1193.37385247338","1539.22853205151","449.454160542975","301.443011344813","1.05387395","1.05387395","1.05387395","1.05387395"
2032,"1.37282442352","74.40643415","80.74288223","103.95297526143","1.05387395","1193.37385247338","1539.22853205151","449.454160542975","301.443011344813","1.05387395","1.05387395","1.05387395","1.05387395"
2033,"1.33783151625","74.57560172","80.92701277","103.955032794743","1.05387395","1193.37385247338","1539.22853205151","449.454160542975","301.443011344813","1.05387395","1.05387395","1.05387395","1.05387395"
2034,"1.30444586462","74.74511044","81.1108005","103.957819775688","1.05387395","1193.37385247338","1539.22853205151","449.454160542975","301.443011344813","1.05387395","1.05387395","1.05387395","1.05387395"
2035,"1.27266909005","74.91257313","81.29165416","103.961422150106","1.05387395","1197.58685300706","1560.64257778751","447.922636098286","312.449743322361","1.05387395","1.05387395","1.05387395","1.05387395"
2036,"1.24246122504","75.07977865","81.47150782","103.965934598912","1.06961038","1197.58685300706","1560.64257778751","447.922636098286","312.449743322361","1.06961038","1.06961038","1.06961038","1.06961038"
2037,"1.21376281056","75.24542915","81.64897094","103.971360351809","1.06961038","1197.58685300706","1560.64257778751","447.922636098286","312.449743322361","1.06961038","1.06961038","1.06961038","1.06961038"
2038,"1.18645792292","75.41051476","81.82510494","103.977109558611","1.06961038","1197.58685300706","1560.64257778751","447.922636098286","312.449743322361","1.06961038","1.06961038","1.06961038","1.06961038"
2039,"1.16046822258","75.57432331","81.99915875","103.981001344248","1.06961038","1197.58685300706","1560.64257778751","447.922636098286","312.449743322361","1.06961038","1.06961038","1.06961038","1.06961038"
2040,"1.13552994","75.73741162","82.17172597","103.984220718978","1.06961038","1196.00108818762","1569.82716961118","446.936694255037","309.634679852322","1.06961038","1.06961038","1.06961038","1.06961038"
2041,"1.11178469047","75.89938898","82.34240211","103.987056172024","1.08447177","1196.00108818762","1569.82716961118","446.936694255037","309.634679852322","1.08447177","1.08447177","1.08447177","1.08447177"
2042,"1.08917402256","76.06057313","82.51152424","103.989654412637","1.08447177","1196.00108818762","1569.82716961118","446.936694255037","309.634679852322","1.08447177","1.08447177","1.08447177","1.08447177"
2043,"1.0675285775","76.22075469","82.67888247","103.992048709319","1.08447177","1196.00108818762","1569.82716961118","446.936694255037","309.634679852322","1.08447177","1.08447177","1.08447177","1.08447177"
2044,"1.04688275864","76.38011034","82.84466885","103.994251428199","1.08447177","1196.00108818762","1569.82716961118","446.936694255037","309.634679852322","1.08447177","1.08447177","1.08447177","1.08447177"
2045,"1.02710021175","76.53853648","83.00878082","103.996278666719","1.08447177","1181.9663932079","1569.41171362593","445.85745908617","310.426115126354","1.08447177","1.08447177","1.08447177","1.08447177"
2046,"1.014710878625","76.69614196","83.17133702","103.998185943399","1.08447177","1181.9663932079","1569.41171362593","445.85745908617","310.426115126354","1.08447177","1.08447177","1.08447177","1.08447177"
2047,"1.00303059722","76.85287422","83.33229252","104.000037113078","1.08447177","1181.9663932079","1569.41171362593","445.85745908617","310.426115126354","1.08447177","1.08447177","1.08447177","1.08447177"
2048,"0.991846163805","77.00881056","83.49172976","104.00188703807","1.08447177","1181.9663932079","1569.41171362593","445.85745908617","310.426115126354","1.08447177","1.08447177","1.08447177","1.08447177"
2049,"0.98112037668","77.16392146","83.64963876","104.003783592313","1.08447177","1181.9663932079","1569.41171362593","445.85745908617","310.426115126354","1.08447177","1.08447177","1.08447177","1.08447177"
2050,"0.970673184625","77.31827147","83.80608579","104.005732081556","1.08447177","1164.72153765008","1561.02751732832","444.959299773465","307.493275855862","1.08447177","1.08447177","1.08447177","1.08447177"
2051,"0.96067696608","77.4718604","83.96107184","104.007719576116","1.08447177","1164.72153765008","1561.02751732832","444.959299773465","307.493275855862","1.08447177","1.08447177","1.08447177","1.08447177"
2052,"0.95092670244","77.62473219","84.11466255","104.009724547939","1.08447177","1164.72153765008","1561.02751732832","444.959299773465","307.493275855862","1.08447177","1.08447177","1.08447177","1.08447177"
2053,"0.94148949198","77.77690798","84.26687689","104.011683567099","1.08447177","1164.72153765008","1561.02751732832","444.959299773465","307.493275855862","1.08447177","1.08447177","1.08447177","1.08447177"
2054,"0.93230716314","77.92842602","84.41776354","104.013540910088","1.08447177","1164.72153765008","1561.02751732832","444.959299773465","307.493275855862","1.08447177","1.08447177","1.08447177","1.08447177"
2055,"0.9233378091","78.07931787","84.56736486","104.015346622829","1.08447177","1144.9583164123","1547.04633879339","444.745741954498","302.925742077981","1.08447177","1.08447177","1.08447177","1.08447177"
2056,"0.914679403735","78.2296186","84.71572107","104.017121242836","1.08447177","1144.9583164123","1547.04633879339","444.745741954498","302.925742077981","1.08447177","1.08447177","1.08447177","1.08447177"
2057,"0.90618553461","78.37936415","84.86287551","104.01886949856","1.08447177","1144.9583164123","1547.04633879339","444.745741954498","302.925742077981","1.08447177","1.08447177","1.08447177","1.08447177"
2058,"0.897895826495","78.52859837","85.00887885","104.020590391616","1.08447177","1144.9583164123","1547.04633879339","444.745741954498","302.925742077981","1.08447177","1.08447177","1.08447177","1.08447177"
2059,"0.8897603582","78.67735573","85.15376541","104.022281484613","1.08447177","1144.9583164123","1547.04633879339","444.745741954498","302.925742077981","1.08447177","1.08447177","1.08447177","1.08447177"
2060,"0.88177621275","78.82567581","85.29758553","104.023939578389","1.08447177","1123.13877474711","1528.51829613062","447.095404107756","298.572790432092","1.08447177","1.08447177","1.08447177","1.08447177"
2061,"0.87395382766","78.97359523","85.44037999","104.025562092527","1.08447177","1123.13877474711","1528.51829613062","447.095404107756","298.572790432092","1.08447177","1.08447177","1.08447177","1.08447177"
2062,"0.866266432185","79.12115254","85.58219231","104.027147598519","1.08447177","1123.13877474711","1528.51829613062","447.095404107756","298.572790432092","1.08447177","1.08447177","1.08447177","1.08447177"
2063,"0.85865006898","79.26838259","85.72305798","104.028694886208","1.08447177","1123.13877474711","1528.51829613062","447.095404107756","298.572790432092","1.08447177","1.08447177","1.08447177","1.08447177"
2064,"0.8511723952","79.41531744","85.86301988","104.030202527061","1.08447177","1123.13877474711","1528.51829613062","447.095404107756","298.572790432092","1.08447177","1.08447177","1.08447177","1.08447177"
