"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","QR","Total","f",0,0.000152370565214602
"AGS","QR","Total","f",1,0.000152370565214602
"AGS","QR","Total","f",2,0.000152370565214602
"AGS","QR","Total","f",3,0.000152370565214602
"AGS","QR","Total","f",4,0.000152370565214602
"AGS","QR","Total","f",5,0.00016098396793558
"AGS","QR","Total","f",6,0.00016098396793558
"AGS","QR","Total","f",7,0.00016098396793558
"AGS","QR","Total","f",8,0.00016098396793558
"AGS","QR","Total","f",9,0.00016098396793558
"AGS","QR","Total","f",10,0.000306728962675394
"AGS","QR","Total","f",11,0.000306728962675394
"AGS","QR","Total","f",12,0.000306728962675394
"AGS","QR","Total","f",13,0.000306728962675394
"AGS","QR","Total","f",14,0.000306728962675394
"AGS","QR","Total","f",15,0.000405898218919715
"AGS","QR","Total","f",16,0.000405898218919715
"AGS","QR","Total","f",17,0.000405898218919715
"AGS","QR","Total","f",18,0.000405898218919715
"AGS","QR","Total","f",19,0.000405898218919715
"AGS","QR","Total","f",20,0.000494995008228751
"AGS","QR","Total","f",21,0.000494995008228751
"AGS","QR","Total","f",22,0.000494995008228751
"AGS","QR","Total","f",23,0.000494995008228751
"AGS","QR","Total","f",24,0.000494995008228751
"AGS","QR","Total","f",25,0.000461560597305987
"AGS","QR","Total","f",26,0.000461560597305987
"AGS","QR","Total","f",27,0.000461560597305987
"AGS","QR","Total","f",28,0.000461560597305987
"AGS","QR","Total","f",29,0.000461560597305987
"AGS","QR","Total","f",30,0.00042538735577159
"AGS","QR","Total","f",31,0.00042538735577159
"AGS","QR","Total","f",32,0.00042538735577159
"AGS","QR","Total","f",33,0.00042538735577159
"AGS","QR","Total","f",34,0.00042538735577159
"AGS","QR","Total","f",35,0.000308165649679886
"AGS","QR","Total","f",36,0.000308165649679886
"AGS","QR","Total","f",37,0.000308165649679886
"AGS","QR","Total","f",38,0.000308165649679886
"AGS","QR","Total","f",39,0.000308165649679886
"AGS","QR","Total","f",40,0.000377053150706562
"AGS","QR","Total","f",41,0.000377053150706562
"AGS","QR","Total","f",42,0.000377053150706562
"AGS","QR","Total","f",43,0.000377053150706562
"AGS","QR","Total","f",44,0.000377053150706562
"AGS","QR","Total","f",45,0.00034472170344656
"AGS","QR","Total","f",46,0.00034472170344656
"AGS","QR","Total","f",47,0.00034472170344656
"AGS","QR","Total","f",48,0.00034472170344656
"AGS","QR","Total","f",49,0.00034472170344656
"AGS","QR","Total","f",50,0.00052914179470783
"AGS","QR","Total","f",51,0.00052914179470783
"AGS","QR","Total","f",52,0.00052914179470783
"AGS","QR","Total","f",53,0.00052914179470783
"AGS","QR","Total","f",54,0.00052914179470783
"AGS","QR","Total","f",55,0.000411815202830783
"AGS","QR","Total","f",56,0.000411815202830783
"AGS","QR","Total","f",57,0.000411815202830783
"AGS","QR","Total","f",58,0.000411815202830783
"AGS","QR","Total","f",59,0.000411815202830783
"AGS","QR","Total","f",60,0.000433491161091897
"AGS","QR","Total","f",61,0.000433491161091897
"AGS","QR","Total","f",62,0.000433491161091897
"AGS","QR","Total","f",63,0.000433491161091897
"AGS","QR","Total","f",64,0.000433491161091897
"AGS","QR","Total","f",65,0.00029100162141733
"AGS","QR","Total","f",66,0.00029100162141733
"AGS","QR","Total","f",67,0.00029100162141733
"AGS","QR","Total","f",68,0.00029100162141733
"AGS","QR","Total","f",69,0.00029100162141733
"AGS","QR","Total","f",70,0.000189960902007407
"AGS","QR","Total","f",71,0.000189960902007407
"AGS","QR","Total","f",72,0.000189960902007407
"AGS","QR","Total","f",73,0.000189960902007407
"AGS","QR","Total","f",74,0.000189960902007407
"AGS","QR","Total","f",75,0.000170407923267016
"AGS","QR","Total","f",76,0.000170407923267016
"AGS","QR","Total","f",77,0.000170407923267016
"AGS","QR","Total","f",78,0.000170407923267016
"AGS","QR","Total","f",79,0.000170407923267016
"AGS","QR","Total","f",80,7.28279076542131e-05
"AGS","QR","Total","f",81,7.28279076542131e-05
"AGS","QR","Total","f",82,7.28279076542131e-05
"AGS","QR","Total","f",83,7.28279076542131e-05
"AGS","QR","Total","f",84,7.28279076542131e-05
"AGS","QR","Total","f",85,7.28279076542131e-05
"AGS","QR","Total","f",86,7.28279076542131e-05
"AGS","QR","Total","f",87,7.28279076542131e-05
"AGS","QR","Total","f",88,7.28279076542131e-05
"AGS","QR","Total","f",89,7.28279076542131e-05
"AGS","QR","Total","f",90,0
"AGS","QR","Total","f",91,0
"AGS","QR","Total","f",92,0
"AGS","QR","Total","f",93,0
"AGS","QR","Total","f",94,0
"AGS","QR","Total","f",95,0
"AGS","QR","Total","f",96,0
"AGS","QR","Total","f",97,0
"AGS","QR","Total","f",98,0
"AGS","QR","Total","f",99,0
"AGS","QR","Total","f",100,0
"AGS","QR","Total","m",0,0.000199781776828387
"AGS","QR","Total","m",1,0.000199781776828387
"AGS","QR","Total","m",2,0.000199781776828387
"AGS","QR","Total","m",3,0.000199781776828387
"AGS","QR","Total","m",4,0.000199781776828387
"AGS","QR","Total","m",5,0.000189886576751489
"AGS","QR","Total","m",6,0.000189886576751489
"AGS","QR","Total","m",7,0.000189886576751489
"AGS","QR","Total","m",8,0.000189886576751489
"AGS","QR","Total","m",9,0.000189886576751489
"AGS","QR","Total","m",10,0.000242410140135103
"AGS","QR","Total","m",11,0.000242410140135103
"AGS","QR","Total","m",12,0.000242410140135103
