"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"QR","AGS","Total","f",0,0.000160464471707196
"QR","AGS","Total","f",1,0.000160464471707196
"QR","AGS","Total","f",2,0.000160464471707196
"QR","AGS","Total","f",3,0.000160464471707196
"QR","AGS","Total","f",4,0.000160464471707196
"QR","AGS","Total","f",5,0.00025622630368209
"QR","AGS","Total","f",6,0.00025622630368209
"QR","AGS","Total","f",7,0.00025622630368209
"QR","AGS","Total","f",8,0.00025622630368209
"QR","AGS","Total","f",9,0.00025622630368209
"QR","AGS","Total","f",10,0.000268532188582204
"QR","AGS","Total","f",11,0.000268532188582204
"QR","AGS","Total","f",12,0.000268532188582204
"QR","AGS","Total","f",13,0.000268532188582204
"QR","AGS","Total","f",14,0.000268532188582204
"QR","AGS","Total","f",15,0.000236361940940418
"QR","AGS","Total","f",16,0.000236361940940418
"QR","AGS","Total","f",17,0.000236361940940418
"QR","AGS","Total","f",18,0.000236361940940418
"QR","AGS","Total","f",19,0.000236361940940418
"QR","AGS","Total","f",20,0.000217782683252078
"QR","AGS","Total","f",21,0.000217782683252078
"QR","AGS","Total","f",22,0.000217782683252078
"QR","AGS","Total","f",23,0.000217782683252078
"QR","AGS","Total","f",24,0.000217782683252078
"QR","AGS","Total","f",25,0.000225560109009024
"QR","AGS","Total","f",26,0.000225560109009024
"QR","AGS","Total","f",27,0.000225560109009024
"QR","AGS","Total","f",28,0.000225560109009024
"QR","AGS","Total","f",29,0.000225560109009024
"QR","AGS","Total","f",30,0.000392792770569636
"QR","AGS","Total","f",31,0.000392792770569636
"QR","AGS","Total","f",32,0.000392792770569636
"QR","AGS","Total","f",33,0.000392792770569636
"QR","AGS","Total","f",34,0.000392792770569636
"QR","AGS","Total","f",35,0.000436934145893147
"QR","AGS","Total","f",36,0.000436934145893147
"QR","AGS","Total","f",37,0.000436934145893147
"QR","AGS","Total","f",38,0.000436934145893147
"QR","AGS","Total","f",39,0.000436934145893147
"QR","AGS","Total","f",40,0.000389550862867968
"QR","AGS","Total","f",41,0.000389550862867968
"QR","AGS","Total","f",42,0.000389550862867968
"QR","AGS","Total","f",43,0.000389550862867968
"QR","AGS","Total","f",44,0.000389550862867968
"QR","AGS","Total","f",45,0.000275112232001968
"QR","AGS","Total","f",46,0.000275112232001968
"QR","AGS","Total","f",47,0.000275112232001968
"QR","AGS","Total","f",48,0.000275112232001968
"QR","AGS","Total","f",49,0.000275112232001968
"QR","AGS","Total","f",50,0.0002482984049777
"QR","AGS","Total","f",51,0.0002482984049777
"QR","AGS","Total","f",52,0.0002482984049777
"QR","AGS","Total","f",53,0.0002482984049777
"QR","AGS","Total","f",54,0.0002482984049777
"QR","AGS","Total","f",55,0.000326070146615376
"QR","AGS","Total","f",56,0.000326070146615376
"QR","AGS","Total","f",57,0.000326070146615376
"QR","AGS","Total","f",58,0.000326070146615376
"QR","AGS","Total","f",59,0.000326070146615376
"QR","AGS","Total","f",60,0.000239454358773149
"QR","AGS","Total","f",61,0.000239454358773149
