"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99443.0328145627
"Total","Female","2",98854.740750087
"Total","Female","3",98804.930463131
"Total","Female","4",98773.6719828048
"Total","Female","5",98748.7966640406
"Total","Female","6",98730.1513299945
"Total","Female","7",98711.5048221415
"Total","Female","8",98692.8512670115
"Total","Female","9",98674.2446022008
"Total","Female","10",98655.7124875229
"Total","Female","11",98637.1850132694
"Total","Female","12",98612.339374727
"Total","Female","13",98587.2647222893
"Total","Female","14",98555.6348128528
"Total","Female","15",98523.8046817891
"Total","Female","16",98485.7303015178
"Total","Female","17",98441.5025477337
"Total","Female","18",98385.2806025657
"Total","Female","19",98323.9240197141
"Total","Female","20",98257.8077398463
"Total","Female","21",98181.417972145
"Total","Female","22",98100.3146058711
"Total","Female","23",98009.0107239739
"Total","Female","24",97914.0488715156
"Total","Female","25",97810.6980241192
"Total","Female","26",97699.3778247584
"Total","Female","27",97580.2859154932
"Total","Female","28",97447.9667627967
"Total","Female","29",97306.7232039729
"Total","Female","30",97155.1157411778
"Total","Female","31",96996.2608880448
"Total","Female","32",96829.8597542637
"Total","Female","33",96660.7523203208
"Total","Female","34",96483.1512052867
"Total","Female","35",96301.8590208155
"Total","Female","36",96115.8338299772
"Total","Female","37",95918.6017489693
"Total","Female","38",95709.0090496583
"Total","Female","39",95492.3818102405
"Total","Female","40",95262.1564053939
"Total","Female","41",95017.8860019149
"Total","Female","42",94759.7406048982
"Total","Female","43",94480.9534892616
"Total","Female","44",94188.7406809743
"Total","Female","45",93868.3708147125
"Total","Female","46",93517.0977999992
"Total","Female","47",93139.0639104476
"Total","Female","48",92722.5493487566
"Total","Female","49",92271.6697751562
"Total","Female","50",91783.0905857264
"Total","Female","51",91262.1928744319
"Total","Female","52",90697.6351413162
"Total","Female","53",90086.2016723854
"Total","Female","54",89414.0733316261
"Total","Female","55",88677.4311043628
"Total","Female","56",87871.4819772133
"Total","Female","57",86988.8375762038
"Total","Female","58",86032.9863098914
"Total","Female","59",84983.475372736
"Total","Female","60",83831.879972453
"Total","Female","61",82581.8941577196
"Total","Female","62",81224.5585677735
"Total","Female","63",79752.2100740979
"Total","Female","64",78160.9206005871
"Total","Female","65",76446.4108320796
"Total","Female","66",74613.9278209928
"Total","Female","67",72666.0046202177
"Total","Female","68",70614.6298969542
"Total","Female","69",68443.340381623
"Total","Female","70",66159.8045522086
"Total","Female","71",63779.6732162723
"Total","Female","72",61312.5317656109
"Total","Female","73",58720.2739887561
"Total","Female","74",56051.8370684181
"Total","Female","75",53301.201661571
"Total","Female","76",50495.8752583304
"Total","Female","77",47625.6536640036
"Total","Female","78",44718.0190526669
"Total","Female","79",41790.4891637852
"Total","Female","80",38855.8173301222
"Total","Female","81",35915.8066118921
"Total","Female","82",32979.6842521404
"Total","Female","83",30067.1926558475
"Total","Female","84",27153.1916055011
"Total","Female","85",24299.7286010864
"Total","Female","86",21571.500270993
"Total","Female","87",18933.9369190812
"Total","Female","88",16403.0449727727
"Total","Female","89",14042.5480457071
"Total","Female","90",11852.2025966366
"Total","Female","91",9840.02741459895
"Total","Female","92",8005.86613328831
"Total","Female","93",6414.6380819515
"Total","Female","94",5056.2441351853
"Total","Female","95",3932.63432736635
"Total","Female","96",2955.90161860869
"Total","Female","97",2184.79684853686
"Total","Female","98",1575.08610010797
"Total","Female","99",1110.30659515808
"Total","Female","100+",748.811424641493
"Total","Male","0",1e+05
"Total","Male","1",99452.6880133546
"Total","Male","2",98880.2641240758
"Total","Male","3",98826.2623414296
"Total","Male","4",98796.1314647744
"Total","Male","5",98772.1503660513
"Total","Male","6",98748.1707228451
"Total","Male","7",98730.1799833335
"Total","Male","8",98712.1804974503
"Total","Male","9",98694.2235777346
"Total","Male","10",98670.3771933002
"Total","Male","11",98646.5466469427
"Total","Male","12",98616.5893003342
"Total","Male","13",98580.2575100971
"Total","Male","14",98531.2217543251
"Total","Male","15",98469.3574849999
"Total","Male","16",98389.1229651274
"Total","Male","17",98284.6596050171
"Total","Male","18",98151.2360266319
"Total","Male","19",97990.9212525646
"Total","Male","20",97794.0011436582
"Total","Male","21",97563.2022346417
"Total","Male","22",97298.1898580211
"Total","Male","23",97006.262852113
"Total","Male","24",96680.4386852117
"Total","Male","25",96319.776074065
"Total","Male","26",95917.1137422743
"Total","Male","27",95474.0345629359
"Total","Male","28",94989.7965919754
"Total","Male","29",94475.1957784753
"Total","Male","30",93938.2093126354
"Total","Male","31",93375.830304307
"Total","Male","32",92795.7243807557
"Total","Male","33",92200.3567694755
"Total","Male","34",91591.3845611333
"Total","Male","35",90965.1532154352
"Total","Male","36",90320.8461787534
"Total","Male","37",89654.8759603436
"Total","Male","38",88975.6507342236
"Total","Male","39",88289.9153969964
"Total","Male","40",87589.3739905532
"Total","Male","41",86878.0727861085
"Total","Male","42",86149.3014972925
"Total","Male","43",85401.5704241604
"Total","Male","44",84626.0814116626
"Total","Male","45",83818.2761986527
"Total","Male","46",82968.1644492144
"Total","Male","47",82070.985756566
"Total","Male","48",81134.5720544425
"Total","Male","49",80160.3755799537
"Total","Male","50",79143.5104480748
"Total","Male","51",78078.3842103301
"Total","Male","52",76970.663321814
"Total","Male","53",75816.803929475
"Total","Male","54",74612.7526422018
"Total","Male","55",73355.4830474239
"Total","Male","56",72030.4467254434
"Total","Male","57",70648.9357600113
"Total","Male","58",69191.4276593922
"Total","Male","59",67649.8515204831
"Total","Male","60",66028.8309522916
"Total","Male","61",64331.4316990194
"Total","Male","62",62553.7064707218
"Total","Male","63",60692.2602059599
"Total","Male","64",58749.0130922629
"Total","Male","65",56713.2981437267
"Total","Male","66",54592.4719832001
"Total","Male","67",52403.0615985207
"Total","Male","68",50178.1271395891
"Total","Male","69",47902.8719850211
"Total","Male","70",45594.5188292261
"Total","Male","71",43260.1691041992
"Total","Male","72",40875.3747765146
"Total","Male","73",38476.1043887735
"Total","Male","74",36060.7432312941
"Total","Male","75",33651.2484967003
"Total","Male","76",31246.8411794461
"Total","Male","77",28862.2420932182
"Total","Male","78",26517.8760687882
"Total","Male","79",24227.7473958959
"Total","Male","80",22002.0404580911
"Total","Male","81",19845.6746189028
"Total","Male","82",17769.3631624239
"Total","Male","83",15805.8976196147
"Total","Male","84",13943.4587799115
"Total","Male","85",12191.1390050572
"Total","Male","86",10579.087566372
"Total","Male","87",9087.65108748083
"Total","Male","88",7744.14897412941
"Total","Male","89",6521.38860979318
"Total","Male","90",5423.85549738181
"Total","Male","91",4456.21930536064
