"Race","Sex","Age","Population"
"Total","Male",0,16912
"Total","Male",1,16631
"Total","Male",2,16475
"Total","Male",3,16397
"Total","Male",4,16477
"Total","Male",5,16474
"Total","Male",6,16465
"Total","Male",7,16454
"Total","Male",8,16490
"Total","Male",9,16553
"Total","Male",10,16560
"Total","Male",11,16462
"Total","Male",12,16283
"Total","Male",13,16079
"Total","Male",14,15922
"Total","Male",15,15948
"Total","Male",16,16003
"Total","Male",17,16195
"Total","Male",18,16517
"Total","Male",19,16902
"Total","Male",20,17352
"Total","Male",21,17647
"Total","Male",22,17971
"Total","Male",23,18428
"Total","Male",24,18997
"Total","Male",25,19574
"Total","Male",26,20086
"Total","Male",27,20453
"Total","Male",28,20618
"Total","Male",29,20526
"Total","Male",30,20151
"Total","Male",31,19737
"Total","Male",32,19265
"Total","Male",33,18712
"Total","Male",34,18074
"Total","Male",35,17304
"Total","Male",36,16485
"Total","Male",37,15648
"Total","Male",38,14864
"Total","Male",39,14185
"Total","Male",40,13613
"Total","Male",41,13177
"Total","Male",42,12848
"Total","Male",43,12607
"Total","Male",44,12407
"Total","Male",45,12164
"Total","Male",46,11865
"Total","Male",47,11503
"Total","Male",48,11093
"Total","Male",49,10653
"Total","Male",50,10185
"Total","Male",51,9728
"Total","Male",52,9269
"Total","Male",53,8808
"Total","Male",54,8356
"Total","Male",55,7900
"Total","Male",56,7436
"Total","Male",57,6956
"Total","Male",58,6480
"Total","Male",59,6020
"Total","Male",60,5568
"Total","Male",61,5139
"Total","Male",62,4734
"Total","Male",63,4364
"Total","Male",64,4027
"Total","Male",65,3700
"Total","Male",66,3372
"Total","Male",67,3066
"Total","Male",68,2802
"Total","Male",69,2572
"Total","Male",70,2379
"Total","Male",71,2205
"Total","Male",72,2034
"Total","Male",73,1867
"Total","Male",74,1707
"Total","Male",75,1552
"Total","Male",76,1399
"Total","Male",77,1252
"Total","Male",78,1119
"Total","Male",79,997
"Total","Male",80,883
"Total","Male",81,779
"Total","Male",82,684
"Total","Male",83,599
"Total","Male",84,522
"Total","Male",85,452
"Total","Male",86,389
"Total","Male",87,332
"Total","Male",88,280
"Total","Male",89,234
"Total","Male",90,194
"Total","Male",91,158
"Total","Male",92,126
"Total","Male",93,101
"Total","Male",94,79
"Total","Male",95,62
"Total","Male",96,49
"Total","Male",97,38
"Total","Male",98,29
"Total","Male",99,23
"Total","Male",100,60
"Total","Female",0,16260
"Total","Female",1,16011
"Total","Female",2,15873
"Total","Female",3,15802
"Total","Female",4,15881
"Total","Female",5,15887
"Total","Female",6,15883
"Total","Female",7,15874
"Total","Female",8,15911
"Total","Female",9,15972
"Total","Female",10,15973
"Total","Female",11,15878
"Total","Female",12,15729
"Total","Female",13,15582
"Total","Female",14,15479
"Total","Female",15,15523
"Total","Female",16,15584
"Total","Female",17,15754
"Total","Female",18,16030
"Total","Female",19,16353
"Total","Female",20,16715
"Total","Female",21,16941
"Total","Female",22,17183
"Total","Female",23,17537
"Total","Female",24,17991
"Total","Female",25,18441
"Total","Female",26,18857
"Total","Female",27,19161
"Total","Female",28,19304
"Total","Female",29,19240
"Total","Female",30,18944
"Total","Female",31,18637
"Total","Female",32,18307
"Total","Female",33,17944
"Total","Female",34,17546
"Total","Female",35,17067
"Total","Female",36,16552
"Total","Female",37,16000
"Total","Female",38,15446
"Total","Female",39,14914
"Total","Female",40,14411
"Total","Female",41,13968
"Total","Female",42,13576
"Total","Female",43,13236
"Total","Female",44,12914
"Total","Female",45,12536
"Total","Female",46,12097
"Total","Female",47,11602
"Total","Female",48,11078
"Total","Female",49,10548
"Total","Female",50,10015
"Total","Female",51,9508
"Total","Female",52,9018
"Total","Female",53,8546
"Total","Female",54,8099
"Total","Female",55,7667
"Total","Female",56,7231
"Total","Female",57,6788
"Total","Female",58,6355
"Total","Female",59,5937
"Total","Female",60,5525
"Total","Female",61,5129
"Total","Female",62,4756
"Total","Female",63,4416
"Total","Female",64,4103
"Total","Female",65,3792
"Total","Female",66,3478
"Total","Female",67,3178
"Total","Female",68,2914
"Total","Female",69,2682
"Total","Female",70,2484
"Total","Female",71,2307
"Total","Female",72,2130
"Total","Female",73,1957
"Total","Female",74,1789
"Total","Female",75,1628
"Total","Female",76,1470
"Total","Female",77,1318
"Total","Female",78,1182
"Total","Female",79,1058
"Total","Female",80,941
"Total","Female",81,833
"Total","Female",82,736
"Total","Female",83,648
"Total","Female",84,568
"Total","Female",85,496
"Total","Female",86,430
"Total","Female",87,370
"Total","Female",88,316
"Total","Female",89,266
"Total","Female",90,221
"Total","Female",91,180
"Total","Female",92,145
"Total","Female",93,114
"Total","Female",94,88
"Total","Female",95,67
"Total","Female",96,50
"Total","Female",97,37
"Total","Female",98,26
"Total","Female",99,18
"Total","Female",100,27
