"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","QRO","Total","f",0,0.000441072688779111
"AGS","QRO","Total","f",1,0.000441072688779111
"AGS","QRO","Total","f",2,0.000441072688779111
"AGS","QRO","Total","f",3,0.000441072688779111
"AGS","QRO","Total","f",4,0.000441072688779111
"AGS","QRO","Total","f",5,0.00072749913435788
"AGS","QRO","Total","f",6,0.00072749913435788
"AGS","QRO","Total","f",7,0.00072749913435788
"AGS","QRO","Total","f",8,0.00072749913435788
"AGS","QRO","Total","f",9,0.00072749913435788
"AGS","QRO","Total","f",10,0.00095375219614301
"AGS","QRO","Total","f",11,0.00095375219614301
"AGS","QRO","Total","f",12,0.00095375219614301
"AGS","QRO","Total","f",13,0.00095375219614301
"AGS","QRO","Total","f",14,0.00095375219614301
"AGS","QRO","Total","f",15,0.00100866832560698
"AGS","QRO","Total","f",16,0.00100866832560698
"AGS","QRO","Total","f",17,0.00100866832560698
"AGS","QRO","Total","f",18,0.00100866832560698
"AGS","QRO","Total","f",19,0.00100866832560698
"AGS","QRO","Total","f",20,0.00131740342637933
"AGS","QRO","Total","f",21,0.00131740342637933
"AGS","QRO","Total","f",22,0.00131740342637933
"AGS","QRO","Total","f",23,0.00131740342637933
"AGS","QRO","Total","f",24,0.00131740342637933
"AGS","QRO","Total","f",25,0.00147846017570002
"AGS","QRO","Total","f",26,0.00147846017570002
"AGS","QRO","Total","f",27,0.00147846017570002
"AGS","QRO","Total","f",28,0.00147846017570002
"AGS","QRO","Total","f",29,0.00147846017570002
"AGS","QRO","Total","f",30,0.00162561995943916
"AGS","QRO","Total","f",31,0.00162561995943916
"AGS","QRO","Total","f",32,0.00162561995943916
"AGS","QRO","Total","f",33,0.00162561995943916
"AGS","QRO","Total","f",34,0.00162561995943916
"AGS","QRO","Total","f",35,0.00144814447990619
"AGS","QRO","Total","f",36,0.00144814447990619
"AGS","QRO","Total","f",37,0.00144814447990619
"AGS","QRO","Total","f",38,0.00144814447990619
"AGS","QRO","Total","f",39,0.00144814447990619
"AGS","QRO","Total","f",40,0.00114462323092652
"AGS","QRO","Total","f",41,0.00114462323092652
"AGS","QRO","Total","f",42,0.00114462323092652
"AGS","QRO","Total","f",43,0.00114462323092652
"AGS","QRO","Total","f",44,0.00114462323092652
"AGS","QRO","Total","f",45,0.000999410833939745
"AGS","QRO","Total","f",46,0.000999410833939745
"AGS","QRO","Total","f",47,0.000999410833939745
"AGS","QRO","Total","f",48,0.000999410833939745
"AGS","QRO","Total","f",49,0.000999410833939745
"AGS","QRO","Total","f",50,0.000778297669442595
"AGS","QRO","Total","f",51,0.000778297669442595
"AGS","QRO","Total","f",52,0.000778297669442595
"AGS","QRO","Total","f",53,0.000778297669442595
"AGS","QRO","Total","f",54,0.000778297669442595
"AGS","QRO","Total","f",55,0.000693707419866899
"AGS","QRO","Total","f",56,0.000693707419866899
"AGS","QRO","Total","f",57,0.000693707419866899
"AGS","QRO","Total","f",58,0.000693707419866899
"AGS","QRO","Total","f",59,0.000693707419866899
"AGS","QRO","Total","f",60,0.000819394805650099
"AGS","QRO","Total","f",61,0.000819394805650099
"AGS","QRO","Total","f",62,0.000819394805650099
"AGS","QRO","Total","f",63,0.000819394805650099
"AGS","QRO","Total","f",64,0.000819394805650099
"AGS","QRO","Total","f",65,0.000793950380665689
"AGS","QRO","Total","f",66,0.000793950380665689
"AGS","QRO","Total","f",67,0.000793950380665689
"AGS","QRO","Total","f",68,0.000793950380665689
"AGS","QRO","Total","f",69,0.000793950380665689
"AGS","QRO","Total","f",70,0.000873432843132545
"AGS","QRO","Total","f",71,0.000873432843132545
"AGS","QRO","Total","f",72,0.000873432843132545
"AGS","QRO","Total","f",73,0.000873432843132545
"AGS","QRO","Total","f",74,0.000873432843132545
"AGS","QRO","Total","f",75,0.000434623632758172
"AGS","QRO","Total","f",76,0.000434623632758172
"AGS","QRO","Total","f",77,0.000434623632758172
"AGS","QRO","Total","f",78,0.000434623632758172
"AGS","QRO","Total","f",79,0.000434623632758172
"AGS","QRO","Total","f",80,0.000239463601532567
"AGS","QRO","Total","f",81,0.000239463601532567
"AGS","QRO","Total","f",82,0.000239463601532567
"AGS","QRO","Total","f",83,0.000239463601532567
"AGS","QRO","Total","f",84,0.000239463601532567
"AGS","QRO","Total","f",85,0
"AGS","QRO","Total","f",86,0
"AGS","QRO","Total","f",87,0
"AGS","QRO","Total","f",88,0
"AGS","QRO","Total","f",89,0
"AGS","QRO","Total","f",90,0
"AGS","QRO","Total","f",91,0
"AGS","QRO","Total","f",92,0
"AGS","QRO","Total","f",93,0
"AGS","QRO","Total","f",94,0
"AGS","QRO","Total","f",95,0
"AGS","QRO","Total","f",96,0
"AGS","QRO","Total","f",97,0
"AGS","QRO","Total","f",98,0
"AGS","QRO","Total","f",99,0
"AGS","QRO","Total","f",100,0
"AGS","QRO","Total","m",0,0.000676184475419158
"AGS","QRO","Total","m",1,0.000676184475419158
"AGS","QRO","Total","m",2,0.000676184475419158
"AGS","QRO","Total","m",3,0.000676184475419158
"AGS","QRO","Total","m",4,0.000676184475419158
"AGS","QRO","Total","m",5,0.000689253292013271
"AGS","QRO","Total","m",6,0.000689253292013271
"AGS","QRO","Total","m",7,0.000689253292013271
"AGS","QRO","Total","m",8,0.000689253292013271
"AGS","QRO","Total","m",9,0.000689253292013271
"AGS","QRO","Total","m",10,0.00087862804181953
"AGS","QRO","Total","m",11,0.00087862804181953
"AGS","QRO","Total","m",12,0.00087862804181953
"AGS","QRO","Total","m",13,0.00087862804181953
"AGS","QRO","Total","m",14,0.00087862804181953
"AGS","QRO","Total","m",15,0.00096125405910652
