"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99501.1357309978
"Total","Female","2",98973.7005963533
"Total","Female","3",98928.6020820446
"Total","Female","4",98898.3871870336
"Total","Female","5",98873.3210643148
"Total","Female","6",98853.3748627686
"Total","Female","7",98838.4374399168
"Total","Female","8",98823.5659444523
"Total","Female","9",98808.8077147271
"Total","Female","10",98789.3091833577
"Total","Female","11",98769.9377809981
"Total","Female","12",98745.7585017548
"Total","Female","13",98721.5270084168
"Total","Female","14",98687.5094008429
"Total","Female","15",98648.6139394572
"Total","Female","16",98605.1191433541
"Total","Female","17",98557.1524560245
"Total","Female","18",98505.0396539952
"Total","Female","19",98444.4656129129
"Total","Female","20",98375.7050725672
"Total","Female","21",98303.4032222612
"Total","Female","22",98226.9742426002
"Total","Female","23",98146.3685650817
"Total","Female","24",98048.7060697888
"Total","Female","25",97939.1813651689
"Total","Female","26",97822.3733656611
"Total","Female","27",97698.1435993934
"Total","Female","28",97570.2162148191
"Total","Female","29",97446.2578212753
"Total","Female","30",97320.8805291074
"Total","Female","31",97175.2203228593
"Total","Female","32",97013.1190332239
"Total","Female","33",96847.9512732241
"Total","Female","34",96698.4368752723
"Total","Female","35",96555.6804604178
"Total","Female","36",96395.3656278253
"Total","Female","37",96211.6371782062
"Total","Female","38",96033.8015096875
"Total","Female","39",95857.0202833026
"Total","Female","40",95660.4776687736
"Total","Female","41",95449.2767500336
"Total","Female","42",95245.8246522284
"Total","Female","43",95045.4711587447
"Total","Female","44",94832.024677802
"Total","Female","45",94571.4037472739
"Total","Female","46",94244.1571232888
"Total","Female","47",93858.0304630283
"Total","Female","48",93426.3614631344
"Total","Female","49",92963.5339516753
"Total","Female","50",92485.7361071404
"Total","Female","51",92024.2304379431
"Total","Female","52",91566.7551317407
"Total","Female","53",91014.8497998285
"Total","Female","54",90392.187943578
"Total","Female","55",89809.3787770169
"Total","Female","56",89183.4203955775
"Total","Female","57",88404.809231702
"Total","Female","58",87579.06854311
"Total","Female","59",86728.9139623062
"Total","Female","60",85715.6084047234
"Total","Female","61",84544.6171420165
"Total","Female","62",83292.2515459791
"Total","Female","63",81901.1058763841
"Total","Female","64",80333.4654101342
"Total","Female","65",78761.8213132339
"Total","Female","66",77146.5543580807
"Total","Female","67",75251.7267071804
"Total","Female","68",73223.3086295725
"Total","Female","69",71296.556741813
"Total","Female","70",69421.4363093493
"Total","Female","71",67362.4784347797
"Total","Female","72",65010.7445160443
"Total","Female","73",62552.4179998738
"Total","Female","74",60074.1857386902
"Total","Female","75",57337.4988965008
"Total","Female","76",54448.6784928079
"Total","Female","77",51791.0547184921
"Total","Female","78",49240.101926136
"Total","Female","79",46490.6107211297
"Total","Female","80",43614.9028414722
"Total","Female","81",40804.5701897622
"Total","Female","82",38039.7525737701
"Total","Female","83",35190.4055020023
"Total","Female","84",32266.986678157
"Total","Female","85",29387.0922040537
"Total","Female","86",26641.4067364463
"Total","Female","87",23989.8923219185
"Total","Female","88",21329.1171448899
"Total","Female","89",18566.4472036344
"Total","Female","90",15820.7050115477
"Total","Female","91",13279.8368079086
"Total","Female","92",11084.4667035217
"Total","Female","93",9263.82966043121
"Total","Female","94",7701.77875750136
"Total","Female","95",6252.81893336941
"Total","Female","96",4873.35435855735
"Total","Female","97",3680.33920380659
"Total","Female","98",2724.11814179038
