"Race","Sex","Age","Population"
"Total","Male",0,20935
"Total","Male",1,20689
"Total","Male",2,20497
"Total","Male",3,20407
"Total","Male",4,20512
"Total","Male",5,20638
"Total","Male",6,20655
"Total","Male",7,20711
"Total","Male",8,20840
"Total","Male",9,21000
"Total","Male",10,21107
"Total","Male",11,21107
"Total","Male",12,21006
"Total","Male",13,20863
"Total","Male",14,20761
"Total","Male",15,20835
"Total","Male",16,20945
"Total","Male",17,21186
"Total","Male",18,21539
"Total","Male",19,21901
"Total","Male",20,22246
"Total","Male",21,22353
"Total","Male",22,22436
"Total","Male",23,22633
"Total","Male",24,22922
"Total","Male",25,23180
"Total","Male",26,23347
"Total","Male",27,23354
"Total","Male",28,23164
"Total","Male",29,22727
"Total","Male",30,22040
"Total","Male",31,21365
"Total","Male",32,20693
"Total","Male",33,19999
"Total","Male",34,19277
"Total","Male",35,18478
"Total","Male",36,17660
"Total","Male",37,16853
"Total","Male",38,16124
"Total","Male",39,15523
"Total","Male",40,15055
"Total","Male",41,14736
"Total","Male",42,14535
"Total","Male",43,14429
"Total","Male",44,14364
"Total","Male",45,14238
"Total","Male",46,14033
"Total","Male",47,13739
"Total","Male",48,13374
"Total","Male",49,12962
"Total","Male",50,12508
"Total","Male",51,12063
"Total","Male",52,11617
"Total","Male",53,11175
"Total","Male",54,10753
"Total","Male",55,10337
"Total","Male",56,9904
"Total","Male",57,9448
"Total","Male",58,8988
"Total","Male",59,8532
"Total","Male",60,8071
"Total","Male",61,7605
"Total","Male",62,7148
"Total","Male",63,6715
"Total","Male",64,6304
"Total","Male",65,5889
"Total","Male",66,5445
"Total","Male",67,5019
"Total","Male",68,4646
"Total","Male",69,4325
"Total","Male",70,4064
"Total","Male",71,3832
"Total","Male",72,3597
"Total","Male",73,3365
"Total","Male",74,3136
"Total","Male",75,2909
"Total","Male",76,2680
"Total","Male",77,2452
"Total","Male",78,2241
"Total","Male",79,2039
"Total","Male",80,1841
"Total","Male",81,1656
"Total","Male",82,1482
"Total","Male",83,1321
"Total","Male",84,1173
"Total","Male",85,1038
"Total","Male",86,912
"Total","Male",87,795
"Total","Male",88,688
"Total","Male",89,590
"Total","Male",90,497
"Total","Male",91,414
"Total","Male",92,339
"Total","Male",93,274
"Total","Male",94,218
"Total","Male",95,170
"Total","Male",96,131
"Total","Male",97,98
"Total","Male",98,72
"Total","Male",99,51
"Total","Male",100,97
"Total","Female",0,20159
"Total","Female",1,19944
"Total","Female",2,19747
"Total","Female",3,19642
"Total","Female",4,19725
"Total","Female",5,19826
"Total","Female",6,19852
"Total","Female",7,19937
"Total","Female",8,20087
"Total","Female",9,20268
"Total","Female",10,20397
"Total","Female",11,20422
"Total","Female",12,20373
"Total","Female",13,20311
"Total","Female",14,20294
"Total","Female",15,20408
"Total","Female",16,20552
"Total","Female",17,20798
"Total","Female",18,21134
"Total","Female",19,21468
"Total","Female",20,21762
"Total","Female",21,21857
"Total","Female",22,21926
"Total","Female",23,22098
"Total","Female",24,22368
"Total","Female",25,22625
"Total","Female",26,22821
"Total","Female",27,22896
"Total","Female",28,22812
"Total","Female",29,22525
"Total","Female",30,22032
"Total","Female",31,21563
"Total","Female",32,21127
"Total","Female",33,20712
"Total","Female",34,20306
"Total","Female",35,19859
"Total","Female",36,19394
"Total","Female",37,18918
"Total","Female",38,18453
"Total","Female",39,18027
"Total","Female",40,17645
"Total","Female",41,17340
"Total","Female",42,17096
"Total","Female",43,16902
"Total","Female",44,16715
"Total","Female",45,16444
"Total","Female",46,16076
"Total","Female",47,15619
"Total","Female",48,15102
"Total","Female",49,14555
"Total","Female",50,13993
"Total","Female",51,13444
"Total","Female",52,12902
"Total","Female",53,12382
"Total","Female",54,11904
"Total","Female",55,11438
"Total","Female",56,10948
"Total","Female",57,10443
"Total","Female",58,9944
"Total","Female",59,9445
"Total","Female",60,8942
"Total","Female",61,8443
"Total","Female",62,7956
"Total","Female",63,7503
"Total","Female",64,7086
"Total","Female",65,6660
"Total","Female",66,6193
"Total","Female",67,5746
"Total","Female",68,5363
"Total","Female",69,5028
"Total","Female",70,4750
"Total","Female",71,4503
"Total","Female",72,4255
"Total","Female",73,4008
"Total","Female",74,3754
"Total","Female",75,3502
"Total","Female",76,3258
"Total","Female",77,3010
"Total","Female",78,2768
"Total","Female",79,2538
"Total","Female",80,2313
"Total","Female",81,2096
"Total","Female",82,1889
"Total","Female",83,1696
"Total","Female",84,1520
"Total","Female",85,1357
"Total","Female",86,1203
"Total","Female",87,1056
"Total","Female",88,917
"Total","Female",89,789
"Total","Female",90,670
"Total","Female",91,566
"Total","Female",92,475
"Total","Female",93,391
"Total","Female",94,313
"Total","Female",95,246
"Total","Female",96,190
"Total","Female",97,144
"Total","Female",98,106
"Total","Female",99,75
"Total","Female",100,142
