Code,Region
AGS,Low fertility
BC,Low fertility
BCS,Low fertility
CAMP,Low fertility
COAH,Low fertility
COL,Low fertility
CHIS,High fertility
CHIH,Low fertility
CDMX,Low fertility
DGO,Low fertility
GTO,Low fertility
GRO,High fertility
HGO,Low fertility
JAL,Low fertility
MEX,Low fertility
MICH,High fertility
MOR,Low fertility
NAY,Low fertility
NL,Low fertility
OAX,High fertility
PUE,High fertility
QRO,Low fertility
QR,Low fertility
SLP,Low fertility
SIN,Low fertility
SON,Low fertility
TAB,Low fertility
TAMPS,Low fertility
TLAX,High fertility
VER,Low fertility
YUC,Low fertility
ZAC,High fertility
