"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.965588709","66.83453896","73.93615485","103.746080692767","1","4027.8485071728","3518.40995930332","2752.70961624853","1596.78628622817","1","1","1","1"
2021,"1.924182138025","68.35541046","74.2883973","103.74994249864","0.99696334","4027.8485071728","3518.40995930332","2752.70961624853","1596.78628622817","0.99696334","0.99696334","0.99696334","0.99696334"
2022,"1.86921877725","72.9727054","79.19084735","103.753965292949","0.99696334","4027.8485071728","3518.40995930332","2752.70961624853","1596.78628622817","0.99696334","0.99696334","0.99696334","0.99696334"
2023,"1.81395362277","73.22354957","79.4590304","103.758150427061","0.99696334","4027.8485071728","3518.40995930332","2752.70961624853","1596.78628622817","0.99696334","0.99696334","0.99696334","0.99696334"
2024,"1.76815896614","73.50753742","79.76356713","103.762487490129","0.99696334","4027.8485071728","3518.40995930332","2752.70961624853","1596.78628622817","0.99696334","0.99696334","0.99696334","0.99696334"
2025,"1.7336999901","73.77322864","80.04717585","103.766962161157","0.99696334","4133.35618930507","3547.36975055732","2725.38495811964","1486.63645344732","0.99696334","0.99696334","0.99696334","0.99696334"
2026,"1.70549636863","74.05508036","80.34804886","103.771557980371","0.99279534","4133.35618930507","3547.36975055732","2725.38495811964","1486.63645344732","0.99279534","0.99279534","0.99279534","0.99279534"
2027,"1.677048333765","74.32557631","80.63574192","103.776256001203","0.99279534","4133.35618930507","3547.36975055732","2725.38495811964","1486.63645344732","0.99279534","0.99279534","0.99279534","0.99279534"
2028,"1.64552415456","74.60391456","80.93139463","103.781034938893","0.99279534","4133.35618930507","3547.36975055732","2725.38495811964","1486.63645344732","0.99279534","0.99279534","0.99279534","0.99279534"
2029,"1.611917533665","74.8752519","81.21870564","103.785872189487","0.99279534","4133.35618930507","3547.36975055732","2725.38495811964","1486.63645344732","0.99279534","0.99279534","0.99279534","0.99279534"
2030,"1.578802796","75.15022864","81.5093116","103.79074536914","0.99279534","4155.6377998032","3593.53112818651","2687.93355874852","1498.6729145909","0.99279534","0.99279534","0.99279534","0.99279534"
2031,"1.54820343006","75.42079467","81.79443566","103.795635397496","0.986265945","4155.6377998032","3593.53112818651","2687.93355874852","1498.6729145909","0.986265945","0.986265945","0.986265945","0.986265945"
2032,"1.5204470954","75.69282298","82.08045587","103.800530778458","0.986265945","4155.6377998032","3593.53112818651","2687.93355874852","1498.6729145909","0.986265945","0.986265945","0.986265945","0.986265945"
2033,"1.49504072179","75.96193978","82.36264194","103.805433985337","0.986265945","4155.6377998032","3593.53112818651","2687.93355874852","1498.6729145909","0.986265945","0.986265945","0.986265945","0.986265945"
2034,"1.47085660878","76.23138231","82.64448467","103.810372807469","0.986265945","4155.6377998032","3593.53112818651","2687.93355874852","1498.6729145909","0.986265945","0.986265945","0.986265945","0.986265945"
2035,"1.447248505575","76.498768","82.92342207","103.815419743514","0.986265945","4100.59123144429","3582.61422774774","2645.13545026391","1533.88779606957","0.986265945","0.986265945","0.986265945","0.986265945"
2036,"1.42395708572","76.76588348","83.2013799","103.82073012638","0.97817625","4100.59123144429","3582.61422774774","2645.13545026391","1533.88779606957","0.97817625","0.97817625","0.97817625","0.97817625"
2037,"1.401116175735","77.03142628","83.47696487","103.826609170614","0.97817625","4100.59123144429","3582.61422774774","2645.13545026391","1533.88779606957","0.97817625","0.97817625","0.97817625","0.97817625"
2038,"1.37900729239","77.29639217","83.75123758","103.833475228699","0.97817625","4100.59123144429","3582.61422774774","2645.13545026391","1533.88779606957","0.97817625","0.97817625","0.97817625","0.97817625"
2039,"1.35788364036","77.56006891","84.02345324","103.839527650932","0.97817625","4100.59123144429","3582.61422774774","2645.13545026391","1533.88779606957","0.97817625","0.97817625","0.97817625","0.97817625"
2040,"1.3378973544","77.82300933","84.29419842","103.845300566305","0.97817625","4014.59704705152","3532.80253553466","2597.63156546958","1496.06220565026","0.97817625","0.97817625","0.97817625","0.97817625"
2041,"1.31889258142","78.08482955","84.56307483","103.850738582964","0.969498895","4014.59704705152","3532.80253553466","2597.63156546958","1496.06220565026","0.969498895","0.969498895","0.969498895","0.969498895"
2042,"1.30097931301","78.34584042","84.8304108","103.855923572743","0.969498895","4014.59704705152","3532.80253553466","2597.63156546958","1496.06220565026","0.969498895","0.969498895","0.969498895","0.969498895"
2043,"1.283754486285","78.60583602","85.09600305","103.860835328122","0.969498895","4014.59704705152","3532.80253553466","2597.63156546958","1496.06220565026","0.969498895","0.969498895","0.969498895","0.969498895"
2044,"1.26730549704","78.86499489","85.36004056","103.865412385041","0.969498895","4014.59704705152","3532.80253553466","2597.63156546958","1496.06220565026","0.969498895","0.969498895","0.969498895","0.969498895"
2045,"1.251498451","79.12321363","85.62242243","103.869612530572","0.969498895","3895.18039339888","3467.50002485797","2551.89732704332","1477.04567230162","0.969498895","0.969498895","0.969498895","0.969498895"
2046,"1.23997252812","79.38059716","85.88326699","103.873422610421","0.96288359","3895.18039339888","3467.50002485797","2551.89732704332","1477.04567230162","0.96288359","0.96288359","0.96288359","0.96288359"
2047,"1.22902956681","79.63710132","86.142525","103.876871231769","0.96288359","3895.18039339888","3467.50002485797","2551.89732704332","1477.04567230162","0.96288359","0.96288359","0.96288359","0.96288359"
2048,"1.218562257865","79.89278839","86.40028377","103.880053772361","0.96288359","3895.18039339888","3467.50002485797","2551.89732704332","1477.04567230162","0.96288359","0.96288359","0.96288359","0.96288359"
2049,"1.20852953924","80.14764849","86.65653138","103.883083155675","0.96288359","3895.18039339888","3467.50002485797","2551.89732704332","1477.04567230162","0.96288359","0.96288359","0.96288359","0.96288359"
2050,"1.1988491448375","80.40173152","86.91132955","103.886069036541","0.96288359","3762.02393648312","3380.39260476247","2505.60945286176","1439.45213528607","0.96288359","0.96288359","0.96288359","0.96288359"
2051,"1.18963323818","80.65504669","87.16468838","103.889112129148","0.954410485","3762.02393648312","3380.39260476247","2505.60945286176","1439.45213528607","0.954410485","0.954410485","0.954410485","0.954410485"
2052,"1.180809109165","80.90763387","87.41666162","103.892271538846","0.954410485","3762.02393648312","3380.39260476247","2505.60945286176","1439.45213528607","0.954410485","0.954410485","0.954410485","0.954410485"
2053,"1.17224891622","81.1595144","87.66727605","103.895201142575","0.954410485","3762.02393648312","3380.39260476247","2505.60945286176","1439.45213528607","0.954410485","0.954410485","0.954410485","0.954410485"
2054,"1.16398888474","81.41072579","87.91657749","103.898237070128","0.954410485","3762.02393648312","3380.39260476247","2505.60945286176","1439.45213528607","0.954410485","0.954410485","0.954410485","0.954410485"
2055,"1.1561410235","81.66129991","88.16460989","103.901332935516","0.954410485","3611.20541644955","3271.3195991848","2457.03907526009","1391.24930132721","0.954410485","0.954410485","0.954410485","0.954410485"
2056,"1.14858498231","81.91127841","88.41140649","103.904433205845","0.94992529","3611.20541644955","3271.3195991848","2457.03907526009","1391.24930132721","0.94992529","0.94992529","0.94992529","0.94992529"
2057,"1.14131007952","82.16069606","88.6570192","103.90749875732","0.94992529","3611.20541644955","3271.3195991848","2457.03907526009","1391.24930132721","0.94992529","0.94992529","0.94992529","0.94992529"
2058,"1.1344117446775","82.40958782","88.90148689","103.910504429879","0.94992529","3611.20541644955","3271.3195991848","2457.03907526009","1391.24930132721","0.94992529","0.94992529","0.94992529","0.94992529"
2059,"1.1276933346","82.65799478","89.14485905","103.913435676414","0.94992529","3611.20541644955","3271.3195991848","2457.03907526009","1391.24930132721","0.94992529","0.94992529","0.94992529","0.94992529"
2060,"1.12115692515","82.90595681","89.38717255","103.916285587615","0.94992529","3449.05730310635","3146.98567896999","2406.98643372942","1336.26372278141","0.94992529","0.94992529","0.94992529","0.94992529"
2061,"1.11496690618","83.15351185","89.6284712","103.919052590968","0.9436521","3449.05730310635","3146.98567896999","2406.98643372942","1336.26372278141","0.9436521","0.9436521","0.9436521","0.9436521"
2062,"1.1088409549275","83.40069362","89.86879531","103.921739629479","0.9436521","3449.05730310635","3146.98567896999","2406.98643372942","1336.26372278141","0.9436521","0.9436521","0.9436521","0.9436521"
2063,"1.10300417768","83.64754009","90.10819056","103.92435243205","0.9436521","3449.05730310635","3146.98567896999","2406.98643372942","1336.26372278141","0.9436521","0.9436521","0.9436521","0.9436521"
