"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","SIN","Total","f",0,0.000192468082376339
"AGS","SIN","Total","f",1,0.000192468082376339
"AGS","SIN","Total","f",2,0.000192468082376339
"AGS","SIN","Total","f",3,0.000192468082376339
"AGS","SIN","Total","f",4,0.000192468082376339
"AGS","SIN","Total","f",5,0.000259712674999356
"AGS","SIN","Total","f",6,0.000259712674999356
"AGS","SIN","Total","f",7,0.000259712674999356
"AGS","SIN","Total","f",8,0.000259712674999356
"AGS","SIN","Total","f",9,0.000259712674999356
"AGS","SIN","Total","f",10,0.000310679698341647
"AGS","SIN","Total","f",11,0.000310679698341647
"AGS","SIN","Total","f",12,0.000310679698341647
"AGS","SIN","Total","f",13,0.000310679698341647
"AGS","SIN","Total","f",14,0.000310679698341647
"AGS","SIN","Total","f",15,0.000304478914795377
"AGS","SIN","Total","f",16,0.000304478914795377
"AGS","SIN","Total","f",17,0.000304478914795377
"AGS","SIN","Total","f",18,0.000304478914795377
"AGS","SIN","Total","f",19,0.000304478914795377
"AGS","SIN","Total","f",20,0.000264534318459215
"AGS","SIN","Total","f",21,0.000264534318459215
"AGS","SIN","Total","f",22,0.000264534318459215
"AGS","SIN","Total","f",23,0.000264534318459215
"AGS","SIN","Total","f",24,0.000264534318459215
"AGS","SIN","Total","f",25,0.000274120761151659
"AGS","SIN","Total","f",26,0.000274120761151659
"AGS","SIN","Total","f",27,0.000274120761151659
"AGS","SIN","Total","f",28,0.000274120761151659
"AGS","SIN","Total","f",29,0.000274120761151659
"AGS","SIN","Total","f",30,0.000298822105049413
"AGS","SIN","Total","f",31,0.000298822105049413
"AGS","SIN","Total","f",32,0.000298822105049413
"AGS","SIN","Total","f",33,0.000298822105049413
"AGS","SIN","Total","f",34,0.000298822105049413
"AGS","SIN","Total","f",35,0.000316290945225401
"AGS","SIN","Total","f",36,0.000316290945225401
"AGS","SIN","Total","f",37,0.000316290945225401
"AGS","SIN","Total","f",38,0.000316290945225401
"AGS","SIN","Total","f",39,0.000316290945225401
"AGS","SIN","Total","f",40,0.000273043128183535
"AGS","SIN","Total","f",41,0.000273043128183535
"AGS","SIN","Total","f",42,0.000273043128183535
"AGS","SIN","Total","f",43,0.000273043128183535
"AGS","SIN","Total","f",44,0.000273043128183535
"AGS","SIN","Total","f",45,0.000312913982604715
"AGS","SIN","Total","f",46,0.000312913982604715
"AGS","SIN","Total","f",47,0.000312913982604715
"AGS","SIN","Total","f",48,0.000312913982604715
"AGS","SIN","Total","f",49,0.000312913982604715
"AGS","SIN","Total","f",50,0.00028134671743851
"AGS","SIN","Total","f",51,0.00028134671743851
"AGS","SIN","Total","f",52,0.00028134671743851
"AGS","SIN","Total","f",53,0.00028134671743851
"AGS","SIN","Total","f",54,0.00028134671743851
"AGS","SIN","Total","f",55,0.000215207259051115
"AGS","SIN","Total","f",56,0.000215207259051115
"AGS","SIN","Total","f",57,0.000215207259051115
"AGS","SIN","Total","f",58,0.000215207259051115
"AGS","SIN","Total","f",59,0.000215207259051115
"AGS","SIN","Total","f",60,6.87470507745985e-05
"AGS","SIN","Total","f",61,6.87470507745985e-05
"AGS","SIN","Total","f",62,6.87470507745985e-05
"AGS","SIN","Total","f",63,6.87470507745985e-05
"AGS","SIN","Total","f",64,6.87470507745985e-05
"AGS","SIN","Total","f",65,0.000764953572933139
"AGS","SIN","Total","f",66,0.000764953572933139
"AGS","SIN","Total","f",67,0.000764953572933139
"AGS","SIN","Total","f",68,0.000764953572933139
"AGS","SIN","Total","f",69,0.000764953572933139
"AGS","SIN","Total","f",70,0.000748113453031486
"AGS","SIN","Total","f",71,0.000748113453031486
"AGS","SIN","Total","f",72,0.000748113453031486
"AGS","SIN","Total","f",73,0.000748113453031486
"AGS","SIN","Total","f",74,0.000748113453031486
"AGS","SIN","Total","f",75,0.000748113453031486
"AGS","SIN","Total","f",76,0.000748113453031486
"AGS","SIN","Total","f",77,0.000748113453031486
"AGS","SIN","Total","f",78,0.000748113453031486
"AGS","SIN","Total","f",79,0.000748113453031486
"AGS","SIN","Total","f",80,0
"AGS","SIN","Total","f",81,0
"AGS","SIN","Total","f",82,0
"AGS","SIN","Total","f",83,0
"AGS","SIN","Total","f",84,0
"AGS","SIN","Total","f",85,0
"AGS","SIN","Total","f",86,0
"AGS","SIN","Total","f",87,0
"AGS","SIN","Total","f",88,0
"AGS","SIN","Total","f",89,0
"AGS","SIN","Total","f",90,0
"AGS","SIN","Total","f",91,0
"AGS","SIN","Total","f",92,0
"AGS","SIN","Total","f",93,0
"AGS","SIN","Total","f",94,0
"AGS","SIN","Total","f",95,0
"AGS","SIN","Total","f",96,0
"AGS","SIN","Total","f",97,0
"AGS","SIN","Total","f",98,0
"AGS","SIN","Total","f",99,0
"AGS","SIN","Total","f",100,0
"AGS","SIN","Total","m",0,0.000261253092775584
"AGS","SIN","Total","m",1,0.000261253092775584
"AGS","SIN","Total","m",2,0.000261253092775584
"AGS","SIN","Total","m",3,0.000261253092775584
"AGS","SIN","Total","m",4,0.000261253092775584
"AGS","SIN","Total","m",5,0.000169449453580096
"AGS","SIN","Total","m",6,0.000169449453580096
"AGS","SIN","Total","m",7,0.000169449453580096
"AGS","SIN","Total","m",8,0.000169449453580096
"AGS","SIN","Total","m",9,0.000169449453580096
"AGS","SIN","Total","m",10,0.000143228837332687
"AGS","SIN","Total","m",11,0.000143228837332687
"AGS","SIN","Total","m",12,0.000143228837332687
"AGS","SIN","Total","m",13,0.000143228837332687
"AGS","SIN","Total","m",14,0.000143228837332687
"AGS","SIN","Total","m",15,0.000188960671878312
"AGS","SIN","Total","m",16,0.000188960671878312
"AGS","SIN","Total","m",17,0.000188960671878312
"AGS","SIN","Total","m",18,0.000188960671878312
"AGS","SIN","Total","m",19,0.000188960671878312
"AGS","SIN","Total","m",20,0.000247332892438811
"AGS","SIN","Total","m",21,0.000247332892438811
"AGS","SIN","Total","m",22,0.000247332892438811
"AGS","SIN","Total","m",23,0.000247332892438811
"AGS","SIN","Total","m",24,0.000247332892438811
"AGS","SIN","Total","m",25,0.00030839804152004
"AGS","SIN","Total","m",26,0.00030839804152004
"AGS","SIN","Total","m",27,0.00030839804152004
"AGS","SIN","Total","m",28,0.00030839804152004
"AGS","SIN","Total","m",29,0.00030839804152004
"AGS","SIN","Total","m",30,0.000337015084302168
"AGS","SIN","Total","m",31,0.000337015084302168
"AGS","SIN","Total","m",32,0.000337015084302168
"AGS","SIN","Total","m",33,0.000337015084302168
"AGS","SIN","Total","m",34,0.000337015084302168
"AGS","SIN","Total","m",35,0.000519060910026355
"AGS","SIN","Total","m",36,0.000519060910026355
"AGS","SIN","Total","m",37,0.000519060910026355
"AGS","SIN","Total","m",38,0.000519060910026355
"AGS","SIN","Total","m",39,0.000519060910026355
"AGS","SIN","Total","m",40,0.00050887154652906
"AGS","SIN","Total","m",41,0.00050887154652906
"AGS","SIN","Total","m",42,0.00050887154652906
"AGS","SIN","Total","m",43,0.00050887154652906
"AGS","SIN","Total","m",44,0.00050887154652906
"AGS","SIN","Total","m",45,0.000462164645760084
"AGS","SIN","Total","m",46,0.000462164645760084
"AGS","SIN","Total","m",47,0.000462164645760084
"AGS","SIN","Total","m",48,0.000462164645760084
"AGS","SIN","Total","m",49,0.000462164645760084
"AGS","SIN","Total","m",50,0.000302633163395025
"AGS","SIN","Total","m",51,0.000302633163395025
"AGS","SIN","Total","m",52,0.000302633163395025
"AGS","SIN","Total","m",53,0.000302633163395025
"AGS","SIN","Total","m",54,0.000302633163395025
"AGS","SIN","Total","m",55,0.000232443133575093
"AGS","SIN","Total","m",56,0.000232443133575093
"AGS","SIN","Total","m",57,0.000232443133575093
"AGS","SIN","Total","m",58,0.000232443133575093
"AGS","SIN","Total","m",59,0.000232443133575093
"AGS","SIN","Total","m",60,0.000204630534100516
"AGS","SIN","Total","m",61,0.000204630534100516
"AGS","SIN","Total","m",62,0.000204630534100516
"AGS","SIN","Total","m",63,0.000204630534100516
"AGS","SIN","Total","m",64,0.000204630534100516
"AGS","SIN","Total","m",65,0.00012457431330929
"AGS","SIN","Total","m",66,0.00012457431330929
"AGS","SIN","Total","m",67,0.00012457431330929
"AGS","SIN","Total","m",68,0.00012457431330929
"AGS","SIN","Total","m",69,0.00012457431330929
"AGS","SIN","Total","m",70,8.71316473914768e-05
"AGS","SIN","Total","m",71,8.71316473914768e-05
"AGS","SIN","Total","m",72,8.71316473914768e-05
"AGS","SIN","Total","m",73,8.71316473914768e-05
"AGS","SIN","Total","m",74,8.71316473914768e-05
"AGS","SIN","Total","m",75,3.4925956971221e-05
"AGS","SIN","Total","m",76,3.4925956971221e-05
"AGS","SIN","Total","m",77,3.4925956971221e-05
"AGS","SIN","Total","m",78,3.4925956971221e-05
"AGS","SIN","Total","m",79,3.4925956971221e-05
"AGS","SIN","Total","m",80,0
"AGS","SIN","Total","m",81,0
"AGS","SIN","Total","m",82,0
"AGS","SIN","Total","m",83,0
"AGS","SIN","Total","m",84,0
"AGS","SIN","Total","m",85,0
"AGS","SIN","Total","m",86,0
"AGS","SIN","Total","m",87,0
"AGS","SIN","Total","m",88,0
"AGS","SIN","Total","m",89,0
"AGS","SIN","Total","m",90,0
"AGS","SIN","Total","m",91,0
"AGS","SIN","Total","m",92,0
"AGS","SIN","Total","m",93,0
"AGS","SIN","Total","m",94,0
"AGS","SIN","Total","m",95,0
"AGS","SIN","Total","m",96,0
"AGS","SIN","Total","m",97,0
"AGS","SIN","Total","m",98,0
"AGS","SIN","Total","m",99,0
"AGS","SIN","Total","m",100,0
"BC","SIN","Total","f",0,0.0056906216233982
"BC","SIN","Total","f",1,0.0056906216233982
"BC","SIN","Total","f",2,0.0056906216233982
"BC","SIN","Total","f",3,0.0056906216233982
"BC","SIN","Total","f",4,0.0056906216233982
"BC","SIN","Total","f",5,0.0056906216233982
"BC","SIN","Total","f",6,0.0056906216233982
"BC","SIN","Total","f",7,0.0056906216233982
"BC","SIN","Total","f",8,0.0056906216233982
"BC","SIN","Total","f",9,0.0056906216233982
"BC","SIN","Total","f",10,0.0051343343991328
"BC","SIN","Total","f",11,0.0051343343991328
"BC","SIN","Total","f",12,0.0051343343991328
"BC","SIN","Total","f",13,0.0051343343991328
"BC","SIN","Total","f",14,0.0051343343991328
"BC","SIN","Total","f",15,0.0045153528424756
"BC","SIN","Total","f",16,0.0045153528424756
"BC","SIN","Total","f",17,0.0045153528424756
"BC","SIN","Total","f",18,0.0045153528424756
"BC","SIN","Total","f",19,0.0045153528424756
"BC","SIN","Total","f",20,0.00473561564142529
"BC","SIN","Total","f",21,0.00473561564142529
"BC","SIN","Total","f",22,0.00473561564142529
"BC","SIN","Total","f",23,0.00473561564142529
"BC","SIN","Total","f",24,0.00473561564142529
"BC","SIN","Total","f",25,0.00516753173421787
