"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"SIN","AGS","Total","f",0,0.000108877114030631
"SIN","AGS","Total","f",1,0.000108877114030631
"SIN","AGS","Total","f",2,0.000108877114030631
"SIN","AGS","Total","f",3,0.000108877114030631
"SIN","AGS","Total","f",4,0.000108877114030631
"SIN","AGS","Total","f",5,0.000150657737644871
"SIN","AGS","Total","f",6,0.000150657737644871
"SIN","AGS","Total","f",7,0.000150657737644871
"SIN","AGS","Total","f",8,0.000150657737644871
"SIN","AGS","Total","f",9,0.000150657737644871
"SIN","AGS","Total","f",10,0.000199094555996721
"SIN","AGS","Total","f",11,0.000199094555996721
"SIN","AGS","Total","f",12,0.000199094555996721
"SIN","AGS","Total","f",13,0.000199094555996721
"SIN","AGS","Total","f",14,0.000199094555996721
"SIN","AGS","Total","f",15,0.000192135386942038
"SIN","AGS","Total","f",16,0.000192135386942038
"SIN","AGS","Total","f",17,0.000192135386942038
"SIN","AGS","Total","f",18,0.000192135386942038
"SIN","AGS","Total","f",19,0.000192135386942038
"SIN","AGS","Total","f",20,0.000263530711758436
"SIN","AGS","Total","f",21,0.000263530711758436
"SIN","AGS","Total","f",22,0.000263530711758436
"SIN","AGS","Total","f",23,0.000263530711758436
"SIN","AGS","Total","f",24,0.000263530711758436
"SIN","AGS","Total","f",25,0.000244528457955899
"SIN","AGS","Total","f",26,0.000244528457955899
"SIN","AGS","Total","f",27,0.000244528457955899
"SIN","AGS","Total","f",28,0.000244528457955899
"SIN","AGS","Total","f",29,0.000244528457955899
"SIN","AGS","Total","f",30,0.000247862979979067
"SIN","AGS","Total","f",31,0.000247862979979067
"SIN","AGS","Total","f",32,0.000247862979979067
"SIN","AGS","Total","f",33,0.000247862979979067
"SIN","AGS","Total","f",34,0.000247862979979067
"SIN","AGS","Total","f",35,0.000216181901946619
"SIN","AGS","Total","f",36,0.000216181901946619
"SIN","AGS","Total","f",37,0.000216181901946619
"SIN","AGS","Total","f",38,0.000216181901946619
"SIN","AGS","Total","f",39,0.000216181901946619
"SIN","AGS","Total","f",40,0.000181005716184461
"SIN","AGS","Total","f",41,0.000181005716184461
"SIN","AGS","Total","f",42,0.000181005716184461
"SIN","AGS","Total","f",43,0.000181005716184461
"SIN","AGS","Total","f",44,0.000181005716184461
"SIN","AGS","Total","f",45,0.000327989444902328
"SIN","AGS","Total","f",46,0.000327989444902328
"SIN","AGS","Total","f",47,0.000327989444902328
"SIN","AGS","Total","f",48,0.000327989444902328
"SIN","AGS","Total","f",49,0.000327989444902328
"SIN","AGS","Total","f",50,0.000306533035044599
"SIN","AGS","Total","f",51,0.000306533035044599
"SIN","AGS","Total","f",52,0.000306533035044599
"SIN","AGS","Total","f",53,0.000306533035044599
"SIN","AGS","Total","f",54,0.000306533035044599
"SIN","AGS","Total","f",55,0.000290140000359606
"SIN","AGS","Total","f",56,0.000290140000359606
"SIN","AGS","Total","f",57,0.000290140000359606
"SIN","AGS","Total","f",58,0.000290140000359606
"SIN","AGS","Total","f",59,0.000290140000359606
"SIN","AGS","Total","f",60,0.000119124522875547
"SIN","AGS","Total","f",61,0.000119124522875547
"SIN","AGS","Total","f",62,0.000119124522875547
"SIN","AGS","Total","f",63,0.000119124522875547
"SIN","AGS","Total","f",64,0.000119124522875547
"SIN","AGS","Total","f",65,6.80273933481886e-05
"SIN","AGS","Total","f",66,6.80273933481886e-05
"SIN","AGS","Total","f",67,6.80273933481886e-05
"SIN","AGS","Total","f",68,6.80273933481886e-05
"SIN","AGS","Total","f",69,6.80273933481886e-05
"SIN","AGS","Total","f",70,9.17239525446823e-05
"SIN","AGS","Total","f",71,9.17239525446823e-05
"SIN","AGS","Total","f",72,9.17239525446823e-05
"SIN","AGS","Total","f",73,9.17239525446823e-05
"SIN","AGS","Total","f",74,9.17239525446823e-05
"SIN","AGS","Total","f",75,5.87435099471427e-05
"SIN","AGS","Total","f",76,5.87435099471427e-05
"SIN","AGS","Total","f",77,5.87435099471427e-05
"SIN","AGS","Total","f",78,5.87435099471427e-05
"SIN","AGS","Total","f",79,5.87435099471427e-05
"SIN","AGS","Total","f",80,4.82718671558216e-05
"SIN","AGS","Total","f",81,4.82718671558216e-05
"SIN","AGS","Total","f",82,4.82718671558216e-05
"SIN","AGS","Total","f",83,4.82718671558216e-05
"SIN","AGS","Total","f",84,4.82718671558216e-05
"SIN","AGS","Total","f",85,0
"SIN","AGS","Total","f",86,0
"SIN","AGS","Total","f",87,0
"SIN","AGS","Total","f",88,0
"SIN","AGS","Total","f",89,0
"SIN","AGS","Total","f",90,0
"SIN","AGS","Total","f",91,0
"SIN","AGS","Total","f",92,0
"SIN","AGS","Total","f",93,0
"SIN","AGS","Total","f",94,0
"SIN","AGS","Total","f",95,0
"SIN","AGS","Total","f",96,0
"SIN","AGS","Total","f",97,0
"SIN","AGS","Total","f",98,0
"SIN","AGS","Total","f",99,0
"SIN","AGS","Total","f",100,0
"SIN","AGS","Total","m",0,0.000126430968691095
"SIN","AGS","Total","m",1,0.000126430968691095
"SIN","AGS","Total","m",2,0.000126430968691095
"SIN","AGS","Total","m",3,0.000126430968691095
"SIN","AGS","Total","m",4,0.000126430968691095
"SIN","AGS","Total","m",5,0.000171725659749576
"SIN","AGS","Total","m",6,0.000171725659749576
"SIN","AGS","Total","m",7,0.000171725659749576
"SIN","AGS","Total","m",8,0.000171725659749576
"SIN","AGS","Total","m",9,0.000171725659749576
"SIN","AGS","Total","m",10,0.00018652877190901
"SIN","AGS","Total","m",11,0.00018652877190901
"SIN","AGS","Total","m",12,0.00018652877190901
"SIN","AGS","Total","m",13,0.00018652877190901
"SIN","AGS","Total","m",14,0.00018652877190901
"SIN","AGS","Total","m",15,0.000234803721175207
"SIN","AGS","Total","m",16,0.000234803721175207
"SIN","AGS","Total","m",17,0.000234803721175207
"SIN","AGS","Total","m",18,0.000234803721175207
"SIN","AGS","Total","m",19,0.000234803721175207
"SIN","AGS","Total","m",20,0.000287502943847256
"SIN","AGS","Total","m",21,0.000287502943847256
"SIN","AGS","Total","m",22,0.000287502943847256
"SIN","AGS","Total","m",23,0.000287502943847256
"SIN","AGS","Total","m",24,0.000287502943847256
"SIN","AGS","Total","m",25,0.000307887169133677
"SIN","AGS","Total","m",26,0.000307887169133677
"SIN","AGS","Total","m",27,0.000307887169133677
"SIN","AGS","Total","m",28,0.000307887169133677
"SIN","AGS","Total","m",29,0.000307887169133677
"SIN","AGS","Total","m",30,0.000329347672937472
"SIN","AGS","Total","m",31,0.000329347672937472
"SIN","AGS","Total","m",32,0.000329347672937472
"SIN","AGS","Total","m",33,0.000329347672937472
"SIN","AGS","Total","m",34,0.000329347672937472
"SIN","AGS","Total","m",35,0.000289955122082768
"SIN","AGS","Total","m",36,0.000289955122082768
"SIN","AGS","Total","m",37,0.000289955122082768
"SIN","AGS","Total","m",38,0.000289955122082768
"SIN","AGS","Total","m",39,0.000289955122082768
"SIN","AGS","Total","m",40,0.000378307382105717
"SIN","AGS","Total","m",41,0.000378307382105717
"SIN","AGS","Total","m",42,0.000378307382105717
"SIN","AGS","Total","m",43,0.000378307382105717
