"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99659.2612144271
"Total","Female","2",99309.1554914539
"Total","Female","3",99263.4129413458
"Total","Female","4",99234.4882294886
"Total","Female","5",99210.0843058319
"Total","Female","6",99190.0681484011
"Total","Female","7",99174.2040831234
"Total","Female","8",99158.4895839818
"Total","Female","9",99142.9784988331
"Total","Female","10",99123.8636515316
"Total","Female","11",99104.9847135921
"Total","Female","12",99082.5085301826
"Total","Female","13",99056.3845896296
"Total","Female","14",99026.593195768
"Total","Female","15",98993.1677512929
"Total","Female","16",98952.4899334307
"Total","Female","17",98904.7285073578
"Total","Female","18",98850.1101575148
"Total","Female","19",98788.8412896749
"Total","Female","20",98720.8332466124
"Total","Female","21",98645.4752015685
"Total","Female","22",98562.1337528336
"Total","Female","23",98470.4019677947
"Total","Female","24",98374.1527027134
"Total","Female","25",98269.9861453759
"Total","Female","26",98157.8314020007
"Total","Female","27",98037.3137868043
"Total","Female","28",97907.8262307188
"Total","Female","29",97772.4100596068
"Total","Female","30",97626.1122465564
"Total","Female","31",97472.1086654459
"Total","Female","32",97310.1845184073
"Total","Female","33",97144.9108245056
"Total","Female","34",96972.4080973024
"Total","Female","35",96797.2965301545
"Total","Female","36",96615.3508954159
"Total","Female","37",96421.7645349628
"Total","Female","38",96216.3058421544
"Total","Female","39",95998.9828071168
"Total","Female","40",95770.0968300568
"Total","Female","41",95525.5814357836
"Total","Female","42",95261.49017589
"Total","Female","43",94978.8430880375
"Total","Female","44",94674.010361178
"Total","Female","45",94342.8110935746
"Total","Female","46",93979.3268127498
"Total","Female","47",93580.8411529546
"Total","Female","48",93148.8601985367
"Total","Female","49",92675.6066188043
"Total","Female","50",92163.1783616745
"Total","Female","51",91609.1617695228
"Total","Female","52",91016.8223017825
"Total","Female","53",90374.3010472507
"Total","Female","54",89680.1695932842
"Total","Female","55",88922.911843552
"Total","Female","56",88101.5434033872
"Total","Female","57",87211.8016560623
"Total","Female","58",86242.6518987382
"Total","Female","59",85189.8909933299
"Total","Female","60",84049.2013579718
"Total","Female","61",82807.6692717782
"Total","Female","62",81463.9474406131
"Total","Female","63",80012.2803008378
"Total","Female","64",78456.6389254086
"Total","Female","65",76780.1999022538
"Total","Female","66",74986.3040739743
"Total","Female","67",73077.754571233
"Total","Female","68",71061.3819510309
"Total","Female","69",68935.2834023727
"Total","Female","70",66701.7149698221
"Total","Female","71",64375.3058682779
"Total","Female","72",61941.8456171677
"Total","Female","73",59395.934445429
"Total","Female","74",56742.8839350781
"Total","Female","75",54014.6903272099
"Total","Female","76",51224.4621581604
"Total","Female","77",48351.5509893149
"Total","Female","78",45425.0953141042
"Total","Female","79",42490.7917223114
"Total","Female","80",39558.4096142764
"Total","Female","81",36636.1206767425
"Total","Female","82",33712.4155539628
"Total","Female","83",30809.2463643936
"Total","Female","84",27943.2699584035
"Total","Female","85",25161.108308182
"Total","Female","86",22480.8447921446
"Total","Female","87",19917.2396842685
"Total","Female","88",17483.4065838366
"Total","Female","89",15194.793934308
"Total","Female","90",13061.5777548079
"Total","Female","91",11096.3495421579
"Total","Female","92",9314.99576950378
"Total","Female","93",7730.55204464991
"Total","Female","94",6339.4501343016
"Total","Female","95",5131.27453367895
"Total","Female","96",4084.66896307021
"Total","Female","97",3180.3707686194
"Total","Female","98",2409.37179440863
"Total","Female","99",1769.1191497406
"Total","Female","100+",1258.62705678063
"Total","Male","0",1e+05
"Total","Male","1",99384.2687441981
"Total","Male","2",98743.8030200531
"Total","Male","3",98692.1847302784
"Total","Male","4",98660.7165167335
"Total","Male","5",98637.5540055193
"Total","Male","6",98614.8168537258
"Total","Male","7",98592.3200322695
"Total","Male","8",98573.7432945625
"Total","Male","9",98551.7287609599
"Total","Male","10",98530.0181436679
"Total","Male","11",98504.9837476676
"Total","Male","12",98476.5582572813
"Total","Male","13",98441.0622553142
"Total","Male","14",98394.8132244214
"Total","Male","15",98334.2110171205
"Total","Male","16",98255.840033119
"Total","Male","17",98156.4949451572
"Total","Male","18",98029.7505470931
"Total","Male","19",97872.9224626016
"Total","Male","20",97686.1090656563
"Total","Male","21",97467.7386275782
"Total","Male","22",97219.279442853
"Total","Male","23",96942.997743704
"Total","Male","24",96639.5432588777
"Total","Male","25",96306.2725618137
"Total","Male","26",95939.4052253442
"Total","Male","27",95537.6292173454
"Total","Male","28",95109.627662067
"Total","Male","29",94659.9367511352
"Total","Male","30",94192.3300835158
"Total","Male","31",93712.2249677844
"Total","Male","32",93227.2612477022
"Total","Male","33",92734.7336722102
"Total","Male","34",92239.2975073476
"Total","Male","35",91736.7012652538
"Total","Male","36",91217.4452212522
"Total","Male","37",90688.3338412227
"Total","Male","38",90149.1033975514
"Total","Male","39",89606.1512743836
"Total","Male","40",89058.2793433171
"Total","Male","41",88500.2884752139
"Total","Male","42",87926.9318622623
"Total","Male","43",87333.126952924
"Total","Male","44",86718.4431164578
"Total","Male","45",86071.2024143819
"Total","Male","46",85381.028607299
"Total","Male","47",84644.4061515318
"Total","Male","48",83870.5938714002
"Total","Male","49",83055.1626690059
"Total","Male","50",82199.0208698578
"Total","Male","51",81299.2140328474
"Total","Male","52",80353.7060550133
"Total","Male","53",79365.3094758443
"Total","Male","54",78327.4000380286
"Total","Male","55",77234.6586571902
"Total","Male","56",76081.2169829336
"Total","Male","57",74862.2576516918
"Total","Male","58",73566.7426861495
"Total","Male","59",72185.3089497999
"Total","Male","60",70724.904562145
"Total","Male","61",69174.1053152775
"Total","Male","62",67532.3331349717
"Total","Male","63",65801.1908932535
"Total","Male","64",63975.3177926433
"Total","Male","65",62042.3041231387
"Total","Male","66",60007.2987970745
"Total","Male","67",57891.238195175
"Total","Male","68",55723.6825325184
"Total","Male","69",53491.980042959
"Total","Male","70",51205.3106561955
"Total","Male","71",48876.5211852562
"Total","Male","72",46478.3169414191
"Total","Male","73",44030.070637459
"Total","Male","74",41550.2881430854
"Total","Male","75",39058.2453963566
"Total","Male","76",36563.0898196443
"Total","Male","77",34046.3322230088
"Total","Male","78",31543.237392906
"Total","Male","79",29074.9763994821
"Total","Male","80",26648.1840815147
"Total","Male","81",24275.5987452669
"Total","Male","82",21971.3005368116
"Total","Male","83",19751.2297516841
"Total","Male","84",17618.5908127828
"Total","Male","85",15600.0695739873
"Total","Male","86",13701.9912334435
"Total","Male","87",11940.6912096105
"Total","Male","88",10309.2369779786
"Total","Male","89",8799.41737479636
"Total","Male","90",7433.37073740174
"Total","Male","91",6219.5929402808
"Total","Male","92",5154.33561942353
"Total","Male","93",4234.53835400452
"Total","Male","94",3449.8635152433
"Total","Male","95",2776.02497443924
"Total","Male","96",2187.92632635337
"Total","Male","97",1692.34783315526
"Total","Male","98",1291.52860951322
"Total","Male","99",959.75979239056
"Total","Male","100+",710.471534626778
