"Race","Sex","Age","Population"
"Total","Male",0,24878
"Total","Male",1,24748
"Total","Male",2,24862
"Total","Male",3,25086
"Total","Male",4,25554
"Total","Male",5,26026
"Total","Male",6,26298
"Total","Male",7,26534
"Total","Male",8,26863
"Total","Male",9,27233
"Total","Male",10,27547
"Total","Male",11,27719
"Total","Male",12,27738
"Total","Male",13,27664
"Total","Male",14,27593
"Total","Male",15,27593
"Total","Male",16,27679
"Total","Male",17,27862
"Total","Male",18,28106
"Total","Male",19,28264
"Total","Male",20,28151
"Total","Male",21,27817
"Total","Male",22,27408
"Total","Male",23,27112
"Total","Male",24,26921
"Total","Male",25,26725
"Total","Male",26,26450
"Total","Male",27,26058
"Total","Male",28,25531
"Total","Male",29,24838
"Total","Male",30,24070
"Total","Male",31,23321
"Total","Male",32,22654
"Total","Male",33,22028
"Total","Male",34,21414
"Total","Male",35,20788
"Total","Male",36,20112
"Total","Male",37,19451
"Total","Male",38,18871
"Total","Male",39,18425
"Total","Male",40,18138
"Total","Male",41,18001
"Total","Male",42,18004
"Total","Male",43,18122
"Total","Male",44,18287
"Total","Male",45,18383
"Total","Male",46,18350
"Total","Male",47,18184
"Total","Male",48,17912
"Total","Male",49,17565
"Total","Male",50,17171
"Total","Male",51,16755
"Total","Male",52,16321
"Total","Male",53,15877
"Total","Male",54,15446
"Total","Male",55,15020
"Total","Male",56,14550
"Total","Male",57,14035
"Total","Male",58,13505
"Total","Male",59,12966
"Total","Male",60,12404
"Total","Male",61,11824
"Total","Male",62,11245
"Total","Male",63,10697
"Total","Male",64,10170
"Total","Male",65,9626
"Total","Male",66,9026
"Total","Male",67,8439
"Total","Male",68,7928
"Total","Male",69,7486
"Total","Male",70,7134
"Total","Male",71,6819
"Total","Male",72,6488
"Total","Male",73,6143
"Total","Male",74,5790
"Total","Male",75,5425
"Total","Male",76,5036
"Total","Male",77,4638
"Total","Male",78,4261
"Total","Male",79,3892
"Total","Male",80,3520
"Total","Male",81,3161
"Total","Male",82,2819
"Total","Male",83,2497
"Total","Male",84,2197
"Total","Male",85,1922
"Total","Male",86,1667
"Total","Male",87,1432
"Total","Male",88,1215
"Total","Male",89,1016
"Total","Male",90,838
"Total","Male",91,678
"Total","Male",92,541
"Total","Male",93,426
"Total","Male",94,328
"Total","Male",95,249
"Total","Male",96,184
"Total","Male",97,134
"Total","Male",98,95
"Total","Male",99,67
"Total","Male",100,127
"Total","Female",0,23995
"Total","Female",1,23869
"Total","Female",2,23876
"Total","Female",3,24019
"Total","Female",4,24395
"Total","Female",5,24780
"Total","Female",6,25008
"Total","Female",7,25242
"Total","Female",8,25569
"Total","Female",9,25931
"Total","Female",10,26250
"Total","Female",11,26453
"Total","Female",12,26546
"Total","Female",13,26596
"Total","Female",14,26659
"Total","Female",15,26764
"Total","Female",16,26927
"Total","Female",17,27155
"Total","Female",18,27419
"Total","Female",19,27590
"Total","Female",20,27500
"Total","Female",21,27212
"Total","Female",22,26849
"Total","Female",23,26587
"Total","Female",24,26429
"Total","Female",25,26271
"Total","Female",26,26047
"Total","Female",27,25725
"Total","Female",28,25288
"Total","Female",29,24709
"Total","Female",30,24070
"Total","Female",31,23457
"Total","Female",32,22943
"Total","Female",33,22506
"Total","Female",34,22131
"Total","Female",35,21792
"Total","Female",36,21439
"Total","Female",37,21096
"Total","Female",38,20785
"Total","Female",39,20527
"Total","Female",40,20341
"Total","Female",41,20228
"Total","Female",42,20192
"Total","Female",43,20220
"Total","Female",44,20260
"Total","Female",45,20206
"Total","Female",46,20004
"Total","Female",47,19668
"Total","Female",48,19240
"Total","Female",49,18757
"Total","Female",50,18244
"Total","Female",51,17728
"Total","Female",52,17221
"Total","Female",53,16731
"Total","Female",54,16274
"Total","Female",55,15841
"Total","Female",56,15369
"Total","Female",57,14855
"Total","Female",58,14330
"Total","Female",59,13798
"Total","Female",60,13238
"Total","Female",61,12653
"Total","Female",62,12069
"Total","Female",63,11511
"Total","Female",64,10973
"Total","Female",65,10406
"Total","Female",66,9775
"Total","Female",67,9150
"Total","Female",68,8593
"Total","Female",69,8107
"Total","Female",70,7719
"Total","Female",71,7371
"Total","Female",72,7006
"Total","Female",73,6632
"Total","Female",74,6252
"Total","Female",75,5865
"Total","Female",76,5459
"Total","Female",77,5047
"Total","Female",78,4659
"Total","Female",79,4281
"Total","Female",80,3898
"Total","Female",81,3525
"Total","Female",82,3167
"Total","Female",83,2829
"Total","Female",84,2510
"Total","Female",85,2213
"Total","Female",86,1935
"Total","Female",87,1675
"Total","Female",88,1435
"Total","Female",89,1212
"Total","Female",90,1008
"Total","Female",91,825
"Total","Female",92,667
"Total","Female",93,531
"Total","Female",94,413
"Total","Female",95,317
"Total","Female",96,237
"Total","Female",97,174
"Total","Female",98,124
"Total","Female",99,86
"Total","Female",100,145
