"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"2.065812822","64.30652381","73.10901035","103.526581473678","1","3757.23040291529","1404.89555441089","6697.25903109732","3434.55444710182","1","1","1","1"
2021,"2.061911702","63.81287421","72.76629715","103.527573714265","1","3757.23040291529","1404.89555441089","6697.25903109732","3434.55444710182","1","1","1","1"
2022,"2.051434764","71.84922658","78.20776291","103.529035485695","1","3757.23040291529","1404.89555441089","6697.25903109732","3434.55444710182","1","1","1","1"
2023,"2.033495593","72.00813371","78.3851636","103.530945176324","1","3757.23040291529","1404.89555441089","6697.25903109732","3434.55444710182","1","1","1","1"
2024,"2.012474477","72.20194175","78.60091061","103.53328159678","1","3757.23040291529","1404.89555441089","6697.25903109732","3434.55444710182","1","1","1","1"
2025,"1.992205748","72.37646129","78.79458141","103.536024555031","1","3728.14287698096","1310.86898219295","6892.54839671468","3472.82937279447","1","1","1","1"
2026,"1.973367151","72.56800018","79.00646341","103.53915359081","1","3728.14287698096","1310.86898219295","6892.54839671468","3472.82937279447","1","1","1","1"
2027,"1.955072698","72.74756739","79.20443573","103.542647470313","1","3728.14287698096","1310.86898219295","6892.54839671468","3472.82937279447","1","1","1","1"
2028,"1.936730447","72.9353894","79.41080208","103.546484799514","1","3728.14287698096","1310.86898219295","6892.54839671468","3472.82937279447","1","1","1","1"
2029,"1.919083807","73.11583468","79.60837189","103.550645625736","1","3728.14287698096","1310.86898219295","6892.54839671468","3472.82937279447","1","1","1","1"
2030,"1.90264051","73.3001139","79.80941355","103.555113251966","1","3699.05535104664","1329.44071483608","6972.77799539623","3539.88828732102","1","1","1","1"
2031,"1.887672694","73.47975157","80.00467121","103.559876697972","1","3699.05535104664","1329.44071483608","6972.77799539623","3539.88828732102","1","1","1","1"
2032,"1.873908985","73.66093357","80.20087508","103.564934380618","1","3699.05535104664","1329.44071483608","6972.77799539623","3539.88828732102","1","1","1","1"
2033,"1.861184389","73.83905555","80.39302544","103.57029945969","1","3699.05535104664","1329.44071483608","6972.77799539623","3539.88828732102","1","1","1","1"
2034,"1.849348518","74.01753162","80.5848161","103.57600667301","1","3699.05535104664","1329.44071483608","6972.77799539623","3539.88828732102","1","1","1","1"
2035,"1.838392398","74.19385065","80.77354172","103.582121684095","1","3669.96782511232","1371.82195507158","6936.62862085894","3557.96774409129","1","1","1","1"
2036,"1.828411638","74.3698999","80.9612271","103.588753222216","1","3669.96782511232","1371.82195507158","6936.62862085894","3557.96774409129","1","1","1","1"
2037,"1.819230292","74.54430972","81.1464103","103.596045147155","1","3669.96782511232","1371.82195507158","6936.62862085894","3557.96774409129","1","1","1","1"
2038,"1.810828732","74.71812621","81.33021145","103.603985182342","1","3669.96782511232","1371.82195507158","6936.62862085894","3557.96774409129","1","1","1","1"
2039,"1.80286624","74.89060806","81.51183524","103.610771853843","1","3669.96782511232","1371.82195507158","6936.62862085894","3557.96774409129","1","1","1","1"
2040,"1.79531136","75.06233096","81.69190851","103.617367693013","1","3640.88029917799","1351.66265798805","6856.5473353098","3542.27991450135","1","1","1","1"
2041,"1.788329472","75.2328956","81.87000652","103.623765183106","1","3640.88029917799","1351.66265798805","6856.5473353098","3542.27991450135","1","1","1","1"
2042,"1.781641834","75.40263354","82.04647964","103.629881787784","1","3640.88029917799","1351.66265798805","6856.5473353098","3542.27991450135","1","1","1","1"
2043,"1.775402857","75.57132321","82.22110433","103.635600808411","1","3640.88029917799","1351.66265798805","6856.5473353098","3542.27991450135","1","1","1","1"
2044,"1.769531316","75.73915848","82.39409454","103.640852521872","1","3640.88029917799","1351.66265798805","6856.5473353098","3542.27991450135","1","1","1","1"
2045,"1.764046459","75.90602781","82.56533266","103.645645545024","1","3611.79277324367","1347.5452838783","6712.11376220172","3507.90805324054","1","1","1","1"
2046,"1.758854514","76.07204762","82.73494558","103.650044884131","1","3611.79277324367","1347.5452838783","6712.11376220172","3507.90805324054","1","1","1","1"
2047,"1.754094537","76.23716638","82.90288845","103.654128227474","1","3611.79277324367","1347.5452838783","6712.11376220172","3507.90805324054","1","1","1","1"
2048,"1.74973129","76.40145579","83.06924411","103.657992644837","1","3611.79277324367","1347.5452838783","6712.11376220172","3507.90805324054","1","1","1","1"
2049,"1.745803985","76.56490302","83.23400209","103.661752611835","1","3611.79277324367","1347.5452838783","6712.11376220172","3507.90805324054","1","1","1","1"
2050,"1.742088098","76.72756378","83.39722732","103.665511355791","1","3582.70524730935","1326.73670856977","6543.82519263802","3452.05155598989","1","1","1","1"
2051,"1.73866091","76.88944528","83.55893653","103.669346876631","1","3582.70524730935","1326.73670856977","6543.82519263802","3452.05155598989","1","1","1","1"
2052,"1.735642044","77.05059065","83.71917589","103.673289356584","1","3582.70524730935","1326.73670856977","6543.82519263802","3452.05155598989","1","1","1","1"
2053,"1.732848902","77.21102486","83.87798439","103.676867296458","1","3582.70524730935","1326.73670856977","6543.82519263802","3452.05155598989","1","1","1","1"
2054,"1.730196744","77.37079083","84.03540486","103.680415139435","1","3582.70524730935","1326.73670856977","6543.82519263802","3452.05155598989","1","1","1","1"
2055,"1.727751698","77.52991412","84.19147943","103.683948252974","1","3553.61772137502","1297.04014780317","6349.6442725366","3376.91534297512","1","1","1","1"
2056,"1.725350025","77.68844554","84.34625439","103.687440608875","1","3553.61772137502","1297.04014780317","6349.6442725366","3376.91534297512","1","1","1","1"
2057,"1.723067146","77.84641999","84.49977271","103.69086452538","1","3553.61772137502","1297.04014780317","6349.6442725366","3376.91534297512","1","1","1","1"
2058,"1.720811695","78.0038736","84.65208329","103.694198417797","1","3553.61772137502","1297.04014780317","6349.6442725366","3376.91534297512","1","1","1","1"
2059,"1.718700768","78.1608554","84.80323157","103.697427333365","1","3553.61772137502","1297.04014780317","6349.6442725366","3376.91534297512","1","1","1","1"
2060,"1.716428162","78.31740007","84.95326367","103.700542590604","1","3524.5301954407","1261.27441923825","6139.64848894725","3288.80299661577","1","1","1","1"
2061,"1.714359716","78.47355201","85.1022212","103.703540610013","1","3524.5301954407","1261.27441923825","6139.64848894725","3288.80299661577","1","1","1","1"
2062,"1.712351868","78.6293493","85.25015251","103.706421600686","1","3524.5301954407","1261.27441923825","6139.64848894725","3288.80299661577","1","1","1","1"
2063,"1.710292519","78.78482976","85.39709665","103.709188250528","1","3524.5301954407","1261.27441923825","6139.64848894725","3288.80299661577","1","1","1","1"
2064,"1.70832538","78.9400271","85.5430882","103.71184504767","1","3524.5301954407","1261.27441923825","6139.64848894725","3288.80299661577","1","1","1","1"
2065,"1.706398166","79.09497657","85.68816237","103.714397705057","1","3495.44266950638","1258.83681859397","6156.75346379751","3310.8921266807","1","1","1","1"
2066,"1.704690912","79.24970869","85.83235885","103.716852224958","1","3495.44266950638","1258.83681859397","6156.75346379751","3310.8921266807","1","1","1","1"
2067,"1.702921943","79.40425172","85.97570406","103.719214410374","1","3495.44266950638","1258.83681859397","6156.75346379751","3310.8921266807","1","1","1","1"
2068,"1.70131045","79.55862344","86.11822294","103.721489724463","1","3495.44266950638","1258.83681859397","6156.75346379751","3310.8921266807","1","1","1","1"
2069,"1.699577131","79.71284606","86.25993613","103.723683040058","1","3495.44266950638","1258.83681859397","6156.75346379751","3310.8921266807","1","1","1","1"
2070,"1.698089204","79.86693894","86.40086365","103.725799115891","1","3466.35514357206","1244.78618346835","6057.13018445392","3282.91906030371","1","1","1","1"
2071,"1.696601277","80.0122452979942","86.5311664197263","103.72784233248","1","3466.35514357206","1244.78618346835","6057.13018445392","3282.91906030371","1","1","1","1"
2072,"1.69511335","80.1629270430291","86.6669761075029","103.729816209575","1","3466.35514357206","1244.78618346835","6057.13018445392","3282.91906030371","1","1","1","1"
2073,"1.693625423","80.3131096008545","86.8015905351417","103.731723773974","1","3466.35514357206","1244.78618346835","6057.13018445392","3282.91906030371","1","1","1","1"
2074,"1.692137496","80.4627950900869","86.9350121224315","103.733567726076","1","3466.35514357206","1244.78618346835","6057.13018445392","3282.91906030371","1","1","1","1"
2075,"1.690649569","80.6119853787602","87.0672430009982","103.735350477281","1","3437.26761763773","1230.73554834273","5957.50690511032","3254.94599392673","1","1","1","1"
