"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99554.0304219463
"Total","Female","2",99081.36541557
"Total","Female","3",99035.6397114912
"Total","Female","4",99006.5476416626
"Total","Female","5",98981.8484904485
"Total","Female","6",98961.4621397615
"Total","Female","7",98941.2092977052
"Total","Female","8",98925.1662948599
"Total","Female","9",98909.3382682527
"Total","Female","10",98889.8414441672
"Total","Female","11",98870.5500059502
"Total","Female","12",98847.5595280974
"Total","Female","13",98820.8073033609
"Total","Female","14",98790.2481051225
"Total","Female","15",98752.0623959868
"Total","Female","16",98706.2413168455
"Total","Female","17",98656.7406461108
"Total","Female","18",98596.1080944347
"Total","Female","19",98528.2900675441
"Total","Female","20",98453.1235356036
"Total","Female","21",98370.053476626
"Total","Female","22",98282.0710835182
"Total","Female","23",98185.0138744136
"Total","Female","24",98083.0890017499
"Total","Female","25",97972.8523184099
"Total","Female","26",97854.6323212435
"Total","Female","27",97728.0722923744
"Total","Female","28",97592.7479273853
"Total","Female","29",97447.9694658785
"Total","Female","30",97292.6152604874
"Total","Female","31",97129.8313313958
"Total","Female","32",96959.4206443808
"Total","Female","33",96781.5731442614
"Total","Female","34",96600.7265978122
"Total","Female","35",96412.4647762212
"Total","Female","36",96216.379356551
"Total","Female","37",96011.8515681704
"Total","Female","38",95793.6643746058
"Total","Female","39",95561.4724900438
"Total","Female","40",95315.2942415765
"Total","Female","41",95055.552322461
"Total","Female","42",94777.8999483812
"Total","Female","43",94478.1869055322
"Total","Female","44",94157.4991129055
"Total","Female","45",93811.2944011245
"Total","Female","46",93433.3319801694
"Total","Female","47",93021.0730557629
"Total","Female","48",92571.6201492628
"Total","Female","49",92087.5229488155
"Total","Female","50",91566.4878687727
"Total","Female","51",91006.4481876182
"Total","Female","52",90405.745559317
"Total","Female","53",89757.0944701022
"Total","Female","54",89058.8719671375
"Total","Female","55",88298.0978744013
"Total","Female","56",87478.9546373981
"Total","Female","57",86583.9970323181
"Total","Female","58",85619.3269341527
"Total","Female","59",84573.2793617888
"Total","Female","60",83440.4635891951
"Total","Female","61",82213.5543884871
"Total","Female","62",80884.8653091249
"Total","Female","63",79448.5671418468
"Total","Female","64",77910.1439883394
"Total","Female","65",76260.0537294502
"Total","Female","66",74497.5397542145
"Total","Female","67",72622.5142838218
"Total","Female","68",70646.6983165994
"Total","Female","69",68562.0111313908
"Total","Female","70",66372.1399245834
"Total","Female","71",64093.22689856
"Total","Female","72",61701.9044567302
"Total","Female","73",59196.8816094392
"Total","Female","74",56578.8377053362
"Total","Female","75",53887.614550124
"Total","Female","76",51123.6480461986
"Total","Female","77",48260.3719537708
"Total","Female","78",45342.6456493901
"Total","Female","79",42402.7234875843
"Total","Female","80",39443.1362945958
"Total","Female","81",36476.894189743
"Total","Female","82",33504.2273016659
"Total","Female","83",30529.8068864465
"Total","Female","84",27594.0590800054
"Total","Female","85",24722.4343915161
"Total","Female","86",21939.8227284017
"Total","Female","87",19271.4008202712
"Total","Female","88",16736.191810285
"Total","Female","89",14355.3897141354
"Total","Female","90",12144.009292152
"Total","Female","91",10109.3149050896
"Total","Female","92",8281.13083093731
"Total","Female","93",6678.33131527202
"Total","Female","94",5279.72789846113
"Total","Female","95",4095.00846758692
"Total","Female","96",3099.49057659031
"Total","Female","97",2264.85651282873
"Total","Female","98",1597.80973165315
"Total","Female","99",1082.38723757149
"Total","Female","100+",710.101181336708
"Total","Male","0",1e+05
"Total","Male","1",99386.8426854035
"Total","Male","2",98738.537128124
"Total","Male","3",98682.4561706899
"Total","Male","4",98650.4203126627
"Total","Male","5",98622.6588323439
"Total","Male","6",98599.0921449811
"Total","Male","7",98575.6663687527
"Total","Male","8",98556.3298446215
"Total","Male","9",98533.4328424118
"Total","Male","10",98510.8584563316
"Total","Male","11",98484.8047674983
"Total","Male","12",98455.2375202232
"Total","Male","13",98418.3241888194
"Total","Male","14",98366.4958443152
"Total","Male","15",98299.6101943757
"Total","Male","16",98210.1011210872
"Total","Male","17",98094.4786485827
"Total","Male","18",97945.6533443557
"Total","Male","19",97764.0494463755
"Total","Male","20",97541.8247544986
"Total","Male","21",97280.7085461229
"Total","Male","22",96981.3541406251
"Total","Male","23",96642.0427870796
"Total","Male","24",96267.4612258894
"Total","Male","25",95851.3138057212
"Total","Male","26",95386.9712887217
"Total","Male","27",94876.8276641598
"Total","Male","28",94322.889659526
"Total","Male","29",93734.027011348
"Total","Male","30",93117.7342064167
"Total","Male","31",92482.7210929395
"Total","Male","32",91828.1895659047
"Total","Male","33",91163.4218872868
"Total","Male","34",90488.0038648086
"Total","Male","35",89800.5838441159
"Total","Male","36",89093.8101076041
"Total","Male","37",88374.1469438369
"Total","Male","38",87650.8259345951
"Total","Male","39",86926.3743332923
"Total","Male","40",86200.6538354821
"Total","Male","41",85469.3364266658
"Total","Male","42",84728.1625598019
"Total","Male","43",83978.1153192315
"Total","Male","44",83214.1398963773
"Total","Male","45",82423.720947309
"Total","Male","46",81600.9772534585
"Total","Male","47",80742.2113481218
"Total","Male","48",79853.4207117622
"Total","Male","49",78930.6816573485
"Total","Male","50",77976.0442263518
"Total","Male","51",76981.7081811403
"Total","Male","52",75951.5490770349
"Total","Male","53",74884.0111543222
"Total","Male","54",73772.4388429287
"Total","Male","55",72611.4480097489
"Total","Male","56",71400.3312793644
"Total","Male","57",70128.5410154035
"Total","Male","58",68789.598571082
"Total","Male","59",67373.5392333063
"Total","Male","60",65887.9699258159
"Total","Male","61",64327.37748575
"Total","Male","62",62686.0874832142
"Total","Male","63",60960.9867258696
"Total","Male","64",59153.4830665488
"Total","Male","65",57258.1328360947
"Total","Male","66",55275.4308422431
"Total","Male","67",53224.2009411849
"Total","Male","68",51131.3752180732
"Total","Male","69",48991.1952189112
"Total","Male","70",46814.1356505585
"Total","Male","71",44598.5160037212
"Total","Male","72",42338.983792732
"Total","Male","73",40037.1701988356
"Total","Male","74",37722.4712190932
"Total","Male","75",35402.932291688
"Total","Male","76",33085.0909347879
"Total","Male","77",30762.7220582758
"Total","Male","78",28459.9992506864
"Total","Male","79",26194.6624606533
"Total","Male","80",23974.9473416437
"Total","Male","81",21811.1916484145
"Total","Male","82",19716.9472890181
"Total","Male","83",17700.552547232
"Total","Male","84",15771.6873949728
"Total","Male","85",13945.9242637302
"Total","Male","86",12230.9315795778
"Total","Male","87",10638.882579118
"Total","Male","88",9165.12360153786
"Total","Male","89",7812.03910768306
"Total","Male","90",6583.17902332842
"Total","Male","91",5493.39600933149
"Total","Male","92",4535.62957083081
"Total","Male","93",3710.96964886157
"Total","Male","94",3003.60006770027
"Total","Male","95",2403.97029011946
"Total","Male","96",1886.694689754
"Total","Male","97",1450.46470368371
"Total","Male","98",1094.01780107713
"Total","Male","99",808.143802805718
"Total","Male","100+",586.734541763055
