"Race","Sex","Age","Population"
"Total","Male",0,24983
"Total","Male",1,24754
"Total","Male",2,24642
"Total","Male",3,24639
"Total","Male",4,24871
"Total","Male",5,25106
"Total","Male",6,25251
"Total","Male",7,25487
"Total","Male",8,25823
"Total","Male",9,26186
"Total","Male",10,26464
"Total","Male",11,26643
"Total","Male",12,26667
"Total","Male",13,26578
"Total","Male",14,26463
"Total","Male",15,26345
"Total","Male",16,26316
"Total","Male",17,26345
"Total","Male",18,26403
"Total","Male",19,26366
"Total","Male",20,26114
"Total","Male",21,25633
"Total","Male",22,25108
"Total","Male",23,24720
"Total","Male",24,24468
"Total","Male",25,24299
"Total","Male",26,24056
"Total","Male",27,23738
"Total","Male",28,23313
"Total","Male",29,22739
"Total","Male",30,22067
"Total","Male",31,21401
"Total","Male",32,20783
"Total","Male",33,20171
"Total","Male",34,19539
"Total","Male",35,18857
"Total","Male",36,18125
"Total","Male",37,17400
"Total","Male",38,16748
"Total","Male",39,16222
"Total","Male",40,15845
"Total","Male",41,15615
"Total","Male",42,15520
"Total","Male",43,15538
"Total","Male",44,15612
"Total","Male",45,15650
"Total","Male",46,15596
"Total","Male",47,15449
"Total","Male",48,15229
"Total","Male",49,14957
"Total","Male",50,14649
"Total","Male",51,14326
"Total","Male",52,13988
"Total","Male",53,13641
"Total","Male",54,13302
"Total","Male",55,12961
"Total","Male",56,12575
"Total","Male",57,12139
"Total","Male",58,11683
"Total","Male",59,11213
"Total","Male",60,10722
"Total","Male",61,10215
"Total","Male",62,9712
"Total","Male",63,9237
"Total","Male",64,8783
"Total","Male",65,8315
"Total","Male",66,7802
"Total","Male",67,7305
"Total","Male",68,6877
"Total","Male",69,6513
"Total","Male",70,6230
"Total","Male",71,5983
"Total","Male",72,5726
"Total","Male",73,5459
"Total","Male",74,5186
"Total","Male",75,4905
"Total","Male",76,4605
"Total","Male",77,4295
"Total","Male",78,4005
"Total","Male",79,3718
"Total","Male",80,3428
"Total","Male",81,3143
"Total","Male",82,2867
"Total","Male",83,2603
"Total","Male",84,2352
"Total","Male",85,2114
"Total","Male",86,1889
"Total","Male",87,1673
"Total","Male",88,1468
"Total","Male",89,1271
"Total","Male",90,1086
"Total","Male",91,911
"Total","Male",92,755
"Total","Male",93,617
"Total","Male",94,496
"Total","Male",95,394
"Total","Male",96,306
"Total","Male",97,232
"Total","Male",98,173
"Total","Male",99,126
"Total","Male",100,245
"Total","Female",0,24124
"Total","Female",1,23954
"Total","Female",2,23830
"Total","Female",3,23826
"Total","Female",4,24048
"Total","Female",5,24274
"Total","Female",6,24429
"Total","Female",7,24667
"Total","Female",8,24998
"Total","Female",9,25363
"Total","Female",10,25628
"Total","Female",11,25800
"Total","Female",12,25861
"Total","Female",13,25866
"Total","Female",14,25866
"Total","Female",15,25856
"Total","Female",16,25916
"Total","Female",17,26026
"Total","Female",18,26160
"Total","Female",19,26206
"Total","Female",20,26063
"Total","Female",21,25704
"Total","Female",22,25303
"Total","Female",23,25033
"Total","Female",24,24899
"Total","Female",25,24847
"Total","Female",26,24726
"Total","Female",27,24537
"Total","Female",28,24249
"Total","Female",29,23817
"Total","Female",30,23290
"Total","Female",31,22779
"Total","Female",32,22332
"Total","Female",33,21921
"Total","Female",34,21530
"Total","Female",35,21121
"Total","Female",36,20677
"Total","Female",37,20219
"Total","Female",38,19779
"Total","Female",39,19384
"Total","Female",40,19056
"Total","Female",41,18802
"Total","Female",42,18628
"Total","Female",43,18529
"Total","Female",44,18460
"Total","Female",45,18330
"Total","Female",46,18091
"Total","Female",47,17756
"Total","Female",48,17356
"Total","Female",49,16919
"Total","Female",50,16463
"Total","Female",51,16006
"Total","Female",52,15554
"Total","Female",53,15110
"Total","Female",54,14687
"Total","Female",55,14270
"Total","Female",56,13809
"Total","Female",57,13299
"Total","Female",58,12772
"Total","Female",59,12236
"Total","Female",60,11679
"Total","Female",61,11109
"Total","Female",62,10549
"Total","Female",63,10024
"Total","Female",64,9530
"Total","Female",65,9024
"Total","Female",66,8474
"Total","Female",67,7940
"Total","Female",68,7479
"Total","Female",69,7086
"Total","Female",70,6784
"Total","Female",71,6523
"Total","Female",72,6250
"Total","Female",73,5970
"Total","Female",74,5685
"Total","Female",75,5395
"Total","Female",76,5085
"Total","Female",77,4764
"Total","Female",78,4462
"Total","Female",79,4162
"Total","Female",80,3852
"Total","Female",81,3543
"Total","Female",82,3240
"Total","Female",83,2950
"Total","Female",84,2669
"Total","Female",85,2398
"Total","Female",86,2139
"Total","Female",87,1889
"Total","Female",88,1652
"Total","Female",89,1426
"Total","Female",90,1214
"Total","Female",91,1016
"Total","Female",92,840
"Total","Female",93,684
"Total","Female",94,546
"Total","Female",95,430
"Total","Female",96,331
"Total","Female",97,249
"Total","Female",98,182
"Total","Female",99,130
"Total","Female",100,239
