"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.862361499","66.16137903","74.17426056","104.006280612655","1","3795.91050268771","5623.89778593452","5384.17746393863","3535.61110851128","1","1","1","1"
2021,"1.83239326564","67.38646859","75.02369253","103.998828395428","0.99696334","3795.91050268771","5623.89778593452","5384.17746393863","3535.61110851128","0.99696334","0.99696334","0.99696334","0.99696334"
2022,"1.79585744877","73.26773457","79.410752","103.992398754749","0.99696334","3795.91050268771","5623.89778593452","5384.17746393863","3535.61110851128","0.99696334","0.99696334","0.99696334","0.99696334"
2023,"1.76425475827","73.31310906","79.47267625","103.98696017961","0.99696334","3795.91050268771","5623.89778593452","5384.17746393863","3535.61110851128","0.99696334","0.99696334","0.99696334","0.99696334"
2024,"1.74108266668","73.39041962","79.56960218","103.982473355144","0.99696334","3795.91050268771","5623.89778593452","5384.17746393863","3535.61110851128","0.99696334","0.99696334","0.99696334","0.99696334"
2025,"1.7211183288","73.45008487","79.64638502","103.978898209842","0.99696334","3895.34267299077","5670.18770319782","5330.73164908081","3291.71687185639","0.99696334","0.99696334","0.99696334","0.99696334"
2026,"1.69758863957","73.52531689","79.73979195","103.976194025559","0.99279534","3895.34267299077","5670.18770319782","5330.73164908081","3291.71687185639","0.99279534","0.99279534","0.99279534","0.99279534"
2027,"1.669931921","73.58959271","79.8205074","103.974319242956","0.99279534","3895.34267299077","5670.18770319782","5330.73164908081","3291.71687185639","0.99279534","0.99279534","0.99279534","0.99279534"
2028,"1.6427590704","73.66140389","79.90888622","103.973232680719","0.99279534","3895.34267299077","5670.18770319782","5330.73164908081","3291.71687185639","0.99279534","0.99279534","0.99279534","0.99279534"
2029,"1.619759602115","73.72646452","79.98923849","103.972895741192","0.99279534","3895.34267299077","5670.18770319782","5330.73164908081","3291.71687185639","0.99279534","0.99279534","0.99279534","0.99279534"
2030,"1.60081306955","73.79500881","80.07276418","103.973275853658","0.99279534","3916.3412282135","5743.97298474469","5257.4783791766","3318.36805623432","0.99279534","0.99279534","0.99279534","0.99279534"
2031,"1.583013199635","73.8592898","80.15101275","103.974351371441","0.986265945","3916.3412282135","5743.97298474469","5257.4783791766","3318.36805623432","0.986265945","0.986265945","0.986265945","0.986265945"
2032,"1.56415468054","73.92496201","80.23012746","103.976119087213","0.986265945","3916.3412282135","5743.97298474469","5257.4783791766","3318.36805623432","0.986265945","0.986265945","0.986265945","0.986265945"
2033,"1.544504391925","73.98781088","80.30554913","103.97860553892","0.986265945","3916.3412282135","5743.97298474469","5257.4783791766","3318.36805623432","0.986265945","0.986265945","0.986265945","0.986265945"
2034,"1.52557991058","74.05095523","80.38064326","103.981884191101","0.986265945","3916.3412282135","5743.97298474469","5257.4783791766","3318.36805623432","0.986265945","0.986265945","0.986265945","0.986265945"
2035,"1.5083797585","74.11210103","80.45294309","103.986102755386","0.986265945","3864.46443925324","5726.52318983248","5173.76718427181","3396.34099927293","0.986265945","0.986265945","0.986265945","0.986265945"
2036,"1.49219831112","74.1729631","80.52429968","103.991525808162","0.97817625","3864.46443925324","5726.52318983248","5173.76718427181","3396.34099927293","0.97817625","0.97817625","0.97817625","0.97817625"
2037,"1.47623670492","74.2322953","80.59337239","103.998559541034","0.97817625","3864.46443925324","5726.52318983248","5173.76718427181","3396.34099927293","0.97817625","0.97817625","0.97817625","0.97817625"
2038,"1.46009729684","74.29104622","80.66118829","104.007403618034","0.97817625","3864.46443925324","5726.52318983248","5173.76718427181","3396.34099927293","0.97817625","0.97817625","0.97817625","0.97817625"
2039,"1.44399882848","74.34853466","80.72702465","104.014518094281","0.97817625","3864.46443925324","5726.52318983248","5173.76718427181","3396.34099927293","0.97817625","0.97817625","0.97817625","0.97817625"
2040,"1.4286580047","74.40529463","80.79144267","104.021279598272","0.97817625","3783.42210930332","5646.90317147447","5080.85170039752","3312.58741319446","0.97817625","0.97817625","0.97817625","0.97817625"
2041,"1.41402062245","74.4609499","80.85406441","104.027687780612","0.969498895","3783.42210930332","5646.90317147447","5080.85170039752","3312.58741319446","0.969498895","0.969498895","0.969498895","0.969498895"
2042,"1.40016079375","74.51580518","80.91520597","104.033713950337","0.969498895","3783.42210930332","5646.90317147447","5080.85170039752","3312.58741319446","0.969498895","0.969498895","0.969498895","0.969498895"
2043,"1.386660082635","74.56965776","80.97467153","104.039210299971","0.969498895","3783.42210930332","5646.90317147447","5080.85170039752","3312.58741319446","0.969498895","0.969498895","0.969498895","0.969498895"
2044,"1.3732695284","74.62268432","81.03263839","104.044063980902","0.969498895","3783.42210930332","5646.90317147447","5080.85170039752","3312.58741319446","0.969498895","0.969498895","0.969498895","0.969498895"
2045,"1.360426368","74.67477878","81.08901702","104.048247739401","0.969498895","3670.88189608809","5542.52231493456","4991.39756603785","3270.48092271874","0.969498895","0.969498895","0.969498895","0.969498895"
2046,"1.35175698731","74.72604956","81.14391518","104.051810384699","0.96288359","3670.88189608809","5542.52231493456","4991.39756603785","3270.48092271874","0.96288359","0.96288359","0.96288359","0.96288359"
2047,"1.3434819531","74.77644152","81.19728821","104.054867978507","0.96288359","3670.88189608809","5542.52231493456","4991.39756603785","3270.48092271874","0.96288359","0.96288359","0.96288359","0.96288359"
2048,"1.3355927921275","74.82602937","81.24921973","104.057592342061","0.96288359","3670.88189608809","5542.52231493456","4991.39756603785","3270.48092271874","0.96288359","0.96288359","0.96288359","0.96288359"
2049,"1.32784668255","74.87479663","81.29969861","104.060192723334","0.96288359","3670.88189608809","5542.52231493456","4991.39756603785","3270.48092271874","0.96288359","0.96288359","0.96288359","0.96288359"
2050,"1.3202051459625","74.92279462","81.34878221","104.06286489462","0.96288359","3545.39306690121","5403.28804926344","4900.86054478762","3187.2411502916","0.96288359","0.96288359","0.96288359","0.96288359"
2051,"1.3126220506","74.97002292","81.39648531","104.065760608626","0.954410485","3545.39306690121","5403.28804926344","4900.86054478762","3187.2411502916","0.954410485","0.954410485","0.954410485","0.954410485"
2052,"1.3053882843925","75.0165254","81.4428553","104.068947311616","0.954410485","3545.39306690121","5403.28804926344","4900.86054478762","3187.2411502916","0.954410485","0.954410485","0.954410485","0.954410485"
2053,"1.298333475675","75.06232204","81.48792046","104.071616013743","0.954410485","3545.39306690121","5403.28804926344","4900.86054478762","3187.2411502916","0.954410485","0.954410485","0.954410485","0.954410485"
2054,"1.291431119935","75.10746066","81.53172465","104.07445866992","0.954410485","3545.39306690121","5403.28804926344","4900.86054478762","3187.2411502916","0.954410485","0.954410485","0.954410485","0.954410485"
2055,"1.28472912635","75.151953","81.57429914","104.077460116065","0.954410485","3403.2592197181","5228.94354658504","4805.85904846041","3080.51022663792","0.954410485","0.954410485","0.954410485","0.954410485"
2056,"1.27829485053","75.19584795","81.61569769","104.080549558612","0.94992529","3403.2592197181","5228.94354658504","4805.85904846041","3080.51022663792","0.94992529","0.94992529","0.94992529","0.94992529"
2057,"1.272051432795","75.23917546","81.6559521","104.083669969223","0.94992529","3403.2592197181","5228.94354658504","4805.85904846041","3080.51022663792","0.94992529","0.94992529","0.94992529","0.94992529"
2058,"1.2659664633225","75.28197622","81.6951086","104.086782167715","0.94992529","3403.2592197181","5228.94354658504","4805.85904846041","3080.51022663792","0.94992529","0.94992529","0.94992529","0.94992529"
2059,"1.26021197148","75.32428378","81.73320463","104.089861066487","0.94992529","3403.2592197181","5228.94354658504","4805.85904846041","3080.51022663792","0.94992529","0.94992529","0.94992529","0.94992529"
2060,"1.254468893775","75.36613498","81.7702977","104.09289345352","0.94992529","3250.44817795862","5030.20568866041","4707.95830987567","2958.76092055284","0.94992529","0.94992529","0.94992529","0.94992529"
2061,"1.24892842611","75.4075743","81.80640718","104.095875215523","0.9436521","3250.44817795862","5030.20568866041","4707.95830987567","2958.76092055284","0.9436521","0.9436521","0.9436521","0.9436521"
2062,"1.2433777401375","75.4486269","81.84158484","104.098808889255","0.9436521","3250.44817795862","5030.20568866041","4707.95830987567","2958.76092055284","0.9436521","0.9436521","0.9436521","0.9436521"
2063,"1.2380202478","75.48933133","81.87586585","104.101701611163","0.9436521","3250.44817795862","5030.20568866041","4707.95830987567","2958.76092055284","0.9436521","0.9436521","0.9436521","0.9436521"
