"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","SON","Total","f",0,9.62340411881696e-05
"AGS","SON","Total","f",1,9.62340411881696e-05
"AGS","SON","Total","f",2,9.62340411881696e-05
"AGS","SON","Total","f",3,9.62340411881696e-05
"AGS","SON","Total","f",4,9.62340411881696e-05
"AGS","SON","Total","f",5,0.000142945800860615
"AGS","SON","Total","f",6,0.000142945800860615
"AGS","SON","Total","f",7,0.000142945800860615
"AGS","SON","Total","f",8,0.000142945800860615
"AGS","SON","Total","f",9,0.000142945800860615
"AGS","SON","Total","f",10,0.00015030562227305
"AGS","SON","Total","f",11,0.00015030562227305
"AGS","SON","Total","f",12,0.00015030562227305
"AGS","SON","Total","f",13,0.00015030562227305
"AGS","SON","Total","f",14,0.00015030562227305
"AGS","SON","Total","f",15,0.00014023062228758
"AGS","SON","Total","f",16,0.00014023062228758
"AGS","SON","Total","f",17,0.00014023062228758
"AGS","SON","Total","f",18,0.00014023062228758
"AGS","SON","Total","f",19,0.00014023062228758
"AGS","SON","Total","f",20,0.000144463382629694
"AGS","SON","Total","f",21,0.000144463382629694
"AGS","SON","Total","f",22,0.000144463382629694
"AGS","SON","Total","f",23,0.000144463382629694
"AGS","SON","Total","f",24,0.000144463382629694
"AGS","SON","Total","f",25,0.000188382162819553
"AGS","SON","Total","f",26,0.000188382162819553
"AGS","SON","Total","f",27,0.000188382162819553
"AGS","SON","Total","f",28,0.000188382162819553
"AGS","SON","Total","f",29,0.000188382162819553
"AGS","SON","Total","f",30,0.000310311254897831
"AGS","SON","Total","f",31,0.000310311254897831
"AGS","SON","Total","f",32,0.000310311254897831
"AGS","SON","Total","f",33,0.000310311254897831
"AGS","SON","Total","f",34,0.000310311254897831
"AGS","SON","Total","f",35,0.000264041211766523
"AGS","SON","Total","f",36,0.000264041211766523
"AGS","SON","Total","f",37,0.000264041211766523
"AGS","SON","Total","f",38,0.000264041211766523
"AGS","SON","Total","f",39,0.000264041211766523
"AGS","SON","Total","f",40,0.000243370348125919
"AGS","SON","Total","f",41,0.000243370348125919
"AGS","SON","Total","f",42,0.000243370348125919
"AGS","SON","Total","f",43,0.000243370348125919
"AGS","SON","Total","f",44,0.000243370348125919
"AGS","SON","Total","f",45,0.000114346660766588
"AGS","SON","Total","f",46,0.000114346660766588
"AGS","SON","Total","f",47,0.000114346660766588
"AGS","SON","Total","f",48,0.000114346660766588
"AGS","SON","Total","f",49,0.000114346660766588
"AGS","SON","Total","f",50,0.000111539760901722
"AGS","SON","Total","f",51,0.000111539760901722
"AGS","SON","Total","f",52,0.000111539760901722
"AGS","SON","Total","f",53,0.000111539760901722
"AGS","SON","Total","f",54,0.000111539760901722
"AGS","SON","Total","f",55,7.59717260945026e-05
"AGS","SON","Total","f",56,7.59717260945026e-05
"AGS","SON","Total","f",57,7.59717260945026e-05
"AGS","SON","Total","f",58,7.59717260945026e-05
"AGS","SON","Total","f",59,7.59717260945026e-05
"AGS","SON","Total","f",60,7.88655396550135e-05
"AGS","SON","Total","f",61,7.88655396550135e-05
"AGS","SON","Total","f",62,7.88655396550135e-05
"AGS","SON","Total","f",63,7.88655396550135e-05
"AGS","SON","Total","f",64,7.88655396550135e-05
"AGS","SON","Total","f",65,0.000137515357113107
"AGS","SON","Total","f",66,0.000137515357113107
"AGS","SON","Total","f",67,0.000137515357113107
"AGS","SON","Total","f",68,0.000137515357113107
"AGS","SON","Total","f",69,0.000137515357113107
"AGS","SON","Total","f",70,0.000168567957517967
"AGS","SON","Total","f",71,0.000168567957517967
"AGS","SON","Total","f",72,0.000168567957517967
"AGS","SON","Total","f",73,0.000168567957517967
"AGS","SON","Total","f",74,0.000168567957517967
"AGS","SON","Total","f",75,0.000218300643573529
"AGS","SON","Total","f",76,0.000218300643573529
"AGS","SON","Total","f",77,0.000218300643573529
"AGS","SON","Total","f",78,0.000218300643573529
"AGS","SON","Total","f",79,0.000218300643573529
"AGS","SON","Total","f",80,0.000120720627960726
"AGS","SON","Total","f",81,0.000120720627960726
"AGS","SON","Total","f",82,0.000120720627960726
"AGS","SON","Total","f",83,0.000120720627960726
"AGS","SON","Total","f",84,0.000120720627960726
"AGS","SON","Total","f",85,7.28279076542131e-05
"AGS","SON","Total","f",86,7.28279076542131e-05
"AGS","SON","Total","f",87,7.28279076542131e-05
"AGS","SON","Total","f",88,7.28279076542131e-05
"AGS","SON","Total","f",89,7.28279076542131e-05
"AGS","SON","Total","f",90,0
"AGS","SON","Total","f",91,0
"AGS","SON","Total","f",92,0
"AGS","SON","Total","f",93,0
"AGS","SON","Total","f",94,0
"AGS","SON","Total","f",95,0
"AGS","SON","Total","f",96,0
"AGS","SON","Total","f",97,0
"AGS","SON","Total","f",98,0
"AGS","SON","Total","f",99,0
"AGS","SON","Total","f",100,0
"AGS","SON","Total","m",0,0.000138310460881191
"AGS","SON","Total","m",1,0.000138310460881191
"AGS","SON","Total","m",2,0.000138310460881191
"AGS","SON","Total","m",3,0.000138310460881191
"AGS","SON","Total","m",4,0.000138310460881191
"AGS","SON","Total","m",5,0.000115694698639362
"AGS","SON","Total","m",6,0.000115694698639362
"AGS","SON","Total","m",7,0.000115694698639362
"AGS","SON","Total","m",8,0.000115694698639362
"AGS","SON","Total","m",9,0.000115694698639362
"AGS","SON","Total","m",10,0.000156550144892182
"AGS","SON","Total","m",11,0.000156550144892182
"AGS","SON","Total","m",12,0.000156550144892182
"AGS","SON","Total","m",13,0.000156550144892182
"AGS","SON","Total","m",14,0.000156550144892182
"AGS","SON","Total","m",15,0.000182779752474505
"AGS","SON","Total","m",16,0.000182779752474505
"AGS","SON","Total","m",17,0.000182779752474505
"AGS","SON","Total","m",18,0.000182779752474505
"AGS","SON","Total","m",19,0.000182779752474505
"AGS","SON","Total","m",20,0.000369780792651504
"AGS","SON","Total","m",21,0.000369780792651504
"AGS","SON","Total","m",22,0.000369780792651504
"AGS","SON","Total","m",23,0.000369780792651504
"AGS","SON","Total","m",24,0.000369780792651504
"AGS","SON","Total","m",25,0.000338396737933415
"AGS","SON","Total","m",26,0.000338396737933415
"AGS","SON","Total","m",27,0.000338396737933415
"AGS","SON","Total","m",28,0.000338396737933415
"AGS","SON","Total","m",29,0.000338396737933415
"AGS","SON","Total","m",30,0.000377790483881844
"AGS","SON","Total","m",31,0.000377790483881844
"AGS","SON","Total","m",32,0.000377790483881844
"AGS","SON","Total","m",33,0.000377790483881844
"AGS","SON","Total","m",34,0.000377790483881844
"AGS","SON","Total","m",35,0.000252477028782454
"AGS","SON","Total","m",36,0.000252477028782454
"AGS","SON","Total","m",37,0.000252477028782454
"AGS","SON","Total","m",38,0.000252477028782454
"AGS","SON","Total","m",39,0.000252477028782454
"AGS","SON","Total","m",40,0.000296073328438977
"AGS","SON","Total","m",41,0.000296073328438977
"AGS","SON","Total","m",42,0.000296073328438977
"AGS","SON","Total","m",43,0.000296073328438977
"AGS","SON","Total","m",44,0.000296073328438977
"AGS","SON","Total","m",45,0.000239989253457488
"AGS","SON","Total","m",46,0.000239989253457488
"AGS","SON","Total","m",47,0.000239989253457488
"AGS","SON","Total","m",48,0.000239989253457488
"AGS","SON","Total","m",49,0.000239989253457488
"AGS","SON","Total","m",50,0.000182693202932762
"AGS","SON","Total","m",51,0.000182693202932762
"AGS","SON","Total","m",52,0.000182693202932762
"AGS","SON","Total","m",53,0.000182693202932762
"AGS","SON","Total","m",54,0.000182693202932762
"AGS","SON","Total","m",55,9.89072066176254e-05
"AGS","SON","Total","m",56,9.89072066176254e-05
"AGS","SON","Total","m",57,9.89072066176254e-05
"AGS","SON","Total","m",58,9.89072066176254e-05
"AGS","SON","Total","m",59,9.89072066176254e-05
"AGS","SON","Total","m",60,9.96725678197742e-05
"AGS","SON","Total","m",61,9.96725678197742e-05
"AGS","SON","Total","m",62,9.96725678197742e-05
"AGS","SON","Total","m",63,9.96725678197742e-05
"AGS","SON","Total","m",64,9.96725678197742e-05
"AGS","SON","Total","m",65,0.000175704894292825
"AGS","SON","Total","m",66,0.000175704894292825
"AGS","SON","Total","m",67,0.000175704894292825
"AGS","SON","Total","m",68,0.000175704894292825
"AGS","SON","Total","m",69,0.000175704894292825
"AGS","SON","Total","m",70,0.000215617393054822
"AGS","SON","Total","m",71,0.000215617393054822
"AGS","SON","Total","m",72,0.000215617393054822
"AGS","SON","Total","m",73,0.000215617393054822
"AGS","SON","Total","m",74,0.000215617393054822
"AGS","SON","Total","m",75,0.000260849099107332
"AGS","SON","Total","m",76,0.000260849099107332
"AGS","SON","Total","m",77,0.000260849099107332
"AGS","SON","Total","m",78,0.000260849099107332
"AGS","SON","Total","m",79,0.000260849099107332
"AGS","SON","Total","m",80,0.000156071228193669
"AGS","SON","Total","m",81,0.000156071228193669
"AGS","SON","Total","m",82,0.000156071228193669
"AGS","SON","Total","m",83,0.000156071228193669
"AGS","SON","Total","m",84,0.000156071228193669
"AGS","SON","Total","m",85,9.74373964727662e-05
"AGS","SON","Total","m",86,9.74373964727662e-05
"AGS","SON","Total","m",87,9.74373964727662e-05
"AGS","SON","Total","m",88,9.74373964727662e-05
"AGS","SON","Total","m",89,9.74373964727662e-05
"AGS","SON","Total","m",90,0
"AGS","SON","Total","m",91,0
"AGS","SON","Total","m",92,0
"AGS","SON","Total","m",93,0
"AGS","SON","Total","m",94,0
"AGS","SON","Total","m",95,0
"AGS","SON","Total","m",96,0
"AGS","SON","Total","m",97,0
"AGS","SON","Total","m",98,0
"AGS","SON","Total","m",99,0
"AGS","SON","Total","m",100,0
"BC","SON","Total","f",0,0.00452925632445298
"BC","SON","Total","f",1,0.00452925632445298
"BC","SON","Total","f",2,0.00452925632445298
"BC","SON","Total","f",3,0.00452925632445298
"BC","SON","Total","f",4,0.00452925632445298
"BC","SON","Total","f",5,0.00452925632445298
"BC","SON","Total","f",6,0.00452925632445298
"BC","SON","Total","f",7,0.00452925632445298
"BC","SON","Total","f",8,0.00452925632445298
"BC","SON","Total","f",9,0.00452925632445298
"BC","SON","Total","f",10,0.00401421181823026
"BC","SON","Total","f",11,0.00401421181823026
"BC","SON","Total","f",12,0.00401421181823026
"BC","SON","Total","f",13,0.00401421181823026
"BC","SON","Total","f",14,0.00401421181823026
"BC","SON","Total","f",15,0.0037856444432658
"BC","SON","Total","f",16,0.0037856444432658
"BC","SON","Total","f",17,0.0037856444432658
"BC","SON","Total","f",18,0.0037856444432658
"BC","SON","Total","f",19,0.0037856444432658
"BC","SON","Total","f",20,0.0038836725059161
"BC","SON","Total","f",21,0.0038836725059161
"BC","SON","Total","f",22,0.0038836725059161
"BC","SON","Total","f",23,0.0038836725059161
"BC","SON","Total","f",24,0.0038836725059161
"BC","SON","Total","f",25,0.00444286965298967
"BC","SON","Total","f",26,0.00444286965298967
"BC","SON","Total","f",27,0.00444286965298967
"BC","SON","Total","f",28,0.00444286965298967
"BC","SON","Total","f",29,0.00444286965298967
"BC","SON","Total","f",30,0.00450727915749972
"BC","SON","Total","f",31,0.00450727915749972
"BC","SON","Total","f",32,0.00450727915749972
"BC","SON","Total","f",33,0.00450727915749972
"BC","SON","Total","f",34,0.00450727915749972
"BC","SON","Total","f",35,0.00413729320534449
"BC","SON","Total","f",36,0.00413729320534449
"BC","SON","Total","f",37,0.00413729320534449
"BC","SON","Total","f",38,0.00413729320534449
"BC","SON","Total","f",39,0.00413729320534449
"BC","SON","Total","f",40,0.00345341761903836
"BC","SON","Total","f",41,0.00345341761903836
"BC","SON","Total","f",42,0.00345341761903836
"BC","SON","Total","f",43,0.00345341761903836
"BC","SON","Total","f",44,0.00345341761903836
"BC","SON","Total","f",45,0.00286781074689372
"BC","SON","Total","f",46,0.00286781074689372
"BC","SON","Total","f",47,0.00286781074689372
"BC","SON","Total","f",48,0.00286781074689372
"BC","SON","Total","f",49,0.00286781074689372
"BC","SON","Total","f",50,0.00228952047563646
"BC","SON","Total","f",51,0.00228952047563646
