"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"SON","AGS","Total","f",0,0.000230314100782274
"SON","AGS","Total","f",1,0.000230314100782274
"SON","AGS","Total","f",2,0.000230314100782274
"SON","AGS","Total","f",3,0.000230314100782274
"SON","AGS","Total","f",4,0.000230314100782274
"SON","AGS","Total","f",5,0.000261112766684746
"SON","AGS","Total","f",6,0.000261112766684746
"SON","AGS","Total","f",7,0.000261112766684746
"SON","AGS","Total","f",8,0.000261112766684746
"SON","AGS","Total","f",9,0.000261112766684746
"SON","AGS","Total","f",10,0.000216283528628929
"SON","AGS","Total","f",11,0.000216283528628929
"SON","AGS","Total","f",12,0.000216283528628929
"SON","AGS","Total","f",13,0.000216283528628929
"SON","AGS","Total","f",14,0.000216283528628929
"SON","AGS","Total","f",15,0.000169979351052982
"SON","AGS","Total","f",16,0.000169979351052982
"SON","AGS","Total","f",17,0.000169979351052982
"SON","AGS","Total","f",18,0.000169979351052982
"SON","AGS","Total","f",19,0.000169979351052982
"SON","AGS","Total","f",20,0.000169643321289694
"SON","AGS","Total","f",21,0.000169643321289694
"SON","AGS","Total","f",22,0.000169643321289694
"SON","AGS","Total","f",23,0.000169643321289694
"SON","AGS","Total","f",24,0.000169643321289694
"SON","AGS","Total","f",25,0.000223958726785666
"SON","AGS","Total","f",26,0.000223958726785666
"SON","AGS","Total","f",27,0.000223958726785666
"SON","AGS","Total","f",28,0.000223958726785666
"SON","AGS","Total","f",29,0.000223958726785666
"SON","AGS","Total","f",30,0.000246552144662915
"SON","AGS","Total","f",31,0.000246552144662915
"SON","AGS","Total","f",32,0.000246552144662915
"SON","AGS","Total","f",33,0.000246552144662915
"SON","AGS","Total","f",34,0.000246552144662915
"SON","AGS","Total","f",35,0.000236432948296836
"SON","AGS","Total","f",36,0.000236432948296836
"SON","AGS","Total","f",37,0.000236432948296836
"SON","AGS","Total","f",38,0.000236432948296836
"SON","AGS","Total","f",39,0.000236432948296836
"SON","AGS","Total","f",40,0.000215855303073423
"SON","AGS","Total","f",41,0.000215855303073423
"SON","AGS","Total","f",42,0.000215855303073423
"SON","AGS","Total","f",43,0.000215855303073423
"SON","AGS","Total","f",44,0.000215855303073423
"SON","AGS","Total","f",45,0.000221510667694932
"SON","AGS","Total","f",46,0.000221510667694932
"SON","AGS","Total","f",47,0.000221510667694932
"SON","AGS","Total","f",48,0.000221510667694932
"SON","AGS","Total","f",49,0.000221510667694932
"SON","AGS","Total","f",50,0.000174159793015964
"SON","AGS","Total","f",51,0.000174159793015964
"SON","AGS","Total","f",52,0.000174159793015964
"SON","AGS","Total","f",53,0.000174159793015964
"SON","AGS","Total","f",54,0.000174159793015964
"SON","AGS","Total","f",55,0.000151575078683254
"SON","AGS","Total","f",56,0.000151575078683254
"SON","AGS","Total","f",57,0.000151575078683254
"SON","AGS","Total","f",58,0.000151575078683254
"SON","AGS","Total","f",59,0.000151575078683254
"SON","AGS","Total","f",60,0.000124529655913478
"SON","AGS","Total","f",61,0.000124529655913478
"SON","AGS","Total","f",62,0.000124529655913478
"SON","AGS","Total","f",63,0.000124529655913478
"SON","AGS","Total","f",64,0.000124529655913478
"SON","AGS","Total","f",65,0.000119433775973397
"SON","AGS","Total","f",66,0.000119433775973397
"SON","AGS","Total","f",67,0.000119433775973397
"SON","AGS","Total","f",68,0.000119433775973397
"SON","AGS","Total","f",69,0.000119433775973397
"SON","AGS","Total","f",70,9.01160071682428e-05
"SON","AGS","Total","f",71,9.01160071682428e-05
"SON","AGS","Total","f",72,9.01160071682428e-05
"SON","AGS","Total","f",73,9.01160071682428e-05
"SON","AGS","Total","f",74,9.01160071682428e-05
"SON","AGS","Total","f",75,0.000101782861268758
"SON","AGS","Total","f",76,0.000101782861268758
"SON","AGS","Total","f",77,0.000101782861268758
"SON","AGS","Total","f",78,0.000101782861268758
"SON","AGS","Total","f",79,0.000101782861268758
"SON","AGS","Total","f",80,7.60050147500566e-05
