"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99562.5538730988
"Total","Female","2",99114.3288289462
"Total","Female","3",99070.0101342454
"Total","Female","4",99039.7353183224
"Total","Female","5",99018.8254195959
"Total","Female","6",98998.5832082134
"Total","Female","7",98982.6887579913
"Total","Female","8",98966.9441063418
"Total","Female","9",98951.4009842551
"Total","Female","10",98932.2507063459
"Total","Female","11",98913.3014350122
"Total","Female","12",98890.6788914195
"Total","Female","13",98864.3005070339
"Total","Female","14",98834.11293436
"Total","Female","15",98800.1149212345
"Total","Female","16",98758.5745002452
"Total","Female","17",98709.5936533458
"Total","Female","18",98653.3264278693
"Total","Female","19",98589.9161569929
"Total","Female","20",98519.211704694
"Total","Female","21",98440.6581804111
"Total","Female","22",98353.4905684013
"Total","Female","23",98261.1507110434
"Total","Female","24",98163.9490583467
"Total","Female","25",98058.3690944144
"Total","Female","26",97948.3941551112
"Total","Female","27",97829.8412694235
"Total","Female","28",97702.2509971452
"Total","Female","29",97564.977699327
"Total","Female","30",97421.1280786906
"Total","Female","31",97265.7682209697
"Total","Female","32",97107.3026026797
"Total","Female","33",96941.8802016889
"Total","Female","34",96774.1683215312
"Total","Female","35",96599.9815180448
"Total","Female","36",96419.2772548114
"Total","Female","37",96231.7222616932
"Total","Female","38",96027.8611264253
"Total","Female","39",95812.1840788292
"Total","Female","40",95580.1531884809
"Total","Female","41",95332.2645118824
"Total","Female","42",95064.3831925655
"Total","Female","43",94772.635280471
"Total","Female","44",94458.0610535292
"Total","Female","45",94111.6175407346
"Total","Female","46",93731.9438441507
"Total","Female","47",93316.1327580817
"Total","Female","48",92865.6227081686
"Total","Female","49",92382.1788289973
"Total","Female","50",91858.1389796346
"Total","Female","51",91301.17294495
"Total","Female","52",90704.6230277637
"Total","Female","53",90072.4974123574
"Total","Female","54",89398.3765188964
"Total","Female","55",88687.7465623397
"Total","Female","56",87928.6010759102
"Total","Female","57",87117.3323088797
"Total","Female","58",86249.1133419976
"Total","Female","59",85313.9454164857
"Total","Female","60",84288.4072664835
"Total","Female","61",83164.6056491923
"Total","Female","62",81926.895433463
"Total","Female","63",80560.0380449103
"Total","Female","64",79072.2372336517
"Total","Female","65",77457.4401377455
"Total","Female","66",75717.5279946129
"Total","Female","67",73854.4442750555
"Total","Female","68",71890.7342698412
"Total","Female","69",69823.6172699582
"Total","Female","70",67662.5874931932
"Total","Female","71",65429.4358044193
"Total","Female","72",63116.2739325459
"Total","Female","73",60717.320219388
"Total","Female","74",58238.64931149
"Total","Female","75",55708.5546078257
"Total","Female","76",53134.631615152
"Total","Female","77",50473.5731099958
"Total","Female","78",47750.0789106898
"Total","Female","79",44981.7932909122
"Total","Female","80",42168.60730853
