"Race","Sex","Age","Population"
"Total","Male",0,22731
"Total","Male",1,22792
"Total","Male",2,23235
"Total","Male",3,23807
"Total","Male",4,24625
"Total","Male",5,25437
"Total","Male",6,25922
"Total","Male",7,26187
"Total","Male",8,26552
"Total","Male",9,26968
"Total","Male",10,27296
"Total","Male",11,27466
"Total","Male",12,27482
"Total","Male",13,27400
"Total","Male",14,27320
"Total","Male",15,27328
"Total","Male",16,27403
"Total","Male",17,27569
"Total","Male",18,27785
"Total","Male",19,27917
"Total","Male",20,27830
"Total","Male",21,27498
"Total","Male",22,27111
"Total","Male",23,26851
"Total","Male",24,26707
"Total","Male",25,26569
"Total","Male",26,26367
"Total","Male",27,26062
"Total","Male",28,25633
"Total","Male",29,25047
"Total","Male",30,24345
"Total","Male",31,23683
"Total","Male",32,23088
"Total","Male",33,22518
"Total","Male",34,21942
"Total","Male",35,21321
"Total","Male",36,20648
"Total","Male",37,19978
"Total","Male",38,19380
"Total","Male",39,18913
"Total","Male",40,18606
"Total","Male",41,18448
"Total","Male",42,18430
"Total","Male",43,18525
"Total","Male",44,18666
"Total","Male",45,18742
"Total","Male",46,18687
"Total","Male",47,18499
"Total","Male",48,18201
"Total","Male",49,17825
"Total","Male",50,17398
"Total","Male",51,16954
"Total","Male",52,16497
"Total","Male",53,16034
"Total","Male",54,15587
"Total","Male",55,15142
"Total","Male",56,14654
"Total","Male",57,14119
"Total","Male",58,13566
"Total","Male",59,13000
"Total","Male",60,12402
"Total","Male",61,11778
"Total","Male",62,11146
"Total","Male",63,10533
"Total","Male",64,9937
"Total","Male",65,9317
"Total","Male",66,8639
"Total","Male",67,7975
"Total","Male",68,7390
"Total","Male",69,6876
"Total","Male",70,6456
"Total","Male",71,6077
"Total","Male",72,5699
"Total","Male",73,5326
"Total","Male",74,4957
"Total","Male",75,4593
"Total","Male",76,4222
"Total","Male",77,3856
"Total","Male",78,3519
"Total","Male",79,3199
"Total","Male",80,2885
"Total","Male",81,2584
"Total","Male",82,2298
"Total","Male",83,2030
"Total","Male",84,1781
"Total","Male",85,1552
"Total","Male",86,1341
"Total","Male",87,1145
"Total","Male",88,966
"Total","Male",89,802
"Total","Male",90,654
"Total","Male",91,522
"Total","Male",92,412
"Total","Male",93,318
"Total","Male",94,239
"Total","Male",95,175
"Total","Male",96,125
"Total","Male",97,85
"Total","Male",98,56
"Total","Male",99,36
"Total","Male",100,58
"Total","Female",0,21863
"Total","Female",1,21941
"Total","Female",2,22359
"Total","Female",3,22903
"Total","Female",4,23680
"Total","Female",5,24456
"Total","Female",6,24912
"Total","Female",7,25145
"Total","Female",8,25467
"Total","Female",9,25833
"Total","Female",10,26102
"Total","Female",11,26231
"Total","Female",12,26239
"Total","Female",13,26196
"Total","Female",14,26159
"Total","Female",15,26157
"Total","Female",16,26205
"Total","Female",17,26307
"Total","Female",18,26440
"Total","Female",19,26484
"Total","Female",20,26327
"Total","Female",21,25963
"Total","Female",22,25551
"Total","Female",23,25260
"Total","Female",24,25090
"Total","Female",25,24952
"Total","Female",26,24771
"Total","Female",27,24520
"Total","Female",28,24182
"Total","Female",29,23721
"Total","Female",30,23183
"Total","Female",31,22692
"Total","Female",32,22288
"Total","Female",33,21946
"Total","Female",34,21648
"Total","Female",35,21363
"Total","Female",36,21057
"Total","Female",37,20748
"Total","Female",38,20458
"Total","Female",39,20209
"Total","Female",40,20024
"Total","Female",41,19901
"Total","Female",42,19846
"Total","Female",43,19851
"Total","Female",44,19867
"Total","Female",45,19790
"Total","Female",46,19568
"Total","Female",47,19217
"Total","Female",48,18776
"Total","Female",49,18282
"Total","Female",50,17758
"Total","Female",51,17238
"Total","Female",52,16730
"Total","Female",53,16240
"Total","Female",54,15788
"Total","Female",55,15355
"Total","Female",56,14888
"Total","Female",57,14377
"Total","Female",58,13851
"Total","Female",59,13313
"Total","Female",60,12740
"Total","Female",61,12138
"Total","Female",62,11531
"Total","Female",63,10944
"Total","Female",64,10372
"Total","Female",65,9772
"Total","Female",66,9112
"Total","Female",67,8461
"Total","Female",68,7884
"Total","Female",69,7380
"Total","Female",70,6973
"Total","Female",71,6613
"Total","Female",72,6246
"Total","Female",73,5879
"Total","Female",74,5517
"Total","Female",75,5159
"Total","Female",76,4789
"Total","Female",77,4418
"Total","Female",78,4070
"Total","Female",79,3733
"Total","Female",80,3394
"Total","Female",81,3063
"Total","Female",82,2746
"Total","Female",83,2448
"Total","Female",84,2166
"Total","Female",85,1903
"Total","Female",86,1656
"Total","Female",87,1427
"Total","Female",88,1215
"Total","Female",89,1020
"Total","Female",90,843
"Total","Female",91,683
"Total","Female",92,545
"Total","Female",93,427
"Total","Female",94,327
"Total","Female",95,246
"Total","Female",96,179
"Total","Female",97,126
"Total","Female",98,85
"Total","Female",99,55
"Total","Female",100,79
