"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"2.050368678","63.36461058","71.03111569","103.778358354385","1","1359.72054677204","1096.84138460589","603.250980083798","357.240118993901","1","1","1","1"
2021,"2.0010008997","65.75475378","72.98275692","103.779929197416","1.01924488","1359.72054677204","1096.84138460589","603.250980083798","357.240118993901","1.01924488","1.01924488","1.01924488","1.01924488"
2022,"1.95274657998","70.32681943","76.73393881","103.78197222493","1.01924488","1359.72054677204","1096.84138460589","603.250980083798","357.240118993901","1.01924488","1.01924488","1.01924488","1.01924488"
2023,"1.90271851075","70.49741433","76.9264654","103.784453792838","1.01924488","1359.72054677204","1096.84138460589","603.250980083798","357.240118993901","1.01924488","1.01924488","1.01924488","1.01924488"
2024,"1.85340958464","70.70545456","77.16060393","103.787345577454","1.01924488","1359.72054677204","1096.84138460589","603.250980083798","357.240118993901","1.01924488","1.01924488","1.01924488","1.01924488"
2025,"1.80800489085","70.8927703","77.37078386","103.790624438352","1.01924488","1403.28756281071","1112.16995123289","599.107226858341","333.623993586093","1.01924488","1.01924488","1.01924488","1.01924488"
2026,"1.76582999042","71.09832858","77.60072213","103.794271020925","1.03713729","1403.28756281071","1112.16995123289","599.107226858341","333.623993586093","1.03713729","1.03713729","1.03713729","1.03713729"
2027,"1.7258170983","71.2910255","77.81556193","103.798269347917","1.03713729","1403.28756281071","1112.16995123289","599.107226858341","333.623993586093","1.03713729","1.03713729","1.03713729","1.03713729"
2028,"1.68688593548","71.49257107","78.03951706","103.802607450888","1.03713729","1403.28756281071","1112.16995123289","599.107226858341","333.623993586093","1.03713729","1.03713729","1.03713729","1.03713729"
2029,"1.64969231518","71.68619907","78.25391499","103.807278379194","1.03713729","1403.28756281071","1112.16995123289","599.107226858341","333.623993586093","1.03713729","1.03713729","1.03713729","1.03713729"
2030,"1.614299193","71.88393428","78.47208027","103.812281114362","1.03713729","1428.72976063457","1140.9186227402","596.168840091646","339.33870419959","1.03713729","1.03713729","1.03713729","1.03713729"
2031,"1.58086408064","72.07669601","78.68396374","103.817622116807","1.05387395","1428.72976063457","1140.9186227402","596.168840091646","339.33870419959","1.05387395","1.05387395","1.05387395","1.05387395"
2032,"1.5489850332","72.27112158","78.89687233","103.823317251725","1.05387395","1428.72976063457","1140.9186227402","596.168840091646","339.33870419959","1.05387395","1.05387395","1.05387395","1.05387395"
2033,"1.51860236868","72.46227308","79.10538342","103.829393936039","1.05387395","1428.72976063457","1140.9186227402","596.168840091646","339.33870419959","1.05387395","1.05387395","1.05387395","1.05387395"
2034,"1.48946504686","72.65382058","79.31349668","103.835892381884","1.05387395","1428.72976063457","1140.9186227402","596.168840091646","339.33870419959","1.05387395","1.05387395","1.05387395","1.05387395"
2035,"1.461673889","72.84307195","79.51828158","103.842866531573","1.05387395","1433.77364460401","1156.79130380066","594.137382310369","351.729139625744","1.05387395","1.05387395","1.05387395","1.05387395"
2036,"1.4350684236","73.03205695","79.72193693","103.850375984854","1.06961038","1433.77364460401","1156.79130380066","594.137382310369","351.729139625744","1.06961038","1.06961038","1.06961038","1.06961038"
2037,"1.40972554828","73.21931052","79.92287436","103.858417532766","1.06961038","1433.77364460401","1156.79130380066","594.137382310369","351.729139625744","1.06961038","1.06961038","1.06961038","1.06961038"
2038,"1.38535766904","73.40595404","80.12230312","103.866593444887","1.06961038","1433.77364460401","1156.79130380066","594.137382310369","351.729139625744","1.06961038","1.06961038","1.06961038","1.06961038"
2039,"1.36178073666","73.59119432","80.31937056","103.873458375725","1.06961038","1433.77364460401","1156.79130380066","594.137382310369","351.729139625744","1.06961038","1.06961038","1.06961038","1.06961038"
2040,"1.338838008","73.77565654","80.51474984","103.87979216685","1.06961038","1431.87513695177","1163.59917646914","592.829600879716","348.560182462328","1.06961038","1.06961038","1.06961038","1.06961038"
2041,"1.31664824334","73.95891503","80.70798629","103.885762438767","1.08447177","1431.87513695177","1163.59917646914","592.829600879716","348.560182462328","1.08447177","1.08447177","1.08447177","1.08447177"
2042,"1.29485177562","74.14132392","80.89945401","103.891386036772","1.08447177","1431.87513695177","1163.59917646914","592.829600879716","348.560182462328","1.08447177","1.08447177","1.08447177","1.08447177"
2043,"1.2736146269","74.32265124","81.08891365","103.896645350901","1.08447177","1431.87513695177","1163.59917646914","592.829600879716","348.560182462328","1.08447177","1.08447177","1.08447177","1.08447177"
2044,"1.2528451724","74.50310579","81.2765919","103.90154606854","1.08447177","1431.87513695177","1163.59917646914","592.829600879716","348.560182462328","1.08447177","1.08447177","1.08447177","1.08447177"
2045,"1.2324691185","74.68257014","81.46236857","103.906123773681","1.08447177","1415.07253451717","1163.29122903923","591.39807251644","349.451112456525","1.08447177","1.08447177","1.08447177","1.08447177"
2046,"1.220585533035","74.86116944","81.64637626","103.910442189761","1.08447177","1415.07253451717","1163.29122903923","591.39807251644","349.451112456525","1.08447177","1.08447177","1.08447177","1.08447177"
2047,"1.20904975036","75.03884652","81.82856913","103.914567674626","1.08447177","1415.07253451717","1163.29122903923","591.39807251644","349.451112456525","1.08447177","1.08447177","1.08447177","1.08447177"
2048,"1.197889188615","75.21569194","82.00903227","103.918554982212","1.08447177","1415.07253451717","1163.29122903923","591.39807251644","349.451112456525","1.08447177","1.08447177","1.08447177","1.08447177"
2049,"1.18694659155","75.39168368","82.18776071","103.922448225429","1.08447177","1415.07253451717","1163.29122903923","591.39807251644","349.451112456525","1.08447177","1.08447177","1.08447177","1.08447177"
2050,"1.176206275175","75.56688502","82.36482256","103.926286377473","1.08447177","1394.42666708659","1157.07663160066","590.206728342375","346.149573392028","1.08447177","1.08447177","1.08447177","1.08447177"
2051,"1.16576926128","75.74129763","82.54023354","103.930104742824","1.08447177","1394.42666708659","1157.07663160066","590.206728342375","346.149573392028","1.08447177","1.08447177","1.08447177","1.08447177"
2052,"1.155547410875","75.9149848","82.71405018","103.933941382485","1.08447177","1394.42666708659","1157.07663160066","590.206728342375","346.149573392028","1.08447177","1.08447177","1.08447177","1.08447177"
2053,"1.14545177489","76.08796071","82.88630345","103.937900880979","1.08447177","1394.42666708659","1157.07663160066","590.206728342375","346.149573392028","1.08447177","1.08447177","1.08447177","1.08447177"
2054,"1.13560991241","76.26027683","83.05704665","103.941700083875","1.08447177","1394.42666708659","1157.07663160066","590.206728342375","346.149573392028","1.08447177","1.08447177","1.08447177","1.08447177"
2055,"1.1257359708","76.43196288","83.22632557","103.94530158927","1.08447177","1370.76576460418","1146.71339662535","589.923459149646","341.007835367784","1.08447177","1.08447177","1.08447177","1.08447177"
2056,"1.11618382911","76.60307142","83.39418963","103.948709477159","1.08447177","1370.76576460418","1146.71339662535","589.923459149646","341.007835367784","1.08447177","1.08447177","1.08447177","1.08447177"
2057,"1.10665846995","76.77363889","83.56068624","103.951931264856","1.08447177","1370.76576460418","1146.71339662535","589.923459149646","341.007835367784","1.08447177","1.08447177","1.08447177","1.08447177"
2058,"1.09726569916","76.94371076","83.72586478","103.954971062279","1.08447177","1370.76576460418","1146.71339662535","589.923459149646","341.007835367784","1.08447177","1.08447177","1.08447177","1.08447177"
2059,"1.08794447868","77.11333501","83.88977732","103.957831099714","1.08447177","1370.76576460418","1146.71339662535","589.923459149646","341.007835367784","1.08447177","1.08447177","1.08447177","1.08447177"
2060,"1.078709487075","77.28255502","84.0524757","103.960512825264","1.08447177","1344.64299639047","1132.9799006066","593.04011816293","336.107655514984","1.08447177","1.08447177","1.08447177","1.08447177"
2061,"1.06960507964","77.45141041","84.21400495","103.963017276534","1.08447177","1344.64299639047","1132.9799006066","593.04011816293","336.107655514984","1.08447177","1.08447177","1.08447177","1.08447177"
2062,"1.060570445375","77.61995026","84.37441028","103.965344708664","1.08447177","1344.64299639047","1132.9799006066","593.04011816293","336.107655514984","1.08447177","1.08447177","1.08447177","1.08447177"
2063,"1.05162422904","77.78821045","84.53373911","103.967494440659","1.08447177","1344.64299639047","1132.9799006066","593.04011816293","336.107655514984","1.08447177","1.08447177","1.08447177","1.08447177"
2064,"1.042649596475","77.95623394","84.69203113","103.969465082262","1.08447177","1344.64299639047","1132.9799006066","593.04011816293","336.107655514984","1.08447177","1.08447177","1.08447177","1.08447177"
