"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","TAB","Total","f",0,0.00014291947065983
"AGS","TAB","Total","f",1,0.00014291947065983
"AGS","TAB","Total","f",2,0.00014291947065983
"AGS","TAB","Total","f",3,0.00014291947065983
"AGS","TAB","Total","f",4,0.00014291947065983
"AGS","TAB","Total","f",5,9.15280553960318e-05
"AGS","TAB","Total","f",6,9.15280553960318e-05
"AGS","TAB","Total","f",7,9.15280553960318e-05
"AGS","TAB","Total","f",8,9.15280553960318e-05
"AGS","TAB","Total","f",9,9.15280553960318e-05
"AGS","TAB","Total","f",10,5.77936825044697e-05
"AGS","TAB","Total","f",11,5.77936825044697e-05
"AGS","TAB","Total","f",12,5.77936825044697e-05
"AGS","TAB","Total","f",13,5.77936825044697e-05
"AGS","TAB","Total","f",14,5.77936825044697e-05
"AGS","TAB","Total","f",15,4.75981966129697e-05
"AGS","TAB","Total","f",16,4.75981966129697e-05
"AGS","TAB","Total","f",17,4.75981966129697e-05
"AGS","TAB","Total","f",18,4.75981966129697e-05
"AGS","TAB","Total","f",19,4.75981966129697e-05
"AGS","TAB","Total","f",20,7.54597333135767e-05
"AGS","TAB","Total","f",21,7.54597333135767e-05
"AGS","TAB","Total","f",22,7.54597333135767e-05
"AGS","TAB","Total","f",23,7.54597333135767e-05
"AGS","TAB","Total","f",24,7.54597333135767e-05
"AGS","TAB","Total","f",25,7.94847902309153e-05
"AGS","TAB","Total","f",26,7.94847902309153e-05
"AGS","TAB","Total","f",27,7.94847902309153e-05
"AGS","TAB","Total","f",28,7.94847902309153e-05
"AGS","TAB","Total","f",29,7.94847902309153e-05
"AGS","TAB","Total","f",30,0.00014291947065983
"AGS","TAB","Total","f",31,0.00014291947065983
"AGS","TAB","Total","f",32,0.00014291947065983
"AGS","TAB","Total","f",33,0.00014291947065983
"AGS","TAB","Total","f",34,0.00014291947065983
"AGS","TAB","Total","f",35,0.000126070673462096
"AGS","TAB","Total","f",36,0.000126070673462096
"AGS","TAB","Total","f",37,0.000126070673462096
"AGS","TAB","Total","f",38,0.000126070673462096
"AGS","TAB","Total","f",39,0.000126070673462096
"AGS","TAB","Total","f",40,0.000136711455674233
"AGS","TAB","Total","f",41,0.000136711455674233
"AGS","TAB","Total","f",42,0.000136711455674233
"AGS","TAB","Total","f",43,0.000136711455674233
"AGS","TAB","Total","f",44,0.000136711455674233
"AGS","TAB","Total","f",45,7.16413806281033e-05
"AGS","TAB","Total","f",46,7.16413806281033e-05
"AGS","TAB","Total","f",47,7.16413806281033e-05
"AGS","TAB","Total","f",48,7.16413806281033e-05
"AGS","TAB","Total","f",49,7.16413806281033e-05
"AGS","TAB","Total","f",50,6.37495643365522e-05
"AGS","TAB","Total","f",51,6.37495643365522e-05
"AGS","TAB","Total","f",52,6.37495643365522e-05
"AGS","TAB","Total","f",53,6.37495643365522e-05
"AGS","TAB","Total","f",54,6.37495643365522e-05
"AGS","TAB","Total","f",55,3.31781407563765e-05
"AGS","TAB","Total","f",56,3.31781407563765e-05
"AGS","TAB","Total","f",57,3.31781407563765e-05
"AGS","TAB","Total","f",58,3.31781407563765e-05
"AGS","TAB","Total","f",59,3.31781407563765e-05
"AGS","TAB","Total","f",60,3.60719543168874e-05
"AGS","TAB","Total","f",61,3.60719543168874e-05
"AGS","TAB","Total","f",62,3.60719543168874e-05
"AGS","TAB","Total","f",63,3.60719543168874e-05
"AGS","TAB","Total","f",64,3.60719543168874e-05
"AGS","TAB","Total","f",65,2.30952215986512e-05
"AGS","TAB","Total","f",66,2.30952215986512e-05
"AGS","TAB","Total","f",67,2.30952215986512e-05
"AGS","TAB","Total","f",68,2.30952215986512e-05
"AGS","TAB","Total","f",69,2.30952215986512e-05
"AGS","TAB","Total","f",70,2.30952215986512e-05
"AGS","TAB","Total","f",71,2.30952215986512e-05
"AGS","TAB","Total","f",72,2.30952215986512e-05
"AGS","TAB","Total","f",73,2.30952215986512e-05
"AGS","TAB","Total","f",74,2.30952215986512e-05
"AGS","TAB","Total","f",75,0
"AGS","TAB","Total","f",76,0
"AGS","TAB","Total","f",77,0
"AGS","TAB","Total","f",78,0
"AGS","TAB","Total","f",79,0
"AGS","TAB","Total","f",80,0
"AGS","TAB","Total","f",81,0
"AGS","TAB","Total","f",82,0
"AGS","TAB","Total","f",83,0
"AGS","TAB","Total","f",84,0
"AGS","TAB","Total","f",85,0
"AGS","TAB","Total","f",86,0
"AGS","TAB","Total","f",87,0
"AGS","TAB","Total","f",88,0
"AGS","TAB","Total","f",89,0
"AGS","TAB","Total","f",90,0
"AGS","TAB","Total","f",91,0
"AGS","TAB","Total","f",92,0
"AGS","TAB","Total","f",93,0
"AGS","TAB","Total","f",94,0
"AGS","TAB","Total","f",95,0
"AGS","TAB","Total","f",96,0
"AGS","TAB","Total","f",97,0
"AGS","TAB","Total","f",98,0
"AGS","TAB","Total","f",99,0
"AGS","TAB","Total","f",100,0
"AGS","TAB","Total","m",0,5.37874014537966e-05
"AGS","TAB","Total","m",1,5.37874014537966e-05
"AGS","TAB","Total","m",2,5.37874014537966e-05
"AGS","TAB","Total","m",3,5.37874014537966e-05
"AGS","TAB","Total","m",4,5.37874014537966e-05
"AGS","TAB","Total","m",5,7.94012838157865e-05
"AGS","TAB","Total","m",6,7.94012838157865e-05
"AGS","TAB","Total","m",7,7.94012838157865e-05
"AGS","TAB","Total","m",8,7.94012838157865e-05
"AGS","TAB","Total","m",9,7.94012838157865e-05
"AGS","TAB","Total","m",10,6.67549825825524e-05
"AGS","TAB","Total","m",11,6.67549825825524e-05
"AGS","TAB","Total","m",12,6.67549825825524e-05
"AGS","TAB","Total","m",13,6.67549825825524e-05
"AGS","TAB","Total","m",14,6.67549825825524e-05
"AGS","TAB","Total","m",15,3.5542015907406e-05
"AGS","TAB","Total","m",16,3.5542015907406e-05
"AGS","TAB","Total","m",17,3.5542015907406e-05
"AGS","TAB","Total","m",18,3.5542015907406e-05
"AGS","TAB","Total","m",19,3.5542015907406e-05
"AGS","TAB","Total","m",20,6.05586818619056e-05
"AGS","TAB","Total","m",21,6.05586818619056e-05
"AGS","TAB","Total","m",22,6.05586818619056e-05
"AGS","TAB","Total","m",23,6.05586818619056e-05
"AGS","TAB","Total","m",24,6.05586818619056e-05
"AGS","TAB","Total","m",25,8.18989180581799e-05
"AGS","TAB","Total","m",26,8.18989180581799e-05
"AGS","TAB","Total","m",27,8.18989180581799e-05
"AGS","TAB","Total","m",28,8.18989180581799e-05
"AGS","TAB","Total","m",29,8.18989180581799e-05
"AGS","TAB","Total","m",30,0.000168612240426312
"AGS","TAB","Total","m",31,0.000168612240426312
"AGS","TAB","Total","m",32,0.000168612240426312
"AGS","TAB","Total","m",33,0.000168612240426312
"AGS","TAB","Total","m",34,0.000168612240426312
"AGS","TAB","Total","m",35,0.000178149794233654
"AGS","TAB","Total","m",36,0.000178149794233654
"AGS","TAB","Total","m",37,0.000178149794233654
"AGS","TAB","Total","m",38,0.000178149794233654
"AGS","TAB","Total","m",39,0.000178149794233654
"AGS","TAB","Total","m",40,0.000172082599504917
"AGS","TAB","Total","m",41,0.000172082599504917
"AGS","TAB","Total","m",42,0.000172082599504917
"AGS","TAB","Total","m",43,0.000172082599504917
"AGS","TAB","Total","m",44,0.000172082599504917
"AGS","TAB","Total","m",45,0.000102781193018072
"AGS","TAB","Total","m",46,0.000102781193018072
"AGS","TAB","Total","m",47,0.000102781193018072
"AGS","TAB","Total","m",48,0.000102781193018072
"AGS","TAB","Total","m",49,0.000102781193018072
"AGS","TAB","Total","m",50,9.67328839845114e-05
"AGS","TAB","Total","m",51,9.67328839845114e-05
"AGS","TAB","Total","m",52,9.67328839845114e-05
"AGS","TAB","Total","m",53,9.67328839845114e-05
"AGS","TAB","Total","m",54,9.67328839845114e-05
"AGS","TAB","Total","m",55,6.59806852022984e-05
"AGS","TAB","Total","m",56,6.59806852022984e-05
"AGS","TAB","Total","m",57,6.59806852022984e-05
"AGS","TAB","Total","m",58,6.59806852022984e-05
"AGS","TAB","Total","m",59,6.59806852022984e-05
"AGS","TAB","Total","m",60,4.31183166609176e-05
"AGS","TAB","Total","m",61,4.31183166609176e-05
"AGS","TAB","Total","m",62,4.31183166609176e-05
"AGS","TAB","Total","m",63,4.31183166609176e-05
"AGS","TAB","Total","m",64,4.31183166609176e-05
"AGS","TAB","Total","m",65,0
"AGS","TAB","Total","m",66,0
"AGS","TAB","Total","m",67,0
"AGS","TAB","Total","m",68,0
"AGS","TAB","Total","m",69,0
"AGS","TAB","Total","m",70,0
"AGS","TAB","Total","m",71,0
"AGS","TAB","Total","m",72,0
"AGS","TAB","Total","m",73,0
"AGS","TAB","Total","m",74,0
"AGS","TAB","Total","m",75,0
"AGS","TAB","Total","m",76,0
"AGS","TAB","Total","m",77,0
"AGS","TAB","Total","m",78,0
"AGS","TAB","Total","m",79,0
"AGS","TAB","Total","m",80,0
"AGS","TAB","Total","m",81,0
"AGS","TAB","Total","m",82,0
"AGS","TAB","Total","m",83,0
"AGS","TAB","Total","m",84,0
"AGS","TAB","Total","m",85,0
"AGS","TAB","Total","m",86,0
"AGS","TAB","Total","m",87,0
"AGS","TAB","Total","m",88,0
"AGS","TAB","Total","m",89,0
"AGS","TAB","Total","m",90,0
"AGS","TAB","Total","m",91,0
"AGS","TAB","Total","m",92,0
"AGS","TAB","Total","m",93,0
"AGS","TAB","Total","m",94,0
"AGS","TAB","Total","m",95,0
"AGS","TAB","Total","m",96,0
"AGS","TAB","Total","m",97,0
"AGS","TAB","Total","m",98,0
"AGS","TAB","Total","m",99,0
"AGS","TAB","Total","m",100,0
"BC","TAB","Total","f",0,0.000140938724179303
"BC","TAB","Total","f",1,0.000140938724179303
"BC","TAB","Total","f",2,0.000140938724179303
"BC","TAB","Total","f",3,0.000140938724179303
"BC","TAB","Total","f",4,0.000140938724179303
"BC","TAB","Total","f",5,0.000459768221869763
"BC","TAB","Total","f",6,0.000459768221869763
"BC","TAB","Total","f",7,0.000459768221869763
"BC","TAB","Total","f",8,0.000459768221869763
"BC","TAB","Total","f",9,0.000459768221869763
"BC","TAB","Total","f",10,0.000346224493827861
"BC","TAB","Total","f",11,0.000346224493827861
"BC","TAB","Total","f",12,0.000346224493827861
"BC","TAB","Total","f",13,0.000346224493827861
"BC","TAB","Total","f",14,0.000346224493827861
"BC","TAB","Total","f",15,0.000132523644128757
"BC","TAB","Total","f",16,0.000132523644128757
"BC","TAB","Total","f",17,0.000132523644128757
"BC","TAB","Total","f",18,0.000132523644128757
"BC","TAB","Total","f",19,0.000132523644128757
"BC","TAB","Total","f",20,0.000146414943200101
"BC","TAB","Total","f",21,0.000146414943200101
"BC","TAB","Total","f",22,0.000146414943200101
"BC","TAB","Total","f",23,0.000146414943200101
"BC","TAB","Total","f",24,0.000146414943200101
"BC","TAB","Total","f",25,0.000151823932814654
"BC","TAB","Total","f",26,0.000151823932814654
"BC","TAB","Total","f",27,0.000151823932814654
"BC","TAB","Total","f",28,0.000151823932814654
"BC","TAB","Total","f",29,0.000151823932814654
"BC","TAB","Total","f",30,0.000124619358095796
"BC","TAB","Total","f",31,0.000124619358095796
"BC","TAB","Total","f",32,0.000124619358095796
"BC","TAB","Total","f",33,0.000124619358095796
"BC","TAB","Total","f",34,0.000124619358095796
"BC","TAB","Total","f",35,0.000155384824742144
"BC","TAB","Total","f",36,0.000155384824742144
"BC","TAB","Total","f",37,0.000155384824742144
"BC","TAB","Total","f",38,0.000155384824742144
"BC","TAB","Total","f",39,0.000155384824742144
"BC","TAB","Total","f",40,0.000121853940293537
"BC","TAB","Total","f",41,0.000121853940293537
"BC","TAB","Total","f",42,0.000121853940293537
"BC","TAB","Total","f",43,0.000121853940293537
"BC","TAB","Total","f",44,0.000121853940293537
"BC","TAB","Total","f",45,0.000138405295651403
"BC","TAB","Total","f",46,0.000138405295651403
"BC","TAB","Total","f",47,0.000138405295651403
"BC","TAB","Total","f",48,0.000138405295651403
"BC","TAB","Total","f",49,0.000138405295651403
"BC","TAB","Total","f",50,6.59594729664732e-05
"BC","TAB","Total","f",51,6.59594729664732e-05
"BC","TAB","Total","f",52,6.59594729664732e-05
"BC","TAB","Total","f",53,6.59594729664732e-05
"BC","TAB","Total","f",54,6.59594729664732e-05
"BC","TAB","Total","f",55,6.6047343159298e-05
"BC","TAB","Total","f",56,6.6047343159298e-05
"BC","TAB","Total","f",57,6.6047343159298e-05
"BC","TAB","Total","f",58,6.6047343159298e-05
"BC","TAB","Total","f",59,6.6047343159298e-05
"BC","TAB","Total","f",60,9.35943757850566e-05
"BC","TAB","Total","f",61,9.35943757850566e-05
"BC","TAB","Total","f",62,9.35943757850566e-05
"BC","TAB","Total","f",63,9.35943757850566e-05
"BC","TAB","Total","f",64,9.35943757850566e-05
"BC","TAB","Total","f",65,0.000116629748667262
"BC","TAB","Total","f",66,0.000116629748667262
"BC","TAB","Total","f",67,0.000116629748667262
"BC","TAB","Total","f",68,0.000116629748667262
"BC","TAB","Total","f",69,0.000116629748667262
"BC","TAB","Total","f",70,0.000117742122747458
"BC","TAB","Total","f",71,0.000117742122747458
"BC","TAB","Total","f",72,0.000117742122747458
"BC","TAB","Total","f",73,0.000117742122747458
"BC","TAB","Total","f",74,0.000117742122747458
"BC","TAB","Total","f",75,4.79742752599725e-05
"BC","TAB","Total","f",76,4.79742752599725e-05
"BC","TAB","Total","f",77,4.79742752599725e-05
"BC","TAB","Total","f",78,4.79742752599725e-05
"BC","TAB","Total","f",79,4.79742752599725e-05
"BC","TAB","Total","f",80,1.98330060887329e-05
"BC","TAB","Total","f",81,1.98330060887329e-05
"BC","TAB","Total","f",82,1.98330060887329e-05
"BC","TAB","Total","f",83,1.98330060887329e-05
"BC","TAB","Total","f",84,1.98330060887329e-05
"BC","TAB","Total","f",85,0
"BC","TAB","Total","f",86,0
"BC","TAB","Total","f",87,0
"BC","TAB","Total","f",88,0
"BC","TAB","Total","f",89,0
"BC","TAB","Total","f",90,0
"BC","TAB","Total","f",91,0
"BC","TAB","Total","f",92,0
"BC","TAB","Total","f",93,0
"BC","TAB","Total","f",94,0
"BC","TAB","Total","f",95,0
"BC","TAB","Total","f",96,0
"BC","TAB","Total","f",97,0
"BC","TAB","Total","f",98,0
"BC","TAB","Total","f",99,0
"BC","TAB","Total","f",100,0
"BC","TAB","Total","m",0,0.000126511994039879
"BC","TAB","Total","m",1,0.000126511994039879
"BC","TAB","Total","m",2,0.000126511994039879
"BC","TAB","Total","m",3,0.000126511994039879
"BC","TAB","Total","m",4,0.000126511994039879
"BC","TAB","Total","m",5,7.8997121792788e-05
"BC","TAB","Total","m",6,7.8997121792788e-05
"BC","TAB","Total","m",7,7.8997121792788e-05
"BC","TAB","Total","m",8,7.8997121792788e-05
"BC","TAB","Total","m",9,7.8997121792788e-05
"BC","TAB","Total","m",10,8.73562182662807e-05
"BC","TAB","Total","m",11,8.73562182662807e-05
"BC","TAB","Total","m",12,8.73562182662807e-05
"BC","TAB","Total","m",13,8.73562182662807e-05
"BC","TAB","Total","m",14,8.73562182662807e-05
"BC","TAB","Total","m",15,0.000110434325037568
"BC","TAB","Total","m",16,0.000110434325037568
"BC","TAB","Total","m",17,0.000110434325037568
"BC","TAB","Total","m",18,0.000110434325037568
"BC","TAB","Total","m",19,0.000110434325037568
"BC","TAB","Total","m",20,0.000121146774343114
"BC","TAB","Total","m",21,0.000121146774343114
"BC","TAB","Total","m",22,0.000121146774343114
"BC","TAB","Total","m",23,0.000121146774343114
"BC","TAB","Total","m",24,0.000121146774343114
"BC","TAB","Total","m",25,0.000164514060754567
"BC","TAB","Total","m",26,0.000164514060754567
"BC","TAB","Total","m",27,0.000164514060754567
"BC","TAB","Total","m",28,0.000164514060754567
"BC","TAB","Total","m",29,0.000164514060754567
"BC","TAB","Total","m",30,0.000168679539425953
"BC","TAB","Total","m",31,0.000168679539425953
"BC","TAB","Total","m",32,0.000168679539425953
"BC","TAB","Total","m",33,0.000168679539425953
"BC","TAB","Total","m",34,0.000168679539425953
"BC","TAB","Total","m",35,0.000199923953372808
"BC","TAB","Total","m",36,0.000199923953372808
"BC","TAB","Total","m",37,0.000199923953372808
"BC","TAB","Total","m",38,0.000199923953372808
"BC","TAB","Total","m",39,0.000199923953372808
"BC","TAB","Total","m",40,0.000180589130448176
"BC","TAB","Total","m",41,0.000180589130448176
"BC","TAB","Total","m",42,0.000180589130448176
"BC","TAB","Total","m",43,0.000180589130448176
"BC","TAB","Total","m",44,0.000180589130448176
"BC","TAB","Total","m",45,0.000219307714109842
"BC","TAB","Total","m",46,0.000219307714109842
"BC","TAB","Total","m",47,0.000219307714109842
"BC","TAB","Total","m",48,0.000219307714109842
"BC","TAB","Total","m",49,0.000219307714109842
"BC","TAB","Total","m",50,0.000207619974045886
"BC","TAB","Total","m",51,0.000207619974045886
"BC","TAB","Total","m",52,0.000207619974045886
"BC","TAB","Total","m",53,0.000207619974045886
"BC","TAB","Total","m",54,0.000207619974045886
"BC","TAB","Total","m",55,0.000181797143879285
"BC","TAB","Total","m",56,0.000181797143879285
"BC","TAB","Total","m",57,0.000181797143879285
"BC","TAB","Total","m",58,0.000181797143879285
"BC","TAB","Total","m",59,0.000181797143879285
"BC","TAB","Total","m",60,0.000128066990757072
"BC","TAB","Total","m",61,0.000128066990757072
"BC","TAB","Total","m",62,0.000128066990757072
"BC","TAB","Total","m",63,0.000128066990757072
"BC","TAB","Total","m",64,0.000128066990757072
"BC","TAB","Total","m",65,8.88488368180592e-05
"BC","TAB","Total","m",66,8.88488368180592e-05
"BC","TAB","Total","m",67,8.88488368180592e-05
"BC","TAB","Total","m",68,8.88488368180592e-05
"BC","TAB","Total","m",69,8.88488368180592e-05
"BC","TAB","Total","m",70,4.67249504683046e-05
"BC","TAB","Total","m",71,4.67249504683046e-05
"BC","TAB","Total","m",72,4.67249504683046e-05
"BC","TAB","Total","m",73,4.67249504683046e-05
"BC","TAB","Total","m",74,4.67249504683046e-05
"BC","TAB","Total","m",75,1.47760686791672e-05
"BC","TAB","Total","m",76,1.47760686791672e-05
"BC","TAB","Total","m",77,1.47760686791672e-05
"BC","TAB","Total","m",78,1.47760686791672e-05
"BC","TAB","Total","m",79,1.47760686791672e-05
"BC","TAB","Total","m",80,0
"BC","TAB","Total","m",81,0
"BC","TAB","Total","m",82,0
"BC","TAB","Total","m",83,0
"BC","TAB","Total","m",84,0
"BC","TAB","Total","m",85,0
"BC","TAB","Total","m",86,0
"BC","TAB","Total","m",87,0
"BC","TAB","Total","m",88,0
"BC","TAB","Total","m",89,0
"BC","TAB","Total","m",90,0
"BC","TAB","Total","m",91,0
"BC","TAB","Total","m",92,0
"BC","TAB","Total","m",93,0
"BC","TAB","Total","m",94,0
"BC","TAB","Total","m",95,0
"BC","TAB","Total","m",96,0
"BC","TAB","Total","m",97,0
"BC","TAB","Total","m",98,0
"BC","TAB","Total","m",99,0
"BC","TAB","Total","m",100,0
"BCS","TAB","Total","f",0,6.26782412485506e-05
"BCS","TAB","Total","f",1,6.26782412485506e-05
"BCS","TAB","Total","f",2,6.26782412485506e-05
"BCS","TAB","Total","f",3,6.26782412485506e-05
"BCS","TAB","Total","f",4,6.26782412485506e-05
"BCS","TAB","Total","f",5,0.000228885225894555
"BCS","TAB","Total","f",6,0.000228885225894555
"BCS","TAB","Total","f",7,0.000228885225894555
"BCS","TAB","Total","f",8,0.000228885225894555
"BCS","TAB","Total","f",9,0.000228885225894555
"BCS","TAB","Total","f",10,0.000263274803914955
"BCS","TAB","Total","f",11,0.000263274803914955
"BCS","TAB","Total","f",12,0.000263274803914955
"BCS","TAB","Total","f",13,0.000263274803914955
"BCS","TAB","Total","f",14,0.000263274803914955
