"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"TAB","AGS","Total","f",0,4.52935474812258e-05
"TAB","AGS","Total","f",1,4.52935474812258e-05
"TAB","AGS","Total","f",2,4.52935474812258e-05
"TAB","AGS","Total","f",3,4.52935474812258e-05
"TAB","AGS","Total","f",4,4.52935474812258e-05
"TAB","AGS","Total","f",5,0.00011319529157696
"TAB","AGS","Total","f",6,0.00011319529157696
"TAB","AGS","Total","f",7,0.00011319529157696
"TAB","AGS","Total","f",8,0.00011319529157696
"TAB","AGS","Total","f",9,0.00011319529157696
"TAB","AGS","Total","f",10,0.000100671575217907
"TAB","AGS","Total","f",11,0.000100671575217907
"TAB","AGS","Total","f",12,0.000100671575217907
"TAB","AGS","Total","f",13,0.000100671575217907
"TAB","AGS","Total","f",14,0.000100671575217907
"TAB","AGS","Total","f",15,6.64749149046779e-05
"TAB","AGS","Total","f",16,6.64749149046779e-05
"TAB","AGS","Total","f",17,6.64749149046779e-05
"TAB","AGS","Total","f",18,6.64749149046779e-05
"TAB","AGS","Total","f",19,6.64749149046779e-05
"TAB","AGS","Total","f",20,0.000113471509237954
"TAB","AGS","Total","f",21,0.000113471509237954
"TAB","AGS","Total","f",22,0.000113471509237954
"TAB","AGS","Total","f",23,0.000113471509237954
"TAB","AGS","Total","f",24,0.000113471509237954
"TAB","AGS","Total","f",25,0.000121409027877965
"TAB","AGS","Total","f",26,0.000121409027877965
"TAB","AGS","Total","f",27,0.000121409027877965
"TAB","AGS","Total","f",28,0.000121409027877965
"TAB","AGS","Total","f",29,0.000121409027877965
"TAB","AGS","Total","f",30,0.000140112002014638
"TAB","AGS","Total","f",31,0.000140112002014638
"TAB","AGS","Total","f",32,0.000140112002014638
"TAB","AGS","Total","f",33,0.000140112002014638
"TAB","AGS","Total","f",34,0.000140112002014638
"TAB","AGS","Total","f",35,0.000102570896516359
"TAB","AGS","Total","f",36,0.000102570896516359
"TAB","AGS","Total","f",37,0.000102570896516359
"TAB","AGS","Total","f",38,0.000102570896516359
"TAB","AGS","Total","f",39,0.000102570896516359
"TAB","AGS","Total","f",40,0.000101679359704096
"TAB","AGS","Total","f",41,0.000101679359704096
"TAB","AGS","Total","f",42,0.000101679359704096
"TAB","AGS","Total","f",43,0.000101679359704096
"TAB","AGS","Total","f",44,0.000101679359704096
"TAB","AGS","Total","f",45,7.18202930420779e-05
"TAB","AGS","Total","f",46,7.18202930420779e-05
"TAB","AGS","Total","f",47,7.18202930420779e-05
"TAB","AGS","Total","f",48,7.18202930420779e-05
"TAB","AGS","Total","f",49,7.18202930420779e-05
"TAB","AGS","Total","f",50,6.84386368972891e-05
"TAB","AGS","Total","f",51,6.84386368972891e-05
"TAB","AGS","Total","f",52,6.84386368972891e-05
"TAB","AGS","Total","f",53,6.84386368972891e-05
"TAB","AGS","Total","f",54,6.84386368972891e-05
"TAB","AGS","Total","f",55,3.98386082972605e-05
