"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99495.264380896
"Total","Female","2",98950.0584126085
"Total","Female","3",98897.717731089
"Total","Female","4",98864.9430110456
"Total","Female","5",98842.1173136773
"Total","Female","6",98819.9100932694
"Total","Female","7",98802.3522537823
"Total","Female","8",98784.8604679535
"Total","Female","9",98767.4733588331
"Total","Female","10",98750.2032987948
"Total","Female","11",98728.6801839327
"Total","Female","12",98707.1053319443
"Total","Female","13",98681.0176466306
"Total","Female","14",98650.2656322277
"Total","Female","15",98614.738391521
"Total","Female","16",98569.8134503377
"Total","Female","17",98515.472578311
"Total","Female","18",98451.7556506525
"Total","Female","19",98383.2992207181
"Total","Female","20",98309.9267592875
"Total","Female","21",98226.3851351884
"Total","Female","22",98136.6785179869
"Total","Female","23",98040.6355756127
"Total","Female","24",97933.9642609409
"Total","Female","25",97817.3819911
"Total","Female","26",97691.528273178
"Total","Female","27",97556.4753062752
"Total","Female","28",97412.1823388055
"Total","Female","29",97263.1348003685
"Total","Female","30",97113.443492
"Total","Female","31",96957.929795771
"Total","Female","32",96796.4759452217
"Total","Female","33",96624.4981458825
"Total","Female","34",96446.9883513708
"Total","Female","35",96258.8860337075
"Total","Female","36",96054.8581004285
"Total","Female","37",95828.663348367
"Total","Female","38",95584.2024724783
"Total","Female","39",95325.6571587848
"Total","Female","40",95052.5177399917
"Total","Female","41",94770.0753639527
"Total","Female","42",94472.9142713375
"Total","Female","43",94150.3784994422
"Total","Female","44",93797.2594052108
"Total","Female","45",93413.2435687994
"Total","Female","46",93007.5155397861
"Total","Female","47",92570.8335615923
"Total","Female","48",92075.9598888898
"Total","Female","49",91506.1679053773
"Total","Female","50",90869.1905542309
"Total","Female","51",90180.8119645956
"Total","Female","52",89465.5642821269
"Total","Female","53",88722.82872428
"Total","Female","54",87923.7765458499
"Total","Female","55",87024.0612604967
"Total","Female","56",86005.0268562584
"Total","Female","57",84858.4450299842
"Total","Female","58",83605.9218561099
"Total","Female","59",82272.8806321395
"Total","Female","60",80870.6442573602
"Total","Female","61",79401.0547839501
"Total","Female","62",77856.4968306771
"Total","Female","63",76232.3473943341
"Total","Female","64",74508.5976692081
"Total","Female","65",72624.0804672962
"Total","Female","66",70544.9484756759
"Total","Female","67",68266.1545701396
"Total","Female","68",65841.4314036649
"Total","Female","69",63292.1244869738
"Total","Female","70",60643.614835183
"Total","Female","71",57925.3836459374
"Total","Female","72",55128.2570614678
"Total","Female","73",52286.3350505436
"Total","Female","74",49435.9726627797
"Total","Female","75",46602.9656333941
"Total","Female","76",43828.2817256616
"Total","Female","77",41091.9058193995
"Total","Female","78",38406.1603410074
"Total","Female","79",35741.5205438968
"Total","Female","80",33022.8032685639
"Total","Female","81",30241.4986563781
"Total","Female","82",27439.3047441816
