"Race","Sex","Age","Population"
"Total","Male",0,21095
"Total","Male",1,21327
"Total","Male",2,21587
"Total","Male",3,21957
"Total","Male",4,22544
"Total","Male",5,23191
"Total","Male",6,23485
"Total","Male",7,23593
"Total","Male",8,23749
"Total","Male",9,23924
"Total","Male",10,23996
"Total","Male",11,23917
"Total","Male",12,23676
"Total","Male",13,23324
"Total","Male",14,22945
"Total","Male",15,22539
"Total","Male",16,22244
"Total","Male",17,22018
"Total","Male",18,21846
"Total","Male",19,21627
"Total","Male",20,21223
"Total","Male",21,20709
"Total","Male",22,20200
"Total","Male",23,19846
"Total","Male",24,19652
"Total","Male",25,19573
"Total","Male",26,19493
"Total","Male",27,19393
"Total","Male",28,19237
"Total","Male",29,18981
"Total","Male",30,18686
"Total","Male",31,18375
"Total","Male",32,18097
"Total","Male",33,17805
"Total","Male",34,17466
"Total","Male",35,17065
"Total","Male",36,16553
"Total","Male",37,16002
"Total","Male",38,15476
"Total","Male",39,15026
"Total","Male",40,14686
"Total","Male",41,14434
"Total","Male",42,14281
"Total","Male",43,14213
"Total","Male",44,14185
"Total","Male",45,14122
"Total","Male",46,13971
"Total","Male",47,13745
"Total","Male",48,13466
"Total","Male",49,13157
"Total","Male",50,12841
"Total","Male",51,12524
"Total","Male",52,12205
"Total","Male",53,11877
"Total","Male",54,11551
"Total","Male",55,11220
"Total","Male",56,10845
"Total","Male",57,10424
"Total","Male",58,9981
"Total","Male",59,9524
"Total","Male",60,9044
"Total","Male",61,8544
"Total","Male",62,8043
"Total","Male",63,7564
"Total","Male",64,7104
"Total","Male",65,6640
"Total","Male",66,6143
"Total","Male",67,5665
"Total","Male",68,5245
"Total","Male",69,4877
"Total","Male",70,4575
"Total","Male",71,4299
"Total","Male",72,4024
"Total","Male",73,3753
"Total","Male",74,3490
"Total","Male",75,3240
"Total","Male",76,2991
"Total","Male",77,2746
"Total","Male",78,2522
"Total","Male",79,2308
"Total","Male",80,2099
"Total","Male",81,1905
"Total","Male",82,1726
"Total","Male",83,1561
"Total","Male",84,1403
"Total","Male",85,1252
"Total","Male",86,1108
"Total","Male",87,971
"Total","Male",88,842
"Total","Male",89,724
"Total","Male",90,615
"Total","Male",91,514
"Total","Male",92,425
"Total","Male",93,347
"Total","Male",94,277
"Total","Male",95,218
"Total","Male",96,170
"Total","Male",97,131
"Total","Male",98,99
"Total","Male",99,73
"Total","Male",100,171
"Total","Female",0,20318
"Total","Female",1,20565
"Total","Female",2,20790
"Total","Female",3,21119
"Total","Female",4,21654
"Total","Female",5,22252
"Total","Female",6,22511
"Total","Female",7,22592
"Total","Female",8,22724
"Total","Female",9,22874
"Total","Female",10,22938
"Total","Female",11,22878
"Total","Female",12,22699
"Total","Female",13,22459
"Total","Female",14,22210
"Total","Female",15,21946
"Total","Female",16,21761
"Total","Female",17,21639
"Total","Female",18,21565
"Total","Female",19,21446
"Total","Female",20,21173
"Total","Female",21,20795
"Total","Female",22,20426
"Total","Female",23,20209
"Total","Female",24,20149
"Total","Female",25,20195
"Total","Female",26,20240
"Total","Female",27,20268
"Total","Female",28,20245
"Total","Female",29,20127
"Total","Female",30,19967
"Total","Female",31,19801
"Total","Female",32,19682
"Total","Female",33,19578
"Total","Female",34,19465
"Total","Female",35,19323
"Total","Female",36,19087
"Total","Female",37,18792
"Total","Female",38,18460
"Total","Female",39,18122
"Total","Female",40,17810
"Total","Female",41,17513
"Total","Female",42,17252
"Total","Female",43,17032
"Total","Female",44,16819
"Total","Female",45,16541
"Total","Female",46,16149
"Total","Female",47,15671
"Total","Female",48,15143
"Total","Female",49,14602
"Total","Female",50,14071
"Total","Female",51,13563
"Total","Female",52,13075
"Total","Female",53,12601
"Total","Female",54,12153
"Total","Female",55,11716
"Total","Female",56,11251
"Total","Female",57,10760
"Total","Female",58,10266
"Total","Female",59,9773
"Total","Female",60,9270
"Total","Female",61,8756
"Total","Female",62,8254
"Total","Female",63,7783
"Total","Female",64,7339
"Total","Female",65,6886
"Total","Female",66,6396
"Total","Female",67,5918
"Total","Female",68,5496
"Total","Female",69,5124
"Total","Female",70,4820
"Total","Female",71,4547
"Total","Female",72,4271
"Total","Female",73,3997
"Total","Female",74,3729
"Total","Female",75,3471
"Total","Female",76,3212
"Total","Female",77,2960
"Total","Female",78,2727
"Total","Female",79,2504
"Total","Female",80,2286
"Total","Female",81,2079
"Total","Female",82,1885
"Total","Female",83,1703
"Total","Female",84,1530
"Total","Female",85,1365
"Total","Female",86,1208
"Total","Female",87,1059
"Total","Female",88,918
"Total","Female",89,786
"Total","Female",90,663
"Total","Female",91,551
"Total","Female",92,452
"Total","Female",93,364
"Total","Female",94,290
"Total","Female",95,228
"Total","Female",96,178
"Total","Female",97,138
"Total","Female",98,104
"Total","Female",99,76
"Total","Female",100,179
