"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","TAMPS","Total","f",0,0.000336819144158594
"AGS","TAMPS","Total","f",1,0.000336819144158594
"AGS","TAMPS","Total","f",2,0.000336819144158594
"AGS","TAMPS","Total","f",3,0.000336819144158594
"AGS","TAMPS","Total","f",4,0.000336819144158594
"AGS","TAMPS","Total","f",5,0.000382349377169489
"AGS","TAMPS","Total","f",6,0.000382349377169489
"AGS","TAMPS","Total","f",7,0.000382349377169489
"AGS","TAMPS","Total","f",8,0.000382349377169489
"AGS","TAMPS","Total","f",9,0.000382349377169489
"AGS","TAMPS","Total","f",10,0.000293107930898115
"AGS","TAMPS","Total","f",11,0.000293107930898115
"AGS","TAMPS","Total","f",12,0.000293107930898115
"AGS","TAMPS","Total","f",13,0.000293107930898115
"AGS","TAMPS","Total","f",14,0.000293107930898115
"AGS","TAMPS","Total","f",15,0.000184567922658248
"AGS","TAMPS","Total","f",16,0.000184567922658248
"AGS","TAMPS","Total","f",17,0.000184567922658248
"AGS","TAMPS","Total","f",18,0.000184567922658248
"AGS","TAMPS","Total","f",19,0.000184567922658248
"AGS","TAMPS","Total","f",20,0.000236879212419193
"AGS","TAMPS","Total","f",21,0.000236879212419193
"AGS","TAMPS","Total","f",22,0.000236879212419193
"AGS","TAMPS","Total","f",23,0.000236879212419193
"AGS","TAMPS","Total","f",24,0.000236879212419193
"AGS","TAMPS","Total","f",25,0.000324684332262469
"AGS","TAMPS","Total","f",26,0.000324684332262469
"AGS","TAMPS","Total","f",27,0.000324684332262469
"AGS","TAMPS","Total","f",28,0.000324684332262469
"AGS","TAMPS","Total","f",29,0.000324684332262469
"AGS","TAMPS","Total","f",30,0.000369011810367948
"AGS","TAMPS","Total","f",31,0.000369011810367948
"AGS","TAMPS","Total","f",32,0.000369011810367948
"AGS","TAMPS","Total","f",33,0.000369011810367948
"AGS","TAMPS","Total","f",34,0.000369011810367948
"AGS","TAMPS","Total","f",35,0.000322485170586801
"AGS","TAMPS","Total","f",36,0.000322485170586801
"AGS","TAMPS","Total","f",37,0.000322485170586801
"AGS","TAMPS","Total","f",38,0.000322485170586801
"AGS","TAMPS","Total","f",39,0.000322485170586801
"AGS","TAMPS","Total","f",40,0.000242022382842079
"AGS","TAMPS","Total","f",41,0.000242022382842079
"AGS","TAMPS","Total","f",42,0.000242022382842079
"AGS","TAMPS","Total","f",43,0.000242022382842079
"AGS","TAMPS","Total","f",44,0.000242022382842079
"AGS","TAMPS","Total","f",45,0.00021735512387223
"AGS","TAMPS","Total","f",46,0.00021735512387223
"AGS","TAMPS","Total","f",47,0.00021735512387223
"AGS","TAMPS","Total","f",48,0.00021735512387223
"AGS","TAMPS","Total","f",49,0.00021735512387223
"AGS","TAMPS","Total","f",50,0.000242779706005656
"AGS","TAMPS","Total","f",51,0.000242779706005656
"AGS","TAMPS","Total","f",52,0.000242779706005656
"AGS","TAMPS","Total","f",53,0.000242779706005656
"AGS","TAMPS","Total","f",54,0.000242779706005656
"AGS","TAMPS","Total","f",55,0.00108289790608443
"AGS","TAMPS","Total","f",56,0.00108289790608443
"AGS","TAMPS","Total","f",57,0.00108289790608443
"AGS","TAMPS","Total","f",58,0.00108289790608443
"AGS","TAMPS","Total","f",59,0.00108289790608443
"AGS","TAMPS","Total","f",60,0.00111467456836461
"AGS","TAMPS","Total","f",61,0.00111467456836461
"AGS","TAMPS","Total","f",62,0.00111467456836461
"AGS","TAMPS","Total","f",63,0.00111467456836461
"AGS","TAMPS","Total","f",64,0.00111467456836461
"AGS","TAMPS","Total","f",65,0.00104996058492412
"AGS","TAMPS","Total","f",66,0.00104996058492412
"AGS","TAMPS","Total","f",67,0.00104996058492412
"AGS","TAMPS","Total","f",68,0.00104996058492412
"AGS","TAMPS","Total","f",69,0.00104996058492412
"AGS","TAMPS","Total","f",70,0.000205326950442987
"AGS","TAMPS","Total","f",71,0.000205326950442987
"AGS","TAMPS","Total","f",72,0.000205326950442987
"AGS","TAMPS","Total","f",73,0.000205326950442987
"AGS","TAMPS","Total","f",74,0.000205326950442987
"AGS","TAMPS","Total","f",75,0.000404257694665234
"AGS","TAMPS","Total","f",76,0.000404257694665234
"AGS","TAMPS","Total","f",77,0.000404257694665234
"AGS","TAMPS","Total","f",78,0.000404257694665234
