"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"TAMPS","AGS","Total","f",0,0.000269769010284944
"TAMPS","AGS","Total","f",1,0.000269769010284944
"TAMPS","AGS","Total","f",2,0.000269769010284944
"TAMPS","AGS","Total","f",3,0.000269769010284944
"TAMPS","AGS","Total","f",4,0.000269769010284944
"TAMPS","AGS","Total","f",5,0.000375901466041122
"TAMPS","AGS","Total","f",6,0.000375901466041122
"TAMPS","AGS","Total","f",7,0.000375901466041122
"TAMPS","AGS","Total","f",8,0.000375901466041122
"TAMPS","AGS","Total","f",9,0.000375901466041122
"TAMPS","AGS","Total","f",10,0.000475999989505369
"TAMPS","AGS","Total","f",11,0.000475999989505369
"TAMPS","AGS","Total","f",12,0.000475999989505369
"TAMPS","AGS","Total","f",13,0.000475999989505369
"TAMPS","AGS","Total","f",14,0.000475999989505369
"TAMPS","AGS","Total","f",15,0.000454838499484805
"TAMPS","AGS","Total","f",16,0.000454838499484805
"TAMPS","AGS","Total","f",17,0.000454838499484805
"TAMPS","AGS","Total","f",18,0.000454838499484805
"TAMPS","AGS","Total","f",19,0.000454838499484805
"TAMPS","AGS","Total","f",20,0.000430233870163341
"TAMPS","AGS","Total","f",21,0.000430233870163341
"TAMPS","AGS","Total","f",22,0.000430233870163341
"TAMPS","AGS","Total","f",23,0.000430233870163341
"TAMPS","AGS","Total","f",24,0.000430233870163341
"TAMPS","AGS","Total","f",25,0.000368606318054062
"TAMPS","AGS","Total","f",26,0.000368606318054062
"TAMPS","AGS","Total","f",27,0.000368606318054062
"TAMPS","AGS","Total","f",28,0.000368606318054062
"TAMPS","AGS","Total","f",29,0.000368606318054062
"TAMPS","AGS","Total","f",30,0.000320683571612984
"TAMPS","AGS","Total","f",31,0.000320683571612984
"TAMPS","AGS","Total","f",32,0.000320683571612984
"TAMPS","AGS","Total","f",33,0.000320683571612984
"TAMPS","AGS","Total","f",34,0.000320683571612984
"TAMPS","AGS","Total","f",35,0.000340764699553097
"TAMPS","AGS","Total","f",36,0.000340764699553097
"TAMPS","AGS","Total","f",37,0.000340764699553097
"TAMPS","AGS","Total","f",38,0.000340764699553097
"TAMPS","AGS","Total","f",39,0.000340764699553097
"TAMPS","AGS","Total","f",40,0.000326946467039162
"TAMPS","AGS","Total","f",41,0.000326946467039162
"TAMPS","AGS","Total","f",42,0.000326946467039162
"TAMPS","AGS","Total","f",43,0.000326946467039162
"TAMPS","AGS","Total","f",44,0.000326946467039162
"TAMPS","AGS","Total","f",45,0.000311687672996326
"TAMPS","AGS","Total","f",46,0.000311687672996326
"TAMPS","AGS","Total","f",47,0.000311687672996326
"TAMPS","AGS","Total","f",48,0.000311687672996326
"TAMPS","AGS","Total","f",49,0.000311687672996326
"TAMPS","AGS","Total","f",50,0.000354009512995513
"TAMPS","AGS","Total","f",51,0.000354009512995513
"TAMPS","AGS","Total","f",52,0.000354009512995513
"TAMPS","AGS","Total","f",53,0.000354009512995513
"TAMPS","AGS","Total","f",54,0.000354009512995513
"TAMPS","AGS","Total","f",55,0.0003206147919537
"TAMPS","AGS","Total","f",56,0.0003206147919537
"TAMPS","AGS","Total","f",57,0.0003206147919537
"TAMPS","AGS","Total","f",58,0.0003206147919537
"TAMPS","AGS","Total","f",59,0.0003206147919537
"TAMPS","AGS","Total","f",60,0.000292465864352202
"TAMPS","AGS","Total","f",61,0.000292465864352202
"TAMPS","AGS","Total","f",62,0.000292465864352202
"TAMPS","AGS","Total","f",63,0.000292465864352202
"TAMPS","AGS","Total","f",64,0.000292465864352202
"TAMPS","AGS","Total","f",65,0.000205327490395401
"TAMPS","AGS","Total","f",66,0.000205327490395401
"TAMPS","AGS","Total","f",67,0.000205327490395401
"TAMPS","AGS","Total","f",68,0.000205327490395401
"TAMPS","AGS","Total","f",69,0.000205327490395401
"TAMPS","AGS","Total","f",70,0.000130215520374235
"TAMPS","AGS","Total","f",71,0.000130215520374235
"TAMPS","AGS","Total","f",72,0.000130215520374235
"TAMPS","AGS","Total","f",73,0.000130215520374235
"TAMPS","AGS","Total","f",74,0.000130215520374235
"TAMPS","AGS","Total","f",75,0.000153873463109662
"TAMPS","AGS","Total","f",76,0.000153873463109662
"TAMPS","AGS","Total","f",77,0.000153873463109662
"TAMPS","AGS","Total","f",78,0.000153873463109662
"TAMPS","AGS","Total","f",79,0.000153873463109662
"TAMPS","AGS","Total","f",80,8.77500259116679e-05
"TAMPS","AGS","Total","f",81,8.77500259116679e-05
"TAMPS","AGS","Total","f",82,8.77500259116679e-05
"TAMPS","AGS","Total","f",83,8.77500259116679e-05
"TAMPS","AGS","Total","f",84,8.77500259116679e-05
"TAMPS","AGS","Total","f",85,5.90737240075614e-05
"TAMPS","AGS","Total","f",86,5.90737240075614e-05
"TAMPS","AGS","Total","f",87,5.90737240075614e-05
"TAMPS","AGS","Total","f",88,5.90737240075614e-05
"TAMPS","AGS","Total","f",89,5.90737240075614e-05
"TAMPS","AGS","Total","f",90,0
"TAMPS","AGS","Total","f",91,0
"TAMPS","AGS","Total","f",92,0
"TAMPS","AGS","Total","f",93,0
"TAMPS","AGS","Total","f",94,0
"TAMPS","AGS","Total","f",95,0
"TAMPS","AGS","Total","f",96,0
"TAMPS","AGS","Total","f",97,0
"TAMPS","AGS","Total","f",98,0
"TAMPS","AGS","Total","f",99,0
"TAMPS","AGS","Total","f",100,0
"TAMPS","AGS","Total","m",0,0.000300057402285655
"TAMPS","AGS","Total","m",1,0.000300057402285655
"TAMPS","AGS","Total","m",2,0.000300057402285655
"TAMPS","AGS","Total","m",3,0.000300057402285655
"TAMPS","AGS","Total","m",4,0.000300057402285655
"TAMPS","AGS","Total","m",5,0.000344749749461334
"TAMPS","AGS","Total","m",6,0.000344749749461334
"TAMPS","AGS","Total","m",7,0.000344749749461334
"TAMPS","AGS","Total","m",8,0.000344749749461334
"TAMPS","AGS","Total","m",9,0.000344749749461334
"TAMPS","AGS","Total","m",10,0.000358079571595119
"TAMPS","AGS","Total","m",11,0.000358079571595119
"TAMPS","AGS","Total","m",12,0.000358079571595119
"TAMPS","AGS","Total","m",13,0.000358079571595119
"TAMPS","AGS","Total","m",14,0.000358079571595119
