"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99564.0516343523
"Total","Female","2",99113.8477032485
"Total","Female","3",99067.2859534918
"Total","Female","4",99035.5827311481
"Total","Female","5",99011.5553824221
"Total","Female","6",98991.534172787
"Total","Female","7",98975.0589236944
"Total","Female","8",98958.6780198822
"Total","Female","9",98942.4470372484
"Total","Female","10",98923.1681530142
"Total","Female","11",98904.0303762386
"Total","Female","12",98881.7507510593
"Total","Female","13",98856.2328798977
"Total","Female","14",98824.2115554355
"Total","Female","15",98788.868425236
"Total","Female","16",98747.0571153264
"Total","Female","17",98698.8368546695
"Total","Female","18",98641.1444774731
"Total","Female","19",98577.3424371268
"Total","Female","20",98507.3188171721
"Total","Female","21",98427.3472972439
"Total","Female","22",98339.955581595
"Total","Female","23",98248.1226454862
"Total","Female","24",98148.9355516861
"Total","Female","25",98042.8500981411
"Total","Female","26",97929.9701786214
"Total","Female","27",97806.940489247
"Total","Female","28",97676.7870923663
"Total","Female","29",97539.0082655111
"Total","Female","30",97392.7550232335
"Total","Female","31",97240.8108605195
"Total","Female","32",97079.7349764869
"Total","Female","33",96913.451059364
"Total","Female","34",96742.2951797934
"Total","Female","35",96566.46860151
"Total","Female","36",96385.9502843127
"Total","Female","37",96196.5940783818
"Total","Female","38",95994.3342900029
"Total","Female","39",95782.6599034759
"Total","Female","40",95557.941064256
"Total","Female","41",95320.5861926079
"Total","Female","42",95067.300215297
"Total","Female","43",94795.0202671884
"Total","Female","44",94500.8132171788
"Total","Female","45",94181.2552388024
"Total","Female","46",93835.0836254596
"Total","Female","47",93455.8140582414
"Total","Female","48",93044.1568075886
"Total","Female","49",92597.0553965253
"Total","Female","50",92111.7185529231
"Total","Female","51",91589.5362850413
"Total","Female","52",91032.6840539315
"Total","Female","53",90430.6933746338
"Total","Female","54",89781.3926353452
"Total","Female","55",89078.7635843317
"Total","Female","56",88315.8264293914
"Total","Female","57",87487.2031397418
"Total","Female","58",86586.273843904
"Total","Female","59",85612.670859908
"Total","Female","60",84555.6583993317
"Total","Female","61",83412.939405022
"Total","Female","62",82170.5145221318
"Total","Female","63",80833.6252422554
"Total","Female","64",79399.2832810391
"Total","Female","65",77858.5594805228
"Total","Female","66",76214.4465147381
"Total","Female","67",74463.2052208044
"Total","Female","68",72619.8357962926
"Total","Female","69",70669.4789146273
"Total","Female","70",68623.4048813605
"Total","Female","71",66496.1160074327
"Total","Female","72",64267.4725960614
"Total","Female","73",61924.9976771735
"Total","Female","74",59474.9566985024
"Total","Female","75",56948.860589089
"Total","Female","76",54352.3550114347
"Total","Female","77",51657.3434434236
"Total","Female","78",48899.2708394421
"Total","Female","79",46103.4502008883
"Total","Female","80",43285.4710130586
"Total","Female","81",40443.4714793174
"Total","Female","82",37572.4994276057
"Total","Female","83",34672.6590391485
"Total","Female","84",31767.444380946
"Total","Female","85",28891.897714154
"Total","Female","86",26079.9819633708
"Total","Female","87",23335.8761170566
"Total","Female","88",20683.0501230174
"Total","Female","89",18149.4916446968
"Total","Female","90",15737.4419407761
"Total","Female","91",13460.535447217
"Total","Female","92",11358.7033577498
"Total","Female","93",9459.08057397948
"Total","Female","94",7761.29688121393
"Total","Female","95",6263.62552631783
"Total","Female","96",4942.67553119634
"Total","Female","97",3784.11840516249
"Total","Female","98",2805.06518329294
"Total","Female","99",2003.61798806638
"Total","Female","100+",1379.54025407849
"Total","Male","0",1e+05
"Total","Male","1",99437.1570333269
"Total","Male","2",98849.88844085
"Total","Male","3",98798.2490264068
"Total","Male","4",98767.7980327171
"Total","Male","5",98741.4423828084
"Total","Male","6",98719.0378805579
"Total","Male","7",98696.9378992616
"Total","Male","8",98678.1253435911
"Total","Male","9",98656.3999861423
"Total","Male","10",98634.9219262141
"Total","Male","11",98610.5736364273
"Total","Male","12",98583.2387580804
"Total","Male","13",98546.6553129526
"Total","Male","14",98500.5918415298
"Total","Male","15",98441.8233736148
"Total","Male","16",98364.2111254134
"Total","Male","17",98261.6334589267
"Total","Male","18",98134.510193325
"Total","Male","19",97977.2062780654
"Total","Male","20",97789.701859707
"Total","Male","21",97570.6534211716
"Total","Male","22",97321.1360387692
"Total","Male","23",97043.3282026653
"Total","Male","24",96738.2804126373
"Total","Male","25",96401.1467420777
"Total","Male","26",96029.0950137927
"Total","Male","27",95621.976433978
"Total","Male","28",95181.689731903
"Total","Male","29",94715.672105622
"Total","Male","30",94230.2597836196
"Total","Male","31",93729.3614248874
"Total","Male","32",93216.2568028106
"Total","Male","33",92691.8478792054
"Total","Male","34",92159.5260232469
"Total","Male","35",91614.9775442698
"Total","Male","36",91049.1971735568
"Total","Male","37",90466.4469040348
"Total","Male","38",89872.9516294413
"Total","Male","39",89269.8552964008
"Total","Male","40",88660.4779123503
"Total","Male","41",88033.7619356972
"Total","Male","42",87390.3970494436
"Total","Male","43",86731.4127265367
"Total","Male","44",86049.79165425
"Total","Male","45",85333.1092785972
"Total","Male","46",84576.911757408
"Total","Male","47",83777.4406497537
"Total","Male","48",82937.6041446946
"Total","Male","49",82064.0218255459
"Total","Male","50",81148.9296677689
"Total","Male","51",80192.6776393136
"Total","Male","52",79196.7852615284
"Total","Male","53",78158.6953752226
"Total","Male","54",77075.720534244
"Total","Male","55",75938.1467500742
"Total","Male","56",74747.497012727
"Total","Male","57",73497.1490430774
"Total","Male","58",72174.835418819
"Total","Male","59",70774.5984283277
"Total","Male","60",69304.2088423017
"Total","Male","61",67756.0170786321
"Total","Male","62",66127.266668088
"Total","Male","63",64417.387666219
"Total","Male","64",62630.2989941865
"Total","Male","65",60754.5163288032
"Total","Male","66",58798.3619281004
"Total","Male","67",56779.6359808567
"Total","Male","68",54725.9770714251
"Total","Male","69",52627.3217926009
"Total","Male","70",50493.8712553709
"Total","Male","71",48332.3012516403
"Total","Male","72",46128.576848948
"Total","Male","73",43889.1254635784
"Total","Male","74",41627.3716063026
"Total","Male","75",39363.2239210562
"Total","Male","76",37096.89940599
"Total","Male","77",34813.7923784876
"Total","Male","78",32536.6638203979
"Total","Male","79",30282.0500602658
"Total","Male","80",28051.1351238111
"Total","Male","81",25853.2828665842
"Total","Male","82",23695.9429773134
