"Race","Sex","Age","Population"
"Total","Male",0,28466
"Total","Male",1,28362
"Total","Male",2,28706
"Total","Male",3,29196
"Total","Male",4,29976
"Total","Male",5,30847
"Total","Male",6,31265
"Total","Male",7,31475
"Total","Male",8,31791
"Total","Male",9,32150
"Total","Male",10,32404
"Total","Male",11,32463
"Total","Male",12,32331
"Total","Male",13,32083
"Total","Male",14,31836
"Total","Male",15,31697
"Total","Male",16,31628
"Total","Male",17,31671
"Total","Male",18,31791
"Total","Male",19,31844
"Total","Male",20,31661
"Total","Male",21,31243
"Total","Male",22,30784
"Total","Male",23,30492
"Total","Male",24,30363
"Total","Male",25,30257
"Total","Male",26,30128
"Total","Male",27,29902
"Total","Male",28,29543
"Total","Male",29,28999
"Total","Male",30,28331
"Total","Male",31,27690
"Total","Male",32,27120
"Total","Male",33,26565
"Total","Male",34,25986
"Total","Male",35,25344
"Total","Male",36,24607
"Total","Male",37,23853
"Total","Male",38,23169
"Total","Male",39,22629
"Total","Male",40,22273
"Total","Male",41,22086
"Total","Male",42,22063
"Total","Male",43,22180
"Total","Male",44,22359
"Total","Male",45,22469
"Total","Male",46,22427
"Total","Male",47,22233
"Total","Male",48,21910
"Total","Male",49,21492
"Total","Male",50,21006
"Total","Male",51,20486
"Total","Male",52,19933
"Total","Male",53,19351
"Total","Male",54,18764
"Total","Male",55,18161
"Total","Male",56,17488
"Total","Male",57,16745
"Total","Male",58,15977
"Total","Male",59,15195
"Total","Male",60,14386
"Total","Male",61,13563
"Total","Male",62,12750
"Total","Male",63,11979
"Total","Male",64,11248
"Total","Male",65,10512
"Total","Male",66,9733
"Total","Male",67,8986
"Total","Male",68,8338
"Total","Male",69,7782
"Total","Male",70,7338
"Total","Male",71,6944
"Total","Male",72,6552
"Total","Male",73,6163
"Total","Male",74,5777
"Total","Male",75,5398
"Total","Male",76,5008
"Total","Male",77,4614
"Total","Male",78,4249
"Total","Male",79,3896
"Total","Male",80,3544
"Total","Male",81,3204
"Total","Male",82,2880
"Total","Male",83,2574
"Total","Male",84,2285
"Total","Male",85,2016
"Total","Male",86,1764
"Total","Male",87,1529
"Total","Male",88,1311
"Total","Male",89,1110
"Total","Male",90,925
"Total","Male",91,756
"Total","Male",92,610
"Total","Male",93,486
"Total","Male",94,379
"Total","Male",95,292
"Total","Male",96,221
"Total","Male",97,163
"Total","Male",98,117
"Total","Male",99,82
"Total","Male",100,153
"Total","Female",0,27423
"Total","Female",1,27361
"Total","Female",2,27666
"Total","Female",3,28119
"Total","Female",4,28849
"Total","Female",5,29669
"Total","Female",6,30040
"Total","Female",7,30208
"Total","Female",8,30482
"Total","Female",9,30790
"Total","Female",10,31011
"Total","Female",11,31071
"Total","Female",12,30996
"Total","Female",13,30867
"Total","Female",14,30752
"Total","Female",15,30709
"Total","Female",16,30710
"Total","Female",17,30785
"Total","Female",18,30911
"Total","Female",19,30960
"Total","Female",20,30782
"Total","Female",21,30396
"Total","Female",22,29970
"Total","Female",23,29701
"Total","Female",24,29590
"Total","Female",25,29514
"Total","Female",26,29433
"Total","Female",27,29288
"Total","Female",28,29046
"Total","Female",29,28656
"Total","Female",30,28181
"Total","Female",31,27747
"Total","Female",32,27416
"Total","Female",33,27155
"Total","Female",34,26936
"Total","Female",35,26722
"Total","Female",36,26443
"Total","Female",37,26131
"Total","Female",38,25821
"Total","Female",39,25544
"Total","Female",40,25332
"Total","Female",41,25181
"Total","Female",42,25103
"Total","Female",43,25093
"Total","Female",44,25094
"Total","Female",45,24984
"Total","Female",46,24691
"Total","Female",47,24238
"Total","Female",48,23667
"Total","Female",49,23025
"Total","Female",50,22339
"Total","Female",51,21645
"Total","Female",52,20950
"Total","Female",53,20261
"Total","Female",54,19601
"Total","Female",55,18950
"Total","Female",56,18246
"Total","Female",57,17486
"Total","Female",58,16714
"Total","Female",59,15938
"Total","Female",60,15140
"Total","Female",61,14327
"Total","Female",62,13534
"Total","Female",63,12791
"Total","Female",64,12095
"Total","Female",65,11386
"Total","Female",66,10626
"Total","Female",67,9894
"Total","Female",68,9257
"Total","Female",69,8714
"Total","Female",70,8289
"Total","Female",71,7921
"Total","Female",72,7542
"Total","Female",73,7160
"Total","Female",74,6775
"Total","Female",75,6387
"Total","Female",76,5979
"Total","Female",77,5560
"Total","Female",78,5165
"Total","Female",79,4774
"Total","Female",80,4375
"Total","Female",81,3981
"Total","Female",82,3600
"Total","Female",83,3236
"Total","Female",84,2890
"Total","Female",85,2561
"Total","Female",86,2251
"Total","Female",87,1958
"Total","Female",88,1686
"Total","Female",89,1433
"Total","Female",90,1199
"Total","Female",91,986
"Total","Female",92,800
"Total","Female",93,639
"Total","Female",94,501
"Total","Female",95,386
"Total","Female",96,290
"Total","Female",97,212
"Total","Female",98,150
"Total","Female",99,103
"Total","Female",100,166
