"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"2.123591234","60.31442769","70.89683116","103.662688336788","1","466.325225461223","169.191722681742","1257.06137072666","893.850920775711","1","1","1","1"
2021,"2.117882868","60.73113894","70.33745844","103.673170832761","1","466.325225461223","169.191722681742","1257.06137072666","893.850920775711","1","1","1","1"
2022,"2.104064547","70.70732988","77.14343928","103.683372392593","1","466.325225461223","169.191722681742","1257.06137072666","893.850920775711","1","1","1","1"
2023,"2.080808897","70.87325897","77.33159953","103.69330033034","1","466.325225461223","169.191722681742","1257.06137072666","893.850920775711","1","1","1","1"
2024,"2.05292182","71.0755944","77.56042535","103.702959888297","1","466.325225461223","169.191722681742","1257.06137072666","893.850920775711","1","1","1","1"
2025,"2.02473612","71.25775583","77.76583788","103.71235460466","1","462.715053703082","157.868092479151","1293.71677206195","903.812060743041","1","1","1","1"
2026,"1.997123562","71.45764567","77.99055667","103.721486034331","1","462.715053703082","157.868092479151","1293.71677206195","903.812060743041","1","1","1","1"
2027,"1.96897026","71.64501069","78.20052631","103.730353259207","1","462.715053703082","157.868092479151","1293.71677206195","903.812060743041","1","1","1","1"
2028,"1.940660449","71.84096327","78.41939886","103.738953398203","1","462.715053703082","157.868092479151","1293.71677206195","903.812060743041","1","1","1","1"
2029,"1.912485679","72.02919467","78.6289352","103.747281974477","1","462.715053703082","157.868092479151","1293.71677206195","903.812060743041","1","1","1","1"
2030,"1.885599187","72.2214008","78.84215159","103.75533260831","1","459.104881944942","160.104688238324","1308.77569823208","921.264301905314","1","1","1","1"
2031,"1.860287067","72.40874509","79.04923319","103.763097386549","1","459.104881944942","160.104688238324","1308.77569823208","921.264301905314","1","1","1","1"
2032,"1.836628572","72.59768723","79.25731572","103.770567787944","1","459.104881944942","160.104688238324","1308.77569823208","921.264301905314","1","1","1","1"
2033,"1.814175978","72.78342756","79.46109943","103.777736321662","1","459.104881944942","160.104688238324","1308.77569823208","921.264301905314","1","1","1","1"
2034,"1.7934354","72.96952546","79.66449446","103.784598854468","1","459.104881944942","160.104688238324","1308.77569823208","921.264301905314","1","1","1","1"
2035,"1.774166252","73.15336828","79.86464259","103.791157140806","1","455.494710186801","165.208665557008","1301.99053700481","925.969523304516","1","1","1","1"
2036,"1.756678494","73.33692302","80.06368076","103.797428398938","1","455.494710186801","165.208665557008","1301.99053700481","925.969523304516","1","1","1","1"
2037,"1.740738243","73.51876672","80.26006531","103.803474231975","1","455.494710186801","165.208665557008","1301.99053700481","925.969523304516","1","1","1","1"
2038,"1.726262177","73.69999366","80.45497587","103.809485676415","1","455.494710186801","165.208665557008","1301.99053700481","925.969523304516","1","1","1","1"
2039,"1.713073275","73.87982733","80.64758076","103.815405535645","1","455.494710186801","165.208665557008","1301.99053700481","925.969523304516","1","1","1","1"
2040,"1.700829531","74.0588765","80.83853598","103.821230433958","1","451.88453842866","162.780879241572","1286.9594488963","921.886728537419","1","1","1","1"
2041,"1.689969025","74.23672706","81.02739488","103.826880913896","1","451.88453842866","162.780879241572","1286.9594488963","921.886728537419","1","1","1","1"
2042,"1.67981195","74.41372167","81.21452871","103.832299395261","1","451.88453842866","162.780879241572","1286.9594488963","921.886728537419","1","1","1","1"
2043,"1.670650337","74.58963526","81.39970379","103.837428707924","1","451.88453842866","162.780879241572","1286.9594488963","921.886728537419","1","1","1","1"
2044,"1.662222042","74.76466831","81.58313451","103.842250313431","1","451.88453842866","162.780879241572","1286.9594488963","921.886728537419","1","1","1","1"
2045,"1.654394431","74.93871038","81.76470902","103.846819324831","1","448.274366670519","162.285023434806","1259.84957237112","912.941370322855","1","1","1","1"
2046,"1.647266777","75.11188044","81.94455308","103.851223011722","1","448.274366670519","162.285023434806","1259.84957237112","912.941370322855","1","1","1","1"
2047,"1.640957694","75.2841277","82.12262568","103.855539913617","1","448.274366670519","162.285023434806","1259.84957237112","912.941370322855","1","1","1","1"
2048,"1.635143997","75.45552707","82.29900941","103.859817462726","1","448.274366670519","162.285023434806","1259.84957237112","912.941370322855","1","1","1","1"
2049,"1.629875311","75.62606695","82.47370042","103.86406166453","1","448.274366670519","162.285023434806","1259.84957237112","912.941370322855","1","1","1","1"
2050,"1.62527826","75.79580751","82.64675807","103.868272164186","1","444.664194912379","159.779044472919","1228.26216341007","898.404584760776","1","1","1","1"
2051,"1.621082794","75.96475327","82.81820826","103.872437135758","1","444.664194912379","159.779044472919","1228.26216341007","898.404584760776","1","1","1","1"
2052,"1.617542219","76.13295329","82.98809552","103.876540244325","1","444.664194912379","159.779044472919","1228.26216341007","898.404584760776","1","1","1","1"
2053,"1.614314508","76.30043353","83.1564593","103.88045015579","1","444.664194912379","159.779044472919","1228.26216341007","898.404584760776","1","1","1","1"
2054,"1.611524836","76.46723871","83.32334858","103.884365592182","1","444.664194912379","159.779044472919","1228.26216341007","898.404584760776","1","1","1","1"
2055,"1.608844625","76.63340049","83.48880804","103.888266005731","1","441.054023154238","156.202684466619","1191.81481495628","878.850207556617","1","1","1","1"
2056,"1.606514664","76.79896801","83.65288546","103.892126825369","1","441.054023154238","156.202684466619","1191.81481495628","878.850207556617","1","1","1","1"
2057,"1.604267425","76.963971","83.81562416","103.895932012063","1","441.054023154238","156.202684466619","1191.81481495628","878.850207556617","1","1","1","1"
2058,"1.602147056","77.12846497","83.97708355","103.899672978222","1","441.054023154238","156.202684466619","1191.81481495628","878.850207556617","1","1","1","1"
2059,"1.600169622","77.29248518","84.13730174","103.903346495507","1","441.054023154238","156.202684466619","1191.81481495628","878.850207556617","1","1","1","1"
2060,"1.598299071","77.45607916","84.29633356","103.906951376059","1","437.443851396098","151.895413929768","1152.39905003814","855.918760948899","1","1","1","1"
2061,"1.596221436","77.61928623","84.45422504","103.910487177759","1","437.443851396098","151.895413929768","1152.39905003814","855.918760948899","1","1","1","1"
2062,"1.594407292","77.78214859","84.61101829","103.913953737224","1","437.443851396098","151.895413929768","1152.39905003814","855.918760948899","1","1","1","1"
2063,"1.592549667","77.9447064","84.76676109","103.917351147187","1","437.443851396098","151.895413929768","1152.39905003814","855.918760948899","1","1","1","1"
2064,"1.590931715","78.10699799","84.92149293","103.920680418111","1","437.443851396098","151.895413929768","1152.39905003814","855.918760948899","1","1","1","1"
2065,"1.589177891","78.2690546","85.07525071","103.923943860072","1","433.833679637957","151.60185342207","1155.60961767957","861.667509309645","1","1","1","1"
2066,"1.587508186","78.43091129","85.22806708","103.927144601535","1","433.833679637957","151.60185342207","1155.60961767957","861.667509309645","1","1","1","1"
2067,"1.58603552","78.59259335","85.3799761","103.930285459978","1","433.833679637957","151.60185342207","1155.60961767957","861.667509309645","1","1","1","1"
2068,"1.584664741","78.75412485","85.53100661","103.933368032697","1","433.833679637957","151.60185342207","1155.60961767957","861.667509309645","1","1","1","1"
2069,"1.583294163","78.91553077","85.68117209","103.936393204352","1","433.833679637957","151.60185342207","1155.60961767957","861.667509309645","1","1","1","1"
2070,"1.582101547","79.07682699","85.83050699","103.939361388619","1","430.223507879816","149.90973392307","1136.91053862253","854.387452602701","1","1","1","1"
2071,"1.580908931","79.2288870801852","85.9685869909668","103.942272789215","1","430.223507879816","149.90973392307","1136.91053862253","854.387452602701","1","1","1","1"
2072,"1.579716315","79.3866473620252","86.1124896775995","103.945127796446","1","430.223507879816","149.90973392307","1136.91053862253","854.387452602701","1","1","1","1"
2073,"1.578523699","79.5439107936265","86.2551209369209","103.947926803686","1","430.223507879816","149.90973392307","1136.91053862253","854.387452602701","1","1","1","1"
2074,"1.577331083","79.7006796093651","86.3964833302316","103.950670135965","1","430.223507879816","149.90973392307","1136.91053862253","854.387452602701","1","1","1","1"
2075,"1.576138467","79.8569557790217","86.5365791137907","103.953358060665","1","426.613336121675","148.217614424071","1118.21145956549","847.107395895757","1","1","1","1"
2076,"1.574945851","80.0127410466372","86.675410283856","103.955990796665","1","426.613336121675","148.217614424071","1118.21145956549","847.107395895757","1","1","1","1"
2077,"1.573753235","80.1680369626735","86.812978613923","103.958568522098","1","426.613336121675","148.217614424071","1118.21145956549","847.107395895757","1","1","1","1"
2078,"1.572560619","80.3228449107683","86.9492856856742","103.961091380916","1","426.613336121675","148.217614424071","1118.21145956549","847.107395895757","1","1","1","1"
