"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","TLAX","Total","f",0,0.000166636076070464
"AGS","TLAX","Total","f",1,0.000166636076070464
"AGS","TLAX","Total","f",2,0.000166636076070464
"AGS","TLAX","Total","f",3,0.000166636076070464
"AGS","TLAX","Total","f",4,0.000166636076070464
"AGS","TLAX","Total","f",5,0.000104318325093949
"AGS","TLAX","Total","f",6,0.000104318325093949
"AGS","TLAX","Total","f",7,0.000104318325093949
"AGS","TLAX","Total","f",8,0.000104318325093949
"AGS","TLAX","Total","f",9,0.000104318325093949
"AGS","TLAX","Total","f",10,8.80721712111889e-05
"AGS","TLAX","Total","f",11,8.80721712111889e-05
"AGS","TLAX","Total","f",12,8.80721712111889e-05
"AGS","TLAX","Total","f",13,8.80721712111889e-05
"AGS","TLAX","Total","f",14,8.80721712111889e-05
"AGS","TLAX","Total","f",15,0.000135077806383967
"AGS","TLAX","Total","f",16,0.000135077806383967
"AGS","TLAX","Total","f",17,0.000135077806383967
"AGS","TLAX","Total","f",18,0.000135077806383967
"AGS","TLAX","Total","f",19,0.000135077806383967
"AGS","TLAX","Total","f",20,0.000165229509358466
"AGS","TLAX","Total","f",21,0.000165229509358466
"AGS","TLAX","Total","f",22,0.000165229509358466
"AGS","TLAX","Total","f",23,0.000165229509358466
"AGS","TLAX","Total","f",24,0.000165229509358466
"AGS","TLAX","Total","f",25,0.000166636076070464
"AGS","TLAX","Total","f",26,0.000166636076070464
"AGS","TLAX","Total","f",27,0.000166636076070464
"AGS","TLAX","Total","f",28,0.000166636076070464
"AGS","TLAX","Total","f",29,0.000166636076070464
"AGS","TLAX","Total","f",30,0.000142678565574464
"AGS","TLAX","Total","f",31,0.000142678565574464
"AGS","TLAX","Total","f",32,0.000142678565574464
"AGS","TLAX","Total","f",33,0.000142678565574464
"AGS","TLAX","Total","f",34,0.000142678565574464
"AGS","TLAX","Total","f",35,0.000138608898105322
"AGS","TLAX","Total","f",36,0.000138608898105322
"AGS","TLAX","Total","f",37,0.000138608898105322
"AGS","TLAX","Total","f",38,0.000138608898105322
"AGS","TLAX","Total","f",39,0.000138608898105322
"AGS","TLAX","Total","f",40,0.000114125854943402
"AGS","TLAX","Total","f",41,0.000114125854943402
"AGS","TLAX","Total","f",42,0.000114125854943402
"AGS","TLAX","Total","f",43,0.000114125854943402
"AGS","TLAX","Total","f",44,0.000114125854943402
"AGS","TLAX","Total","f",45,8.45855645157186e-05
"AGS","TLAX","Total","f",46,8.45855645157186e-05
"AGS","TLAX","Total","f",47,8.45855645157186e-05
"AGS","TLAX","Total","f",48,8.45855645157186e-05
"AGS","TLAX","Total","f",49,8.45855645157186e-05
"AGS","TLAX","Total","f",50,4.19128332078552e-05
"AGS","TLAX","Total","f",51,4.19128332078552e-05
"AGS","TLAX","Total","f",52,4.19128332078552e-05
"AGS","TLAX","Total","f",53,4.19128332078552e-05
