"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"TLAX","AGS","Total","f",0,0.000106873764272101
"TLAX","AGS","Total","f",1,0.000106873764272101
"TLAX","AGS","Total","f",2,0.000106873764272101
"TLAX","AGS","Total","f",3,0.000106873764272101
"TLAX","AGS","Total","f",4,0.000106873764272101
"TLAX","AGS","Total","f",5,0.000190372462221929
"TLAX","AGS","Total","f",6,0.000190372462221929
"TLAX","AGS","Total","f",7,0.000190372462221929
"TLAX","AGS","Total","f",8,0.000190372462221929
"TLAX","AGS","Total","f",9,0.000190372462221929
"TLAX","AGS","Total","f",10,0.000186195626537503
"TLAX","AGS","Total","f",11,0.000186195626537503
"TLAX","AGS","Total","f",12,0.000186195626537503
"TLAX","AGS","Total","f",13,0.000186195626537503
"TLAX","AGS","Total","f",14,0.000186195626537503
"TLAX","AGS","Total","f",15,0.00017044595425522
"TLAX","AGS","Total","f",16,0.00017044595425522
"TLAX","AGS","Total","f",17,0.00017044595425522
"TLAX","AGS","Total","f",18,0.00017044595425522
"TLAX","AGS","Total","f",19,0.00017044595425522
"TLAX","AGS","Total","f",20,0.000178787640060627
"TLAX","AGS","Total","f",21,0.000178787640060627
"TLAX","AGS","Total","f",22,0.000178787640060627
"TLAX","AGS","Total","f",23,0.000178787640060627
"TLAX","AGS","Total","f",24,0.000178787640060627
"TLAX","AGS","Total","f",25,0.000205446211668918
"TLAX","AGS","Total","f",26,0.000205446211668918
"TLAX","AGS","Total","f",27,0.000205446211668918
"TLAX","AGS","Total","f",28,0.000205446211668918
"TLAX","AGS","Total","f",29,0.000205446211668918
"TLAX","AGS","Total","f",30,0.00023009970097475
"TLAX","AGS","Total","f",31,0.00023009970097475
"TLAX","AGS","Total","f",32,0.00023009970097475
"TLAX","AGS","Total","f",33,0.00023009970097475
"TLAX","AGS","Total","f",34,0.00023009970097475
"TLAX","AGS","Total","f",35,0.000220183674821737
"TLAX","AGS","Total","f",36,0.000220183674821737
"TLAX","AGS","Total","f",37,0.000220183674821737
"TLAX","AGS","Total","f",38,0.000220183674821737
"TLAX","AGS","Total","f",39,0.000220183674821737
"TLAX","AGS","Total","f",40,0.000224971511603797
"TLAX","AGS","Total","f",41,0.000224971511603797
"TLAX","AGS","Total","f",42,0.000224971511603797
"TLAX","AGS","Total","f",43,0.000224971511603797
"TLAX","AGS","Total","f",44,0.000224971511603797
"TLAX","AGS","Total","f",45,0.000174017892938155
"TLAX","AGS","Total","f",46,0.000174017892938155
"TLAX","AGS","Total","f",47,0.000174017892938155
"TLAX","AGS","Total","f",48,0.000174017892938155
"TLAX","AGS","Total","f",49,0.000174017892938155
"TLAX","AGS","Total","f",50,0.000139833437670932
"TLAX","AGS","Total","f",51,0.000139833437670932
"TLAX","AGS","Total","f",52,0.000139833437670932
"TLAX","AGS","Total","f",53,0.000139833437670932
"TLAX","AGS","Total","f",54,0.000139833437670932
"TLAX","AGS","Total","f",55,0.000103588795836369
"TLAX","AGS","Total","f",56,0.000103588795836369
"TLAX","AGS","Total","f",57,0.000103588795836369
