"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99588.2731330388
"Total","Female","2",99147.9295401592
"Total","Female","3",99097.6134125063
"Total","Female","4",99063.8636931661
"Total","Female","5",99038.6298497291
"Total","Female","6",99021.833677449
"Total","Female","7",99005.1070163548
"Total","Female","8",98988.5523625606
"Total","Female","9",98972.2216601993
"Total","Female","10",98956.1351552566
"Total","Female","11",98932.274012672
"Total","Female","12",98908.5445046138
"Total","Female","13",98876.9468544247
"Total","Female","14",98845.3315236958
"Total","Female","15",98805.7949725484
"Total","Female","16",98758.379570658
"Total","Female","17",98703.2182974089
"Total","Female","18",98640.4998108021
"Total","Female","19",98570.406683938
"Total","Female","20",98492.7860786274
"Total","Female","21",98407.0147413464
"Total","Female","22",98312.2483360101
"Total","Female","23",98216.0288612501
"Total","Female","24",98110.6599010524
"Total","Female","25",97996.5208584552
"Total","Female","26",97873.7643498012
"Total","Female","27",97742.1472520035
"Total","Female","28",97601.2666294011
"Total","Female","29",97450.505211798
"Total","Female","30",97288.8745890383
"Total","Female","31",97115.6085612751
"Total","Female","32",96930.7019218275
"Total","Female","33",96734.6302555642
"Total","Female","34",96536.7169415474
"Total","Female","35",96328.1457622082
"Total","Female","36",96108.6152809345
"Total","Female","37",95877.3959784254
"Total","Female","38",95624.4831073964
"Total","Female","39",95358.6749542139
"Total","Female","40",95070.204625624
"Total","Female","41",94768.6569361172
"Total","Female","42",94444.6279583529
"Total","Female","43",94088.7181282995
"Total","Female","44",93711.3702350145
"Total","Female","45",93292.6153089723
"Total","Female","46",92840.2021736844
"Total","Female","47",92350.387961293
"Total","Female","48",91808.6823579104
"Total","Female","49",91221.3630755975
"Total","Female","50",90595.9203985891
"Total","Female","51",89918.5677227118
"Total","Female","52",89198.2897900492
"Total","Female","53",88421.4573607127
"Total","Female","54",87573.6729435809
"Total","Female","55",86665.6509890968
"Total","Female","56",85682.2843908329
"Total","Female","57",84617.2466731097
"Total","Female","58",83462.8129033287
"Total","Female","59",82212.6465143087
"Total","Female","60",80874.6601362702
"Total","Female","61",79425.9766795066
"Total","Female","62",77872.9547891252
"Total","Female","63",76192.9544954512
"Total","Female","64",74417.0541665568
"Total","Female","65",72508.9245725425
"Total","Female","66",70476.2207898547
"Total","Female","67",68336.5252820033
"Total","Female","68",66084.2203798985
"Total","Female","69",63732.1750713414
"Total","Female","70",61275.2351217649
"Total","Female","71",58741.7811118251
"Total","Female","72",56107.0394590153
"Total","Female","73",53371.1698878714
"Total","Female","74",50536.9165850024
"Total","Female","75",47652.8383363122
"Total","Female","76",44725.0619323389
"Total","Female","77",41728.0780806733
"Total","Female","78",38705.256676404
"Total","Female","79",35697.7536238456
"Total","Female","80",32713.9316976853
"Total","Female","81",29776.0040394861
"Total","Female","82",26893.7716200056
"Total","Female","83",24080.3976031898
"Total","Female","84",21348.1594331412
"Total","Female","85",18747.87223115
"Total","Female","86",16286.6131074708
"Total","Female","87",13989.0704165421
"Total","Female","88",11872.4787069826
"Total","Female","89",9938.96074613116
"Total","Female","90",8190.73963769115
"Total","Female","91",6637.19089889903
"Total","Female","92",5292.2094832631
"Total","Female","93",4146.82907358686
"Total","Female","94",3181.843691683
"Total","Female","95",2398.62062911488
"Total","Female","96",1758.98846135091
"Total","Female","97",1250.36529180366
"Total","Female","98",859.626138115016
"Total","Female","99",565.660723008326
"Total","Female","100+",358.517359653165
"Total","Male","0",1e+05
"Total","Male","1",99310.5205949686
"Total","Male","2",98567.3996700515
"Total","Male","3",98503.1183300857
"Total","Male","4",98470.8116333556
"Total","Male","5",98446.6795878628
"Total","Male","6",98422.5987008504
"Total","Male","7",98398.6253483475
"Total","Male","8",98374.9024507668
"Total","Male","9",98351.5012132176
"Total","Male","10",98328.4563814419
"Total","Male","11",98305.6661493452
"Total","Male","12",98275.448469748
"Total","Male","13",98237.6807250535
"Total","Male","14",98184.6263899012
"Total","Male","15",98116.1599863442
"Total","Male","16",98032.2902455158
"Total","Male","17",97918.1089081176
"Total","Male","18",97774.2174916472
"Total","Male","19",97601.3187869759
"Total","Male","20",97391.7454030775
"Total","Male","21",97143.7284568027
"Total","Male","22",96854.3609188738
"Total","Male","23",96529.4241700446
"Total","Male","24",96169.3857761565
"Total","Male","25",95767.3826882024
"Total","Male","26",95307.7626471668
"Total","Male","27",94796.3005635328
"Total","Male","28",94237.9374461241
"Total","Male","29",93636.882932685
"Total","Male","30",92995.9964860997
"Total","Male","31",92319.5988988266
"Total","Male","32",91615.7872401528
"Total","Male","33",90876.8398897468
"Total","Male","34",90111.9147336229
"Total","Male","35",89320.0785234815
"Total","Male","36",88489.1940721003
"Total","Male","37",87625.198762132
"Total","Male","38",86736.8612525784
"Total","Male","39",85825.9600353697
"Total","Male","40",84886.9097274936
"Total","Male","41",83926.6258791815
"Total","Male","42",82941.4431050683
"Total","Male","43",81927.7688546219
"Total","Male","44",80881.7677254481
"Total","Male","45",79796.5348514681
"Total","Male","46",78659.141983056
"Total","Male","47",77464.160348452
"Total","Male","48",76226.2444598933
"Total","Male","49",74939.4585426238
"Total","Male","50",73610.2733964261
"Total","Male","51",72235.785432204
"Total","Male","52",70804.5149913378
"Total","Male","53",69326.3414007044
"Total","Male","54",67800.7417972445
"Total","Male","55",66218.0185792256
"Total","Male","56",64567.7602540334
"Total","Male","57",62855.6289346272
"Total","Male","58",61074.0393790146
"Total","Male","59",59219.5999134817
"Total","Male","60",57300.1170831527
"Total","Male","61",55309.4824229316
"Total","Male","62",53242.298207792
"Total","Male","63",51120.8910647726
"Total","Male","64",48936.2921963292
"Total","Male","65",46692.1626933564
"Total","Male","66",44397.1241880898
"Total","Male","67",42076.0587290164
"Total","Male","68",39757.6665130522
