"Race","Sex","Age","Population"
"Total","Male",0,12543
"Total","Male",1,12382
"Total","Male",2,12263
"Total","Male",3,12194
"Total","Male",4,12240
"Total","Male",5,12263
"Total","Male",6,12315
"Total","Male",7,12442
"Total","Male",8,12610
"Total","Male",9,12802
"Total","Male",10,12942
"Total","Male",11,13011
"Total","Male",12,13008
"Total","Male",13,12958
"Total","Male",14,12902
"Total","Male",15,12863
"Total","Male",16,12871
"Total","Male",17,12920
"Total","Male",18,12995
"Total","Male",19,13026
"Total","Male",20,12942
"Total","Male",21,12738
"Total","Male",22,12498
"Total","Male",23,12310
"Total","Male",24,12175
"Total","Male",25,12056
"Total","Male",26,11894
"Total","Male",27,11680
"Total","Male",28,11409
"Total","Male",29,11066
"Total","Male",30,10685
"Total","Male",31,10323
"Total","Male",32,10002
"Total","Male",33,9701
"Total","Male",34,9404
"Total","Male",35,9095
"Total","Male",36,8765
"Total","Male",37,8440
"Total","Male",38,8146
"Total","Male",39,7908
"Total","Male",40,7735
"Total","Male",41,7622
"Total","Male",42,7563
"Total","Male",43,7549
"Total","Male",44,7551
"Total","Male",45,7523
"Total","Male",46,7447
"Total","Male",47,7325
"Total","Male",48,7166
"Total","Male",49,6985
"Total","Male",50,6791
"Total","Male",51,6596
"Total","Male",52,6399
"Total","Male",53,6202
"Total","Male",54,6012
"Total","Male",55,5825
"Total","Male",56,5619
"Total","Male",57,5391
"Total","Male",58,5157
"Total","Male",59,4917
"Total","Male",60,4667
"Total","Male",61,4411
"Total","Male",62,4157
"Total","Male",63,3916
"Total","Male",64,3686
"Total","Male",65,3453
"Total","Male",66,3204
"Total","Male",67,2965
"Total","Male",68,2759
"Total","Male",69,2583
"Total","Male",70,2442
"Total","Male",71,2319
"Total","Male",72,2195
"Total","Male",73,2073
"Total","Male",74,1952
"Total","Male",75,1830
"Total","Male",76,1707
"Total","Male",77,1583
"Total","Male",78,1467
"Total","Male",79,1356
"Total","Male",80,1244
"Total","Male",81,1136
"Total","Male",82,1035
"Total","Male",83,939
"Total","Male",84,848
"Total","Male",85,764
"Total","Male",86,685
"Total","Male",87,610
"Total","Male",88,539
"Total","Male",89,471
"Total","Male",90,408
"Total","Male",91,347
"Total","Male",92,293
"Total","Male",93,243
"Total","Male",94,199
"Total","Male",95,160
"Total","Male",96,127
"Total","Male",97,98
"Total","Male",98,75
"Total","Male",99,55
"Total","Male",100,104
"Total","Female",0,12101
"Total","Female",1,11960
"Total","Female",2,11820
"Total","Female",3,11743
"Total","Female",4,11776
"Total","Female",5,11792
"Total","Female",6,11839
"Total","Female",7,11960
"Total","Female",8,12122
"Total","Female",9,12304
"Total","Female",10,12440
"Total","Female",11,12506
"Total","Female",12,12519
"Total","Female",13,12508
"Total","Female",14,12498
"Total","Female",15,12500
"Total","Female",16,12529
"Total","Female",17,12586
"Total","Female",18,12661
"Total","Female",19,12694
"Total","Female",20,12626
"Total","Female",21,12455
"Total","Female",22,12255
"Total","Female",23,12111
"Total","Female",24,12027
"Total","Female",25,11967
"Total","Female",26,11890
"Total","Female",27,11786
"Total","Female",28,11644
"Total","Female",29,11446
"Total","Female",30,11220
"Total","Female",31,11019
"Total","Female",32,10865
"Total","Female",33,10742
"Total","Female",34,10634
"Total","Female",35,10519
"Total","Female",36,10379
"Total","Female",37,10222
"Total","Female",38,10059
"Total","Female",39,9902
"Total","Female",40,9758
"Total","Female",41,9635
"Total","Female",42,9535
"Total","Female",43,9456
"Total","Female",44,9378
"Total","Female",45,9257
"Total","Female",46,9074
"Total","Female",47,8839
"Total","Female",48,8570
"Total","Female",49,8285
"Total","Female",50,7995
"Total","Female",51,7709
"Total","Female",52,7431
"Total","Female",53,7162
"Total","Female",54,6908
"Total","Female",55,6660
"Total","Female",56,6396
"Total","Female",57,6115
"Total","Female",58,5831
"Total","Female",59,5546
"Total","Female",60,5256
"Total","Female",61,4963
"Total","Female",62,4677
"Total","Female",63,4410
"Total","Female",64,4158
"Total","Female",65,3904
"Total","Female",66,3633
"Total","Female",67,3372
"Total","Female",68,3146
"Total","Female",69,2951
"Total","Female",70,2795
"Total","Female",71,2659
"Total","Female",72,2521
"Total","Female",73,2383
"Total","Female",74,2247
"Total","Female",75,2114
"Total","Female",76,1976
"Total","Female",77,1836
"Total","Female",78,1707
"Total","Female",79,1582
"Total","Female",80,1457
"Total","Female",81,1337
"Total","Female",82,1223
"Total","Female",83,1114
"Total","Female",84,1010
"Total","Female",85,911
"Total","Female",86,817
"Total","Female",87,727
"Total","Female",88,643
"Total","Female",89,560
"Total","Female",90,482
"Total","Female",91,408
"Total","Female",92,342
"Total","Female",93,281
"Total","Female",94,228
"Total","Female",95,182
"Total","Female",96,142
"Total","Female",97,108
"Total","Female",98,80
"Total","Female",99,58
"Total","Female",100,117
