"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.81211797641531","65.66704207","73.42333262","103.719773872959","1","4660.70217728187","3188.62023180917","2200.48640883175","750.877075374016","1","1","1","1"
2021,"1.81278639583062","65.5598043","72.40065489","103.715655776077","0.99392668","4660.70217728187","3188.62023180917","2200.48640883175","750.877075374016","0.99392668","0.99392668","0.99392668","0.99392668"
2022,"1.81345481524594","70.03566482","76.48472966","103.712377522665","0.99392668","4660.70217728187","3188.62023180917","2200.48640883175","750.877075374016","0.99392668","0.99392668","0.99392668","0.99392668"
2023,"1.81412323466125","70.10700086","76.57804584","103.709897549154","0.99392668","4660.70217728187","3188.62023180917","2200.48640883175","750.877075374016","0.99392668","0.99392668","0.99392668","0.99392668"
2024,"1.81479165407656","70.21591862","76.71314382","103.708170055389","0.99392668","4660.70217728187","3188.62023180917","2200.48640883175","750.877075374016","0.99392668","0.99392668","0.99392668","0.99392668"
2025,"1.81546007349187","70.30399763","76.82418798","103.707154221825","0.99392668","4817.46805266955","3238.17713194383","2185.25116572521","701.200221334812","0.99392668","0.99392668","0.99392668","0.99392668"
2026,"1.81612849290719","70.41037127","76.95506793","103.706814459296","0.98559068","4817.46805266955","3238.17713194383","2185.25116572521","701.200221334812","0.98559068","0.98559068","0.98559068","0.98559068"
2027,"1.8167969123225","70.50380832","77.0707933","103.707119961279","0.98559068","4817.46805266955","3238.17713194383","2185.25116572521","701.200221334812","0.98559068","0.98559068","0.98559068","0.98559068"
2028,"1.81746533173781","70.60610092","77.19566118","103.708045301473","0.98559068","4817.46805266955","3238.17713194383","2185.25116572521","701.200221334812","0.98559068","0.98559068","0.98559068","0.98559068"
2029,"1.81813375115312","70.70042304","77.31093913","103.709571846369","0.98559068","4817.46805266955","3238.17713194383","2185.25116572521","701.200221334812","0.98559068","0.98559068","0.98559068","0.98559068"
2030,"1.81880217056844","70.79884677","77.43000051","103.711690157937","0.98559068","4910.7261241195","3325.8876064571","2176.87515016433","713.979284755957","0.98559068","0.98559068","0.98559068","0.98559068"
2031,"1.81947058998375","70.89225708","77.5427544","103.714403369478","0.97253189","4910.7261241195","3325.8876064571","2176.87515016433","713.979284755957","0.97253189","0.97253189","0.97253189","0.97253189"
2032,"1.82013900939906","70.98731351","77.65653837","103.717731519755","0.97253189","4910.7261241195","3325.8876064571","2176.87515016433","713.979284755957","0.97253189","0.97253189","0.97253189","0.97253189"
2033,"1.82080742881437","71.07906914","77.76590369","103.721717887251","0.97253189","4910.7261241195","3325.8876064571","2176.87515016433","713.979284755957","0.97253189","0.97253189","0.97253189","0.97253189"
2034,"1.82147584822969","71.17120017","77.87487025","103.726437813507","0.97253189","4910.7261241195","3325.8876064571","2176.87515016433","713.979284755957","0.97253189","0.97253189","0.97253189","0.97253189"
2035,"1.822144267645","71.26100975","77.98049864","103.732010496073","0.97253189","4935.56983514369","3377.29502806413","2175.50399803825","742.11177514294","0.97253189","0.97253189","0.97253189","0.97253189"
2036,"1.82281268706031","71.35053178","78.08498819","103.738607616729","0.9563525","4935.56983514369","3377.29502806413","2175.50399803825","742.11177514294","0.9563525","0.9563525","0.9563525","0.9563525"
2037,"1.82348110647562","71.43830072","78.18674862","103.746395836696","0.9563525","4935.56983514369","3377.29502806413","2175.50399803825","742.11177514294","0.9563525","0.9563525","0.9563525","0.9563525"
2038,"1.82414952589094","71.52544033","78.28699633","103.755050543533","0.9563525","4935.56983514369","3377.29502806413","2175.50399803825","742.11177514294","0.9563525","0.9563525","0.9563525","0.9563525"
2039,"1.82481794530625","71.61115914","78.38487612","103.76166021752","0.9563525","4935.56983514369","3377.29502806413","2175.50399803825","742.11177514294","0.9563525","0.9563525","0.9563525","0.9563525"
2040,"1.82548636472156","71.69607876","78.48105542","103.767550062596","0.9563525","4939.22633117571","3404.19525279167","2181.72187542878","739.154534600531","0.9563525","0.9563525","0.9563525","0.9563525"
2041,"1.82615478413687","71.77977947","78.57508381","103.7729232828","0.93899779","4939.22633117571","3404.19525279167","2181.72187542878","739.154534600531","0.93899779","0.93899779","0.93899779","0.93899779"
2042,"1.82682320355218","71.86261255","78.66733441","103.777956701066","0.93899779","4939.22633117571","3404.19525279167","2181.72187542878","739.154534600531","0.93899779","0.93899779","0.93899779","0.93899779"
2043,"1.8274916229675","71.94434936","78.75757489","103.782659750112","0.93899779","4939.22633117571","3404.19525279167","2181.72187542878","739.154534600531","0.93899779","0.93899779","0.93899779","0.93899779"
2044,"1.82816004238281","72.02519734","78.84602322","103.78702094026","0.93899779","4939.22633117571","3404.19525279167","2181.72187542878","739.154534600531","0.93899779","0.93899779","0.93899779","0.93899779"
2045,"1.82882846179812","72.10504027","78.9325605","103.791047252946","0.93899779","4893.95256675439","3412.13955169265","2189.00745097788","745.318202790657","0.93899779","0.93899779","0.93899779","0.93899779"
2046,"1.82949688121343","72.18400379","79.01732367","103.794762615768","0.92576718","4893.95256675439","3412.13955169265","2189.00745097788","745.318202790657","0.92576718","0.92576718","0.92576718","0.92576718"
2047,"1.83016530062875","72.26203662","79.10026227","103.79819669779","0.92576718","4893.95256675439","3412.13955169265","2189.00745097788","745.318202790657","0.92576718","0.92576718","0.92576718","0.92576718"
2048,"1.83083372004406","72.33921923","79.18146761","103.801392938971","0.92576718","4893.95256675439","3412.13955169265","2189.00745097788","745.318202790657","0.92576718","0.92576718","0.92576718","0.92576718"
2049,"1.83150213945937","72.41553871","79.26093084","103.804409527461","0.92576718","4893.95256675439","3412.13955169265","2189.00745097788","745.318202790657","0.92576718","0.92576718","0.92576718","0.92576718"
2050,"1.83217055887468","72.49105028","79.33871729","103.807307933811","0.92576718","4835.58926406982","3403.08757139597","2198.3357487506","742.919285752347","0.92576718","0.92576718","0.92576718","0.92576718"
2051,"1.83283897829","72.56577289","79.41484828","103.810132845468","0.90882097","4835.58926406982","3403.08757139597","2198.3357487506","742.919285752347","0.90882097","0.90882097","0.90882097","0.90882097"
2052,"1.83350739770531","72.63975107","79.48937389","103.812906514125","0.90882097","4835.58926406982","3403.08757139597","2198.3357487506","742.919285752347","0.90882097","0.90882097","0.90882097","0.90882097"
2053,"1.83417581712062","72.71300829","79.56233434","103.815263695299","0.90882097","4835.58926406982","3403.08757139597","2198.3357487506","742.919285752347","0.90882097","0.90882097","0.90882097","0.90882097"
2054,"1.83484423653593","72.78559712","79.63378159","103.817592725631","0.90882097","4835.58926406982","3403.08757139597","2198.3357487506","742.919285752347","0.90882097","0.90882097","0.90882097","0.90882097"
2055,"1.83551265595125","72.85754771","79.70374998","103.819905765053","0.90882097","4767.14025107527","3382.25886279326","2211.99596740862","736.785359634379","0.90882097","0.90882097","0.90882097","0.90882097"
2056,"1.83618107536656","72.92890826","79.7723005","103.822169931859","0.89985058","4767.14025107527","3382.25886279326","2211.99596740862","736.785359634379","0.89985058","0.89985058","0.89985058","0.89985058"
2057,"1.83684949478187","72.99972132","79.83948173","103.824354763001","0.89985058","4767.14025107527","3382.25886279326","2211.99596740862","736.785359634379","0.89985058","0.89985058","0.89985058","0.89985058"
2058,"1.83751791419718","73.07003479","79.9053388","103.826437823262","0.89985058","4767.14025107527","3382.25886279326","2211.99596740862","736.785359634379","0.89985058","0.89985058","0.89985058","0.89985058"
2059,"1.8381863336125","73.13988643","79.9699248","103.828403704028","0.89985058","4767.14025107527","3382.25886279326","2211.99596740862","736.785359634379","0.89985058","0.89985058","0.89985058","0.89985058"
2060,"1.83885475302781","73.20933042","80.0332883","103.830242858644","0.89985058","4693.71197651717","3354.19976866131","2237.54067790551","730.723771639872","0.89985058","0.89985058","0.89985058","0.89985058"
2061,"1.83952317244312","73.2783996","80.09547962","103.831950555148","0.8873042","4693.71197651717","3354.19976866131","2237.54067790551","730.723771639872","0.8873042","0.8873042","0.8873042","0.8873042"
2062,"1.84019159185843","73.34715088","80.15654496","103.833526079296","0.8873042","4693.71197651717","3354.19976866131","2237.54067790551","730.723771639872","0.8873042","0.8873042","0.8873042","0.8873042"
2063,"1.84086001127374","73.41561528","80.21652797","103.834971920086","0.8873042","4693.71197651717","3354.19976866131","2237.54067790551","730.723771639872","0.8873042","0.8873042","0.8873042","0.8873042"
