"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","VER","Total","f",0,0.000561365240264323
"AGS","VER","Total","f",1,0.000561365240264323
"AGS","VER","Total","f",2,0.000561365240264323
"AGS","VER","Total","f",3,0.000561365240264323
"AGS","VER","Total","f",4,0.000561365240264323
"AGS","VER","Total","f",5,0.000364257860916725
"AGS","VER","Total","f",6,0.000364257860916725
"AGS","VER","Total","f",7,0.000364257860916725
"AGS","VER","Total","f",8,0.000364257860916725
"AGS","VER","Total","f",9,0.000364257860916725
"AGS","VER","Total","f",10,0.000432960523568938
"AGS","VER","Total","f",11,0.000432960523568938
"AGS","VER","Total","f",12,0.000432960523568938
"AGS","VER","Total","f",13,0.000432960523568938
"AGS","VER","Total","f",14,0.000432960523568938
"AGS","VER","Total","f",15,0.000479224575859285
"AGS","VER","Total","f",16,0.000479224575859285
"AGS","VER","Total","f",17,0.000479224575859285
"AGS","VER","Total","f",18,0.000479224575859285
"AGS","VER","Total","f",19,0.000479224575859285
"AGS","VER","Total","f",20,0.000667969108395614
"AGS","VER","Total","f",21,0.000667969108395614
"AGS","VER","Total","f",22,0.000667969108395614
"AGS","VER","Total","f",23,0.000667969108395614
"AGS","VER","Total","f",24,0.000667969108395614
"AGS","VER","Total","f",25,0.000664592862207121
"AGS","VER","Total","f",26,0.000664592862207121
"AGS","VER","Total","f",27,0.000664592862207121
"AGS","VER","Total","f",28,0.000664592862207121
"AGS","VER","Total","f",29,0.000664592862207121
"AGS","VER","Total","f",30,0.000663430473406882
"AGS","VER","Total","f",31,0.000663430473406882
"AGS","VER","Total","f",32,0.000663430473406882
"AGS","VER","Total","f",33,0.000663430473406882
"AGS","VER","Total","f",34,0.000663430473406882
"AGS","VER","Total","f",35,0.000468300921351518
"AGS","VER","Total","f",36,0.000468300921351518
"AGS","VER","Total","f",37,0.000468300921351518
"AGS","VER","Total","f",38,0.000468300921351518
"AGS","VER","Total","f",39,0.000468300921351518
"AGS","VER","Total","f",40,0.000305469256101416
