"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"VER","AGS","Total","f",0,0.00014716244057759
"VER","AGS","Total","f",1,0.00014716244057759
"VER","AGS","Total","f",2,0.00014716244057759
"VER","AGS","Total","f",3,0.00014716244057759
"VER","AGS","Total","f",4,0.00014716244057759
"VER","AGS","Total","f",5,0.000132808672447349
"VER","AGS","Total","f",6,0.000132808672447349
"VER","AGS","Total","f",7,0.000132808672447349
"VER","AGS","Total","f",8,0.000132808672447349
"VER","AGS","Total","f",9,0.000132808672447349
"VER","AGS","Total","f",10,0.00013032146908233
"VER","AGS","Total","f",11,0.00013032146908233
"VER","AGS","Total","f",12,0.00013032146908233
"VER","AGS","Total","f",13,0.00013032146908233
"VER","AGS","Total","f",14,0.00013032146908233
"VER","AGS","Total","f",15,0.000154544000318631
"VER","AGS","Total","f",16,0.000154544000318631
"VER","AGS","Total","f",17,0.000154544000318631
"VER","AGS","Total","f",18,0.000154544000318631
"VER","AGS","Total","f",19,0.000154544000318631
"VER","AGS","Total","f",20,0.00018631921537299
"VER","AGS","Total","f",21,0.00018631921537299
"VER","AGS","Total","f",22,0.00018631921537299
"VER","AGS","Total","f",23,0.00018631921537299
"VER","AGS","Total","f",24,0.00018631921537299
"VER","AGS","Total","f",25,0.000193355998217618
"VER","AGS","Total","f",26,0.000193355998217618
"VER","AGS","Total","f",27,0.000193355998217618
"VER","AGS","Total","f",28,0.000193355998217618
"VER","AGS","Total","f",29,0.000193355998217618
"VER","AGS","Total","f",30,0.000178894226401228
"VER","AGS","Total","f",31,0.000178894226401228
"VER","AGS","Total","f",32,0.000178894226401228
"VER","AGS","Total","f",33,0.000178894226401228
"VER","AGS","Total","f",34,0.000178894226401228
"VER","AGS","Total","f",35,0.00014210642595758
"VER","AGS","Total","f",36,0.00014210642595758
"VER","AGS","Total","f",37,0.00014210642595758
"VER","AGS","Total","f",38,0.00014210642595758
"VER","AGS","Total","f",39,0.00014210642595758
"VER","AGS","Total","f",40,0.000121643979698681
"VER","AGS","Total","f",41,0.000121643979698681
"VER","AGS","Total","f",42,0.000121643979698681
"VER","AGS","Total","f",43,0.000121643979698681
"VER","AGS","Total","f",44,0.000121643979698681
"VER","AGS","Total","f",45,0.000130796130076421
"VER","AGS","Total","f",46,0.000130796130076421
"VER","AGS","Total","f",47,0.000130796130076421
"VER","AGS","Total","f",48,0.000130796130076421
"VER","AGS","Total","f",49,0.000130796130076421
"VER","AGS","Total","f",50,9.62516148208058e-05
"VER","AGS","Total","f",51,9.62516148208058e-05
"VER","AGS","Total","f",52,9.62516148208058e-05
"VER","AGS","Total","f",53,9.62516148208058e-05
"VER","AGS","Total","f",54,9.62516148208058e-05
"VER","AGS","Total","f",55,9.75078747831616e-05
"VER","AGS","Total","f",56,9.75078747831616e-05
"VER","AGS","Total","f",57,9.75078747831616e-05
"VER","AGS","Total","f",58,9.75078747831616e-05
"VER","AGS","Total","f",59,9.75078747831616e-05
"VER","AGS","Total","f",60,7.24686956138223e-05
"VER","AGS","Total","f",61,7.24686956138223e-05
"VER","AGS","Total","f",62,7.24686956138223e-05
"VER","AGS","Total","f",63,7.24686956138223e-05
"VER","AGS","Total","f",64,7.24686956138223e-05
"VER","AGS","Total","f",65,9.63584670307941e-05
"VER","AGS","Total","f",66,9.63584670307941e-05
"VER","AGS","Total","f",67,9.63584670307941e-05
"VER","AGS","Total","f",68,9.63584670307941e-05
"VER","AGS","Total","f",69,9.63584670307941e-05
"VER","AGS","Total","f",70,8.95174909846484e-05
"VER","AGS","Total","f",71,8.95174909846484e-05
"VER","AGS","Total","f",72,8.95174909846484e-05
"VER","AGS","Total","f",73,8.95174909846484e-05
"VER","AGS","Total","f",74,8.95174909846484e-05
"VER","AGS","Total","f",75,0.000248577473221377
"VER","AGS","Total","f",76,0.000248577473221377
"VER","AGS","Total","f",77,0.000248577473221377
